
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h31m48s797ms,-9.984711,0.10713196,0.35476685,9.892868,0.1903534,0.6032562,0.7188873
13h31m48s869ms,-10.881439,-0.16282654,0.5730896,5.0814133,0.26634216,0.5991974,1.0605774
13h31m48s926ms,-10.881439,-0.16282654,0.5730896,5.0814133,0.14143372,0.19534302,0.8393707
13h31m48s994ms,-10.889496,2.286255,1.356369,4.2039695,0.2284851,-0.038238525,0.58010864
13h31m49s67ms,-10.889496,2.286255,1.356369,4.2039695,0.44911194,-0.40422058,0.20014954
13h31m49s172ms,-10.889496,2.286255,1.356369,4.2039695,0.640625,-0.8509979,-0.5387268
13h31m49s250ms,-6.9556885,2.1808472,0.22038269,3.179329,0.5563965,-0.80029297,-0.6994934
13h31m49s321ms,-6.9556885,2.1808472,0.22038269,3.179329,0.44807434,-0.11306763,-0.7856293
13h31m49s377ms,-6.9556885,2.1808472,0.22038269,3.179329,0.29901123,0.013305664,-0.6867981
13h31m49s436ms,-9.520462,0.8738251,-1.8117981,2.8048675,0.104904175,0.14108276,-0.542984
13h31m49s517ms,-9.520462,0.8738251,-1.8117981,2.8048675,0.112960815,0.24667358,-0.3768158
13h31m49s585ms,-9.520462,0.8738251,-1.8117981,2.8048675,0.045776367,-0.09867859,-0.06539917
13h31m49s659ms,-10.8428955,0.3481903,-1.1239166,0.9314209,-0.04220581,-0.09463501,-0.07707214
13h31m49s733ms,-10.8428955,0.3481903,-1.1239166,0.9314209,0.08810425,-0.17414856,-0.17062378
13h31m49s806ms,-10.299591,0.031661987,-0.48495483,0.94073486,0.087753296,-0.25698853,0.2867279
13h31m49s883ms,-10.299591,0.031661987,-0.48495483,0.94073486,-0.016723633,-0.03314209,-0.010665894
13h31m49s957ms,-10.299591,0.031661987,-0.48495483,0.94073486,0.041671753,-0.19012451,-0.23078918
13h31m50s31ms,-9.955811,0.27264404,0.38398743,0.499115,1.0681152E-4,-0.021850586,-0.016174316
13h31m50s104ms,-9.955811,0.27264404,0.38398743,0.499115,-0.0010986328,-0.009399414,-0.01109314
13h31m50s179ms,-9.955811,0.27264404,0.38398743,0.499115,-4.4250488E-4,0.00340271,0.0040130615
13h31m50s248ms,-9.963226,0.19981384,0.40408325,0.4925995,-3.3569336E-4,-0.0045928955,-0.002609253
13h31m50s327ms,-9.963226,0.19981384,0.40408325,0.4925995,-3.2043457E-4,0.0013275146,0.0022277832
13h31m50s402ms,-9.975861,0.18455505,0.43580627,0.23424682,6.2561035E-4,0.0016021729,-0.002029419
13h31m50s472ms,-9.975861,0.18455505,0.43580627,0.23424682,-0.0016326904,-0.0010223389,-0.0015411377
13h31m50s548ms,-9.975861,0.18455505,0.43580627,0.23424682,3.8146973E-4,-3.0517578E-4,-0.0014190674
13h31m50s620ms,-9.974625,0.19354248,0.421875,0.13091736,-4.4250488E-4,0.0015869141,4.7302246E-4
13h31m50s706ms,-9.974625,0.19354248,0.421875,0.13091736,3.8146973E-4,7.6293945E-4,2.4414063E-4
13h31m50s770ms,-9.974625,0.19354248,0.421875,0.13091736,6.2561035E-4,0.0011291504,0.0015411377
13h31m50s843ms,-9.971588,0.18948364,0.42225647,0.068423465,-4.4250488E-4,0.0012359619,-0.0013122559
13h31m50s918ms,-9.971588,0.18948364,0.42225647,0.068423465,-4.4250488E-4,-4.272461E-4,3.6621094E-4
13h31m50s998ms,-9.971588,0.18948364,0.42225647,0.068423465,7.171631E-4,-0.0015106201,4.7302246E-4
13h31m51s67ms,-9.966064,0.1809845,0.42340088,0.02192688,-0.0015106201,-5.340576E-4,-0.0012664795
13h31m51s141ms,-9.966064,0.1809845,0.42340088,0.02192688,1.373291E-4,5.340576E-4,4.7302246E-4
13h31m51s229ms,-9.969467,0.1867981,0.42967224,0.008523559,-0.0010070801,2.746582E-4,4.7302246E-4
13h31m51s326ms,-9.969467,0.1867981,0.42967224,0.008523559,-4.119873E-4,-5.340576E-4,4.5776367E-4
13h31m51s414ms,-9.969467,0.1867981,0.42967224,0.008523559,-0.001083374,3.0517578E-4,2.593994E-4
13h31m51s526ms,-9.9683075,0.17721558,0.4234314,0.007388306,-1.5258789E-5,0.002029419,-5.950928E-4
13h31m51s623ms,-9.9683075,0.17721558,0.4234314,0.007388306,2.2888184E-4,-1.5258789E-4,-8.8500977E-4
13h31m51s755ms,-9.9683075,0.17721558,0.4234314,0.007388306,-4.4250488E-4,0.001449585,-4.4250488E-4
13h31m51s832ms,-9.969955,0.1880951,0.414917,0.0077667236,0.0029144287,8.69751E-4,-0.0014953613
13h31m51s878ms,-9.969955,0.1880951,0.414917,0.0077667236,-0.06088257,0.23129272,0.31246948
13h31m51s929ms,-9.969955,0.1880951,0.414917,0.0077667236,-0.011260986,-0.57862854,0.6833191
13h31m51s995ms,-11.774597,0.21730042,-0.4210968,0.01279602,-0.21791077,-0.119644165,0.9349365
13h31m52s46ms,-11.774597,0.21730042,-0.4210968,0.01279602,-0.41763306,0.0761261,0.7752838
13h31m52s96ms,-9.914261,1.1883087,-1.4980164,0.20529786,-0.8522949,0.36940002,0.5002289
13h31m52s146ms,-9.914261,1.1883087,-1.4980164,0.20529786,-0.7890167,0.3486328,0.08546448
13h31m52s231ms,-9.914261,1.1883087,-1.4980164,0.20529786,-0.761322,0.5523987,-0.14073181
13h31m52s281ms,-7.1474,1.3087616,0.40444946,0.22822571,-0.6619568,0.75942993,-0.2802124
13h31m52s328ms,-7.1474,1.3087616,0.40444946,0.22822571,-0.44735718,0.29562378,-0.62257385
13h31m52s413ms,-7.1474,1.3087616,0.40444946,0.22822571,-0.19812012,0.24127197,-0.5478821
13h31m52s490ms,-9.507385,1.0031891,1.7364655,0.2874237,-0.0071105957,-0.14402771,-0.35183716
13h31m52s590ms,-9.507385,1.0031891,1.7364655,0.2874237,0.12934875,-0.18487549,-0.14457703
13h31m52s638ms,-11.026337,1.2690735,0.29162598,0.33842468,-0.116867065,-0.96632385,-0.79019165
13h31m52s695ms,-11.026337,1.2690735,0.29162598,0.33842468,0.009963989,-0.05091858,0.15188599
13h31m52s769ms,-11.026337,1.2690735,0.29162598,0.33842468,0.06359863,0.032196045,-0.49565125
13h31m52s847ms,-10.418991,0.22375488,0.7075043,0.5416473,-4.5776367E-5,0.037719727,0.030700684
13h31m52s920ms,-10.418991,0.22375488,0.7075043,0.5416473,6.2561035E-4,-0.050735474,-0.027130127
13h31m52s993ms,-10.418991,0.22375488,0.7075043,0.5416473,-0.0015716553,0.016433716,0.008911133
13h31m53s72ms,-9.967453,0.12861633,0.23222351,0.36647338,3.2043457E-4,-0.0020751953,1.5258789E-5
13h31m53s147ms,-9.967453,0.12861633,0.23222351,0.36647338,7.6293945E-5,-0.0010681152,4.7302246E-4
13h31m53s215ms,-9.967453,0.12861633,0.23222351,0.36647338,6.2561035E-4,5.340576E-4,7.6293945E-4
13h31m53s298ms,-9.981583,0.10272217,0.2939453,0.34756166,-0.0015106201,-6.1035156E-4,4.119873E-4
13h31m53s363ms,-9.981583,0.10272217,0.2939453,0.34756166,6.2561035E-4,0.0012359619,-5.950928E-4
13h31m53s434ms,-9.987656,0.10404968,0.29170227,0.28671265,-0.0011291504,0.001876831,-5.950928E-4
13h31m53s509ms,-9.987656,0.10404968,0.29170227,0.28671265,6.2561035E-4,-1.0681152E-4,0.0011138916
13h31m53s595ms,-9.987656,0.10404968,0.29170227,0.28671265,8.087158E-4,-0.0024871826,2.89917E-4
13h31m53s659ms,-9.9917145,0.09503174,0.2852478,0.23533936,0.001663208,5.0354004E-4,5.0354004E-4
