
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
5h6m10s918ms,9.553497,0.10594177,-0.5131073,9.894058,0.10971069,0.12780762,-0.36705017
15h6m10s991ms,10.089966,0.30389404,-0.57414246,5.0460052,0.020889282,0.13644409,0.26643372
15h6m11s67ms,10.089966,0.30389404,-0.57414246,5.0460052,0.20593262,-0.503006,0.7149048
15h6m11s141ms,10.089966,0.30389404,-0.57414246,5.0460052,0.5516052,0.49534607,0.79904175
15h6m11s214ms,10.840073,-0.5292053,-2.7181854,3.6417034,0.45787048,0.3309021,0.6870575
15h6m11s289ms,10.840073,-0.5292053,-2.7181854,3.6417034,0.558548,-0.28196716,0.018829346
15h6m11s360ms,7.516571,-1.017868,-1.2734528,2.8534431,0.3274536,-0.20802307,0.18341064
15h6m11s434ms,7.516571,-1.017868,-1.2734528,2.8534431,0.46559143,0.23675537,-0.34373474
15h6m11s513ms,7.516571,-1.017868,-1.2734528,2.8534431,0.32096863,0.022338867,-0.4663086
15h6m11s584ms,8.151398,-0.4693451,0.8305054,2.3924592,0.1834259,0.038879395,-0.33267212
15h6m11s659ms,8.151398,-0.4693451,0.8305054,2.3924592,0.087371826,-0.15600586,-0.41210938
15h6m11s734ms,8.151398,-0.4693451,0.8305054,2.3924592,-0.03552246,0.04083252,-0.20436096
15h6m11s806ms,9.953384,-0.2909546,1.192688,0.44932556,-0.03427124,0.27972412,-0.17710876
15h6m11s882ms,9.953384,-0.2909546,1.192688,0.44932556,-0.06536865,0.15892029,-0.025100708
15h6m11s956ms,8.454819,-0.072006226,0.34088135,0.45352477,0.049926758,-0.0152282715,-0.0015716553
15h6m12s31ms,8.454819,-0.072006226,0.34088135,0.45352477,0.223526,0.036193848,-0.028411865
15h6m12s105ms,8.454819,-0.072006226,0.34088135,0.45352477,-0.0026245117,-0.041748047,0.022201538
15h6m12s176ms,9.512451,0.030761719,-0.52731323,0.3074585,-0.007080078,-0.04916382,0.023345947
15h6m12s254ms,9.512451,0.030761719,-0.52731323,0.3074585,-0.006164551,-0.038238525,0.019821167
15h6m12s328ms,9.512451,0.030761719,-0.52731323,0.3074585,-0.0025787354,-2.4414063E-4,-0.005065918
15h6m12s399ms,9.5516815,0.037338257,-0.52407837,0.21104126,0.001953125,0.023132324,-0.01449585
15h6m12s474ms,9.5516815,0.037338257,-0.52407837,0.21104126,0.0011444092,0.0072021484,4.5776367E-4
15h6m12s549ms,9.5516815,0.037338257,-0.52407837,0.21104126,-0.0014190674,-0.018371582,0.017700195
15h6m12s622ms,9.555588,0.021972656,-0.5359955,0.10440979,-0.0071868896,-0.034194946,0.014801025
