
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
2h3m48s395ms,-9.995407,0.55755615,0.42965698,9.442444,-0.007827759,-0.01737976,-0.049041748
22h3m48s472ms,-9.995407,0.55755615,0.42965698,4.721222,0.055282593,0.011947632,-0.0030822754
22h3m48s544ms,-9.995407,0.55755615,0.42965698,3.1474812,0.026138306,-0.059127808,-0.06808472
22h3m48s619ms,-10.019333,0.57081604,0.46881104,2.363926,-0.060562134,0.021652222,0.02192688
22h3m48s693ms,-10.019333,0.57081604,0.46881104,1.8911407,-0.005508423,0.012786865,0.016311646
22h3m48s765ms,-10.023148,0.5235138,0.47280884,0.012112427,-0.009033203,-0.024154663,-0.026733398
22h3m48s842ms,-10.023148,0.5235138,0.47280884,0.012112427,-0.007965088,-0.012420654,-0.016494751
22h3m48s913ms,-10.023148,0.5235138,0.47280884,0.012112427,-0.0051116943,-0.15174866,-0.4668274
22h3m48s987ms,-10.557159,1.496872,0.07727051,0.20413208,-0.14503479,-0.79589844,-0.82185364
22h3m49s62ms,-10.557159,1.496872,0.07727051,0.20413208,-0.07749939,1.345459,-0.12583923
22h3m49s138ms,-10.557159,1.496872,0.07727051,0.19467163,-0.05593872,0.38931274,0.0745697
22h3m49s210ms,-10.284073,3.2784119,-0.7835846,0.5509796,0.14593506,-1.0585938,0.2527771
22h3m49s285ms,-10.284073,3.2784119,-0.7835846,0.5509796,0.8673096,-0.060180664,0.2509613
22h3m49s361ms,-10.284073,3.2784119,-0.7835846,0.35630798,1.0996094,0.06289673,0.3642578
22h3m49s434ms,-8.437576,-1.595871,1.9296112,1.3311646,0.7212982,-0.34173584,0.07511902
22h3m49s509ms,-8.437576,-1.595871,1.9296112,1.3311646,0.19163513,-0.5405884,0.12669373
22h3m49s579ms,-9.881668,-2.097168,2.0861359,1.0751159,-0.086761475,1.2879944,-0.51620483
22h3m49s654ms,-9.881668,-2.097168,2.0861359,1.0751159,-0.07284546,0.023162842,0.09295654
22h3m49s733ms,-9.881668,-2.097168,2.0861359,1.0751159,-0.18946838,-0.015151978,0.1361084
22h3m49s804ms,-10.415222,-0.24163818,0.69433594,0.47136536,0.044708252,-0.17514038,-0.03945923
22h3m49s878ms,-10.415222,-0.24163818,0.69433594,0.47136536,0.061645508,-0.007461548,-0.11256409
22h3m49s952ms,-10.415222,-0.24163818,0.69433594,0.37110597,0.11050415,0.008529663,-0.01928711
22h3m50s25ms,-10.07663,0.5189667,0.52786255,0.5232269,0.011764526,-0.03929138,-0.015060425
22h3m50s100ms,-10.07663,0.5189667,0.52786255,0.5232269,-0.6199951,1.1030884,-0.30615234
22h3m50s176ms,-11.7309265,-2.7619019,1.1972198,0.80829465,-1.1107941,0.8654022,-0.5195465
22h3m50s250ms,-11.7309265,-2.7619019,1.1972198,0.80829465,-1.3848114,0.05126953,-0.33673096
22h3m50s324ms,-11.7309265,-2.7619019,1.1972198,0.80829465,-1.4912567,-0.39872742,-0.06939697
22h3m50s395ms,-7.869858,-1.0902863,0.24801636,0.9904968,-1.2740936,-0.0340271,-0.049194336
22h3m50s470ms,-7.869858,-1.0902863,0.24801636,0.9904968,-1.072876,-0.58657837,-0.14889526
22h3m50s547ms,-7.869858,-1.0902863,0.24801636,0.3343231,-0.766922,-0.50183105,0.36239624
22h3m50s619ms,-9.5425415,2.8869476,-0.139328,1.1297699,-0.40602112,-0.19467163,0.204422
22h3m50s693ms,-9.5425415,2.8869476,-0.139328,1.1297699,-0.1363678,-0.8342743,0.54319763
22h3m50s768ms,-9.5425415,2.8869476,-0.139328,0.79544675,0.08929443,0.0069122314,-0.033065796
22h3m50s841ms,-9.914566,1.5970306,-0.18319702,1.0534302,0.099853516,-0.0103302,0.037399292
22h3m50s917ms,-9.914566,1.5970306,-0.18319702,1.0534302,-0.011886597,-0.006576538,0.012634277
22h3m50s994ms,-9.924637,0.5218048,0.45887756,0.47302857,-0.020187378,-0.012496948,-0.13699341
22h3m51s65ms,-9.924637,0.5218048,0.45887756,0.47302857,-0.007446289,-0.0077209473,0.04043579
22h3m51s139ms,-9.924637,0.5218048,0.45887756,0.47302857,-0.010101318,-0.0031738281,0.008163452
22h3m51s212ms,-10.059982,0.39093018,0.5061188,0.24122009,-0.010940552,-2.746582E-4,-7.7819824E-4
22h3m51s288ms,-10.059982,0.39093018,0.5061188,0.24122009,-0.009918213,-0.001449585,3.0517578E-4
22h3m51s363ms,-10.059982,0.39093018,0.5061188,0.026174927,-0.008575439,-0.003189087,3.9672852E-4
22h3m51s439ms,-10.010559,0.43640137,0.49028015,0.035269164,-0.010101318,-0.0013427734,-9.1552734E-5
22h3m51s502ms,-10.010559,0.43640137,0.49028015,0.035269164,-0.009414673,-6.5612793E-4,-6.713867E-4
22h3m51s577ms,-10.010559,0.43640137,0.49028015,0.009094238,-0.007797241,-2.746582E-4,-0.0015563965
22h3m51s652ms,-10.01506,0.43623352,0.49024963,0.009127808,-0.010055542,-0.0023651123,4.272461E-4
22h3m51s727ms,-10.01506,0.43623352,0.49024963,0.009127808,-0.010940552,-0.0015869141,1.6784668E-4
22h3m51s803ms,-10.01474,0.438797,0.48109436,5.4626464E-4,-0.009490967,-0.002243042,-4.5776367E-5
22h3m51s874ms,-10.01474,0.438797,0.48109436,5.4626464E-4,-0.010345459,-2.746582E-4,3.9672852E-4
22h3m51s949ms,-10.01474,0.438797,0.48109436,5.4626464E-4,-0.010101318,0.0042419434,0.0062561035
22h3m52s30ms,-10.015427,0.560791,0.6343994,0.024911499,-0.10733032,0.87065125,-0.6848755
22h3m52s98ms,-10.015427,0.560791,0.6343994,0.024911499,0.61206055,0.6332092,-0.120025635
22h3m52s173ms,-10.015427,0.560791,0.6343994,0.024398804,0.81088257,0.5140991,0.43626404
22h3m52s244ms,-11.264816,3.2361298,-0.22584534,0.55946654,1.2648315,-0.014923096,1.6784668E-4
22h3m52s319ms,-11.264816,3.2361298,-0.22584534,0.55946654,1.2891998,-0.3065033,-0.10519409
22h3m52s391ms,-8.660004,1.0464325,-0.15603638,0.9730072,1.3317719,0.24517822,0.22906494
22h3m52s475ms,-8.660004,1.0464325,-0.15603638,0.9730072,0.792923,-0.25616455,1.0394897
22h3m52s548ms,-8.660004,1.0464325,-0.15603638,0.9730072,0.6042175,-0.35079956,0.2841034
22h3m52s620ms,-9.27092,-1.4760132,0.46974182,0.9424286,0.28260803,-0.13430786,-0.2387085
22h3m52s686ms,-9.27092,-1.4760132,0.46974182,0.9424286,0.11164856,-1.9284058,-1.0052643
22h3m52s761ms,-9.27092,-1.4760132,0.46974182,0.5044891,-0.15158081,-0.12477112,-0.08340454
22h3m52s841ms,-10.781906,-1.1064453,0.6110687,0.5784027,0.13548279,0.053009033,-0.06895447
