
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h21m6s69ms,-9.914841,-0.030593872,1.0083313,10.030594,-0.28004456,-0.109313965,-0.32832336
13h21m6s137ms,-9.914841,-0.030593872,1.0083313,10.030594,-0.0723114,0.29891968,0.037322998
13h21m6s208ms,-11.037537,0.20230103,2.005783,5.1317444,-0.0047912598,-0.04788208,0.1563263
13h21m6s283ms,-11.037537,0.20230103,2.005783,5.1317444,0.39387512,0.10700989,0.19311523
13h21m6s364ms,-11.037537,0.20230103,2.005783,5.1317444,0.73902893,0.24606323,-0.11723328
13h21m6s430ms,-9.125977,1.5006409,1.6956482,3.8539429,0.8797455,0.08998108,-0.31904602
13h21m6s506ms,-9.125977,1.5006409,1.6956482,3.8539429,0.9668884,-0.04144287,0.062942505
13h21m6s582ms,-8.4500885,-0.6677704,0.95402527,3.43256,0.7015991,-0.14094543,0.13749695
13h21m6s654ms,-8.4500885,-0.6677704,0.95402527,3.43256,0.6624298,-0.40515137,0.40092468
13h21m6s728ms,-8.4500885,-0.6677704,0.95402527,3.43256,0.2998352,0.11303711,0.031921387
13h21m6s799ms,-9.882156,-1.5581512,1.6052551,2.9241242,0.079818726,0.044036865,-0.3343506
13h21m6s883ms,-9.882156,-1.5581512,1.6052551,2.9241242,0.057876587,0.055862427,-0.24165344
13h21m6s960ms,-9.882156,-1.5581512,1.6052551,2.9241242,-0.0016937256,-0.12289429,-0.24873352
13h21m7s23ms,-10.330917,-1.2692566,1.6717529,0.9757843,0.12704468,-0.0061950684,0.085128784
13h21m7s98ms,-10.330917,-1.2692566,1.6717529,0.9757843,-0.0110321045,0.34043884,-0.017486572
13h21m7s192ms,-10.330917,-1.2692566,1.6717529,0.9757843,-0.012969971,0.25935364,0.3109131
13h21m7s246ms,-10.087555,-0.76745605,1.3994904,1.0295655,0.080947876,0.023101807,-0.011489868
13h21m7s321ms,-10.087555,-0.76745605,1.3994904,1.0295655,0.073654175,0.04133606,0.022262573
13h21m7s409ms,-9.864166,0.014633179,0.8222656,0.9263153,-0.0029907227,-0.022781372,-0.017288208
13h21m7s482ms,-9.864166,0.014633179,0.8222656,0.9263153,-2.89917E-4,0.005050659,0.005126953
13h21m7s543ms,-9.864166,0.014633179,0.8222656,0.9263153,-0.007675171,-0.023529053,-0.02204895
13h21m7s619ms,-9.909195,-0.12310791,0.95080566,0.5201813,-3.9672852E-4,0.0103302,0.008621216
13h21m7s692ms,-9.909195,-0.12310791,0.95080566,0.5201813,-0.0034942627,-0.005935669,-0.0023651123
13h21m7s767ms,-9.909195,-0.12310791,0.95080566,0.5201813,-0.0034942627,6.866455E-4,0.0014343262
13h21m7s838ms,-9.883926,-0.111846924,0.9516907,0.3443573,6.1035156E-5,0.008346558,0.008224487
13h21m7s912ms,-9.883926,-0.111846924,0.9516907,0.3443573,-0.008987427,-0.0050354004,-0.0032348633
13h21m7s991ms,-9.892029,-0.12207031,0.9702606,0.28862303,-0.021484375,-0.008026123,-0.0030517578
13h21m8s64ms,-9.892029,-0.12207031,0.9702606,0.28862303,-0.005630493,-6.4086914E-4,-0.0014801025
13h21m8s147ms,-9.892029,-0.12207031,0.9702606,0.28862303,0.002319336,6.1035156E-5,0.001083374
13h21m8s211ms,-9.878113,-0.12171936,0.9560547,0.18833312,-0.0038757324,0.0019226074,1.5258789E-5
13h21m8s284ms,-9.878113,-0.12171936,0.9560547,0.18833312,-0.0084991455,0.018661499,0.012481689
13h21m8s361ms,-9.878113,-0.12171936,0.9560547,0.18833312,0.0029754639,-0.005218506,-0.003921509
13h21m8s433ms,-9.8945465,-0.10932922,0.9525604,0.03439331,0.005874634,0.0027770996,0.0046539307
13h21m8s508ms,-9.8945465,-0.10932922,0.9525604,0.03439331,0.0023040771,0.0033721924,-0.0011444092
13h21m8s582ms,-9.8945465,-0.10932922,0.9525604,0.03439331,-0.0020446777,-0.0047912598,-0.0010681152
13h21m8s653ms,-9.893463,-0.11061096,0.9392853,0.0071014403,-0.004180908,-0.0043945313,-0.003692627
13h21m8s731ms,-9.893463,-0.11061096,0.9392853,0.0071014403,-0.0013885498,-0.001953125,-6.4086914E-4
13h21m8s802ms,-9.888947,-0.10385132,0.93785095,0.006201172,-0.0011444092,1.6784668E-4,-9.0026855E-4
13h21m8s877ms,-9.888947,-0.10385132,0.93785095,0.006201172,-7.324219E-4,-4.7302246E-4,-0.0011138916
13h21m8s967ms,-9.888947,-0.10385132,0.93785095,0.006201172,0.0029144287,-0.0015563965,-0.002822876
13h21m9s40ms,-9.891266,-0.10646057,0.9616699,0.004678345,-0.006286621,-0.00730896,-0.009017944
13h21m9s106ms,-9.891266,-0.10646057,0.9616699,0.004678345,0.03816223,-0.015853882,-0.016708374
13h21m9s186ms,-9.891266,-0.10646057,0.9616699,0.004678345,-0.10505676,0.024169922,0.0149383545
13h21m9s248ms,-9.898407,-0.101135254,0.85847473,0.0056732176,-0.028533936,-0.27093506,-0.15242004
13h21m9s322ms,-9.898407,-0.101135254,0.85847473,0.0056732176,0.36424255,0.6110687,0.08850098
13h21m9s405ms,-12.172867,-1.0605164,1.4819794,0.19507141,0.17237854,0.8589325,0.46513367
13h21m9s470ms,-12.172867,-1.0605164,1.4819794,0.19507141,-0.14083862,0.08972168,0.20857239
13h21m9s546ms,-12.172867,-1.0605164,1.4819794,0.19507141,-0.56663513,0.2597351,-0.3932495
13h21m9s617ms,-8.343704,-2.1384888,0.092681885,0.41040954,-0.9195404,0.056732178,-0.5810547
13h21m9s693ms,-8.343704,-2.1384888,0.092681885,0.41040954,-0.8926239,-0.030517578,-0.21304321
13h21m9s766ms,-8.343704,-2.1384888,0.092681885,0.41040954,-1.0446167,-0.34455872,-0.20959473
13h21m9s839ms,-7.7554626,-0.17921448,0.023117065,0.8009125,-0.79985046,-0.4951172,-0.06690979
13h21m9s919ms,-7.7554626,-0.17921448,0.023117065,0.8009125,-0.5931244,-0.4759369,-0.034072876
13h21m10s13ms,-7.7554626,-0.17921448,0.023117065,0.8009125,-0.17958069,0.04222107,0.028808594
13h21m10s65ms,-10.45929,1.3239594,0.9595947,1.1010253,0.05117798,-0.08087158,0.32084656
13h21m10s137ms,-10.45929,1.3239594,0.9595947,1.1010253,0.16253662,-0.17996216,0.44448853
13h21m10s214ms,-10.343445,0.779541,0.9472046,1.208844,0.07922363,-0.3625946,0.11743164
13h21m10s286ms,-10.343445,0.779541,0.9472046,1.208844,0.12632751,-0.08282471,-0.039413452
13h21m10s370ms,-10.343445,0.779541,0.9472046,1.208844,-0.041931152,-0.041137695,-0.039138794
13h21m10s457ms,-9.917679,-0.17362976,1.5861969,1.2076019,-0.09849548,-0.019058228,-0.00491333
13h21m10s544ms,-9.917679,-0.17362976,1.5861969,1.2076019,0.0016937256,-0.0010528564,5.493164E-4
13h21m10s618ms,-9.917679,-0.17362976,1.5861969,1.2076019,-0.00340271,0.013671875,0.013900757
13h21m10s671ms,-9.896378,-0.21838379,0.98023987,1.0009582,-0.023788452,0.0084991455,0.011932373
13h21m10s731ms,-9.896378,-0.21838379,0.98023987,1.0009582,-0.03866577,0.005508423,0.007537842
13h21m10s805ms,-9.896378,-0.21838379,0.98023987,1.0009582,-0.013656616,0.0038757324,0.0062561035
13h21m10s878ms,-9.889053,-0.20855713,0.9577484,0.6110687,-0.0073394775,0.0073242188,0.006362915
13h21m10s957ms,-9.889053,-0.20855713,0.9577484,0.6110687,-0.0138549805,0.0033721924,0.0056152344
13h21m11s27ms,-9.886215,-0.2068634,0.9407959,0.31077272,-0.049850464,0.0031585693,0.004760742
13h21m11s101ms,-9.886215,-0.2068634,0.9407959,0.31077272,-0.049423218,0.0019836426,0.005722046
13h21m11s177ms,-9.886215,-0.2068634,0.9407959,0.31077272,-0.0104522705,-0.003036499,-0.0022888184
13h21m11s247ms,-9.885986,-0.18734741,0.9492798,0.20579223,7.7819824E-4,-9.765625E-4,-0.0038909912
13h21m11s322ms,-9.885986,-0.18734741,0.9492798,0.20579223,0.0016021729,-0.0042266846,-0.004714966
13h21m11s413ms,-9.885986,-0.18734741,0.9492798,0.20579223,-0.0013580322,-3.0517578E-5,-6.866455E-4
13h21m11s540ms,-9.8941345,-0.19976807,0.9430542,0.017642211,0.0015411377,0.0030670166,3.8146973E-4
13h21m11s626ms,-9.8941345,-0.19976807,0.9430542,0.017642211,0.0018463135,6.713867E-4,-1.6784668E-4
13h21m11s668ms,-9.891037,-0.19952393,0.946167,0.008740234,-2.89917E-4,0.0015563965,0.0021209717
13h21m11s706ms,-9.891037,-0.19952393,0.946167,0.008740234,8.8500977E-4,-0.003036499,-0.0019836426
13h21m11s768ms,-9.891037,-0.19952393,0.946167,0.008740234,-0.0013580322,-0.003036499,-0.0017547607
13h21m11s841ms,-9.884872,-0.19694519,0.9438324,0.007290649,7.7819824E-4,-0.002746582,-0.002822876
13h21m11s917ms,-9.884872,-0.19694519,0.9438324,0.007290649,-2.89917E-4,0.001739502,3.8146973E-4
13h21m12s52ms,-9.884872,-0.19694519,0.9438324,0.007290649,-2.89917E-4,-9.0026855E-4,3.0517578E-5
