
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h40m1s352ms,-9.948059,0.0013885498,-0.2888031,9.998611,-3.2043457E-4,-1.5258789E-4,1.5258789E-4
13h40m1s426ms,-9.948059,0.0013885498,-0.2888031,4.9993057,5.340576E-4,-3.6621094E-4,3.6621094E-4
13h40m1s501ms,-9.948059,0.0013885498,-0.2888031,3.3328705,7.4768066E-4,5.0354004E-4,5.645752E-4
13h40m1s574ms,-9.940079,0.001953125,-0.28675842,2.499794,1.5258789E-4,-2.746582E-4,-9.1552734E-4
13h40m1s648ms,-9.940079,0.001953125,-0.28675842,1.9998353,-0.0013885498,-0.0012207031,-3.3569336E-4
13h40m1s719ms,-9.95079,7.324219E-4,-0.28320313,3.5705566E-4,-3.2043457E-4,-1.5258789E-4,2.746582E-4
13h40m1s798ms,-9.95079,7.324219E-4,-0.28320313,3.5705566E-4,-2.4414063E-4,8.239746E-4,0.0012207031
13h40m1s872ms,-9.95079,7.324219E-4,-0.28320313,3.5705566E-4,4.5776367E-4,-9.460449E-4,9.460449E-4
13h40m1s945ms,-9.952042,-0.0011291504,-0.27908325,6.164551E-4,-3.2043457E-4,4.5776367E-4,1.5258789E-4
13h40m2s18ms,-9.952042,-0.0011291504,-0.27908325,6.164551E-4,7.4768066E-4,0.0011291504,1.5258789E-4
13h40m2s93ms,-9.952042,-0.0011291504,-0.27908325,3.7231445E-4,9.765625E-4,6.713867E-4,-9.1552734E-4
13h40m2s176ms,-9.945709,0.004989624,-0.2281189,0.0015960693,7.9345703E-4,0.0019226074,0.0011749268
13h40m2s242ms,-9.945709,0.004989624,-0.2281189,0.0015960693,-4.5776367E-4,0.0010375977,9.613037E-4
13h40m2s317ms,-9.9457855,7.019043E-4,-0.2811432,0.0020812987,-0.0010681152,-1.5258789E-4,-0.0012359619
13h40m2s390ms,-9.9457855,7.019043E-4,-0.2811432,0.0020812987,0.0018157959,9.1552734E-4,6.713867E-4
13h40m2s464ms,-9.9457855,7.019043E-4,-0.2811432,0.0020812987,-3.2043457E-4,-1.5258789E-4,-0.0016174316
13h40m2s538ms,-9.941971,0.0026397705,-0.27807617,0.0012451172,7.4768066E-4,0.0024871826,-9.1552734E-4
13h40m2s614ms,-9.941971,0.0026397705,-0.27807617,0.0012451172,0.0028686523,-0.012878418,-0.00730896
13h40m2s688ms,-9.941971,0.0026397705,-0.27807617,3.8757324E-4,-5.340576E-4,0.0022277832,-0.0062561035
13h40m2s774ms,-9.943924,-0.0060577393,-0.27320862,0.002127075,0.07064819,-0.22261047,0.9187012
13h40m2s834ms,-9.943924,-0.0060577393,-0.27320862,0.002127075,0.10630798,0.3610382,-0.07672119
13h40m2s908ms,-9.943924,-0.0060577393,-0.27320862,0.001739502,-0.16653442,-0.09524536,-0.27215576
13h40m2s982ms,-9.974533,-0.10432434,-0.2237091,0.021392822,-0.82237244,0.0016784668,-0.13925171
