
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
5h8m5s318ms,9.500534,-0.33694458,0.36775208,10.336945,-6.1035156E-5,0.0011291504,-4.5776367E-4
15h8m5s393ms,9.500534,-0.33694458,0.36775208,10.336945,-9.765625E-4,-1.5258789E-5,-3.0517578E-5
15h8m5s468ms,9.500534,-0.33694458,0.36775208,10.336945,-9.765625E-4,0.0029754639,-0.0077209473
15h8m5s541ms,9.498138,-0.32687378,0.37271118,5.1735077,-7.171631E-4,5.950928E-4,-0.0033874512
15h8m5s615ms,9.498138,-0.32687378,0.37271118,5.1735077,-0.0020446777,-0.010284424,0.025909424
15h8m5s691ms,9.498138,-0.32687378,0.37271118,5.1735077,0.0020751953,0.0053863525,-0.014953613
15h8m5s764ms,9.505066,-0.33493042,0.36871338,3.4516907,0.0018463135,0.009262085,-0.03074646
15h8m5s839ms,9.505066,-0.33493042,0.36871338,3.4516907,-5.0354004E-4,-0.0069122314,0.015899658
15h8m5s910ms,9.504425,-0.33714294,0.3769989,2.5893211,-0.0017700195,-0.012191772,0.023513794
15h8m5s984ms,9.504425,-0.33714294,0.3769989,2.5893211,1.373291E-4,0.011138916,-0.026733398
15h8m6s62ms,9.504425,-0.33714294,0.3769989,2.5893211,9.1552734E-5,0.006011963,-0.01651001
15h8m6s133ms,9.499802,-0.34228516,0.37130737,2.0724854,-0.0016937256,-0.0060577393,0.019165039
15h8m6s208ms,9.499802,-0.34228516,0.37130737,2.0724854,-3.9672852E-4,-0.0012054443,0.010726929
15h8m6s282ms,9.499802,-0.34228516,0.37130737,2.0724854,3.5095215E-4,-1.9836426E-4,-0.00793457
15h8m6s355ms,9.497208,-0.33813477,0.37390137,0.0059265136,0.0010986328,0.01737976,-0.03929138
15h8m6s431ms,9.497208,-0.33813477,0.37390137,0.0059265136,2.4414063E-4,0.013519287,0.012191772
15h8m6s504ms,9.50354,-0.33650208,0.37953186,0.0042388914,0.027404785,0.0138549805,-0.01234436
15h8m6s579ms,9.50354,-0.33650208,0.37953186,0.0042388914,-0.008926392,-9.3078613E-4,0.03866577
15h8m6s653ms,9.50354,-0.33650208,0.37953186,0.0042388914,-0.032669067,0.018249512,-0.04385376
15h8m6s725ms,9.532318,-0.32780457,0.3449402,0.0043670656,-0.16395569,-0.038757324,-0.11328125
15h8m6s802ms,9.532318,-0.32780457,0.3449402,0.0043670656,-0.2414093,-0.16090393,0.025726318
15h8m6s878ms,9.532318,-0.32780457,0.3449402,0.0043670656,-0.14074707,0.2029419,-0.09298706
15h8m6s948ms,9.574524,-0.21716309,0.33691406,0.026052857,-0.20788574,0.03666687,0.08772278
15h8m7s23ms,9.574524,-0.21716309,0.33691406,0.026052857,-0.14707947,-0.26893616,0.122924805
