
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h44m53s686ms,-9.943451,-0.21746826,-0.088256836,10.217468,-0.24168396,-0.09008789,-0.09564209
13h44m53s761ms,-9.943451,-0.21746826,-0.088256836,10.217468,-0.40647888,-0.0849762,0.25827026
13h44m53s831ms,-11.548492,0.019363403,-0.5910797,5.22715,-0.35562134,-0.046707153,-0.37342834
13h44m53s911ms,-11.548492,0.019363403,-0.5910797,5.22715,0.561676,0.4451599,-0.5805969
13h44m53s981ms,-11.548492,0.019363403,-0.5910797,5.22715,0.930954,0.64938354,-0.28250122
13h44m54s55ms,-10.532745,0.152771,-1.4343567,3.5292358,0.9122009,0.6999359,-0.5453186
13h44m54s130ms,-10.532745,0.152771,-1.4343567,3.5292358,0.8738556,0.2960968,-0.11949158
13h44m54s204ms,-10.532745,0.152771,-1.4343567,3.5292358,0.8379059,0.007171631,0.13162231
13h44m54s278ms,-7.224106,-0.7197876,-1.6568909,2.8650665,0.83610535,0.1348877,0.29248047
13h44m54s352ms,-7.224106,-0.7197876,-1.6568909,2.8650665,0.9473572,0.0778656,0.62831116
13h44m54s429ms,-7.224106,-0.7197876,-1.6568909,2.8650665,0.45896912,-0.26635742,0.779129
13h44m54s502ms,-7.7433777,-1.4880829,0.8280487,2.4457123,0.21928406,-0.524353,0.6911926
13h44m54s577ms,-7.7433777,-1.4880829,0.8280487,2.4457123,0.097213745,-0.088378906,0.03239441
13h44m54s648ms,-12.254654,-0.36157227,1.1932983,0.62752074,0.041534424,0.13598633,-0.26036072
13h44m54s728ms,-12.254654,-0.36157227,1.1932983,0.62752074,0.05317688,-0.5260315,-0.0569458
13h44m54s797ms,-12.254654,-0.36157227,1.1932983,0.62752074,0.03164673,0.89959717,0.59783936
13h44m54s871ms,-10.380127,-0.19406128,-0.25138855,0.61365664,0.055252075,0.05369568,-0.098968506
13h44m54s946ms,-10.380127,-0.19406128,-0.25138855,0.61365664,0.03253174,-0.35972595,0.020629883
13h44m55s21ms,-10.380127,-0.19406128,-0.25138855,0.61365664,-0.027359009,-0.011367798,-0.012832642
13h44m55s94ms,-9.975388,-0.19400024,-0.18624878,0.5869873,-0.0066986084,0.0021362305,-0.0053100586
13h44m55s169ms,-9.975388,-0.19400024,-0.18624878,0.5869873,0.009857178,-0.0076446533,-0.0036315918
13h44m55s240ms,-9.975998,-0.17733765,-0.014053345,0.4158081,0.057724,0.022720337,0.03791809
13h44m55s318ms,-9.975998,-0.17733765,-0.014053345,0.4158081,0.020614624,0.002380371,0.0024261475
13h44m55s393ms,-9.975998,-0.17733765,-0.014053345,0.4158081,-0.01020813,-0.089019775,-0.058883667
13h44m55s464ms,-9.903259,-0.12922668,-0.078948975,0.27177125,0.0024108887,0.0071258545,-0.003768921
13h44m55s538ms,-9.903259,-0.12922668,-0.078948975,0.27177125,-2.4414063E-4,9.460449E-4,-0.0034179688
13h44m55s613ms,-9.903259,-0.12922668,-0.078948975,0.27177125,-0.0068511963,-0.004776001,-0.031433105
13h44m55s687ms,-9.9583435,-0.21343994,0.031234741,0.06331177,0.04762268,-0.010437012,-0.03652954
13h44m55s762ms,-9.9583435,-0.21343994,0.031234741,0.06331177,0.427948,-0.01977539,-0.03993225
13h44m55s837ms,-9.9583435,-0.21343994,0.031234741,0.06331177,0.108673096,0.026733398,-0.016998291
13h44m55s910ms,-9.950333,-0.24961853,0.06489563,0.03704529,-0.0048675537,0.015106201,0.0132751465
13h44m55s985ms,-9.950333,-0.24961853,0.06489563,0.03704529,-0.0064086914,0.010925293,0.0013275146
13h44m56s56ms,-9.96347,-0.22102356,0.018951416,0.042752076,-0.004623413,0.010421753,0.004638672
13h44m56s155ms,-9.96347,-0.22102356,0.018951416,0.042752076,-0.005874634,0.005508423,-0.0012817383
13h44m56s208ms,-9.96347,-0.22102356,0.018951416,0.042752076,-0.0035552979,0.003692627,0.002746582
13h44m56s279ms,-9.944702,-0.20979309,0.021835327,0.04166565,-0.0037994385,0.008575439,0.005569458
13h44m56s353ms,-9.944702,-0.20979309,0.021835327,0.04166565,-0.0037994385,0.016708374,0.009399414
13h44m56s432ms,-9.944702,-0.20979309,0.021835327,0.04166565,-0.0024414063,0.0034484863,0.0019226074
13h44m56s502ms,-9.951324,-0.20759583,0.024154663,0.03248291,-0.0018310547,0.0022888184,-0.0022583008
13h44m56s579ms,-9.951324,-0.20759583,0.024154663,0.03248291,-0.0030670166,-0.0063934326,-0.009307861
13h44m56s652ms,-9.964569,-0.2010498,-4.272461E-4,0.016949464,-0.04600525,-0.010879517,-0.02255249
13h44m56s726ms,-9.964569,-0.2010498,-4.272461E-4,0.016949464,0.060958862,0.14891052,0.039916992
13h44m56s801ms,-9.964569,-0.2010498,-4.272461E-4,0.016949464,0.08129883,-0.16207886,-0.18925476
13h44m56s879ms,-11.858261,-0.31188965,0.88931274,0.031881712,-0.44029236,0.9764099,-0.28048706
13h44m56s946ms,-11.858261,-0.31188965,0.88931274,0.031881712,-0.41293335,0.52619934,-0.44026184
13h44m57s25ms,-11.858261,-0.31188965,0.88931274,0.031881712,-0.5298462,-0.1943512,-0.79415894
13h44m57s106ms,-10.028503,-0.9345398,0.9044037,0.15069275,-0.99620056,-0.3985443,-0.840271
13h44m57s170ms,-10.028503,-0.9345398,0.9044037,0.15069275,-1.2765198,-0.18197632,-0.12966919
