
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h24m52s370ms,9.4973755,0.22544861,0.64546204,9.774551,0.14123535,0.2967224,-0.2624817
14h24m52s475ms,9.4973755,0.22544861,0.64546204,9.774551,0.2630005,-0.09223938,-0.17225647
14h24m52s546ms,10.604706,0.6384125,0.8590851,5.0937576,0.17927551,-0.44644165,-0.23666382
14h24m52s592ms,10.604706,0.6384125,0.8590851,5.0937576,-0.06739807,-0.3130951,0.15509033
14h24m52s663ms,9.662506,0.3131256,0.2766571,3.5042675,-0.06085205,-0.5138092,0.012191772
14h24m52s737ms,9.662506,0.3131256,0.2766571,3.5042675,-0.17697144,-0.28427124,-0.4245758
14h24m52s815ms,9.662506,0.3131256,0.2766571,3.5042675,-0.66508484,-0.06758118,0.16352844
14h24m52s886ms,8.379349,-1.7319031,0.17430115,3.1394577,-0.9266815,0.094573975,0.6988983
14h24m52s984ms,8.379349,-1.7319031,0.17430115,3.1394577,-1.0151215,0.009933472,0.6117554
14h24m53s37ms,8.379349,-1.7319031,0.17430115,3.1394577,-1.2162628,0.1973877,0.5285492
14h24m53s108ms,9.379929,-0.901001,0.47148132,2.6777465,-1.2858582,0.23936462,0.31896973
14h24m53s183ms,9.379929,-0.901001,0.47148132,2.6777465,-0.9364929,0.082473755,-0.17591858
14h24m53s258ms,9.379929,-0.901001,0.47148132,2.6777465,-0.6637573,0.027862549,-0.31214905
14h24m53s332ms,9.695526,1.4398804,0.39923096,1.1910126,-0.25073242,-0.14984131,-0.15022278
14h24m53s405ms,9.695526,1.4398804,0.39923096,1.1910126,-0.043380737,0.50920105,-0.048294067
14h24m53s484ms,8.136887,1.3804626,-0.0043640137,1.1203034,-0.026550293,0.44958496,-0.20199585
14h24m53s579ms,8.136887,1.3804626,-0.0043640137,1.1203034,0.088912964,0.3317566,-0.40093994
14h24m53s650ms,8.136887,1.3804626,-0.0043640137,1.1203034,0.18701172,0.19857788,-0.16378784
14h24m53s699ms,10.327225,0.4674225,0.9245453,1.237854,0.15008545,0.19238281,0.10197449
14h24m53s778ms,10.327225,0.4674225,0.9245453,1.237854,-0.0018310547,-0.24880981,0.55677795
14h24m53s852ms,10.327225,0.4674225,0.9245453,1.237854,-0.21047974,-0.058044434,-0.100982666
14h24m53s924ms,10.1406555,-0.1585083,0.77290344,0.95403445,0.15449524,-0.09631348,-0.112350464
