
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
8h37m52s54ms,-9.955139,0.018417358,0.96183777,9.981583,0.0053100586,-0.0025634766,0.0010681152
18h37m52s124ms,-9.939804,0.0231781,0.9756012,4.9931717,0.0050811768,0.00819397,-5.950928E-4
18h37m52s198ms,-9.951416,0.024414063,0.9517822,3.329193,0.0050811768,0.0039367676,-7.9345703E-4
18h37m52s268ms,-9.942551,0.02293396,0.9754486,2.4972649,0.0040130615,-0.0015106201,-0.0016021729
18h37m52s342ms,-9.946365,0.026123047,0.9024048,1.9984497,0.001876831,-0.027008057,-0.0018920898
18h37m52s415ms,-9.934799,0.034088135,0.9711304,0.0037261962,0.013031006,0.0138549805,-0.0048675537
18h37m52s486ms,-9.959732,0.011138916,0.97914124,0.0073638917,0.0013885498,-0.024032593,0.0030975342
18h37m52s559ms,-9.959793,0.017150879,0.9503784,0.008319092,0.012557983,0.01864624,-0.001663208
18h37m52s633ms,-9.937546,0.015304565,0.91477966,0.008392334,0.0029449463,-0.0018463135,0.001083374
18h37m52s705ms,-9.953629,0.015411377,0.9570465,0.007775879,0.0061950684,5.340576E-4,0.002105713
18h37m52s792ms,-9.939621,0.02079773,0.95692444,0.0072601316,0.0040130615,-0.011367798,-5.950928E-4
18h37m52s846ms,-9.98761,-0.008544922,0.9728699,0.008538818,7.324219E-4,0.04725647,0.0090789795
18h37m52s920ms,-11.4240265,0.76763916,1.7046051,0.16257325,0.17233276,0.037368774,0.41534424
18h37m52s991ms,-11.104935,1.1067657,2.4595337,0.2300293,0.34436035,0.18173218,0.473938
18h37m53s64ms,-9.521713,1.6122131,2.8279266,0.33109742,0.8874512,0.0074920654,0.21769714
18h37m53s135ms,-9.071259,1.5991669,1.6677399,0.33262938,0.97906494,-0.021743774,0.023086548
18h37m53s210ms,-8.782074,1.3906708,0.8840332,0.3684601,0.96395874,-0.008163452,-0.0821228
18h37m53s282ms,-8.826767,0.89875793,0.2904358,0.31160584,0.990921,-0.12025452,0.0524292
18h37m53s352ms,-8.818863,0.70536804,1.0023346,0.28245848,0.8204346,0.17695618,-0.5967102
18h37m53s426ms,-9.469009,0.19917297,0.002822876,0.28260803,0.63656616,-0.18411255,-0.023895264
18h37m53s499ms,-10.273956,-0.24299622,0.60650635,0.3684326,0.60887146,0.023468018,-0.1018219
18h37m53s570ms,-9.188705,-0.24186707,-0.26924133,0.32695922,0.4222412,0.10723877,-0.07371521
18h37m53s639ms,-10.447723,-0.29830933,-0.04977417,0.23986511,0.41539,-0.040100098,0.16635132
18h37m53s713ms,-10.182327,-0.12231445,-0.30021667,0.2363861,0.20376587,0.07975769,-0.058166504
18h37m53s786ms,-10.296234,0.03404236,0.13548279,0.16641846,0.16848755,0.029708862,-0.09088135
18h37m53s857ms,-9.461563,0.5406952,0.20553589,0.17931518,0.12838745,0.02798462,-0.13345337
18h37m53s930ms,-10.871002,0.03489685,-0.1478424,0.28024903,-0.06781006,-0.0016784668,-0.055541992
18h37m54s4ms,-9.1465,0.46365356,0.33432007,0.35471192,0.009338379,-0.010116577,-0.19595337
18h37m54s74ms,-10.294785,0.24307251,0.3657837,0.36362916,-0.031234741,0.026443481,-0.1555481
18h37m54s147ms,-9.676193,0.35073853,0.5123291,0.353891,0.015075684,0.0206604,-0.18663025
18h37m54s218ms,-10.21373,0.096969604,0.11816406,0.3033142,-0.029693604,-0.08480835,0.0028686523
18h37m54s292ms,-10.237778,-0.052947998,0.3094635,0.23213807,0.0029449463,-0.06991577,-0.0027313232
18h37m54s365ms,-9.985336,-0.00881958,0.45967102,0.1552124,0.030960083,-0.0035095215,-0.0027313232
18h37m54s436ms,-9.989059,0.011383057,0.45217896,0.11513672,0.035064697,-0.016067505,-0.0037994385
18h37m54s506ms,-9.994522,-0.023864746,0.3543396,0.100653075,0.0043029785,-0.028015137,0.0015411377
18h37m54s579ms,-9.987183,0.01083374,0.55688477,0.05683899,0.039215088,0.06472778,-0.0037994385
18h37m54s652ms,-10.007828,-0.0385437,0.3478241,0.036730956,0.01322937,0.06375122,-2.89917E-4
18h37m54s723ms,-10.002579,-0.03353882,0.20793152,0.02890625,0.002380371,-0.023086548,-7.6293945E-5
18h37m54s806ms,-10.004135,-0.022155762,0.36558533,0.027142335,0.0048217773,0.046798706,-5.950928E-4
18h37m54s870ms,-9.984573,-0.004776001,0.34855652,0.023568725,0.003982544,-0.010147095,-0.0016021729
18h37m54s940ms,-9.983765,-0.016921997,0.30592346,0.019058228,0.0043029785,0.023834229,-5.950928E-4
18h37m55s14ms,-9.998856,-0.010116577,0.2949829,0.010543823,0.0050811768,4.5776367E-4,-1.5258789E-5
18h37m55s84ms,-9.991974,-0.0045166016,0.23062134,0.010662842,0.0050811768,-0.007904053,4.7302246E-4
18h37m55s159ms,-9.992249,-0.008544922,0.32176208,0.009191895,0.007156372,-0.02420044,0.0047302246
18h37m55s232ms,-10.000565,-0.0060577393,0.3426056,0.006213379,0.0040130615,-0.0073394775,4.7302246E-4
18h37m55s302ms,-10.004959,-0.010437012,0.31674194,0.004660034,0.0050811768,0.0033569336,-9.1552734E-5
18h37m55s371ms,-10.132431,-0.3710327,0.3403778,0.07541809,-0.065093994,0.29490662,0.05355835
18h37m55s445ms,-11.3090515,-1.0760803,-0.5735321,0.21530762,-0.12597656,0.8483887,-0.014663696
18h37m55s518ms,-10.946869,-1.3613892,-1.8926392,0.2715637,-0.40545654,0.070236206,0.21772766
18h37m55s589ms,-9.691055,-1.3871918,-2.0916138,0.27622682,-0.7435608,0.18399048,0.30270386
18h37m55s662ms,-8.885605,-0.9260254,-1.6741943,0.36758423,-0.9267731,0.13198853,0.1260376
18h37m55s736ms,-9.173172,-0.27470398,-1.2464294,0.42572936,-1.0802612,0.38417053,0.047714233
18h37m55s806ms,-9.863586,0.1428833,-1.2888031,0.36823732,-1.2176666,3.0517578E-4,-0.06510925
18h37m55s879ms,-9.853561,0.6513519,-0.6559601,0.41286927,-1.1483765,-0.19599915,-0.10942078
18h37m55s949ms,-9.542908,1.1774292,0.42147827,0.5129242,-0.86013794,-0.51535034,0.11167908
18h37m56s24ms,-10.19455,1.132019,0.6442108,0.42977294,-0.6071472,-0.22697449,-0.10914612
18h37m56s97ms,-9.154739,1.4215393,1.3533783,0.35741273,-0.39675903,-0.036102295,-0.13368225
18h37m56s167ms,-9.943512,1.6583099,1.0629883,0.3212494,-0.22885132,-0.15625,-0.07974243
18h37m56s237ms,-9.556427,1.5970459,0.7288971,0.23180847,-0.032546997,-0.16966248,-0.12875366
18h37m56s311ms,-10.238632,1.0960693,0.5492096,0.22678833,0.056610107,-0.1010437,-0.08860779
18h37m56s384ms,-10.473785,0.63157654,0.47317505,0.31060487,0.14794922,0.0423584,0.0017089844
18h37m56s455ms,-10.008774,0.35177612,-0.36756897,0.3086609,0.0056610107,-0.03994751,-0.064086914
18h37m56s528ms,-9.833664,0.14677429,-0.006958008,0.30230713,0.009002686,-0.1533966,-0.08584595
18h37m56s603ms,-10.057724,0.38716125,0.30445862,0.33813173,-0.0064849854,-0.03617859,-0.041778564
18h37m56s673ms,-10.14566,0.53266907,0.25254822,0.26703796,-0.025405884,-0.030181885,-0.033935547
18h37m56s745ms,-10.070679,0.3396454,0.5344391,0.21274415,0.05155945,0.03579712,-0.0680542
18h37m56s815ms,-9.716507,0.2084198,0.5350647,0.18302917,0.058395386,0.013824463,-0.13781738
18h37m56s890ms,-10.300278,0.30410767,-0.081726074,0.16116638,-0.025161743,-0.112976074,-0.056655884
18h37m56s963ms,-9.876846,0.17546082,0.29284668,0.13881835,0.029647827,-0.011306763,-0.118881226
18h37m57s34ms,-10.029221,0.082977295,0.29811096,0.1282135,0.012664795,-0.02355957,-0.071380615
18h37m57s104ms,-10.075058,-0.05342102,0.20124817,0.116888426,-0.028152466,-0.10043335,0.0015411377
18h37m57s177ms,-9.978149,0.03704834,0.5941162,0.108737186,0.018539429,0.034118652,-0.009490967
18h37m57s250ms,-10.0095215,0.0095825195,0.36531067,0.09509277,0.009353638,0.01625061,4.7302246E-4
18h37m57s321ms,-9.997955,0.024108887,0.31539917,0.07226868,0.0040130615,-0.028198242,4.7302246E-4
18h37m57s393ms,-9.9991455,0.020217896,0.4471588,0.05455017,0.0052490234,0.0320282,0.0011901855
18h37m57s468ms,-9.998581,0.026428223,0.38311768,0.028512573,0.014602661,-0.019302368,-0.0026397705
18h37m57s538ms,-9.99733,0.03024292,0.3371582,0.01118164,0.0054473877,-0.0030670166,0.002609253
18h37m57s611ms,-10.005508,-0.0072631836,0.4217224,0.013189698,0.0050811768,0.028305054,-7.7819824E-4
18h37m57s682ms,-9.993469,0.018692017,0.35456848,0.015475464,0.007385254,-0.0028839111,4.7302246E-4
18h37m57s756ms,-9.981506,0.024642944,0.31814575,0.01588745,0.004989624,-0.014343262,0.0014648438
18h37m57s829ms,-9.993561,0.020614624,0.3623047,0.015451049,0.0050811768,-0.0037841797,-2.1362305E-4
18h37m57s900ms,-10.003525,0.029159546,0.36904907,0.016397094,0.004638672,-0.03791809,4.7302246E-4
18h37m57s970ms,-9.996597,0.009963989,0.3774109,0.012734985,-0.02305603,-0.0309906,0.001373291
18h37m58s43ms,-9.99501,0.02128601,0.47947693,0.009808349,0.0059661865,6.5612793E-4,-0.0015716553
18h37m58s116ms,-9.99704,0.001663208,0.1408081,0.012542725,-0.09812927,-0.19300842,0.014404297
18h37m58s186ms,-10.5208435,0.2518463,0.9494324,0.06177368,-0.0041503906,0.3035736,0.20484924
18h37m58s260ms,-11.429184,1.363327,1.806366,0.28236085,0.3611145,0.17720032,0.16873169
18h37m58s334ms,-10.899658,1.9203491,2.7289734,0.38992614,0.7318878,0.08534241,0.36738586
18h37m58s404ms,-9.132462,1.824234,2.6047363,0.40688476,1.128067,-0.1898346,0.25794983
18h37m58s478ms,-7.675186,1.8343811,1.4072571,0.40498963,1.0336761,-0.13790894,0.11933899
18h37m58s548ms,-8.996948,0.87324524,1.2181549,0.5471802,1.3708649,-0.14381409,-0.089401245
18h37m58s622ms,-9.836182,0.14396667,0.9391022,0.47073975,1.0481873,0.1084137,-0.06719971
18h37m58s695ms,-10.428635,-0.25245667,-0.7406616,0.43862,0.7737274,0.019119263,-0.2763977
18h37m58s765ms,-10.308868,-1.1147308,-1.0927887,0.59185183,0.55088806,0.0793457,-0.17016602
18h37m58s835ms,-11.053864,-1.1680603,-1.2976685,0.6004883,0.0769043,0.017715454,-0.041381836
18h37m58s909ms,-9.918198,-0.6205597,-0.7506714,0.51776123,-0.0115356445,-0.0315094,-0.13659668
18h37m58s982ms,-9.78389,-0.4194336,-0.22988892,0.41213074,0.0791626,-0.010803223,-0.12478638
18h37m59s53ms,-9.769409,-0.05026245,-0.3360443,0.4066803,0.007873535,-0.11097717,-0.06037903
18h37m59s126ms,-10.460098,0.017700195,0.06866455,0.247818,0.010665894,0.06542969,-0.11431885
18h37m59s200ms,-9.977005,0.16790771,0.09761047,0.26719362,0.038467407,-0.021865845,-0.051345825
18h37m59s270ms,-10.072922,0.05432129,0.061187744,0.18041077,0.094696045,0.04800415,-0.24813843
18h37m59s343ms,-10.397537,-0.1476593,-0.19813538,0.18058166,0.018356323,0.010528564,0.003540039
18h37m59s414ms,-10.06189,0.015777588,-0.1415863,0.13943481,0.0038757324,-0.053451538,-0.0055236816
18h37m59s488ms,-10.067032,-0.03501892,-0.04043579,0.13600159,5.187988E-4,0.0032806396,-4.4250488E-4
18h37m59s561ms,-9.996597,0.04902649,-0.07022095,0.12276916,-0.0013275146,-0.045654297,-5.950928E-4
18h37m59s632ms,-10.010666,0.015914917,0.14935303,0.106674194,0.011245728,0.078125,-0.0012664795
18h37m59s703ms,-9.995605,-0.036361694,-0.10307312,0.076733395,-0.0015716553,0.01322937,4.7302246E-4
18h37m59s775ms,-10.002411,-0.0743103,-0.04046631,0.051635742,0.0041503906,-0.0038604736,6.2561035E-4
18h37m59s849ms,-10.000214,-0.01399231,0.09486389,0.05354004,0.0044403076,0.14172363,-0.001663208
18h37m59s918ms,-9.9947815,-6.1035156E-4,-0.26104736,0.03940735,0.0029449463,-0.05886841,0.0018615723
18h37m59s992ms,-9.995102,-0.022766113,-0.3410797,0.037216187,0.001876831,-0.21673584,0.0016479492
18h38m0s66ms,-10.019058,-0.011779785,0.44047546,0.02895813,0.006149292,0.24710083,-9.1552734E-4
18h38m0s136ms,-9.99556,-0.00869751,-0.07896423,0.021984864,0.037246704,-0.09362793,-5.950928E-4
18h38m0s209ms,-9.996185,0.024291992,-0.16191101,0.016519165,-2.746582E-4,-0.021896362,0.0015411377
18h38m0s280ms,-10.016785,-0.042907715,-0.23524475,0.027282715,0.0040130615,-0.06034851,0.002609253
18h38m0s354ms,-9.998322,-0.013549805,-0.09222412,0.028723145,0.004501343,-0.07687378,0.0064849854
18h38m0s427ms,-10.00946,-0.16847229,-0.03286743,0.057510376,-0.1842804,-0.23544312,0.1965332
18h38m0s497ms,-11.34584,-1.7879333,-0.5613556,0.38078612,-0.10920715,0.018692017,0.46546936
18h38m0s568ms,-10.273804,-1.775238,-1.6027832,0.37672728,-0.44010925,0.20785522,0.33332825
18h38m0s641ms,-9.569351,-1.539856,-2.290039,0.41036376,-0.914032,0.26620483,0.20899963
18h38m0s714ms,-8.286774,-0.43885803,-1.326294,0.6246918,-1.2225342,0.20599365,-0.24546814
18h38m0s785ms,-9.599014,-0.23703003,-0.8194275,0.6340729,-1.5153351,0.03552246,-0.12779236
18h38m0s858ms,-10.079559,0.35932922,0.9365082,0.4294525,-1.361496,0.044647217,0.0894928
18h38m0s932ms,-10.346359,1.1290131,2.6773682,0.58085024,-0.8046417,2.0188751,-0.08294678
18h38m1s2ms,-9.8749695,1.3532715,2.0576477,0.5786255,-0.59942627,-0.39970398,0.050933838
18h38m1s75ms,-9.570938,2.0542908,0.7407837,0.49862975,-0.32058716,-0.28546143,-0.16201782
18h38m1s146ms,-10.515045,1.7875824,1.2132263,0.51160586,-0.06958008,0.09921265,-0.09463501
18h38m1s219ms,-9.7854,1.2557526,0.27624512,0.49869996,-0.076812744,-0.07714844,-0.10357666
