
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h56m12s148ms,9.542633,-0.14802551,-0.51968384,10.1480255,0.0013427734,7.4768066E-4,-4.4250488E-4
14h56m12s227ms,9.541885,-0.15370178,-0.5232086,5.076851,-5.493164E-4,-0.0013885498,0.001373291
14h56m12s294ms,9.541885,-0.15370178,-0.5232086,5.076851,0.0035552979,0.0029754639,6.2561035E-4
14h56m12s372ms,9.541885,-0.15370178,-0.5232086,5.076851,0.330719,-0.0028381348,-0.010314941
14h56m12s475ms,9.531143,-0.08958435,-0.57928467,3.4059398,-0.08816528,0.2247467,0.34162903
14h56m12s523ms,9.531143,-0.08958435,-0.57928467,3.4059398,0.1000824,-0.43873596,-0.0016326904
14h56m12s588ms,11.369095,0.81521606,-0.69189453,2.780655,0.3094635,-0.55003357,-0.06568909
14h56m12s673ms,11.369095,0.81521606,-0.69189453,2.780655,0.6531677,-0.71398926,-0.12237549
14h56m12s755ms,11.369095,0.81521606,-0.69189453,2.780655,0.9665222,-0.48387146,-0.2581482
14h56m12s812ms,8.881729,1.627945,-0.83625793,2.3870697,1.1933746,-0.18736267,-0.5675659
14h56m12s886ms,8.881729,1.627945,-0.83625793,2.3870697,1.2054596,0.14100647,-0.6070099
14h56m12s999ms,8.881729,1.627945,-0.83625793,2.3870697,1.0614777,0.37765503,-0.46780396
14h56m13s47ms,7.5100403,-0.21510315,-0.7321472,0.7260742,0.8028259,0.5066986,-0.1748352
14h56m13s109ms,7.5100403,-0.21510315,-0.7321472,0.7260742,0.573822,0.64997864,0.16072083
14h56m13s183ms,9.2395935,-1.735672,-0.8564911,1.0290527,0.3322754,0.59498596,-0.0320282
14h56m13s264ms,9.2395935,-1.735672,-0.8564911,1.0290527,-0.00680542,0.23577881,0.2848053
14h56m13s347ms,9.2395935,-1.735672,-0.8564911,1.0290527,-0.047164917,-0.029022217,0.19863892
14h56m13s406ms,10.659103,-0.9895172,-0.46932983,1.1654602,-0.07281494,0.122421265,-0.05319214
14h56m13s520ms,10.659103,-0.9895172,-0.46932983,1.1654602,-0.13781738,-0.23104858,0.097229004
14h56m13s588ms,10.659103,-0.9895172,-0.46932983,1.1654602,-0.13171387,-0.07247925,0.08792114
14h56m13s635ms,9.876068,-0.048477173,-0.46362305,1.1727082,-0.041366577,0.001663208,0.013946533
14h56m13s704ms,9.876068,-0.048477173,-0.46362305,1.1727082,8.8500977E-4,0.027526855,-0.067611694
14h56m13s800ms,9.876068,-0.048477173,-0.46362305,1.1727082,0.0024261475,-0.03881836,0.0016937256
14h56m13s847ms,9.626923,-0.20202637,-0.46421814,1.0408722,-0.0012817383,-0.027389526,0.033233643
14h56m13s922ms,9.626923,-0.20202637,-0.46421814,1.0408722,0.0016479492,0.001876831,-0.00970459
14h56m13s995ms,9.566772,-0.21942139,-0.49464417,0.67574155,9.460449E-4,0.006576538,-0.0090789795
14h56m14s71ms,9.566772,-0.21942139,-0.49464417,0.67574155,-0.0012817383,-0.0055389404,0.009307861
14h56m14s146ms,9.566772,-0.21942139,-0.49464417,0.67574155,0.0011901855,0.0029144287,-0.0029296875
14h56m14s222ms,9.546082,-0.22221375,-0.49386597,0.37218627,-2.1362305E-4,-0.0029296875,0.0019989014
14h56m14s295ms,9.546082,-0.22221375,-0.49386597,0.37218627,3.9672852E-4,5.187988E-4,-0.0018920898
14h56m14s387ms,9.546082,-0.22221375,-0.49386597,0.37218627,-2.1362305E-4,7.4768066E-4,-0.0015106201
14h56m14s443ms,9.549271,-0.21304321,-0.49723816,0.22478943,6.1035156E-4,-0.0016326904,9.918213E-4
14h56m14s517ms,9.549271,-0.21304321,-0.49723816,0.22478943,2.593994E-4,0.0013275146,7.4768066E-4
14h56m14s590ms,9.544388,-0.21224976,-0.49188232,0.036740113,1.5258789E-4,7.4768066E-4,6.2561035E-4
14h56m14s662ms,9.544388,-0.21224976,-0.49188232,0.036740113,-2.1362305E-4,-0.0013885498,0.0027618408
14h56m14s741ms,9.544388,-0.21224976,-0.49188232,0.036740113,-0.0011901855,0.0027770996,-0.0025787354
14h56m14s813ms,9.540649,-0.21209717,-0.49467468,0.006060791,5.187988E-4,-3.2043457E-4,-1.0681152E-4
14h56m14s891ms,9.540649,-0.21209717,-0.49467468,0.006060791,-0.0012817383,7.4768066E-4,-0.0010070801
14h56m14s960ms,9.540649,-0.21209717,-0.49467468,0.006060791,-2.1362305E-4,0.0018157959,3.6621094E-4
14h56m15s33ms,9.547806,-0.21806335,-0.48634338,0.0037750243,8.239746E-4,-0.0024414063,6.2561035E-4
14h56m15s114ms,9.547806,-0.21806335,-0.48634338,0.0037750243,-2.1362305E-4,0.0028839111,-0.002380371
14h56m15s185ms,9.547806,-0.21806335,-0.48634338,0.0037750243,-6.5612793E-4,-0.002029419,0.0016937256
14h56m15s259ms,9.551239,-0.21580505,-0.49465942,0.0036682128,-6.2561035E-4,7.4768066E-4,2.2888184E-4
14h56m15s331ms,9.551239,-0.21580505,-0.49465942,0.0036682128,-6.1035156E-5,7.4768066E-4,0.0016937256
14h56m15s407ms,9.5433655,-0.21464539,-0.4915619,0.00206604,0.0018615723,-2.746582E-4,6.2561035E-4
14h56m15s480ms,9.5433655,-0.21464539,-0.4915619,0.00206604,-2.1362305E-4,0.0022888184,-0.0019836426
14h56m15s592ms,9.5433655,-0.21464539,-0.4915619,0.00206604,-7.6293945E-4,-0.0014038086,6.2561035E-4
14h56m15s663ms,9.556747,-0.2503357,-0.5879364,0.00904541,-0.34387207,-0.046966553,0.054153442
14h56m15s713ms,9.556747,-0.2503357,-0.5879364,0.00904541,0.076049805,0.09788513,-0.065338135
14h56m15s778ms,9.556747,-0.2503357,-0.5879364,0.00904541,-0.016540527,0.5248871,-0.3449707
14h56m15s848ms,10.509171,-0.39483643,-0.35012817,0.03791504,-0.20332336,-0.5066986,-0.38893127
14h56m15s923ms,10.509171,-0.39483643,-0.35012817,0.03791504,-0.72979736,-0.8012543,0.13786316
14h56m15s997ms,11.203308,-2.0766144,-0.7141876,0.3730774,-0.9805145,-0.661911,0.338974
14h56m16s71ms,11.203308,-2.0766144,-0.7141876,0.3730774,-1.0395508,-0.40386963,0.35636902
14h56m16s150ms,11.203308,-2.0766144,-0.7141876,0.3730774,-1.3284149,-0.3861084,0.68873596
14h56m16s219ms,6.909134,-1.0619507,-0.8703003,0.5755585,-1.1728973,0.18360901,0.541626
14h56m16s293ms,6.909134,-1.0619507,-0.8703003,0.5755585,-1.140274,0.66622925,0.36050415
14h56m16s368ms,6.909134,-1.0619507,-0.8703003,0.5755585,-0.9604492,0.53338623,0.22993469
14h56m16s443ms,7.2852325,0.6134186,-0.4688568,0.9104004,-0.60128784,0.87039185,-0.017913818
14h56m16s517ms,7.2852325,0.6134186,-0.4688568,0.9104004,-0.39463806,0.5420685,-0.10884094
14h56m16s592ms,7.2852325,0.6134186,-0.4688568,0.9104004,-0.10845947,0.13623047,-0.17079163
14h56m16s682ms,11.205765,1.0599365,0.12612915,0.99256593,-0.036315918,0.09686279,-0.29737854
14h56m16s736ms,11.205765,1.0599365,0.12612915,0.99256593,-0.12863159,-0.028015137,-0.076660156
14h56m16s810ms,9.969223,-0.010635376,0.08454895,1.1777802,7.324219E-4,-0.3230133,-0.0064086914
14h56m16s887ms,9.969223,-0.010635376,0.08454895,1.1777802,-0.04045105,-0.18301392,0.020248413
14h56m16s968ms,9.969223,-0.010635376,0.08454895,1.1777802,-0.14790344,-0.1351471,-0.110321045
14h56m17s62ms,9.796585,-0.16877747,-0.35205078,0.87305295,0.0090789795,0.07180786,-0.054122925
14h56m17s117ms,9.796585,-0.16877747,-0.35205078,0.87305295,0.0017852783,-0.01071167,-0.0010681152
14h56m17s193ms,9.796585,-0.16877747,-0.35205078,0.87305295,-0.005874634,-0.05769348,0.06594849
14h56m17s257ms,9.538101,-0.12657166,-0.4733734,0.6785614,-0.0028686523,0.0056610107,-0.008087158
14h56m17s331ms,9.538101,-0.12657166,-0.4733734,0.6785614,6.1035156E-5,0.013183594,-0.013671875
14h56m17s406ms,9.542358,-0.13127136,-0.48091125,0.3444275,-0.0012207031,-0.015090942,0.015457153
14h56m17s494ms,9.542358,-0.13127136,-0.48091125,0.3444275,0.0015716553,0.010360718,-0.011291504
14h56m17s556ms,9.542358,-0.13127136,-0.48091125,0.3444275,-0.0015411377,-0.008621216,0.0053100586
14h56m17s625ms,9.550613,-0.13330078,-0.48028564,0.2555298,-2.1362305E-4,0.0017700195,-1.9836426E-4
14h56m17s700ms,9.550613,-0.13330078,-0.48028564,0.2555298,-9.0026855E-4,-0.002746582,0.0013122559
14h56m17s777ms,9.550613,-0.13330078,-0.48028564,0.2555298,-2.1362305E-4,0.0018920898,-5.187988E-4
14h56m17s849ms,9.543808,-0.13772583,-0.47531128,0.042300414,3.2043457E-4,-0.001663208,3.5095215E-4
14h56m17s956ms,9.543808,-0.13772583,-0.47531128,0.042300414,7.7819824E-4,0.0011749268,-0.0019989014
14h56m18s18ms,9.543808,-0.13772583,-0.47531128,0.042300414,-9.613037E-4,-0.0010681152,0.0010528564
14h56m18s75ms,9.552124,-0.13887024,-0.4805298,0.010900879,-4.5776367E-5,6.5612793E-4,-4.4250488E-4
14h56m18s146ms,9.552124,-0.13887024,-0.4805298,0.010900879,-2.1362305E-4,-0.002456665,-1.5258789E-4
14h56m18s256ms,9.549881,-0.13595581,-0.47898865,0.0030426024,-0.0012817383,0.0028839111,-0.0015106201
14h56m18s314ms,9.549881,-0.13595581,-0.47898865,0.0030426024,3.8146973E-4,-0.0013885498,0.0016937256
14h56m18s370ms,9.549881,-0.13595581,-0.47898865,0.0030426024,-8.392334E-4,0.0015869141,-0.0023498535
14h56m18s440ms,9.543701,-0.13700867,-0.47781372,0.0023132325,8.544922E-4,-3.2043457E-4,-4.4250488E-4
14h56m18s516ms,9.543701,-0.13700867,-0.47781372,0.0023132325,3.8146973E-4,7.4768066E-4,3.9672852E-4
14h56m18s591ms,9.543701,-0.13700867,-0.47781372,0.0023132325,-2.1362305E-4,1.5258789E-4,6.2561035E-4
14h56m18s663ms,9.550629,-0.13760376,-0.47937012,0.0020263672,-2.1362305E-4,-3.2043457E-4,2.593994E-4
14h56m18s739ms,9.550629,-0.13760376,-0.47937012,0.0020263672,8.544922E-4,6.1035156E-4,5.0354004E-4
14h56m18s824ms,9.550629,-0.13760376,-0.47937012,0.0020263672,8.544922E-4,7.4768066E-4,-4.4250488E-4
14h56m18s885ms,9.549973,-0.1355896,-0.49931335,0.0015441894,-2.1362305E-4,0.010360718,-0.011123657
14h56m18s959ms,9.549973,-0.1355896,-0.49931335,0.0015441894,0.10597229,0.092300415,-0.15040588
14h56m19s32ms,9.66452,-0.01902771,-0.6316986,0.024627686,0.11705017,0.7079468,-0.080093384
14h56m19s107ms,9.66452,-0.01902771,-0.6316986,0.024627686,0.27674866,-0.46647644,0.32130432
14h56m19s183ms,9.66452,-0.01902771,-0.6316986,0.024627686,0.69189453,-0.7431488,0.0033569336
14h56m19s296ms,12.443344,1.7723389,-0.64682007,0.3823181,1.0329895,-0.84658813,-0.16233826
14h56m19s365ms,12.443344,1.7723389,-0.64682007,0.3823181,1.1473541,-0.7181244,-0.10710144
14h56m19s412ms,12.443344,1.7723389,-0.64682007,0.3823181,1.2528839,-0.55867004,-0.20555115
14h56m19s479ms,7.929199,1.0586853,-0.28512573,0.52483827,1.2295074,-0.26997375,-0.20147705
14h56m19s584ms,7.929199,1.0586853,-0.28512573,0.52483827,1.2370911,0.31263733,-0.40950012
14h56m19s646ms,6.7492065,-0.72506714,-1.0349426,0.8814697,1.055603,0.6914215,-0.62680054
14h56m19s699ms,6.7492065,-0.72506714,-1.0349426,0.8814697,0.7232971,0.8596344,-0.20561218
14h56m19s792ms,6.7492065,-0.72506714,-1.0349426,0.8814697,0.36990356,0.7864075,0.22955322
14h56m19s886ms,8.948196,-2.1694946,-1.1417236,1.1699524,0.19895935,0.49723816,0.22442627
14h56m19s935ms,8.948196,-2.1694946,-1.1417236,1.1699524,0.09751892,0.3374176,0.042938232
14h56m19s996ms,8.948196,-2.1694946,-1.1417236,1.1699524,-0.03060913,0.13867188,0.025314331
14h56m20s85ms,10.769928,-1.2818298,-0.53071594,1.324173,-0.07028198,0.03236389,0.016479492
14h56m20s154ms,10.769928,-1.2818298,-0.53071594,1.324173,-0.041793823,-9.918213E-4,-0.047561646
14h56m20s219ms,10.769928,-1.2818298,-0.53071594,1.324173,-0.06932068,-0.21575928,-0.12226868
14h56m20s294ms,9.95874,-0.5952759,-0.5024414,1.1032104,-0.04425049,-0.059005737,-0.04623413
14h56m20s393ms,9.95874,-0.5952759,-0.5024414,1.1032104,-0.009490967,-0.05908203,0.0712738
14h56m20s445ms,9.691711,-0.21923828,-0.35229492,1.0356872,-0.0067596436,-0.002746582,-6.713867E-4
14h56m20s516ms,9.691711,-0.21923828,-0.35229492,1.0356872,0.0026245117,0.04324341,-0.043289185
14h56m20s630ms,9.691711,-0.21923828,-0.35229492,1.0356872,-0.0016479492,-0.02168274,0.027313232
14h56m20s691ms,9.545471,-0.21603394,-0.52388,0.67957765,-6.2561035E-4,-3.0517578E-4,-0.0014343262
14h56m20s740ms,9.545471,-0.21603394,-0.52388,0.67957765,0.0013580322,0.0032958984,-0.005432129
14h56m20s810ms,9.545471,-0.21603394,-0.52388,0.67957765,-0.0012817383,-0.004699707,0.0060424805
14h56m20s886ms,9.541321,-0.21160889,-0.5379791,0.39157715,0.0025634766,0.007797241,-0.009216309
14h56m20s959ms,9.541321,-0.21160889,-0.5379791,0.39157715,-8.544922E-4,-0.007797241,0.008300781
14h56m21s33ms,9.545502,-0.20417786,-0.53497314,0.2155304,8.544922E-4,0.0056915283,-0.005783081
14h56m21s131ms,9.545502,-0.20417786,-0.53497314,0.2155304,-0.0023498535,-0.0053710938,0.007675171
14h56m21s207ms,9.545502,-0.20417786,-0.53497314,0.2155304,-1.373291E-4,0.0021209717,-7.4768066E-4
14h56m21s264ms,9.552948,-0.2099762,-0.5411835,0.079379275,-9.765625E-4,-0.002029419,1.9836426E-4
14h56m21s330ms,9.552948,-0.2099762,-0.5411835,0.079379275,-7.324219E-4,0.0018615723,-0.0016479492
14h56m21s404ms,9.552948,-0.2099762,-0.5411835,0.079379275,-5.0354004E-4,-0.0013580322,5.950928E-4
14h56m21s474ms,9.550018,-0.20680237,-0.5359955,0.0048065186,7.4768066E-4,-0.0056152344,0.0039367676
14h56m21s553ms,9.550018,-0.20680237,-0.5359955,0.0048065186,6.5612793E-4,0.0035705566,-0.004714966
14h56m21s630ms,9.550018,-0.20680237,-0.5359955,0.0048065186,-8.544922E-4,-0.0056610107,0.003616333
14h56m21s704ms,9.53978,-0.20674133,-0.5369873,0.0041778563,0.001083374,0.007156372,-0.005126953
14h56m21s773ms,9.53978,-0.20674133,-0.5369873,0.0041778563,-0.0012817383,-0.004776001,0.005264282
14h56m21s848ms,9.553162,-0.21453857,-0.53959656,0.004852295,-1.6784668E-4,0.0028839111,-0.005722046
14h56m21s949ms,9.553162,-0.21453857,-0.53959656,0.004852295,-0.0012817383,-0.002456665,0.0030517578
14h56m22s4ms,9.553162,-0.21453857,-0.53959656,0.004852295,-7.4768066E-4,1.9836426E-4,-0.0025787354
14h56m22s69ms,9.544769,-0.20573425,-0.5387573,0.005126953,8.544922E-4,2.746582E-4,3.3569336E-4
14h56m22s179ms,9.544769,-0.20573425,-0.5387573,0.005126953,-1.5258789E-4,0.0048828125,-5.0354004E-4
14h56m22s228ms,9.544769,-0.20573425,-0.5387573,0.005126953,-0.0115356445,-0.011001587,0.011627197
14h56m22s292ms,9.541,-0.19146729,-0.55451965,0.0068206787,0.117248535,-0.035598755,0.04043579
14h56m22s366ms,9.541,-0.19146729,-0.55451965,0.0068206787,-0.08906555,0.68214417,0.031600952
14h56m22s490ms,11.477875,-0.5461426,-0.5025635,0.077120975,-0.06385803,-0.5723419,-0.11352539
14h56m22s529ms,11.477875,-0.5461426,-0.5025635,0.077120975,-0.4098053,-0.53811646,-0.19638062
14h56m22s590ms,11.477875,-0.5461426,-0.5025635,0.077120975,-0.74339294,-0.80381775,0.11332703
14h56m22s678ms,10.173798,-2.2506409,-0.80947876,0.41800842,-0.92453,-0.8082123,0.11929321
14h56m22s756ms,10.173798,-2.2506409,-0.80947876,0.41800842,-1.2378693,-0.5184021,0.4945221
14h56m22s809ms,10.173798,-2.2506409,-0.80947876,0.41800842,-1.2890015,0.09854126,0.7170105
14h56m22s883ms,6.154297,-1.3005066,-1.0482178,0.60647583,-1.1158142,0.4304657,0.5381317
14h56m22s958ms,6.154297,-1.3005066,-1.0482178,0.60647583,-1.0398407,0.69992065,0.55140686
14h56m23s42ms,6.154297,-1.3005066,-1.0482178,0.60647583,-0.6602783,0.6748047,0.21290588
14h56m23s106ms,8.106018,0.47047424,-0.78796387,0.9589111,-0.55763245,0.60479736,-0.11582947
14h56m23s180ms,8.106018,0.47047424,-0.78796387,0.9589111,-0.3656006,0.4119873,-0.37417603
14h56m23s289ms,10.88446,0.96847534,-0.30296326,1.055658,-0.075912476,0.1933136,-0.31185913
14h56m23s338ms,10.88446,0.96847534,-0.30296326,1.055658,-0.027557373,-0.07376099,-0.29896545
