
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h24m11s616ms,0.25202942,11.602875,-1.2171936,1.6028748,-0.13891602,-0.12728882,-0.5287018
13h24m11s690ms,0.25202942,11.602875,-1.2171936,1.6028748,0.08052063,-0.4388275,-0.30715942
13h24m11s760ms,0.25202942,11.602875,-1.2171936,1.6028748,0.44239807,-0.66773987,0.29882813
13h24m11s831ms,-0.40914917,7.8785553,-2.3391266,2.663597,0.5651398,-1.0381317,0.4328003
13h24m11s897ms,-0.40914917,7.8785553,-2.3391266,2.663597,-0.035827637,-0.73405457,0.6769867
13h24m11s972ms,0.039642334,8.13829,0.88375854,1.8623098,0.105041504,-0.9055786,0.46748352
13h24m12s44ms,0.039642334,8.13829,0.88375854,1.8623098,-0.3786621,-0.48358154,0.43255615
13h24m12s121ms,0.039642334,8.13829,0.88375854,1.8623098,-0.31610107,-0.38934326,0.4068756
13h24m12s192ms,0.6334381,10.320084,1.3220367,1.9421806,-0.2693634,-0.090789795,0.21343994
13h24m12s266ms,0.6334381,10.320084,1.3220367,1.9421806,0.06819153,-0.0463562,-0.003982544
13h24m12s341ms,0.6334381,10.320084,1.3220367,1.9421806,0.2409668,-0.053970337,-0.24264526
13h24m12s414ms,0.86183167,9.369064,0.45089722,1.7439483,0.09742737,-0.0016174316,-0.19554138
13h24m12s490ms,0.86183167,9.369064,0.45089722,1.7439483,-0.076171875,0.017486572,-0.26309204
13h24m12s565ms,0.86183167,9.369064,0.45089722,1.7439483,-0.102371216,0.12715149,-0.2107544
13h24m12s638ms,0.53733826,9.598938,-0.4356537,1.4693482,-0.030273438,0.007965088,-0.11305237
13h24m12s712ms,0.53733826,9.598938,-0.4356537,1.4693482,0.009841919,0.014434814,-0.08230591
13h24m12s784ms,0.19683838,9.623596,-0.09509277,0.7294159,0.006439209,1.9836426E-4,-0.08091736
13h24m12s862ms,0.19683838,9.623596,-0.09509277,0.7294159,0.002380371,-0.014587402,-0.103271484
13h24m12s937ms,0.19683838,9.623596,-0.09509277,0.7294159,-0.0014801025,-0.0021820068,-0.068099976
13h24m13s8ms,0.006652832,9.617645,-0.13754272,0.6786591,-0.006591797,-0.0057525635,-0.0073394775
13h24m13s82ms,0.006652832,9.617645,-0.13754272,0.6786591,-0.053329468,-0.0016021729,-0.039855957
13h24m13s157ms,0.006652832,9.617645,-0.13754272,0.6786591,-0.027557373,0.0011901855,-0.022964478
13h24m13s230ms,-0.026321411,9.625397,-0.09475708,0.24385071,-0.010391235,0.0014648438,-0.006210327
13h24m13s306ms,-0.026321411,9.625397,-0.09475708,0.24385071,0.003540039,2.746582E-4,0.0023956299
13h24m13s381ms,-0.026321411,9.625397,-0.09475708,0.24385071,0.0017089844,0.0017852783,-1.5258789E-4
13h24m13s454ms,-0.046707153,9.625656,-0.05253601,0.05369873,2.2888184E-4,0.0036010742,-0.0013427734
13h24m13s529ms,-0.046707153,9.625656,-0.05253601,0.05369873,-0.0026397705,0.0018005371,6.1035156E-4
13h24m13s599ms,-0.056167603,9.625687,-0.058044434,0.0077301026,0.0014343262,0.002532959,0.0013275146
13h24m13s677ms,-0.056167603,9.625687,-0.058044434,0.0077301026,1.6784668E-4,0.0036010742,-0.0017700195
13h24m13s752ms,-0.056167603,9.625687,-0.058044434,0.0077301026,-0.0019073486,-4.272461E-4,1.5258789E-5
13h24m13s823ms,-0.05757141,9.621063,-0.048843384,0.0037231445,-0.0023498535,0.0010223389,-0.0016784668
13h24m13s898ms,-0.05757141,9.621063,-0.048843384,0.0037231445,-0.0019073486,0.001663208,-0.0029449463
13h24m13s972ms,-0.05757141,9.621063,-0.048843384,0.0037231445,0.010681152,0.0031433105,0.0053863525
13h24m14s45ms,-0.060256958,9.616699,-0.055389404,0.0034057617,0.08029175,0.018707275,0.060028076
13h24m14s121ms,-0.060256958,9.616699,-0.055389404,0.0034057617,-0.13728333,-0.37001038,0.53897095
13h24m14s195ms,0.36994934,11.211075,0.26327515,0.3207306,0.2533722,-0.14465332,-0.4778595
13h24m14s269ms,0.36994934,11.211075,0.26327515,0.3207306,-0.35917664,0.41142273,-1.0213318
13h24m14s344ms,0.36994934,11.211075,0.26327515,0.3207306,-0.06713867,1.0775604,-0.35299683
13h24m14s414ms,-0.19812012,9.238678,3.6786346,0.7151581,-0.3964386,2.0651398,-0.32429504
13h24m14s500ms,-0.19812012,9.238678,3.6786346,0.7151581,0.011367798,1.4943848,0.3610077
13h24m14s570ms,-0.19812012,9.238678,3.6786346,0.7151581,0.20199585,0.7724304,0.68208313
13h24m14s642ms,-0.48667908,6.7075653,-1.9611206,1.2213745,-0.14863586,0.9259033,0.7498779
13h24m14s717ms,-0.48667908,6.7075653,-1.9611206,1.2213745,0.06828308,-0.07841492,0.41038513
13h24m14s794ms,0.93447876,10.224152,-2.4703064,1.9237671,-0.097457886,0.08995056,0.43276978
13h24m14s869ms,0.93447876,10.224152,-2.4703064,1.9237671,0.09109497,-0.119400024,0.30049133
13h24m14s940ms,0.93447876,10.224152,-2.4703064,1.9237671,-0.071777344,0.058761597,-0.628952
13h24m15s11ms,0.9049225,9.899261,-0.104888916,1.9878724,0.22988892,-0.0370636,-0.0014343262
13h24m15s86ms,0.9049225,9.899261,-0.104888916,1.9878724,0.33868408,0.010513306,-0.24935913
13h24m15s161ms,0.9049225,9.899261,-0.104888916,1.9878724,-0.03593445,-0.07116699,-0.22389221
13h24m15s234ms,0.7436218,9.559189,-0.46003723,1.7370117,-0.11164856,-0.024032593,-0.1656189
13h24m15s310ms,0.7436218,9.559189,-0.46003723,1.7370117,-0.08314514,0.03755188,-0.08270264
13h24m15s384ms,0.7436218,9.559189,-0.46003723,1.7370117,-0.09831238,-0.0024414063,-0.05569458
13h24m15s458ms,0.17292786,9.605316,-0.35897827,1.3517578,-0.04273987,-0.02557373,-0.088394165
13h24m15s532ms,0.17292786,9.605316,-0.35897827,1.3517578,-0.10310364,-0.029312134,-0.029724121
13h24m15s603ms,0.13217163,9.620529,-0.13763428,0.84857786,-0.0126953125,0.035827637,-0.068862915
13h24m15s684ms,0.13217163,9.620529,-0.13763428,0.84857786,-0.07537842,0.004562378,-0.071395874
13h24m15s756ms,0.13217163,9.620529,-0.13763428,0.84857786,-0.08079529,0.027374268,-0.044906616
13h24m15s828ms,0.021209717,9.630737,-0.053115845,0.14730224,0.04421997,0.01675415,-0.043670654
13h24m15s903ms,0.021209717,9.630737,-0.053115845,0.14730224,3.6621094E-4,0.08496094,-0.015380859
13h24m15s976ms,0.021209717,9.630737,-0.053115845,0.14730224,-0.008483887,0.015579224,-0.0050811768
13h24m16s51ms,-0.090423584,9.62352,-0.07548523,0.0837677,-0.0018920898,0.0014343262,-0.007171631
13h24m16s126ms,-0.090423584,9.62352,-0.07548523,0.0837677,-0.0032196045,-6.713867E-4,-0.0029449463
13h24m16s201ms,-0.090423584,9.62352,-0.07548523,0.0837677,-0.004470825,3.9672852E-4,0.0015563965
13h24m16s273ms,-0.061660767,9.623871,-0.044906616,0.015823364,-0.0076904297,0.0040283203,-0.007843018
13h24m16s348ms,-0.061660767,9.623871,-0.044906616,0.015823364,-0.007247925,-0.0023498535,-0.0095825195
13h24m16s418ms,-0.07670593,9.623093,-0.03164673,0.00675354,1.2207031E-4,-0.006942749,-8.087158E-4
13h24m16s499ms,-0.07670593,9.623093,-0.03164673,0.00675354,-0.012435913,0.004196167,-0.0052337646
13h24m16s571ms,-0.07670593,9.623093,-0.03164673,0.00675354,-1.2207031E-4,0.0014648438,-0.0040130615
13h24m16s642ms,-0.083847046,9.619446,-0.02633667,0.0044403076,0.0039367676,0.002532959,7.7819824E-4
13h24m16s717ms,-0.083847046,9.619446,-0.02633667,0.0044403076,0.0049438477,0.0068359375,0.003616333
13h24m16s801ms,-0.083847046,9.619446,-0.02633667,0.0044403076,0.022323608,0.18507385,0.014434814
13h24m16s866ms,-0.123428345,9.632919,0.049957275,0.0050933836,0.23432922,0.26837158,0.5022583
13h24m16s941ms,-0.123428345,9.632919,0.049957275,0.0050933836,0.28216553,0.24757385,-0.5939026
13h24m17s14ms,0.72413635,11.653046,-2.3971252,0.40767518,-0.0034637451,-0.7055969,-0.68344116
13h24m17s88ms,0.72413635,11.653046,-2.3971252,0.40767518,-0.095840454,-0.86639404,-0.4346466
13h24m17s163ms,0.72413635,11.653046,-2.3971252,0.40767518,0.31307983,-1.4075317,-0.11244202
13h24m17s238ms,-0.12991333,7.314804,-1.8679352,1.2752533,0.34794617,-1.2610474,0.32650757
13h24m17s312ms,-0.12991333,7.314804,-1.8679352,1.2752533,0.16366577,-1.314743,0.5556793
13h24m17s389ms,-0.12991333,7.314804,-1.8679352,1.2752533,0.06008911,-1.0449371,0.59669495
13h24m17s464ms,-0.14511108,8.439865,1.0144196,1.5001099,-0.4439392,-0.5778656,0.45924377
13h24m17s532ms,-0.14511108,8.439865,1.0144196,1.5001099,-0.28321838,-0.20431519,0.30387878
13h24m17s607ms,-0.14511108,8.439865,1.0144196,1.5001099,0.100860596,0.100738525,0.16963196
13h24m17s682ms,0.41131592,10.44574,2.2606964,1.9005554,-0.040542603,0.23768616,0.15187073
13h24m17s756ms,0.41131592,10.44574,2.2606964,1.9005554,-0.0043945313,-0.016571045,-0.040771484
13h24m17s829ms,0.5839844,8.868469,-0.40986633,2.2133148,0.11338806,0.07090759,-0.2192688
13h24m17s904ms,0.5839844,8.868469,-0.40986633,2.2133148,-0.057235718,0.09971619,-0.18289185
13h24m17s978ms,0.5839844,8.868469,-0.40986633,2.2133148,-0.21569824,-0.05683899,-0.11616516
