
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
0h28m57s745ms,-0.07852173,9.783829,-0.39082336,0.21617126,-8.69751E-4,3.0517578E-4,-0.0018615723
10h28m57s820ms,-0.07287598,9.784409,-0.39927673,0.10837555,-6.713867E-4,-0.0021209717,-5.0354004E-4
10h28m57s893ms,-0.07287598,9.784409,-0.39927673,0.072250366,9.1552734E-4,-0.0010986328,-0.0014038086
10h28m57s970ms,-0.07287598,9.784409,-0.39927673,0.054187775,-9.3078613E-4,-0.0013122559,8.239746E-4
10h28m58s42ms,-0.07623291,9.790588,-0.4053955,0.04458618,0.0018005371,-0.0015716553,-6.4086914E-4
10h28m58s117ms,-0.07623291,9.790588,-0.4053955,0.0013519287,9.0026855E-4,7.9345703E-4,-0.0030059814
10h28m58s192ms,-0.07623291,9.790588,-0.4053955,0.0012359619,-0.001953125,0.25810242,0.015808105
10h28m58s264ms,-0.15487671,9.790314,-0.3955536,0.0012908935,0.20167542,0.38763428,0.25798035
10h28m58s338ms,-0.15487671,9.790314,-0.3955536,0.0012908935,0.77490234,-0.6451416,0.62802124
10h28m58s416ms,-0.15487671,9.790314,-0.3955536,5.493164E-5,-0.91160583,-0.39204407,-0.7575531
10h28m58s487ms,0.2558899,10.992004,-2.8855286,0.24039307,-0.030151367,-1.2831726,-0.5489502
10h28m58s562ms,0.2558899,10.992004,-2.8855286,0.24039307,0.74305725,-1.3400421,-0.04244995
10h28m58s635ms,-0.727478,9.102386,-1.5869751,0.6182617,-0.16525269,-0.94618225,-0.50465393
10h28m58s710ms,-0.727478,9.102386,-1.5869751,0.6182617,1.0026855,-1.3763275,0.46240234
10h28m58s784ms,-0.727478,9.102386,-1.5869751,0.6182617,-0.66922,-0.83924866,-0.20802307
10h28m58s856ms,0.22625732,8.791901,-1.767807,0.44002074,-0.20710754,-1.3226013,-0.15722656
10h28m58s934ms,0.22625732,8.791901,-1.767807,0.44002074,-0.061782837,-0.55210876,0.17285156
10h28m59s9ms,0.22625732,8.791901,-1.767807,0.06209717,0.06298828,-0.36802673,0.29881287
10h28m59s80ms,-0.39775085,9.034927,1.1295471,0.110702515,-0.10797119,-0.14324951,0.37361145
10h28m59s155ms,-0.39775085,9.034927,1.1295471,0.110702515,0.03541565,-0.04359436,0.22955322
10h28m59s228ms,-0.51268005,9.804718,0.3415985,0.20256348,0.32713318,-0.045715332,0.641098
10h28m59s302ms,-0.51268005,9.804718,0.3415985,0.20256348,-1.8853607,-0.014755249,-1.1418304
10h28m59s379ms,-0.51268005,9.804718,0.3415985,0.20256348,-0.04373169,-0.08692932,0.008361816
10h28m59s452ms,-0.09265137,9.836044,0.37812805,0.1602234,0.41410828,-0.15943909,-0.032989502
10h28m59s527ms,-0.09265137,9.836044,0.37812805,0.1602234,0.0592041,-0.04437256,-0.008468628
10h28m59s601ms,-0.09265137,9.836044,0.37812805,0.006265259,-0.013000488,-0.0013427734,-2.1362305E-4
10h28m59s676ms,0.028030396,9.845856,-0.25868225,0.008227539,-0.0039367676,0.0016174316,-0.0025787354
10h28m59s747ms,0.028030396,9.845856,-0.25868225,0.008227539,-0.012619019,-0.0014038086,-2.1362305E-4
10h28m59s825ms,0.028030396,9.845856,-0.25868225,0.0019622804,-0.016464233,-1.5258789E-4,7.324219E-4
10h28m59s897ms,-0.09918213,9.795319,-0.44451904,0.012069702,-0.00630188,3.0517578E-4,-6.866455E-4
10h28m59s972ms,-0.09918213,9.795319,-0.44451904,0.012069702,-0.009384155,0.015274048,9.918213E-4
10h29m0s46ms,-0.09375,9.779633,-0.4221344,0.013244629,0.0062713623,3.6621094E-4,-6.2561035E-4
10h29m0s119ms,-0.09375,9.779633,-0.4221344,0.013244629,0.0046081543,5.493164E-4,-0.002105713
10h29m0s195ms,-0.09375,9.779633,-0.4221344,0.013244629,0.0016479492,-1.0681152E-4,-0.0033569336
10h29m0s269ms,-0.08415222,9.7939,-0.36038208,0.0059906007,0.043380737,0.04927063,0.0045166016
10h29m0s343ms,-0.08415222,9.7939,-0.36038208,0.0059906007,0.57162476,0.6421814,-0.20117188
10h29m0s418ms,-0.08415222,9.7939,-0.36038208,0.0028533936,-0.21844482,0.5061035,-0.6945038
10h29m0s493ms,0.51368713,11.68454,0.59924316,0.38098145,-0.24836731,0.7002106,-0.40544128
10h29m0s564ms,0.51368713,11.68454,0.59924316,0.38098145,-0.11642456,0.94296265,0.121658325
10h29m0s637ms,-0.0970459,8.256363,0.7132721,1.0637634,-0.239151,0.868454,0.012786865
10h29m0s713ms,-0.0970459,8.256363,0.7132721,1.0637634,-0.23826599,0.79981995,0.3078308
10h29m0s788ms,-0.0970459,8.256363,0.7132721,1.0637634,-0.4184265,1.530365,0.3149414
10h29m0s861ms,0.11300659,8.828964,0.23396301,0.80015564,-0.3182068,1.0123596,0.2185669
10h29m0s936ms,0.11300659,8.828964,0.23396301,0.80015564,0.056854248,1.095871,0.1625061
10h29m1s11ms,0.11300659,8.828964,0.23396301,0.11452027,0.23834229,0.8045807,0.18539429
10h29m1s82ms,-0.29966736,9.967178,-1.6736145,0.3421631,-0.084472656,0.22053528,-0.049240112
10h29m1s160ms,-0.29966736,9.967178,-1.6736145,0.3421631,0.3202362,-0.27279663,0.07220459
10h29m1s235ms,-0.29966736,9.967178,-1.6736145,0.22764282,-0.12660217,-0.097473145,-0.04989624
10h29m1s306ms,-0.27175903,9.982819,-1.5035858,0.23077087,0.03993225,-0.2503357,0.16766357
10h29m1s383ms,-0.27175903,9.982819,-1.5035858,0.23077087,-0.13052368,0.5626221,-0.32876587
10h29m1s458ms,0.23280334,9.131851,-0.34848022,0.17332153,-0.005065918,-0.089019775,0.2373352
10h29m1s528ms,0.23280334,9.131851,-0.34848022,0.17332153,0.0023345947,-0.06199646,-0.014801025
10h29m1s605ms,0.23280334,9.131851,-0.34848022,0.17332153,-9.0026855E-4,-0.0012817383,-0.0046691895
10h29m1s726ms,0.056732178,9.846497,-0.40811157,0.31312257,9.1552734E-4,0.0010375977,-0.0015258789
10h29m1s790ms,0.056732178,9.846497,-0.40811157,0.31312257,-5.493164E-4,5.645752E-4,-2.1362305E-4
10h29m1s837ms,0.056732178,9.846497,-0.40811157,0.14292908,-8.239746E-4,1.8310547E-4,-0.001739502
10h29m1s898ms,-0.07041931,9.784027,-0.41708374,0.15542297,1.0681152E-4,-0.0021209717,-5.0354004E-4
10h29m1s975ms,-0.07041931,9.784027,-0.41708374,0.15542297,-9.613037E-4,-0.0023040771,-9.1552734E-5
10h29m2s49ms,-0.060791016,9.792526,-0.40766907,0.014193726,-0.0010223389,-2.746582E-4,0.004058838
10h29m2s123ms,-0.060791016,9.792526,-0.40766907,0.014193726,1.0681152E-4,-2.746582E-4,-0.0023498535
10h29m2s197ms,-0.060791016,9.792526,-0.40766907,0.014193726,-7.019043E-4,-0.0013427734,-0.0019378662
10h29m2s271ms,-0.058670044,9.787613,-0.41488647,0.0026824952,1.0681152E-4,-8.69751E-4,-0.0012817383
10h29m2s345ms,-0.058670044,9.787613,-0.41488647,0.0026824952,1.0681152E-4,-0.0010375977,-5.187988E-4
10h29m2s420ms,-0.058670044,9.787613,-0.41488647,9.82666E-4,0.0010375977,5.187988E-4,-3.3569336E-4
10h29m2s495ms,-0.07035828,9.79071,-0.40109253,0.0016021729,1.8310547E-4,7.4768066E-4,-0.0023498535
10h29m2s570ms,-0.07035828,9.79071,-0.40109253,0.0016021729,0.002243042,-0.0011291504,-0.0014953613
10h29m2s644ms,-0.07035828,9.79071,-0.40109253,6.195068E-4,0.0035858154,-0.003768921,-0.0051574707
10h29m2s715ms,-0.06503296,9.787811,-0.4154358,0.0011993408,0.0022888184,0.02897644,0.009963989
10h29m2s790ms,-0.06503296,9.787811,-0.4154358,0.0011993408,0.03617859,0.5903778,0.45121765
10h29m2s872ms,-0.05026245,10.849106,-1.2536316,0.21283874,0.09616089,-0.63516235,-0.42373657
10h29m2s939ms,-0.05026245,10.849106,-1.2536316,0.21283874,-0.44143677,-0.6560669,-0.6236725
10h29m3s16ms,-0.05026245,10.849106,-1.2536316,0.21283874,0.62893677,-0.81840515,-0.20706177
10h29m3s112ms,-0.8738861,9.511444,-1.4664612,0.47979125,0.19763184,-0.5505676,0.19815063
10h29m3s173ms,-0.8738861,9.511444,-1.4664612,0.47979125,-0.31921387,-1.2049255,-0.28295898
10h29m3s246ms,-0.8738861,9.511444,-1.4664612,0.26753235,0.06451416,-1.9944458,0.046066284
10h29m3s328ms,0.08938599,9.118881,-2.4618073,0.34604493,-0.30336,-1.1584015,-0.012329102
10h29m3s388ms,0.08938599,9.118881,-2.4618073,0.34604493,0.23783875,-1.0489349,-0.10769653
10h29m3s459ms,0.60095215,8.842941,0.8886719,0.13370056,0.42869568,-0.8094177,0.011688232
10h29m3s533ms,0.60095215,8.842941,0.8886719,0.13370056,-0.12620544,-0.5991516,0.05848694
10h29m3s607ms,0.60095215,8.842941,0.8886719,0.13370056,0.09869385,-0.71788025,0.33666992
10h29m3s679ms,-0.01878357,10.15448,0.6824188,0.31749573,-0.13928223,-0.12182617,-0.15586853
10h29m3s754ms,-0.01878357,10.15448,0.6824188,0.31749573,0.18447876,-0.02319336,-0.020736694
10h29m3s829ms,-0.01878357,10.15448,0.6824188,0.26230773,0.28411865,0.36714172,0.30194092
10h29m3s904ms,-0.6607666,9.31282,0.7326813,0.43063965,0.24223328,0.16369629,0.5241394
10h29m3s982ms,-0.6607666,9.31282,0.7326813,0.43063965,-1.0926361,0.09817505,-0.66171265
10h29m4s64ms,-0.6607666,9.31282,0.7326813,0.1683319,0.08709717,-0.95162964,0.16925049
10h29m4s128ms,0.22862244,10.42305,-1.8033295,0.39037782,0.22070313,-0.0014801025,7.7819824E-4
10h29m4s199ms,0.22862244,10.42305,-1.8033295,0.39037782,0.011993408,-0.0032958984,-0.001083374
10h29m4s272ms,0.22866821,9.831665,-0.12928772,0.34032288,0.010803223,7.7819824E-4,-0.005554199
10h29m4s348ms,0.22866821,9.831665,-0.12928772,0.34032288,-0.008514404,-4.4250488E-4,0.002090454
10h29m4s423ms,0.22866821,9.831665,-0.12928772,0.34032288,0.003692627,-6.2561035E-4,-0.004135132
10h29m4s496ms,-0.10517883,9.785309,-0.45132446,0.12754822,0.0033111572,7.9345703E-4,-0.0012817383
10h29m4s571ms,-0.10517883,9.785309,-0.45132446,0.12754822,-0.014846802,7.9345703E-4,0.0023040771
10h29m4s646ms,-0.10517883,9.785309,-0.45132446,0.00927124,7.7819824E-4,-2.746582E-4,-0.0021514893
10h29m4s717ms,-0.106277466,9.781601,-0.4355011,0.010012818,-0.0021362305,0.0018615723,-1.373291E-4
10h29m4s795ms,-0.106277466,9.781601,-0.4355011,0.010012818,-9.613037E-4,-0.0013427734,-9.918213E-4
10h29m4s870ms,-0.098739624,9.789215,-0.43577576,0.0022644042,-0.0023498535,-5.950928E-4,-2.1362305E-4
10h29m4s957ms,-0.098739624,9.789215,-0.43577576,0.0022644042,-0.0030975342,-8.544922E-4,-7.019043E-4
10h29m5s15ms,-0.098739624,9.789215,-0.43577576,0.0022644042,1.0681152E-4,1.2207031E-4,-0.0012817383
10h29m5s89ms,-0.09806824,9.7901,-0.44839478,0.0016998291,-7.4768066E-4,-5.0354004E-4,-8.392334E-4
10h29m5s165ms,-0.09806824,9.7901,-0.44839478,0.0016998291,1.0681152E-4,-0.0013885498,-0.0043182373
10h29m5s241ms,-0.09806824,9.7901,-0.44839478,1.7700196E-4,0.0054473877,-0.0014801025,-0.0048675537
10h29m5s313ms,-0.07347107,9.795395,-0.41314697,0.0012359619,-0.20089722,0.48062134,0.13090515
10h29m5s388ms,-0.07347107,9.795395,-0.41314697,0.0012359619,-0.04244995,-0.33590698,-0.38153076
10h29m5s464ms,-0.07347107,9.795395,-0.41314697,0.00105896,-0.548996,0.27383423,-0.59713745
10h29m5s545ms,0.460495,11.602661,0.68092346,0.3625122,0.36140442,0.29037476,-0.08465576
10h29m5s608ms,0.460495,11.602661,0.68092346,0.3625122,-0.015914917,1.2736359,0.012878418
10h29m5s683ms,0.10890198,8.374374,1.8662262,1.0071106,0.09628296,1.325058,0.18457031
10h29m5s757ms,0.10890198,8.374374,1.8662262,1.0071106,-0.41929626,1.8308411,0.0078125
