
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
1h45m17s962ms,-0.20214844,9.952011,-0.11393738,0.04798889,-5.950928E-4,0.0035095215,0.001159668
21h45m18s38ms,-0.20214844,9.952011,-0.11393738,0.023994446,4.7302246E-4,0.0056152344,-8.392334E-4
21h45m18s113ms,-0.20214844,9.952011,-0.11393738,0.015996298,7.324219E-4,0.0011901855,1.0681152E-4
21h45m18s186ms,-0.20306396,9.945511,-0.10810852,0.013622284,-0.0020751953,0.0033416748,1.0681152E-4
21h45m18s261ms,-0.20306396,9.945511,-0.10810852,0.010897827,-0.0027313232,0.0036010742,-9.613037E-4
21h45m18s336ms,-0.20306396,9.945511,-0.10810852,0.0013000488,9.1552734E-5,0.0025787354,-9.613037E-4
21h45m18s408ms,-0.20646667,9.943726,-0.11468506,0.0016571045,4.7302246E-4,-0.0015106201,9.460449E-4
21h45m18s483ms,-0.20646667,9.943726,-0.11468506,0.0016571045,0.0015411377,-7.7819824E-4,-8.544922E-4
21h45m18s558ms,-0.2086029,9.944641,-0.111450195,5.4016116E-4,-5.645752E-4,-5.950928E-4,-8.69751E-4
21h45m18s631ms,-0.2086029,9.944641,-0.111450195,5.4016116E-4,-0.0014953613,0.0021820068,-6.1035156E-5
21h45m18s707ms,-0.2086029,9.944641,-0.111450195,5.4016116E-4,0.0011138916,-0.004211426,0.0011749268
21h45m18s780ms,-0.20030212,9.945633,-0.11532593,3.8146973E-4,0.0032043457,-0.00541687,7.171631E-4
21h45m18s855ms,-0.20030212,9.945633,-0.11532593,3.8146973E-4,0.001373291,-0.0026550293,-3.3569336E-4
21h45m18s930ms,-0.20030212,9.945633,-0.11532593,1.9836426E-4,7.9345703E-4,4.8828125E-4,1.0681152E-4
21h45m19s1ms,-0.20101929,9.942261,-0.115112305,8.7280275E-4,4.7302246E-4,0.0030670166,-0.001663208
21h45m19s76ms,-0.20101929,9.942261,-0.115112305,8.7280275E-4,-0.001739502,0.0067596436,-9.1552734E-4
21h45m19s155ms,-0.20101929,9.942261,-0.115112305,6.744385E-4,-0.001663208,0.0033721924,0.0
21h45m19s226ms,-0.2027893,9.942276,-0.1116333,6.7749026E-4,0.0015411377,0.0012054443,9.3078613E-4
21h45m19s301ms,-0.2027893,9.942276,-0.1116333,6.7749026E-4,-2.1362305E-4,0.0018463135,-0.0013427734
21h45m19s374ms,-0.20150757,9.953705,-0.10862732,0.0022888184,4.7302246E-4,-0.001739502,-0.034072876
21h45m19s449ms,-0.20150757,9.953705,-0.10862732,0.0022888184,0.18797302,-0.18302917,-0.4766693
21h45m19s523ms,-0.20150757,9.953705,-0.10862732,0.0022888184,1.0729065,-1.0600739,0.1980896
21h45m19s595ms,-0.38085938,12.009796,-1.4221497,0.41350403,-1.5850067,-0.7886963,-1.3361816
21h45m19s674ms,-0.38085938,12.009796,-1.4221497,0.41350403,-0.14956665,-1.4395905,-0.7570343
21h45m19s748ms,-0.38085938,12.009796,-1.4221497,0.41121826,0.46406555,-1.5902252,-0.65841675
21h45m19s820ms,-1.0366669,9.547501,-2.1558533,0.90367734,1.094635,-1.774704,-0.38954163
21h45m19s894ms,-1.0366669,9.547501,-2.1558533,0.90367734,0.57803345,-1.8753967,-0.13691711
21h45m19s968ms,-1.4187012,6.3368683,-0.8118744,1.1345856,0.5795746,-1.243393,0.93818665
21h45m20s43ms,-1.4187012,6.3368683,-0.8118744,1.1345856,0.5170288,-1.1930084,0.93951416
21h45m20s119ms,-1.4187012,6.3368683,-0.8118744,1.1345856,-0.13995361,-0.5136261,0.75064087
