
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h28m52s627ms,-0.109313965,9.778107,-0.2698822,0.22189331,-0.002609253,9.460449E-4,7.019043E-4
14h28m52s700ms,-0.109313965,9.778107,-0.2698822,0.22189331,-0.1292572,0.28004456,0.004043579
14h28m52s776ms,-0.3143463,9.807632,0.12176514,0.12570953,-0.03453064,0.6632538,0.6483002
14h28m52s850ms,-0.3143463,9.807632,0.12176514,0.12570953,0.49594116,-0.4644928,0.31677246
14h28m52s925ms,-0.3143463,9.807632,0.12176514,0.12570953,-0.3829651,-0.431839,-0.3397522
14h28m52s998ms,0.76719666,10.411697,-3.1094208,0.28516135,-0.0038604736,-0.9095001,-0.10372925
14h28m53s73ms,0.76719666,10.411697,-3.1094208,0.28516135,-0.2635498,-0.9704132,-0.228302
14h28m53s144ms,0.7645416,8.971893,-1.9083557,0.573822,-0.13069153,-1.1823425,-0.05999756
14h28m53s223ms,0.7645416,8.971893,-1.9083557,0.573822,-0.061035156,-1.1410065,0.06790161
14h28m53s297ms,0.7645416,8.971893,-1.9083557,0.573822,0.05632019,-1.0548401,-0.09436035
14h28m53s369ms,0.53852844,9.965073,1.4645996,0.6576935,-0.056167603,-0.31266785,0.07002258
14h28m53s443ms,0.53852844,9.965073,1.4645996,0.6576935,0.2118988,0.0034484863,0.37701416
14h28m53s518ms,0.53852844,9.965073,1.4645996,0.6576935,-0.36097717,0.3274536,-0.19194031
14h28m53s591ms,0.34979248,9.384384,1.464508,0.7294525,0.05155945,5.340576E-4,0.037765503
14h28m53s667ms,0.34979248,9.384384,1.464508,0.7294525,-0.33428955,0.14099121,0.030578613
14h28m53s742ms,0.38653564,9.395859,0.33293152,0.7258423,-0.07913208,0.105163574,0.2829132
14h28m53s815ms,0.38653564,9.395859,0.33293152,0.7258423,0.42788696,0.12789917,-0.49975586
14h28m53s889ms,0.38653564,9.395859,0.33293152,0.7258423,-0.06600952,0.028945923,0.04234314
14h28m53s961ms,0.7701111,8.943024,-0.12637329,0.69559634,-0.012664795,0.10597229,-0.21913147
14h28m54s36ms,0.7701111,8.943024,-0.12637329,0.69559634,0.06674194,0.31733704,-0.36839294
14h28m54s114ms,0.7701111,8.943024,-0.12637329,0.69559634,0.7407837,0.5088043,-0.12901306
14h28m54s184ms,0.12451172,9.804031,0.5961151,0.579837,0.016708374,0.0023956299,0.03552246
14h28m54s260ms,0.12451172,9.804031,0.5961151,0.579837,0.0031738281,0.009979248,-0.0063476563
14h28m54s334ms,0.12451172,9.804031,0.5961151,0.579837,0.0042266846,-0.0073394775,-0.0014648438
14h28m54s407ms,-0.09931946,9.750778,-0.5336151,0.3918518,-7.019043E-4,-0.0011901855,0.0026397705
14h28m54s482ms,-0.09931946,9.750778,-0.5336151,0.3918518,-7.019043E-4,-1.2207031E-4,-9.1552734E-5
14h28m54s557ms,-0.093170166,9.774811,-0.35050964,0.28052062,3.6621094E-4,-1.2207031E-4,0.0010681152
14h28m54s632ms,-0.093170166,9.774811,-0.35050964,0.28052062,-0.0014648438,-4.4250488E-4,-1.373291E-4
14h28m54s706ms,-0.093170166,9.774811,-0.35050964,0.28052062,-0.0012054443,-1.2207031E-4,-1.373291E-4
14h28m54s777ms,-0.10368347,9.782547,-0.339859,0.27977294,-7.019043E-4,-3.8146973E-4,1.2207031E-4
14h28m54s852ms,-0.10368347,9.782547,-0.339859,0.27977294,3.6621094E-4,-3.6621094E-4,-1.373291E-4
14h28m54s926ms,-0.10368347,9.782547,-0.339859,0.27977294,-6.5612793E-4,-0.0011901855,-0.0012054443
