
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h1m39s939ms,-0.3432312,9.978455,0.085754395,0.02154541,-0.28242493,-0.39889526,-1.4122314
13h1m40s14ms,-0.3432312,9.978455,0.085754395,0.02154541,0.9028015,-0.1525116,-0.6930084
13h1m40s87ms,-1.5893707,11.410492,1.6007843,0.7267914,0.27363586,0.7596283,-0.4517517
13h1m40s162ms,-1.5893707,11.410492,1.6007843,0.7267914,-0.18667603,1.2848206,-0.2353363
13h1m40s237ms,-1.5893707,11.410492,1.6007843,0.7267914,-1.0330963,1.1083679,-0.22909546
13h1m40s312ms,-2.5779572,6.1098175,-0.19535828,2.251419,-0.89642334,0.47428894,0.78308105
13h1m40s386ms,-2.5779572,6.1098175,-0.19535828,2.251419,-0.50090027,0.7340698,0.5630493
13h1m40s458ms,0.33085632,9.243835,-0.5238037,2.4720688,0.564209,0.46484375,0.83776855
13h1m40s532ms,0.33085632,9.243835,-0.5238037,2.4720688,-0.123535156,-0.058044434,0.39543152
13h1m40s607ms,0.33085632,9.243835,-0.5238037,2.4720688,-0.22512817,0.3761902,0.13859558
13h1m40s680ms,1.0339966,10.831146,-1.0362854,2.2951171,0.8824158,-0.20588684,0.31932068
13h1m40s755ms,1.0339966,10.831146,-1.0362854,2.2951171,-0.5706024,0.30906677,-0.22879028
13h1m40s831ms,1.0339966,10.831146,-1.0362854,2.2951171,-0.13819885,0.102645874,-0.18626404
13h1m40s904ms,0.19190979,9.79747,-0.60266113,2.4975433,-0.17939758,-0.020446777,0.063201904
13h1m40s980ms,0.19190979,9.79747,-0.60266113,2.4975433,-0.03451538,-0.17468262,0.24519348
13h1m41s51ms,-0.17295837,9.713516,-0.09750366,2.2279267,0.009262085,-0.15525818,-0.14057922
13h1m41s125ms,-0.17295837,9.713516,-0.09750366,2.2279267,7.9345703E-4,-0.062026978,-0.029174805
13h1m41s200ms,-0.17295837,9.713516,-0.09750366,2.2279267,-0.0014953613,-0.019241333,-0.01361084
13h1m41s274ms,-0.16323853,9.703842,0.03453064,1.1697266,-3.3569336E-4,0.015640259,0.009170532
13h1m41s349ms,-0.16323853,9.703842,0.03453064,1.1697266,-0.0023498535,0.0012664795,-0.0036010742
13h1m41s424ms,-0.16323853,9.703842,0.03453064,1.1697266,9.918213E-4,0.00541687,0.0029449463
13h1m41s497ms,-0.08055115,9.636063,-0.005569458,0.55647886,-0.0012817383,4.119873E-4,-1.2207031E-4
13h1m41s572ms,-0.08055115,9.636063,-0.005569458,0.55647886,5.950928E-4,-3.6621094E-4,-0.0011901855
13h1m41s647ms,-0.08055115,9.636063,-0.005569458,0.55647886,-0.0012054443,-0.0018157959,9.460449E-4
13h1m41s721ms,-0.105789185,9.633179,-0.014053345,0.2395935,0.0017547607,0.002456665,0.0010375977
13h1m41s796ms,-0.105789185,9.633179,-0.014053345,0.2395935,4.5776367E-5,4.119873E-4,-0.0011901855
13h1m41s867ms,-0.09384155,9.636887,-0.015182495,0.033599854,-8.69751E-4,-0.0015106201,3.0517578E-4
13h1m41s943ms,-0.09384155,9.636887,-0.015182495,0.033599854,3.8146973E-4,-0.0011291504,0.0014190674
13h1m42s17ms,-0.09384155,9.636887,-0.015182495,0.033599854,-0.0012817383,4.119873E-4,-4.119873E-4
13h1m42s90ms,-0.09390259,9.632553,-0.020462036,0.017675782,-2.1362305E-4,-5.493164E-4,0.0
13h1m42s165ms,-0.09390259,9.632553,-0.020462036,0.017675782,-2.1362305E-4,3.6621094E-4,-7.6293945E-5
13h1m42s242ms,-0.09390259,9.632553,-0.020462036,0.017675782,-0.0010681152,-0.0017242432,-3.3569336E-4
