
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h44m8s663ms,-0.050338745,9.667496,-0.08215332,0.33250427,-0.0031585693,-0.17829895,0.0026245117
14h44m8s739ms,-0.050338745,9.667496,-0.08215332,0.33250427,0.01965332,0.3377533,0.13902283
14h44m8s814ms,-0.050338745,9.667496,-0.08215332,0.33250427,0.45240784,0.74702454,-0.7223358
14h44m8s887ms,0.64590454,11.03775,1.9028625,0.8513794,-0.075531006,0.9597473,-0.40800476
14h44m8s962ms,0.64590454,11.03775,1.9028625,0.8513794,-0.52059937,1.757431,0.13623047
14h44m9s35ms,-0.67951965,9.088242,1.5385437,1.2174225,-0.4197998,1.8075104,0.19703674
14h44m9s108ms,-0.67951965,9.088242,1.5385437,1.2174225,-1.0258789,2.3773193,0.37338257
14h44m9s184ms,-0.67951965,9.088242,1.5385437,1.2174225,-0.4307251,1.5469971,0.23706055
14h44m9s259ms,0.4881897,8.554642,1.0587769,1.0464668,-0.27792358,1.8781128,0.0022735596
14h44m9s333ms,0.4881897,8.554642,1.0587769,1.0464668,-0.3892975,0.77948,0.49728394
14h44m9s408ms,0.4881897,8.554642,1.0587769,1.0464668,0.25926208,0.3912201,0.4788208
14h44m9s481ms,0.4519348,9.395874,-1.0245667,1.00542,0.22293091,0.21713257,0.4446106
14h44m9s559ms,0.4519348,9.395874,-1.0245667,1.00542,0.4809723,0.058181763,0.41467285
14h44m9s631ms,0.4519348,9.395874,-1.0245667,1.00542,0.32687378,0.055267334,0.42726135
14h44m9s703ms,0.7741089,9.773178,-0.1918335,1.0143799,0.4607849,-0.25712585,0.17988586
14h44m9s781ms,0.7741089,9.773178,-0.1918335,1.0143799,0.2258606,-0.030807495,-0.38198853
14h44m9s852ms,1.2427673,9.778458,0.32164,0.74138486,0.25923157,-0.09439087,-0.07165527
14h44m9s935ms,1.2427673,9.778458,0.32164,0.74138486,0.20018005,0.01335144,-0.096343994
14h44m10s3ms,1.2427673,9.778458,0.32164,0.74138486,0.017868042,-0.10272217,-0.13545227
14h44m10s76ms,0.8371277,9.58728,-0.20420837,0.38971862,0.005004883,0.021575928,-0.024429321
14h44m10s150ms,0.8371277,9.58728,-0.20420837,0.38971862,0.04345703,-0.093688965,-0.16168213
14h44m10s229ms,0.8371277,9.58728,-0.20420837,0.38971862,-0.02017212,-0.036743164,-0.21240234
14h44m10s295ms,0.7681427,9.616852,-0.13624573,0.28891295,-0.042678833,-0.10116577,-0.16619873
14h44m10s374ms,0.7681427,9.616852,-0.13624573,0.28891295,-0.024520874,-0.026626587,-0.14892578
14h44m10s446ms,0.334198,9.639282,-0.08576965,0.12515259,-0.048477173,0.0018005371,-0.1564331
14h44m10s520ms,0.334198,9.639282,-0.08576965,0.12515259,0.01234436,-0.031707764,-0.22239685
14h44m10s596ms,0.334198,9.639282,-0.08576965,0.12515259,-0.10998535,-0.03996277,-0.06489563
14h44m10s669ms,-0.105041504,9.581253,-0.055343628,0.061297607,0.041625977,0.110961914,0.008102417
14h44m10s744ms,-0.105041504,9.581253,-0.055343628,0.061297607,-0.0073242188,-0.009185791,0.014801025
14h44m10s819ms,-0.105041504,9.581253,-0.055343628,0.061297607,-0.0059509277,-0.0015716553,0.0047302246
14h44m10s890ms,-0.024505615,9.665268,-0.10429382,0.07704468,-9.460449E-4,0.0035552979,-0.025024414
14h44m10s968ms,-0.024505615,9.665268,-0.10429382,0.07704468,-9.1552734E-4,0.002670288,-0.024887085
14h44m11s43ms,-0.024505615,9.665268,-0.10429382,0.07704468,-0.0038604736,0.0025482178,-0.012466431
14h44m11s114ms,-0.07533264,9.663223,-0.033706665,0.03921814,-0.0034637451,0.0025482178,-4.5776367E-4
14h44m11s189ms,-0.07533264,9.663223,-0.033706665,0.03921814,-0.006210327,0.0019836426,0.019943237
14h44m11s263ms,-0.0791626,9.664703,-0.022506714,0.033599854,-5.645752E-4,0.0025482178,-0.011154175
14h44m11s338ms,-0.0791626,9.664703,-0.022506714,0.033599854,-0.0022125244,0.0046844482,-0.008773804
14h44m11s412ms,-0.0791626,9.664703,-0.022506714,0.033599854,-0.0019836426,4.7302246E-4,-3.2043457E-4
14h44m11s487ms,-0.078933716,9.657623,-0.03164673,0.030529786,-0.0030517578,0.0046844482,-0.008926392
14h44m11s562ms,-0.078933716,9.657623,-0.03164673,0.030529786,-9.1552734E-4,0.009170532,-0.011978149
14h44m11s637ms,-0.078933716,9.657623,-0.03164673,0.030529786,-9.1552734E-4,0.0068206787,-0.0025939941
14h44m11s707ms,-0.077819824,9.659439,-0.027511597,0.01928711,-0.0030517578,0.0025482178,-0.003036499
14h44m11s783ms,-0.077819824,9.659439,-0.027511597,0.01928711,-0.004119873,0.003616333,0.009811401
14h44m11s856ms,-0.068481445,9.661636,-0.01499939,0.002923584,-0.0033416748,0.0024871826,-0.011917114
14h44m11s931ms,-0.068481445,9.661636,-0.01499939,0.002923584,-0.0021209717,-4.119873E-4,-0.002090454
14h44m12s8ms,-0.068481445,9.661636,-0.01499939,0.002923584,-9.3078613E-4,4.119873E-4,0.0048675537
14h44m12s81ms,-0.07728577,9.655869,-0.021469116,0.0036682128,-0.0030517578,0.00541687,-0.0011901855
14h44m12s156ms,-0.07728577,9.655869,-0.021469116,0.0036682128,-0.0030517578,-6.5612793E-4,0.0013885498
14h44m12s231ms,-0.07728577,9.655869,-0.021469116,0.0036682128,-0.008239746,0.010925293,0.012207031
14h44m12s302ms,-0.07156372,9.668091,-0.0069122314,0.0058166506,-0.0138549805,0.063186646,-0.016952515
14h44m12s378ms,-0.07156372,9.668091,-0.0069122314,0.0058166506,-0.14562988,0.11282349,-0.02748108
14h44m12s452ms,-0.07156372,9.668091,-0.0069122314,0.0058166506,-0.56895447,0.22015381,0.19172668
14h44m12s525ms,-0.14692688,9.780731,-0.41152954,0.026928712,-0.15574646,-0.34544373,-0.761734
14h44m12s601ms,-0.14692688,9.780731,-0.41152954,0.026928712,0.27923584,0.22442627,-1.3025055
14h44m12s675ms,0.14025879,11.097717,-0.66793823,0.28996277,-1.0520935,0.06932068,0.33483887
14h44m12s750ms,0.14025879,11.097717,-0.66793823,0.28996277,-0.03919983,-0.46183777,0.09648132
14h44m12s824ms,0.14025879,11.097717,-0.66793823,0.28996277,0.087127686,-0.90582275,0.445755
14h44m12s896ms,-0.0826416,7.8881073,-0.45988464,0.9314453,0.6038971,-1.1002197,0.0024414063
14h44m12s971ms,-0.0826416,7.8881073,-0.45988464,0.9314453,0.54922485,-1.9107361,0.013534546
14h44m13s46ms,-0.0826416,7.8881073,-0.45988464,0.9314453,0.7049408,-1.7137756,-0.14808655
14h44m13s120ms,0.3275299,9.143478,1.108078,1.181366,0.6859741,-0.9479828,0.22357178
14h44m13s195ms,0.3275299,9.143478,1.108078,1.181366,-0.39231873,-0.15196228,0.52030945
14h44m13s270ms,-0.08731079,9.948425,2.0233307,1.3399109,0.071624756,-0.16741943,0.1762085
14h44m13s343ms,-0.08731079,9.948425,2.0233307,1.3399109,-0.40653992,0.123046875,0.13005066
14h44m13s418ms,-0.08731079,9.948425,2.0233307,1.3399109,-0.26667786,0.20715332,-0.41552734
14h44m13s489ms,0.4003601,9.852692,0.5168915,1.3365295,-0.115356445,0.009506226,-0.27749634
14h44m13s564ms,0.4003601,9.852692,0.5168915,1.3365295,-0.028381348,-0.10606384,-0.12850952
14h44m13s639ms,0.4003601,9.852692,0.5168915,1.3365295,0.041809082,0.10081482,0.01663208
14h44m13s714ms,-0.07814026,9.7114105,-0.38710022,1.1013886,-1.0681152E-4,-0.043121338,0.007797241
14h44m13s789ms,-0.07814026,9.7114105,-0.38710022,1.1013886,-0.0030059814,-0.022918701,0.004547119
14h44m13s864ms,-0.07814026,9.7114105,-0.38710022,1.1013886,0.009094238,0.013687134,-0.013061523
14h44m13s937ms,0.06480408,9.664261,-0.017303467,0.46889648,0.002105713,-0.013748169,-0.06716919
