
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
0h27m27s727ms,-0.023254395,9.893417,-0.16854858,0.10658264,0.0063476563,0.00970459,-0.0027160645
10h27m27s798ms,-0.02796936,9.871796,-0.12960815,0.06410217,-5.187988E-4,-1.5258789E-4,-0.001449585
10h27m27s869ms,-0.018173218,9.735367,-0.2267456,0.08821106,-5.645752E-4,0.0015258789,0.0016174316
10h27m27s941ms,-0.02319336,9.776901,-0.16513062,0.0765419,5.0354004E-4,0.001159668,1.5258789E-5
10h27m28s19ms,-0.011413574,9.768448,-0.16830444,0.06292419,-4.8828125E-4,-9.765625E-4,-8.544922E-4
10h27m28s130ms,-0.029647827,9.764862,-0.16421509,0.04232483,5.0354004E-4,-7.4768066E-4,7.7819824E-4
10h27m28s210ms,-0.025299072,9.762802,-0.17532349,0.038412474,9.460449E-4,-3.6621094E-4,6.2561035E-4
10h27m28s260ms,-0.011108398,9.781982,-0.1668396,0.014962768,5.0354004E-4,-0.0012054443,8.239746E-4
10h27m28s316ms,-0.032333374,9.778305,-0.16401672,0.0073913573,-3.5095215E-4,9.1552734E-5,8.087158E-4
10h27m28s395ms,-0.025253296,9.773071,-0.17478943,0.0067474367,0.0015411377,9.1552734E-5,-8.69751E-4
10h27m28s449ms,-0.026763916,9.771179,-0.1789093,0.0064086914,6.713867E-4,9.1552734E-5,-7.171631E-4
10h27m28s523ms,-0.020446777,9.76886,-0.16230774,0.006460571,0.0012512207,9.1552734E-5,1.6784668E-4
10h27m28s594ms,-0.018112183,9.769196,-0.17623901,0.0026916503,-5.645752E-4,6.713867E-4,-4.119873E-4
10h27m28s685ms,-0.021270752,9.763763,-0.15220642,0.0030426024,-0.0016326904,-9.765625E-4,1.6784668E-4
10h27m28s742ms,-0.023010254,9.767822,-0.1865387,0.0028076172,-0.0014648438,9.1552734E-5,-0.0029449463
10h27m28s811ms,-0.0634613,9.746902,-0.19584656,0.006613159,0.012176514,-0.013534546,0.02609253
10h27m28s902ms,-0.11608887,9.765976,0.081451416,0.009963989,5.0354004E-4,5.79834E-4,0.047332764
10h27m28s958ms,0.12234497,9.78479,-0.16934204,0.013659668,-0.0016326904,0.004714966,0.012634277
10h27m29s31ms,-0.029968262,9.764542,-0.1603241,0.016622925,-5.645752E-4,4.4250488E-4,-0.0012359619
10h27m29s103ms,-2.1555939,9.743591,-1.7130127,0.020001221,0.58651733,-0.68670654,-0.04878235
10h27m29s174ms,0.6414337,10.622208,0.24145508,0.19154052,0.17068481,-2.0461273,0.18728638
10h27m29s245ms,2.5402985,9.921143,2.1269684,0.32793885,0.259964,-1.210144,-0.008850098
10h27m29s318ms,0.6983795,9.336075,-0.77835083,0.4411896,0.0642395,-1.2336578,-0.047851563
10h27m29s389ms,0.33106995,9.5858,1.1127014,0.48708495,-0.58724976,-0.64682007,2.5650635
10h27m29s463ms,-1.1752777,8.266129,-0.59272766,0.7468292,-0.33000183,-0.1546936,1.7742004
10h27m29s532ms,3.1005707,11.302139,3.0222015,1.1783081,-0.44470215,1.2384338,-0.42462158
10h27m29s606ms,2.6697083,11.421295,2.9373322,1.0619262,-0.027618408,0.97177124,-0.6420746
10h27m29s687ms,0.8720856,10.566681,3.2181091,1.1158355,0.2078247,0.8938141,-1.0002136
