
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
1h58m21s644ms,-0.1906128,9.961121,-0.14286804,0.038879395,5.79834E-4,0.054382324,-0.007949829
21h58m21s711ms,-0.1906128,9.961121,-0.14286804,0.019439697,0.00592041,-0.002532959,0.005630493
21h58m21s786ms,-0.1906128,9.961121,-0.14286804,0.012959798,0.005722046,0.021591187,0.008850098
21h58m21s861ms,-0.18740845,9.964645,-0.17088318,0.010601044,-0.002243042,-0.0957489,0.031936646
21h58m21s937ms,-0.18740845,9.964645,-0.17088318,0.008480835,-0.25984192,-0.44026184,-0.6749573
21h58m22s6ms,-0.15963745,10.552658,-2.2943878,0.11830749,-1.2420807,-1.4629059,0.042007446
21h58m22s83ms,-0.15963745,10.552658,-2.2943878,0.11830749,-0.4867401,-1.751648,-0.8946686
21h58m22s160ms,-0.15963745,10.552658,-2.2943878,0.11830749,0.64408875,-2.1509247,-0.41926575
21h58m22s229ms,-1.4889984,9.751572,-0.94055176,0.2778198,0.51116943,-2.1649323,0.08074951
21h58m22s303ms,-1.4889984,9.751572,-0.94055176,0.2778198,0.77449036,-2.041397,0.105529785
21h58m22s381ms,-1.4889984,9.751572,-0.94055176,0.16021729,-0.27378845,-0.9884949,0.15385437
21h58m22s453ms,0.6086273,8.681885,-0.29089355,0.37415466,0.36521912,-1.5294037,-0.0496521
21h58m22s528ms,0.6086273,8.681885,-0.29089355,0.37415466,-0.11035156,-1.1698151,-0.024642944
21h58m22s602ms,0.6086273,8.681885,-0.29089355,0.21393737,0.016433716,-0.62628174,1.9836426E-4
21h58m22s675ms,1.5879822,10.06105,1.4180298,0.4897705,0.03694153,-0.13244629,0.14442444
21h58m22s750ms,1.5879822,10.06105,1.4180298,0.4897705,0.25608826,0.053848267,0.22280884
21h58m22s821ms,0.8394623,9.671768,0.88461304,0.35368958,0.33677673,0.03817749,0.21199036
21h58m22s902ms,0.8394623,9.671768,0.88461304,0.35368958,-0.29777527,0.23272705,-0.45713806
21h58m22s974ms,0.8394623,9.671768,0.88461304,0.35368958,0.07574463,0.15922546,0.17329407
21h58m23s45ms,-0.33395386,8.962326,0.2277832,0.21974488,-0.022018433,-0.052001953,-0.04585266
21h58m23s120ms,-0.33395386,8.962326,0.2277832,0.21974488,0.026641846,-0.04963684,-0.022659302
21h58m23s195ms,-0.33395386,8.962326,0.2277832,0.14188842,0.0028686523,0.024017334,-0.0042266846
21h58m23s268ms,-0.3262329,9.949295,-0.26745605,0.3392822,0.018585205,-0.040542603,-7.171631E-4
21h58m23s346ms,-0.3262329,9.949295,-0.26745605,0.3392822,0.0025787354,-1.5258789E-4,-0.003479004
21h58m23s419ms,-0.29437256,9.958008,-0.25028992,0.19913635,0.003036499,-7.019043E-4,-0.0038757324
21h58m23s492ms,-0.29437256,9.958008,-0.25028992,0.19913635,1.5258789E-5,-7.9345703E-4,-0.0011749268
21h58m23s566ms,-0.29437256,9.958008,-0.25028992,0.19913635,0.0029754639,0.013381958,-0.010604858
21h58m23s637ms,-0.2935791,9.952621,-0.24882507,0.0028198243,0.013000488,-0.013076782,-0.007659912
21h58m23s713ms,-0.2935791,9.952621,-0.24882507,0.0028198243,-4.8828125E-4,-0.0013427734,0.002532959
21h58m23s790ms,-0.2935791,9.952621,-0.24882507,0.0010772705,0.0021362305,-8.544922E-4,-0.0024261475
21h58m23s861ms,-0.3065338,9.956192,-0.25785828,0.0017913819,0.0016479492,7.9345703E-4,3.9672852E-4
21h58m23s945ms,-0.3065338,9.956192,-0.25785828,0.0017913819,0.003829956,-0.0013427734,-0.0038757324
21h58m24s95ms,-0.3065338,9.956192,-0.25785828,7.141113E-4,0.0037841797,-6.1035156E-4,7.6293945E-5
21h58m24s177ms,-0.30297852,9.955902,-0.28533936,7.720947E-4,0.005783081,-0.0012207031,-0.0030517578
21h58m24s248ms,-0.30297852,9.955902,-0.28533936,7.720947E-4,0.01687622,0.0016174316,-0.013534546
21h58m24s321ms,-0.2978363,9.968323,-0.21076965,0.0025421144,0.0077056885,9.3078613E-4,-0.006729126
21h58m24s380ms,-0.2978363,9.968323,-0.21076965,0.0025421144,0.33065796,0.01637268,0.19113159
21h58m24s428ms,-0.2978363,9.968323,-0.21076965,0.0025421144,-0.0041656494,0.73088074,-0.6213684
21h58m24s473ms,1.413681,10.825027,1.6827545,0.17382507,0.46714783,0.92837524,-0.44552612
21h58m24s534ms,1.413681,10.825027,1.6827545,0.17382507,-0.5027313,1.9937286,-0.16697693
21h58m24s606ms,1.413681,10.825027,1.6827545,0.17134094,-0.365036,2.2252197,0.04837036
21h58m24s677ms,1.0298004,9.303665,0.5979004,0.47561342,-0.6790924,2.050293,0.33267212
21h58m24s752ms,1.0298004,9.303665,0.5979004,0.47561342,-0.39764404,1.8079376,0.0650177
21h58m24s827ms,-1.111969,9.469055,-1.5517273,0.33735046,-0.8122864,1.6994324,0.6878052
21h58m24s900ms,-1.111969,9.469055,-1.5517273,0.33735046,0.3841095,0.7846222,0.58981323
21h58m24s977ms,-1.111969,9.469055,-1.5517273,0.33735046,0.40545654,0.7388916,0.24397278
21h58m25s49ms,-0.17645264,10.107834,-1.8884888,0.16083375,0.75027466,0.3850708,-0.60769653
21h58m25s124ms,-0.17645264,10.107834,-1.8884888,0.16083375,0.68408203,0.3226471,-0.3912506
21h58m25s201ms,-0.17645264,10.107834,-1.8884888,0.12775573,-0.19970703,0.46653748,-0.04008484
21h58m25s269ms,-0.14381409,9.939362,0.09118652,0.16145019,0.08805847,0.011886597,0.002532959
21h58m25s344ms,-0.14381409,9.939362,0.09118652,0.16145019,-0.09213257,0.08911133,-0.009597778
21h58m25s424ms,-0.14381409,9.939362,0.09118652,0.033694457,0.044387817,-0.16467285,-0.006011963
21h58m25s494ms,-0.14894104,9.93956,-0.23783875,0.03373413,-0.0039520264,-0.010559082,-0.0030059814
21h58m25s573ms,-0.14894104,9.93956,-0.23783875,0.03373413,0.0069885254,-0.002029419,-0.003189087
21h58m25s651ms,-0.15393066,9.970734,-0.21401978,0.0062744142,-7.019043E-4,-1.8310547E-4,-0.0027008057
21h58m25s719ms,-0.15393066,9.970734,-0.21401978,0.0062744142,-2.89917E-4,0.010604858,-0.0028076172
21h58m25s790ms,-0.15393066,9.970734,-0.21401978,0.0062744142,0.0044555664,0.0029296875,-0.004837036
21h58m25s865ms,-0.18260193,9.956512,-0.1921997,0.0090789795,0.0070648193,-0.0011901855,-0.004852295
21h58m25s940ms,-0.18260193,9.956512,-0.1921997,0.0090789795,-0.0023651123,7.9345703E-4,-0.0014648438
21h58m26s14ms,-0.18260193,9.956512,-0.1921997,0.0028442382,0.006378174,-0.0013427734,-0.0028076172
21h58m26s86ms,-0.16998291,9.959091,-0.19937134,0.0033599853,0.0063476563,-9.3078613E-4,-0.0038757324
21h58m26s161ms,-0.16998291,9.959091,-0.19937134,0.0033599853,0.0881958,0.089019775,-0.08068848
21h58m26s235ms,-0.32025146,10.401169,-1.4883118,0.08893128,0.40986633,0.47174072,0.28987122
21h58m26s309ms,-0.32025146,10.401169,-1.4883118,0.08893128,-0.8452759,-0.9182739,-0.5317688
21h58m26s385ms,-0.32025146,10.401169,-1.4883118,0.08893128,-0.24528503,-2.841919,-0.02331543
21h58m26s458ms,-0.5011444,9.784683,-3.6855621,0.21171264,1.155716,-2.707901,-0.2228241
21h58m26s534ms,-0.5011444,9.784683,-3.6855621,0.21171264,0.6661835,-2.2307587,0.109054565
21h58m26s607ms,-0.5011444,9.784683,-3.6855621,0.12329712,-0.15428162,-2.096695,0.20863342
21h58m26s681ms,1.0492401,9.383591,-0.28353882,0.20351562,-0.029266357,-1.4794922,0.22163391
