
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
8h27m30s431ms,-0.21833801,9.740234,-0.14790344,0.25976563,-2.593994E-4,-5.340576E-4,1.8310547E-4
18h27m30s504ms,-0.21694946,9.735764,-0.14660645,0.13211823,-5.79834E-4,-5.340576E-4,-2.746582E-4
18h27m30s575ms,-0.21443176,9.739578,-0.15426636,0.08935038,2.4414063E-4,1.5258789E-5,-0.0011444092
18h27m30s648ms,-0.22827148,9.738174,-0.13430786,0.06736374,-6.1035156E-4,-5.340576E-4,-0.0013122559
18h27m30s719ms,-0.21459961,9.739517,-0.14447021,0.054159544,-0.0011901855,-6.866455E-4,4.7302246E-4
18h27m30s793ms,0.41828918,9.754227,-0.32034302,0.0051483153,0.001876831,0.21374512,4.272461E-4
18h27m30s863ms,1.7312164,10.52916,-0.5173187,0.15924072,0.058029175,-0.019866943,0.06663513
18h27m30s936ms,1.7260132,11.108582,-0.30934143,0.27436218,-0.16508484,-0.2796173,0.4746704
18h27m31s7ms,2.4002075,9.439194,0.32322693,0.607959,-0.08868408,-0.5549011,0.39622498
18h27m31s80ms,1.9688568,7.790909,0.3574829,0.9373474,-0.15510559,-0.5348816,0.35165405
18h27m31s155ms,0.85661316,9.417877,1.2327728,1.2597992,-0.2991333,-0.75897217,0.16183472
18h27m31s226ms,-0.26470947,9.695633,1.3386078,1.1603638,0.5831604,-0.62509155,-0.13169861
18h27m31s299ms,-0.4242096,9.421173,0.31098938,1.0993713,0.10559082,-0.6056366,0.008850098
18h27m31s370ms,-1.154953,9.610519,-1.0628204,0.803363,0.24067688,-0.19868469,-0.07279968
18h27m31s443ms,-0.107666016,10.028122,-0.06916809,0.55722654,0.07745361,-0.19241333,-0.098358154
18h27m31s514ms,-0.6467438,9.612457,-0.5759735,0.3149658,-0.27279663,-0.12205505,-0.21525574
18h27m31s589ms,-0.440094,9.656296,-0.6058655,0.26818237,-0.048934937,-0.04185486,-0.13102722
18h27m31s659ms,-0.37631226,9.941727,-0.42121887,0.2703766,-0.33535767,0.029312134,-0.037643433
18h27m31s734ms,0.08129883,9.77092,0.31056213,0.2666687,0.06253052,0.012008667,-0.14057922
18h27m31s802ms,-0.0625,9.752884,-0.09927368,0.18675537,-0.14149475,-0.022827148,-0.07243347
18h27m31s875ms,-0.8044739,9.451782,-0.113586426,0.16384277,-0.028503418,-0.019210815,0.015182495
18h27m31s950ms,0.26846313,9.631195,0.06512451,0.19095764,0.16647339,0.076812744,-0.27017212
18h27m32s22ms,-0.54216003,10.0737915,0.17102051,0.22239074,4.8828125E-4,0.092041016,-2.746582E-4
18h27m32s95ms,-0.13368225,9.736313,-0.28884888,0.2557251,2.746582E-4,-0.049728394,0.0010070801
18h27m32s165ms,-0.3784027,9.756134,-0.033966064,0.25608215,0.0011444092,-5.340576E-4,1.0681152E-4
18h27m32s238ms,-0.2054596,9.746857,-0.10725403,0.19771728,6.713867E-4,5.340576E-4,-0.0015258789
18h27m32s313ms,-0.19242859,9.733627,-0.11647034,0.1644806,-2.593994E-4,-5.340576E-4,0.0015411377
18h27m32s383ms,-0.19567871,9.747116,-0.11331177,0.07865906,5.340576E-4,5.340576E-4,-5.950928E-4
18h27m32s457ms,-0.2055664,9.735397,-0.11717224,0.01350708,-7.324219E-4,0.0011291504,-1.2207031E-4
18h27m32s531ms,-0.19255066,9.744705,-0.10826111,0.011404419,-2.593994E-4,-1.5258789E-4,-5.950928E-4
18h27m32s597ms,-0.20805359,9.733505,-0.12084961,0.01178894,-0.0013275146,3.3569336E-4,-2.1362305E-4
18h27m32s672ms,-0.20632935,9.735657,-0.12107849,0.009573365,7.9345703E-4,-5.340576E-4,4.7302246E-4
18h27m32s745ms,-0.21669006,9.736496,-0.14399719,0.007043457,-4.8828125E-4,3.0517578E-4,0.0023956299
18h27m32s816ms,-0.19265747,9.726822,-0.12780762,0.0066345213,-2.593994E-4,9.460449E-4,6.1035156E-5
18h27m32s889ms,-0.20230103,9.733353,-0.10334778,0.0060791015,0.0014343262,-0.0020446777,4.7302246E-4
18h27m32s960ms,-0.20429993,9.740921,-0.12498474,0.005352783,-2.593994E-4,-5.340576E-4,0.0015411377
