
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h13m29s396ms,-0.3317871,9.631531,-0.0834198,0.36846924,-0.0023345947,-0.0010681152,0.004547119
13h13m29s471ms,-0.3317871,9.631531,-0.0834198,0.36846924,0.03413391,0.30361938,0.118621826
13h13m29s545ms,-0.3317871,9.631531,-0.0834198,0.36846924,-1.2247314,-0.56707764,-0.38702393
13h13m29s618ms,0.06298828,11.028442,-1.298172,0.8826904,-0.19314575,0.09741211,-0.86753845
13h13m29s693ms,0.06298828,11.028442,-1.298172,0.8826904,0.36184692,-0.72335815,-0.68556213
13h13m29s768ms,0.45236206,9.996033,-1.7814941,0.93259686,0.3320923,-1.381012,-0.23852539
13h13m29s842ms,0.45236206,9.996033,-1.7814941,0.93259686,0.3363037,-1.5606995,0.07447815
13h13m29s917ms,0.45236206,9.996033,-1.7814941,0.93259686,0.41511536,-0.7473297,0.022598267
13h13m29s988ms,-0.030899048,7.187271,0.9520874,1.401638,0.24090576,-1.3579254,0.10458374
13h13m30s62ms,-0.030899048,7.187271,0.9520874,1.401638,0.27397156,-0.589798,0.4129486
13h13m30s138ms,-0.030899048,7.187271,0.9520874,1.401638,-0.1269989,-0.35499573,0.062194824
13h13m30s217ms,-1.6580963,9.84906,2.6489868,1.6536682,0.11463928,-0.03715515,0.20619202
13h13m30s301ms,-1.6580963,9.84906,2.6489868,1.6536682,0.16429138,-0.021606445,0.33926392
13h13m30s362ms,-1.6580963,9.84906,2.6489868,1.6536682,0.012710571,0.0695343,0.26145935
13h13m30s434ms,-0.93640137,9.401047,0.48701477,1.669577,-0.24093628,-0.50505066,0.2627716
13h13m30s508ms,-0.93640137,9.401047,0.48701477,1.669577,0.17544556,0.0029449463,0.14953613
13h13m30s579ms,-0.10153198,10.196838,0.4691162,1.549353,-0.07875061,0.031936646,-0.2453003
13h13m30s659ms,-0.10153198,10.196838,0.4691162,1.549353,0.0750885,0.14668274,-0.05229187
13h13m30s732ms,-0.10153198,10.196838,0.4691162,1.549353,-0.46235657,0.16574097,-0.22824097
13h13m30s804ms,-0.14788818,9.953491,0.09378052,1.3915405,0.100112915,0.01928711,-0.12124634
13h13m30s879ms,-0.14788818,9.953491,0.09378052,1.3915405,-0.009750366,0.0018005371,-0.010543823
13h13m30s953ms,-0.14788818,9.953491,0.09378052,1.3915405,-0.018356323,0.06417847,0.016723633
13h13m31s28ms,-0.3638153,9.630417,0.048187256,0.8944031,0.007232666,-0.029556274,-0.0016784668
13h13m31s102ms,-0.3638153,9.630417,0.048187256,0.8944031,-0.003540039,-0.020767212,-0.003616333
13h13m31s176ms,-0.32156372,9.632034,-0.058425903,0.36236876,-0.013656616,-0.022003174,0.0012664795
13h13m31s251ms,-0.32156372,9.632034,-0.058425903,0.36236876,-0.019714355,-0.0602417,-0.011947632
13h13m31s325ms,-0.32156372,9.632034,-0.058425903,0.36236876,-0.0027160645,0.00440979,0.003326416
13h13m31s396ms,-0.31636047,9.623978,-0.014297485,0.27437744,0.0015716553,0.035949707,0.003479004
13h13m31s474ms,-0.31636047,9.623978,-0.014297485,0.27437744,8.69751E-4,0.017318726,0.001373291
13h13m31s549ms,-0.31636047,9.623978,-0.014297485,0.27437744,-0.0027923584,-0.011016846,0.0011749268
13h13m31s620ms,-0.32409668,9.639938,-0.017089844,0.11841126,-0.012619019,0.0071868896,-0.0010528564
13h13m31s694ms,-0.32409668,9.639938,-0.017089844,0.11841126,-0.0052490234,-0.0069885254,0.002166748
13h13m31s769ms,-0.32409668,9.639938,-0.017089844,0.11841126,-0.012435913,-0.009109497,-0.0036621094
13h13m31s842ms,-0.3083496,9.620697,-0.028915405,0.073590085,-0.011947632,-0.008544922,0.0057525635
13h13m31s918ms,-0.3083496,9.620697,-0.028915405,0.073590085,-0.006790161,-0.004638672,-0.0017242432
13h13m31s992ms,-0.31944275,9.632278,0.005844116,0.011291504,5.340576E-4,-0.008850098,0.0011138916
13h13m32s68ms,-0.31944275,9.632278,0.005844116,0.011291504,-0.006668091,-6.1035156E-5,4.119873E-4
13h13m32s140ms,-0.31944275,9.632278,0.005844116,0.011291504,-0.008224487,-0.013153076,0.0032043457
13h13m32s212ms,-0.3156128,9.631531,-0.0050201416,0.011117553,4.4250488E-4,-0.004043579,-0.0014343262
13h13m32s292ms,-0.3156128,9.631531,-0.0050201416,0.011117553,0.0050811768,0.0051727295,-0.0037994385
13h13m32s366ms,-0.3156128,9.631531,-0.0050201416,0.011117553,-0.04875183,0.098983765,0.013473511
13h13m32s436ms,-0.32565308,9.630508,-0.024734497,0.009710694,0.22058105,-0.089538574,-0.10978699
13h13m32s516ms,-0.32565308,9.630508,-0.024734497,0.009710694,0.12817383,-1.1594391,-0.89997864
13h13m32s584ms,-0.36180115,12.087723,1.1952515,0.49796143,-1.1777039,1.0898743,-0.61413574
13h13m32s660ms,-0.36180115,12.087723,1.1952515,0.49796143,0.21714783,1.2843628,-0.5251465
13h13m32s734ms,-0.36180115,12.087723,1.1952515,0.49796143,-0.28268433,1.8988495,-0.3604889
13h13m32s808ms,-1.8630829,7.3277435,3.096756,1.446109,0.67359924,2.0020294,0.7589874
13h13m32s882ms,-1.8630829,7.3277435,3.096756,1.446109,-0.25579834,1.7957916,0.6736908
