
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h12m7s282ms,-0.07324219,9.621658,-0.24482727,0.37834167,0.004989624,-0.024383545,7.6293945E-4
14h12m7s358ms,-0.07324219,9.621658,-0.24482727,0.37834167,0.001739502,-0.0011749268,-0.015686035
14h12m7s435ms,-0.07324219,9.621658,-0.24482727,0.37834167,-0.018814087,-0.93125916,0.01524353
14h12m7s506ms,0.10888672,9.610764,-0.22375488,0.19461823,0.02470398,-1.2637024,0.2315979
14h12m7s580ms,0.10888672,9.610764,-0.22375488,0.19461823,0.37065125,-0.4047699,0.23396301
14h12m7s655ms,0.10888672,9.610764,-0.22375488,0.19461823,-0.20651245,0.08187866,-1.3420105
14h12m7s728ms,0.1317749,12.735947,-0.4317932,1.1714731,0.52656555,-0.5363159,-0.5296631
14h12m7s804ms,0.1317749,12.735947,-0.4317932,1.1714731,0.18913269,-0.103775024,-1.0135803
14h12m7s877ms,-1.5081024,7.8954163,-2.4399414,2.0887375,0.29574585,-0.43566895,-0.21195984
14h12m7s951ms,-1.5081024,7.8954163,-2.4399414,2.0887375,0.7115631,-0.98535156,0.3802948
14h12m8s26ms,-1.5081024,7.8954163,-2.4399414,2.0887375,0.92581177,-1.1501007,0.5185852
14h12m8s97ms,-1.2687225,6.7954254,-3.8565063,1.8909881,0.57418823,-1.1989594,0.506546
14h12m8s175ms,-1.2687225,6.7954254,-3.8565063,1.8909881,0.12556458,-1.1186676,0.5239868
14h12m8s249ms,-1.2687225,6.7954254,-3.8565063,1.8909881,-0.26213074,-0.52420044,0.2536621
14h12m8s320ms,0.26368713,9.465225,0.13648987,2.3492799,-0.4185028,-0.29338074,0.2895813
14h12m8s395ms,0.26368713,9.465225,0.13648987,2.3492799,-0.1116333,0.03024292,0.7714691
14h12m8s469ms,-0.37597656,8.656418,0.86006165,2.5088623,-0.5915985,0.26435852,0.8717346
14h12m8s544ms,-0.37597656,8.656418,0.86006165,2.5088623,-0.2210083,0.29034424,0.30743408
14h12m8s618ms,-0.37597656,8.656418,0.86006165,2.5088623,-0.5369568,-0.34320068,-0.101745605
14h12m8s691ms,1.6425171,10.789856,-1.1628723,2.3105133,0.1579895,0.5968323,-0.89341736
14h12m8s769ms,1.6425171,10.789856,-1.1628723,2.3105133,-0.45961,0.41827393,-0.5303192
14h12m8s840ms,1.6425171,10.789856,-1.1628723,2.3105133,0.005432129,-0.08854675,-0.17364502
14h12m8s915ms,0.22721863,7.413208,-0.41679382,2.017737,0.14045715,0.3163147,0.34701538
14h12m8s989ms,0.22721863,7.413208,-0.41679382,2.017737,-0.002670288,-0.0090789795,-0.056243896
14h12m9s64ms,0.22721863,7.413208,-0.41679382,2.017737,-2.593994E-4,-0.011123657,0.0118255615
14h12m9s135ms,-0.33087158,9.635483,-0.62272644,2.2421937,0.0019226074,-0.002243042,9.0026855E-4
14h12m9s209ms,-0.33087158,9.635483,-0.62272644,2.2421937,-0.0032348633,-0.13298035,-0.007873535
14h12m9s284ms,-0.18695068,9.623932,-0.1529541,1.7105439,8.544922E-4,-0.0010681152,-0.0030059814
14h12m9s358ms,-0.18695068,9.623932,-0.1529541,1.7105439,9.1552734E-4,-0.036239624,-0.011566162
14h12m9s433ms,-0.18695068,9.623932,-0.1529541,1.7105439,8.087158E-4,-0.12109375,0.0063476563
14h12m9s506ms,-0.19854736,9.612244,-0.22982788,1.55112,-5.187988E-4,-0.061264038,-0.0053710938
14h12m9s580ms,-0.19854736,9.612244,-0.22982788,1.55112,0.0028381348,-0.15420532,-0.0030059814
14h12m9s656ms,-0.19854736,9.612244,-0.22982788,1.55112,0.0019226074,-0.2645874,0.0018310547
14h12m9s729ms,-0.21072388,9.609955,-0.16392517,1.1248901,-0.0023498535,-0.0025939941,0.0099487305
14h12m9s804ms,-0.21072388,9.609955,-0.16392517,1.1248901,-0.0012817383,0.016494751,-0.0015716553
14h12m9s879ms,-0.20246887,9.616028,-0.13482666,0.45077515,6.1035156E-5,0.0074768066,7.6293945E-4
14h12m9s949ms,-0.20246887,9.616028,-0.13482666,0.45077515,8.544922E-4,0.018051147,0.00831604
14h12m10s27ms,-0.20246887,9.616028,-0.13482666,0.45077515,-2.1362305E-4,0.0018615723,0.001953125
14h12m10s98ms,-0.19770813,9.618286,-0.16539001,0.0067718504,4.7302246E-4,0.0051727295,-0.011444092
14h12m10s173ms,-0.19770813,9.618286,-0.16539001,0.0067718504,3.6621094E-4,0.02053833,0.0031738281
14h12m10s247ms,-0.19770813,9.618286,-0.16539001,0.0067718504,-4.7302246E-4,0.015914917,0.005004883
14h12m10s320ms,-0.2040863,9.609314,-0.1708374,0.0062561035,-2.1362305E-4,0.01159668,-9.1552734E-5
14h12m10s396ms,-0.2040863,9.609314,-0.1708374,0.0062561035,-3.9672852E-4,9.613037E-4,1.5258789E-4
14h12m10s481ms,-0.2040863,9.609314,-0.1708374,0.0062561035,-0.0012817383,0.03540039,0.007446289
14h12m10s544ms,-0.20166016,9.613647,-0.18003845,0.0047851563,0.0014648438,0.024108887,-3.0517578E-5
14h12m10s619ms,-0.20166016,9.613647,-0.18003845,0.0047851563,-0.0010528564,0.009643555,-0.003692627
14h12m10s689ms,-0.19267273,9.61586,-0.17355347,0.0047698976,8.544922E-4,0.033615112,-0.014984131
14h12m10s767ms,-0.19267273,9.61586,-0.17355347,0.0047698976,0.0036773682,0.29866028,0.027389526
14h12m10s842ms,-0.19267273,9.61586,-0.17355347,0.0047698976,0.40863037,0.8135681,0.54148865
14h12m10s913ms,-0.29922485,12.722504,0.053024292,0.624884,-0.34196472,0.05886841,-1.024353
14h12m10s987ms,-0.29922485,12.722504,0.053024292,0.624884,0.12974548,-0.31585693,0.046310425
14h12m11s65ms,-0.29922485,12.722504,0.053024292,0.624884,-0.062347412,0.43302917,-0.63005066
14h12m11s136ms,0.030212402,8.394394,0.48989868,1.4900544,0.21160889,0.34831238,0.06617737
14h12m11s211ms,0.030212402,8.394394,0.48989868,1.4900544,-0.19161987,0.33085632,-0.01828003
14h12m11s285ms,0.030212402,8.394394,0.48989868,1.4900544,0.16455078,1.0075989,0.16841125
14h12m11s358ms,-0.07104492,8.356537,3.2873993,1.4958313,-0.80023193,1.1840363,-0.2281189
14h12m11s434ms,-0.07104492,8.356537,3.2873993,1.4958313,-0.458313,1.6692505,-0.17744446
14h12m11s507ms,0.15899658,9.666519,-1.1359711,1.7569611,0.24613953,1.2417755,-0.073532104
14h12m11s582ms,0.15899658,9.666519,-1.1359711,1.7569611,-0.045684814,0.42590332,-0.4427948
14h12m11s656ms,0.15899658,9.666519,-1.1359711,1.7569611,0.11807251,-0.039901733,-0.21833801
14h12m11s727ms,-0.09957886,7.295105,-4.1114807,2.2308013,-0.18643188,-0.19316101,0.06907654
14h12m11s806ms,-0.09957886,7.295105,-4.1114807,2.2308013,0.15054321,0.83665466,0.4309845
14h12m11s880ms,-0.09957886,7.295105,-4.1114807,2.2308013,0.31504822,-0.2273407,0.48703003
14h12m11s951ms,-1.8409882,9.3546295,-1.0980072,2.0213776,-0.657959,0.010009766,-0.67274475
14h12m12s25ms,-1.8409882,9.3546295,-1.0980072,2.0213776,-0.22032166,-0.043762207,0.7837982
14h12m12s99ms,-0.7993164,10.397705,-0.14588928,1.3643707,0.11303711,-0.559021,-0.03730774
14h12m12s174ms,-0.7993164,10.397705,-0.14588928,1.3643707,-0.0013122559,0.49241638,0.36250305
14h12m12s249ms,-0.7993164,10.397705,-0.14588928,1.3643707,-0.29408264,0.7517853,0.053527832
14h12m12s322ms,-1.0116577,9.644699,0.04902649,1.5074005,-0.0034179688,-0.73526,-0.09892273
14h12m12s396ms,-1.0116577,9.644699,0.04902649,1.5074005,0.03715515,0.2558136,-0.007751465
14h12m12s471ms,-1.0116577,9.644699,0.04902649,1.5074005,-0.0016021729,-0.0014953613,-1.5258789E-4
14h12m12s545ms,-0.18669128,9.680145,0.37297058,1.2524933,7.4768066E-4,0.0066070557,0.004348755
14h12m12s620ms,-0.18669128,9.680145,0.37297058,1.2524933,-1.373291E-4,-0.0037384033,-0.006515503
14h12m12s694ms,-0.18669128,9.680145,0.37297058,1.2524933,8.087158E-4,-0.024810791,-0.004333496
14h12m12s765ms,-0.14378357,9.59906,-0.15908813,0.7944275,-9.765625E-4,-0.0011749268,-0.0034179688
14h12m12s840ms,-0.14378357,9.59906,-0.15908813,0.7944275,9.460449E-4,0.0053253174,-0.0040893555
14h12m12s914ms,-0.14811707,9.625626,-0.13679504,0.38783568,-0.0011749268,-0.0034332275,-0.00440979
14h12m12s989ms,-0.14811707,9.625626,-0.13679504,0.38783568,1.2207031E-4,0.003768921,-0.0025482178
14h12m13s64ms,-0.14811707,9.625626,-0.13679504,0.38783568,8.544922E-4,0.002029419,0.0053100586
14h12m13s136ms,-0.14839172,9.619522,-0.1425476,0.18044129,-2.1362305E-4,-0.0051574707,0.0047302246
14h12m13s211ms,-0.14839172,9.619522,-0.1425476,0.18044129,7.7819824E-4,-0.0033874512,-9.613037E-4
14h12m13s287ms,-0.14839172,9.619522,-0.1425476,0.18044129,-2.1362305E-4,0.002166748,0.0031738281
14h12m13s360ms,-0.15255737,9.617966,-0.13442993,0.030151367,-9.3078613E-4,-0.0018920898,-0.00642395
14h12m13s434ms,-0.15255737,9.617966,-0.13442993,0.030151367,3.6621094E-4,0.0021209717,-0.010116577
14h12m13s506ms,-0.15501404,9.610657,-0.13800049,0.024523925,0.0021972656,0.008148193,0.004196167
14h12m13s580ms,-0.15501404,9.610657,-0.13800049,0.024523925,0.0018005371,-0.004211426,-0.0020446777
14h12m13s661ms,-0.15501404,9.610657,-0.13800049,0.024523925,-6.1035156E-5,-0.002090454,-9.3078613E-4
14h12m13s729ms,-0.13600159,9.618546,-0.15306091,0.009884643,0.002243042,0.0023956299,3.5095215E-4
14h12m13s804ms,-0.13600159,9.618546,-0.15306091,0.009884643,2.4414063E-4,0.0014190674,-0.002166748
14h12m13s878ms,-0.13600159,9.618546,-0.15306091,0.009884643,-4.7302246E-4,-0.002243042,-0.011016846
14h12m13s951ms,-0.15913391,9.618683,-0.16740417,0.004598999,8.69751E-4,0.0030670166,0.0032043457
14h12m14s27ms,-0.15913391,9.618683,-0.16740417,0.004598999,-3.9672852E-4,0.0052337646,1.5258789E-4
14h12m14s102ms,-0.15913391,9.618683,-0.16740417,0.004598999,0.017807007,0.17802429,0.026672363
14h12m14s174ms,-0.19900513,9.595322,-0.12884521,0.008050537,0.5676117,-0.04699707,1.0145569
14h12m14s249ms,-0.19900513,9.595322,-0.12884521,0.008050537,-0.4116211,0.1648407,-1.0005951
14h12m14s319ms,-0.044830322,12.99556,-0.49598694,0.6877869,0.116760254,-0.51272583,-0.29560852
14h12m14s398ms,-0.044830322,12.99556,-0.49598694,0.6877869,0.18325806,0.38705444,-0.60606384
14h12m14s472ms,-0.044830322,12.99556,-0.49598694,0.6877869,0.09786987,-0.08718872,-0.32608032
14h12m14s544ms,-0.16744995,6.4887695,-1.6624146,1.987683,0.3310089,-0.52511597,0.14570618
14h12m14s618ms,-0.16744995,6.4887695,-1.6624146,1.987683,0.788208,-0.9900665,-0.019042969
14h12m14s696ms,-0.16744995,6.4887695,-1.6624146,1.987683,0.8203125,-1.2499084,0.26800537
14h12m14s784ms,-0.7166443,8.165039,-4.68692,2.3213592,0.37625122,-1.7087097,0.23446655
14h12m14s846ms,-0.7166443,8.165039,-4.68692,2.3213592,-0.070495605,-1.8060608,0.023956299
14h12m14s915ms,0.50016785,10.244141,-0.6956787,2.737152,-0.038223267,-1.1622162,0.29057312
14h12m14s989ms,0.50016785,10.244141,-0.6956787,2.737152,-0.2756958,-0.48983765,-0.16116333
14h12m15s65ms,0.50016785,10.244141,-0.6956787,2.737152,-0.093048096,0.004623413,0.22772217
14h12m15s140ms,-0.8097687,7.239197,2.4812775,3.3334687,-0.17802429,0.57954407,0.9081116
14h12m15s212ms,-0.8097687,7.239197,2.4812775,3.3334687,-0.532547,0.24520874,0.8371887
14h12m15s287ms,-0.8097687,7.239197,2.4812775,3.3334687,-0.4726715,0.3207245,-0.065704346
14h12m15s358ms,0.8505249,10.807556,-0.27278137,3.3670928,-0.37586975,0.12522888,0.23548889
14h12m15s436ms,0.8505249,10.807556,-0.27278137,3.3670928,0.32025146,-0.768692,-0.22424316
14h12m15s512ms,0.8505249,10.807556,-0.27278137,3.3670928,-0.007980347,0.24343872,-0.123535156
14h12m15s581ms,0.12435913,9.111053,0.5421295,2.4050355,-0.01473999,0.116363525,0.009170532
14h12m15s656ms,0.12435913,9.111053,0.5421295,2.4050355,-0.008483887,-0.0072021484,-0.008743286
14h12m15s735ms,-0.28616333,9.619278,0.013137817,2.1714263,0.008270264,-0.09448242,-0.0019836426
