
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
8h26m53s115ms,2.108261,9.828857,-0.09095764,0.17114258,0.121536255,-0.19007874,0.19657898
18h26m53s185ms,2.501114,9.855728,-0.12979126,0.09900665,-0.15312195,-0.16630554,0.36854553
18h26m53s259ms,2.4371185,9.461838,-0.08041382,0.19730122,0.053009033,-0.54719543,0.16235352
18h26m53s334ms,2.1949005,8.903137,1.1746979,0.28765106,0.39614868,-0.6875458,-0.1177063
18h26m53s404ms,1.2680511,8.435226,0.1645813,0.323703,-0.28987122,-0.69070435,0.04525757
18h26m53s478ms,0.4779663,8.478699,-0.43856812,0.29816896,0.061676025,-0.6123047,-0.036026
18h26m53s549ms,-0.45785522,10.151978,-0.377594,0.6274506,-0.18167114,-0.4214325,0.057235718
18h26m53s619ms,-0.14396667,9.876846,-0.33802795,0.60369873,-0.18911743,-0.25379944,-0.019622803
18h26m53s693ms,-0.43165588,9.492722,-0.19091797,0.5687836,-0.023925781,-0.096328735,-0.15856934
18h26m53s769ms,-0.3915863,9.724243,-0.38967896,0.5215057,-0.25082397,-0.098739624,-0.12825012
18h26m53s838ms,-0.3675232,10.004364,-0.11550903,0.56883544,-0.18461609,-0.053115845,-0.08287048
18h26m53s910ms,0.16621399,9.97583,0.2522583,0.23988648,0.023147583,-0.03363037,-0.1304779
18h26m53s981ms,0.18408203,9.710114,-0.17286682,0.23800354,-0.048416138,0.054107666,-0.6377716
18h26m54s56ms,-0.21199036,9.482117,-0.749527,0.20677796,-0.15667725,-0.09535217,-0.1171875
18h26m54s129ms,0.76678467,9.429047,0.06022644,0.17108765,0.09484863,-0.138443,-0.12333679
18h26m54s200ms,0.32772827,9.766312,0.11413574,0.18251649,0.10160828,-0.07295227,-0.25601196
18h26m54s274ms,0.1880188,9.735306,-0.19395447,0.18301086,-0.09069824,-0.076828,-0.23503113
18h26m54s344ms,-0.12565613,9.726746,-0.3375702,0.1315796,-0.0037994385,-0.059020996,-0.020858765
18h26m54s418ms,-0.1678772,9.691055,-0.18721008,0.09311829,0.0018157959,-4.5776367E-5,-0.0015258789
18h26m54s488ms,-0.18539429,9.730759,-0.096954346,0.090444945,-3.2043457E-4,-0.0010986328,4.119873E-4
18h26m54s562ms,-0.1734314,9.727707,-0.10574341,0.023602296,-3.2043457E-4,1.6784668E-4,2.1362305E-4
18h26m54s632ms,-0.19081116,9.73085,-0.091293335,0.018029785,7.4768066E-4,-4.7302246E-4,-0.0017089844
18h26m54s706ms,-0.18560791,9.734421,-0.114990234,0.01703186,7.4768066E-4,-4.5776367E-5,8.8500977E-4
18h26m54s777ms,-0.18875122,9.73381,-0.109313965,0.0100158695,-7.6293945E-5,7.6293945E-4,-6.4086914E-4
18h26m54s850ms,-0.17700195,9.737289,-0.10877991,0.0027709962,-2.2888184E-4,-4.5776367E-5,-6.866455E-4
18h26m54s925ms,-0.19018555,9.754288,-0.04473877,0.0055603026,-3.2043457E-4,-4.5776367E-5,-3.3569336E-4
18h26m54s995ms,-0.19874573,9.734238,-0.044799805,0.00894165,0.0014648438,-0.0011138916,-0.0024261475
18h26m55s69ms,-0.17268372,9.737747,-0.12657166,0.008929444,7.4768066E-4,0.0010223389,4.272461E-4
18h26m55s140ms,-0.19430542,9.741791,-0.0900116,0.009616089,-3.2043457E-4,-0.09060669,1.0681152E-4
18h26m55s214ms,-0.66737366,9.816986,0.09815979,0.02395935,0.011627197,-0.014389038,0.10801697
18h26m55s284ms,-0.37187195,10.28183,-0.14479065,0.113528445,0.28198242,0.23829651,0.040664673
18h26m55s358ms,-0.6550293,9.774582,-0.39674377,0.21096802,-0.019088745,0.013839722,-0.046936035
18h26m55s428ms,-0.871933,9.7043,-0.5956726,0.22432251,-0.09223938,0.20265198,0.014022827
18h26m55s502ms,-0.7129822,9.7144165,-0.4296112,0.2255371,0.030014038,0.32447815,-9.460449E-4
18h26m55s572ms,-0.12628174,9.381088,-0.28030396,0.27716368,-0.08413696,0.26083374,0.007019043
18h26m55s646ms,0.20713806,9.423019,0.08598328,0.19258118,0.02960205,0.36167908,-0.107681274
18h26m55s720ms,0.28173828,9.451309,-0.014785767,0.096789554,-0.105041504,0.108184814,-0.20854187
18h26m55s790ms,0.6536102,9.68132,0.19950867,0.12873535,-0.12538147,0.14694214,-0.035095215
18h26m55s864ms,0.4315796,9.872925,-0.13783264,0.16503295,0.023376465,0.15539551,-0.047698975
18h26m55s935ms,0.5160675,9.65564,-0.1398468,0.14182433,-0.049835205,0.116760254,0.07501221
18h26m56s8ms,0.08660889,9.452621,0.0048980713,0.17404175,-0.15864563,0.046844482,-0.093185425
18h26m56s83ms,-0.085632324,9.438965,-1.2354126,0.17111512,0.05406189,-0.06867981,-0.21105957
