
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h46m38s47ms,-0.30096436,9.639542,-0.07522583,0.36045837,0.2782135,0.17906189,-0.2791748
14h46m38s121ms,-0.014251709,11.701401,0.9796448,1.2111588,0.38383484,0.6583557,-0.5312805
14h46m38s196ms,-0.014251709,11.701401,0.9796448,1.2111588,0.2947693,0.8953705,-0.4152069
14h46m38s270ms,-0.7891693,9.517639,1.3983765,1.5353597,0.21461487,1.2000885,-0.55870056
14h46m38s342ms,-0.7891693,9.517639,1.3983765,1.5353597,-0.05470276,1.2076874,-0.48632813
14h46m38s416ms,-0.7891693,9.517639,1.3983765,1.5353597,-0.47210693,1.2807312,-0.40489197
14h46m38s490ms,-1.4147491,7.339554,0.47579956,1.6960411,-0.5793457,1.3838043,-0.42362976
14h46m38s565ms,-1.4147491,7.339554,0.47579956,1.6960411,-0.6131592,1.3087158,-0.05937195
14h46m38s639ms,-1.4147491,7.339554,0.47579956,1.6960411,-0.46290588,0.67329407,0.39744568
14h46m38s713ms,-0.68955994,7.9056854,-0.8176575,1.4700592,-0.2260437,0.47776794,0.58703613
14h46m38s788ms,-0.68955994,7.9056854,-0.8176575,1.4700592,-0.3578186,0.17619324,0.41885376
14h46m38s863ms,-0.68955994,7.9056854,-0.8176575,1.4700592,-0.019958496,-0.13348389,0.34306335
14h46m38s936ms,0.13026428,10.914978,-0.7552643,1.9998261,0.18359375,-0.1598053,0.3093567
14h46m39s11ms,0.13026428,10.914978,-0.7552643,1.9998261,0.08735657,-0.09214783,0.2454071
14h46m39s82ms,-0.25227356,10.295074,0.41542053,1.711435,0.3053131,-0.032058716,0.05934143
14h46m39s156ms,-0.25227356,10.295074,0.41542053,1.711435,0.15010071,0.10877991,0.010467529
14h46m39s234ms,-0.25227356,10.295074,0.41542053,1.711435,0.3410797,0.0418396,0.11669922
14h46m39s305ms,0.054519653,9.733154,0.24388123,1.3870666,0.09207153,0.1131134,-0.1292572
14h46m39s380ms,0.054519653,9.733154,0.24388123,1.3870666,-0.0042266846,-0.21626282,0.024414063
14h46m39s454ms,0.054519653,9.733154,0.24388123,1.3870666,0.009002686,0.019348145,0.05380249
14h46m39s527ms,-0.40826416,9.522537,-0.0932312,0.993573,-0.009109497,-0.03742981,0.014587402
14h46m39s603ms,-0.40826416,9.522537,-0.0932312,0.993573,0.004058838,0.13342285,-0.0026397705
14h46m39s677ms,-0.40826416,9.522537,-0.0932312,0.993573,0.0023956299,0.005340576,3.6621094E-4
