
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h33m27s894ms,1.5789795,3.7035217,-3.8739624,6.2964783,-2.3332062,-0.9383545,-1.486206
14h33m27s967ms,0.031173706,-11.993027,10.153732,10.996513,2.4386597,-1.0730286,0.5964508
14h33m28s42ms,0.031173706,-11.993027,10.153732,10.996513,10.069611,-1.6363678,0.1579895
14h33m28s116ms,0.031173706,-11.993027,10.153732,10.996513,10.7638855,-0.40194702,-1.5958405
14h33m28s191ms,3.2209167,-6.8141785,12.766495,9.057292,8.134491,0.36590576,-1.7572937
14h33m28s266ms,3.2209167,-6.8141785,12.766495,9.057292,1.2323456,2.5152588,-1.3759308
14h33m28s340ms,3.2209167,-6.8141785,12.766495,9.057292,1.6261292,0.5997925,-0.43878174
14h33m28s415ms,0.45744324,3.853897,-2.8071747,9.459988,-0.6151428,1.4961243,-0.25675964
14h33m28s513ms,0.45744324,3.853897,-2.8071747,9.459988,0.7185364,0.27937317,0.16226196
14h33m28s567ms,-0.063201904,9.699417,-3.065216,8.737094,-0.53492737,0.13208008,-0.037200928
14h33m28s635ms,-0.063201904,9.699417,-3.065216,8.737094,0.06414795,-0.27687073,-0.13249207
14h33m28s709ms,-0.063201904,9.699417,-3.065216,8.737094,-0.18339539,0.15213013,-0.08628845
14h33m28s783ms,0.05834961,9.838867,-1.5529633,7.5056887,0.018737793,-0.073028564,-0.02583313
14h33m28s857ms,0.05834961,9.838867,-1.5529633,7.5056887,-0.22111511,0.047210693,-0.04298401
14h33m28s932ms,0.05834961,9.838867,-1.5529633,7.5056887,0.0385437,-0.02381897,0.023971558
14h33m29s7ms,-0.022155762,9.548355,-1.4486694,4.4244814,-0.11366272,-4.8828125E-4,-0.020477295
14h33m29s89ms,-0.022155762,9.548355,-1.4486694,4.4244814,-0.11277771,-0.016952515,0.018325806
14h33m29s157ms,0.043029785,9.8016815,-1.3463898,3.4393768,-0.330719,0.12211609,-0.08995056
14h33m29s227ms,0.043029785,9.8016815,-1.3463898,3.4393768,-7.0565186,2.297989,-1.6420135
14h33m29s302ms,0.043029785,9.8016815,-1.3463898,3.4393768,-12.001831,3.143631,-4.79158
14h33m29s390ms,1.131546,6.459549,-5.4479675,1.9741882,-4.0241394,-2.4562378,-3.2098541
14h33m29s461ms,1.131546,6.459549,-5.4479675,1.9741882,-3.7883148,-1.0422974,-2.577301
14h33m29s526ms,1.131546,6.459549,-5.4479675,1.9741882,-1.3371277,-0.76304626,-1.1372223
14h33m29s598ms,-2.3568878,-11.2226715,11.452469,4.3415284,5.9841003,-0.78578186,2.2086945
