
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h4m26s159ms,0.1843872,1.0406799,-5.2834167,8.95932,7.7826996,0.31488037,-0.05621338
13h4m26s232ms,0.1843872,1.0406799,-5.2834167,8.95932,7.3229675,-0.6156311,-0.27957153
13h4m26s307ms,0.1843872,1.0406799,-5.2834167,8.95932,4.6693726,-0.24822998,-0.36891174
13h4m26s380ms,0.6763458,-9.727798,-6.0717163,9.863899,2.496811,0.43714905,0.2725067
13h4m26s455ms,0.6763458,-9.727798,-6.0717163,9.863899,0.27697754,1.0019226,-0.60816956
13h4m26s530ms,0.6763458,-9.727798,-6.0717163,9.863899,-1.3273773,-0.6335602,0.09875488
13h4m26s603ms,0.5023804,-10.419693,-3.1188812,6.8065643,-8.261139,0.2829132,-0.6780243
13h4m26s678ms,0.5023804,-10.419693,-3.1188812,6.8065643,-9.781296,1.9710541,-1.2624054
13h4m26s753ms,0.5023804,-10.419693,-3.1188812,6.8065643,-10.145645,0.51608276,-2.43927
13h4m26s827ms,2.575241,-10.090652,-7.8984528,5.1871834,-7.743561,0.8856659,-0.9422455
13h4m26s902ms,2.575241,-10.090652,-7.8984528,5.1871834,-3.759262,-0.8361664,-1.3852386
13h4m26s973ms,1.2522125,2.8774414,-1.3075256,6.7433653,-5.889786,-0.01713562,-0.11993408
13h4m27s48ms,1.2522125,2.8774414,-1.3075256,6.7433653,-0.515213,-1.4579773,-0.782135
13h4m27s123ms,1.2522125,2.8774414,-1.3075256,6.7433653,0.37638855,-0.27626038,-0.19772339
13h4m27s196ms,1.8449249,9.910706,6.3079987,6.3581543,1.0839386,0.06933594,-0.2394867
13h4m27s273ms,1.8449249,9.910706,6.3079987,6.3581543,1.307373,-0.20532227,-0.21456909
13h4m27s347ms,1.8449249,9.910706,6.3079987,6.3581543,6.124893,-0.9045868,-0.4446411
13h4m27s419ms,1.6044769,9.56279,3.168808,4.2740417,8.477737,-0.54815674,-0.3283081
13h4m27s494ms,1.6044769,9.56279,3.168808,4.2740417,9.533859,-1.7254944,1.3829803
13h4m27s567ms,-0.719574,0.100631714,-6.1744385,6.0280943,8.087357,-0.76239014,-0.7311096
13h4m27s640ms,-0.719574,0.100631714,-6.1744385,6.0280943,5.408676,0.16992188,-0.6542511
13h4m27s719ms,-0.719574,0.100631714,-6.1744385,6.0280943,3.8056488,-0.8536682,-0.6769867
13h4m27s789ms,-0.06994629,-8.811356,-5.6100006,7.7446837,2.9700012,-1.1103363,-0.7858887
13h4m27s864ms,-0.06994629,-8.811356,-5.6100006,7.7446837,0.36668396,-0.42033386,-0.6691284
13h4m27s938ms,-0.06994629,-8.811356,-5.6100006,7.7446837,-0.9629822,0.4611206,0.41204834
13h4m28s12ms,-0.17858887,-11.670929,-0.8634491,5.7229795,-4.093445,0.6378174,0.48106384
13h4m28s86ms,-0.17858887,-11.670929,-0.8634491,5.7229795,-6.5072937,0.91064453,-0.3235321
13h4m28s163ms,-0.17858887,-11.670929,-0.8634491,5.7229795,-11.633621,2.9334564,-1.6408997
13h4m28s233ms,1.2145538,-10.42276,-6.8107452,4.565961,-8.878098,2.1218414,-2.4889069
13h4m28s308ms,1.2145538,-10.42276,-6.8107452,4.565961,-8.725845,1.1616669,-1.9951019
13h4m28s383ms,1.1073303,-0.031082153,-4.701462,6.574713,-6.557358,-0.8932953,-1.6645355
13h4m28s455ms,1.1073303,-0.031082153,-4.701462,6.574713,-3.2640076,-2.1142578,-0.5240936
13h4m28s530ms,1.1073303,-0.031082153,-4.701462,6.574713,0.63116455,-0.9500427,-0.6690216
13h4m28s604ms,0.9766388,7.3642883,8.46637,6.1613555,0.6283417,0.4460907,0.19766235
13h4m28s678ms,0.9766388,7.3642883,8.46637,6.1613555,1.5214081,-0.8571472,-0.680603
13h4m28s753ms,0.9766388,7.3642883,8.46637,6.1613555,2.5170288,0.17314148,-0.84906006
13h4m28s823ms,2.1447144,10.812775,6.0946198,5.0686555,7.032028,-1.9014587,-0.628067
13h4m28s898ms,2.1447144,10.812775,6.0946198,5.0686555,9.109756,-1.0009766,-0.75242615
13h4m28s978ms,-1.7614441,0.53315735,0.062683105,6.5526643,12.501007,-0.3925476,0.4960327
13h4m29s49ms,-1.7614441,0.53315735,0.062683105,6.5526643,7.4561768,0.21417236,-1.9560547
13h4m29s123ms,-1.7614441,0.53315735,0.062683105,6.5526643,5.5847015,0.42214966,-0.65145874
13h4m29s194ms,0.3806305,-10.368683,-8.671982,8.483398,1.9979553,0.07260132,-0.35131836
13h4m29s266ms,0.3806305,-10.368683,-8.671982,8.483398,0.27011108,-0.73069763,0.023742676
13h4m29s341ms,0.3806305,-10.368683,-8.671982,8.483398,-2.430954,0.34324646,0.26402283
13h4m29s416ms,-0.6213989,-10.916138,-5.1004944,6.514554,-7.339035,-0.17434692,-0.8708191
13h4m29s490ms,-0.6213989,-10.916138,-5.1004944,6.514554,-12.190903,1.9832611,-0.81318665
13h4m29s565ms,-0.6213989,-10.916138,-5.1004944,6.514554,-12.701675,1.3166504,-1.7505493
13h4m29s636ms,0.92422485,-10.298538,-8.477783,5.1589994,-10.113785,1.2513885,-0.56803894
13h4m29s711ms,0.92422485,-10.298538,-8.477783,5.1589994,-2.1668549,-1.1437378,-0.058425903
13h4m29s784ms,0.23875427,4.8841553,5.685318,7.5058413,-0.28884888,-1.0249481,0.09849548
13h4m29s860ms,0.23875427,4.8841553,5.685318,7.5058413,1.5609589,-0.48243713,-0.117996216
13h4m29s934ms,0.23875427,4.8841553,5.685318,7.5058413,2.3504944,-0.33299255,-0.7594147
13h4m30s8ms,3.0980377,10.459457,7.981781,6.564978,10.132172,-2.700058,-1.3641357
13h4m30s82ms,3.0980377,10.459457,7.981781,6.564978,9.321335,-1.639679,-2.3311005
13h4m30s157ms,3.0980377,10.459457,7.981781,6.564978,13.701019,-1.3795471,-0.102249146
13h4m30s227ms,-0.043273926,-2.8059235,-2.7247467,7.0376863,4.5841217,1.408493,-4.1578827
13h4m30s303ms,-0.043273926,-2.8059235,-2.7247467,7.0376863,3.4810028,1.635086,0.20692444
13h4m30s377ms,-0.043273926,-2.8059235,-2.7247467,7.0376863,0.48376465,-0.24861145,0.030914307
13h4m30s451ms,0.63916016,-12.656494,-6.727234,8.89831,-2.6032104,0.429245,0.3149109
13h4m30s525ms,0.63916016,-12.656494,-6.727234,8.89831,-6.253891,0.39767456,-0.8687744
13h4m30s597ms,1.4016113,-10.139267,-7.81604,9.2782345,-11.028519,2.5162964,-1.4396362
13h4m30s671ms,1.4016113,-10.139267,-7.81604,9.2782345,-11.736542,1.9659119,-2.3641205
13h4m30s749ms,1.4016113,-10.139267,-7.81604,9.2782345,-9.210007,1.6243591,-1.4517059
13h4m30s820ms,0.76086426,-1.86232,-3.5065613,7.8970857,-4.0278015,-0.34057617,-1.0169067
13h4m30s895ms,0.76086426,-1.86232,-3.5065613,7.8970857,0.4710846,-1.9227905,-0.63404846
13h4m30s969ms,0.76086426,-1.86232,-3.5065613,7.8970857,0.79008484,-0.11268616,-0.21229553
13h4m31s44ms,1.8433228,8.703339,6.8723755,8.895157,0.8594971,-0.28982544,-0.42044067
13h4m31s119ms,1.8433228,8.703339,6.8723755,8.895157,3.542633,-0.8718567,-0.65335083
13h4m31s189ms,1.8433228,8.703339,6.8723755,8.895157,7.547226,-1.2698975,-1.4470673
13h4m31s262ms,2.5822296,10.023315,4.375107,6.506076,15.014267,-1.5931396,-0.32115173
13h4m31s336ms,2.5822296,10.023315,4.375107,6.506076,10.346558,-0.987854,-0.0390625
13h4m31s408ms,0.48280334,-6.7857056,-4.1062927,7.897766,3.742218,1.108902,-3.1551971
13h4m31s482ms,0.48280334,-6.7857056,-4.1062927,7.897766,3.2241669,-0.23358154,0.54634094
13h4m31s563ms,0.48280334,-6.7857056,-4.1062927,7.897766,-0.70010376,0.09597778,-0.35614014
13h4m31s638ms,-0.3096161,-12.980148,-4.9791565,8.633209,-1.3687439,0.16293335,0.3874817
13h4m31s706ms,-0.3096161,-12.980148,-4.9791565,8.633209,-4.160309,0.15943909,0.045562744
13h4m31s781ms,-0.3096161,-12.980148,-4.9791565,8.633209,-8.906525,1.2153778,-0.8893585
13h4m31s854ms,1.5818481,-10.095978,-7.7131805,7.554654,-11.95874,3.0253906,-2.2440186
13h4m31s929ms,1.5818481,-10.095978,-7.7131805,7.554654,-11.554306,2.3809814,-2.890976
13h4m32s3ms,0.3844452,-2.0138397,-4.8005676,7.05795,-6.488846,0.53204346,-1.65242
13h4m32s78ms,0.3844452,-2.0138397,-4.8005676,7.05795,-2.2434692,-0.81973267,-0.88212585
13h4m32s153ms,0.3844452,-2.0138397,-4.8005676,7.05795,0.87524414,-1.3637085,-0.1566925
13h4m32s222ms,0.9226837,7.3109436,8.175262,8.658911,1.921463,-0.61842346,-0.08938599
13h4m32s302ms,0.9226837,7.3109436,8.175262,8.658911,5.17395,-1.0384369,-0.40248108
13h4m32s372ms,0.9226837,7.3109436,8.175262,8.658911,9.673828,-2.1249695,-0.8100128
13h4m32s445ms,1.2161255,7.564972,5.472519,5.347913,16.591003,-1.6338501,2.108139
13h4m32s521ms,1.2161255,7.564972,5.472519,5.347913,7.5081177,-1.1917114,-0.91334534
13h4m32s595ms,1.2161255,7.564972,5.472519,5.347913,7.2598267,-0.5045166,-0.41667175
13h4m32s688ms,0.15020752,-8.754944,-5.346405,7.3730073,3.5113373,-1.3473969,-2.401184
13h4m32s743ms,0.15020752,-8.754944,-5.346405,7.3730073,0.26278687,-0.45767212,1.476532
13h4m32s816ms,0.9438782,-10.570831,-2.3182678,7.1593504,-1.7798767,0.44380188,0.5193329
13h4m32s896ms,0.9438782,-10.570831,-2.3182678,7.1593504,-2.7820282,-0.081832886,0.9004669
13h4m32s965ms,0.9438782,-10.570831,-2.3182678,7.1593504,-6.458954,0.29432678,1.0216217
13h4m33s39ms,-0.1116333,-11.322632,-2.695877,5.693283,-14.138977,3.3865967,-1.0270996
13h4m33s114ms,-0.1116333,-11.322632,-2.695877,5.693283,-12.500381,5.552826,-2.292282
13h4m33s184ms,-0.1116333,-11.322632,-2.695877,5.693283,-9.917023,3.2449799,-3.5795746
13h4m33s257ms,-0.21400452,-3.4378357,-4.8389893,5.405286,-1.8525238,-1.4008026,-1.2051849
13h4m33s332ms,-0.21400452,-3.4378357,-4.8389893,5.405286,0.6227417,-1.6939087,-0.15126038
13h4m33s407ms,0.049926758,7.93631,6.81308,7.629309,1.3472595,-0.8554077,-0.4072113
13h4m33s477ms,0.049926758,7.93631,6.81308,7.629309,5.629471,-1.8872833,-0.4684143
13h4m33s552ms,0.049926758,7.93631,6.81308,7.629309,5.873398,-2.2982025,-0.58114624
13h4m33s625ms,-0.63165283,7.6660614,2.4230042,4.4193754,13.734726,-1.3414917,3.3686066
13h4m33s701ms,-0.63165283,7.6660614,2.4230042,4.4193754,9.044708,-1.4452515,0.9625397
13h4m33s776ms,-0.63165283,7.6660614,2.4230042,4.4193754,6.4601135,0.70687866,0.2080841
13h4m33s849ms,-0.83283997,-6.1001587,-7.442322,6.809442,4.2123566,-1.0916748,-0.5252533
13h4m33s924ms,-0.83283997,-6.1001587,-7.442322,6.809442,2.1053772,-0.88020325,0.79948425
13h4m34s0ms,-0.83283997,-6.1001587,-7.442322,6.809442,-1.6660461,-0.42845154,-0.37672424
13h4m34s79ms,-0.56040955,-11.821213,-3.197113,7.8032928,-1.8644104,0.5446167,0.64938354
