
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h49m0s172ms,-0.46096802,10.070419,1.270462,0.07041931,0.24882507,-0.11048889,0.007675171
14h49m0s247ms,-0.46096802,10.070419,1.270462,0.07041931,-1.6331787,0.4845581,-0.3567505
14h49m0s321ms,-0.8931885,9.931274,1.4125061,0.104782104,-0.86320496,0.14741516,-0.4197235
14h49m0s437ms,-0.8931885,9.931274,1.4125061,0.104782104,-0.83062744,0.13769531,-0.6579132
14h49m0s494ms,-1.3977051,9.60788,3.672577,0.177653,1.0262909,-0.36283875,-0.28378296
14h49m0s545ms,-1.3977051,9.60788,3.672577,0.177653,2.614914,0.24885559,0.47418213
14h49m0s620ms,-1.3977051,9.60788,3.672577,0.177653,0.8772583,1.5991211,-0.31793213
14h49m0s698ms,-1.8927307,9.808594,3.1254272,0.18341827,2.2036896,0.42304993,0.16516113
14h49m0s766ms,-1.8927307,9.808594,3.1254272,0.18341827,0.20805359,0.19873047,-0.38885498
14h49m0s840ms,-1.8927307,9.808594,3.1254272,0.18341827,-3.5954895,1.0692749,-0.6036682
14h49m0s922ms,-1.6024017,6.2617645,-3.2125092,0.85610044,-3.9669037,0.1242218,-0.80018616
14h49m1s5ms,-1.6024017,6.2617645,-3.2125092,0.85610044,-5.466568,0.99076843,-2.6137238
14h49m1s66ms,-1.6024017,6.2617645,-3.2125092,0.85610044,-4.719864,0.45481873,-2.5080566
14h49m1s138ms,-3.7462158,7.8086395,3.0029602,1.1513916,-4.7510376,0.58880615,-2.2448578
14h49m1s212ms,-3.7462158,7.8086395,3.0029602,1.1513916,-3.9723053,-0.41444397,-2.9282227
14h49m1s284ms,-4.636154,-1.5065613,5.7947693,2.9866028,-2.197815,-1.0886993,-2.551941
14h49m1s358ms,-4.636154,-1.5065613,5.7947693,2.9866028,-1.8866577,-0.6699524,-1.2764893
14h49m1s433ms,-4.636154,-1.5065613,5.7947693,2.9866028,0.29718018,-0.2683258,0.40693665
14h49m1s507ms,-3.9947357,-9.790604,7.7196198,4.5787325,-0.44953918,0.31860352,0.441864
14h49m1s583ms,-3.9947357,-9.790604,7.7196198,4.5787325,-0.46255493,0.006652832,-0.25328064
14h49m1s657ms,-3.9947357,-9.790604,7.7196198,4.5787325,-0.819046,-0.13374329,-0.7054596
14h49m1s731ms,-2.74794,-5.7936707,4.6398926,5.337976,-0.7537842,-0.30355835,-0.75686646
14h49m1s805ms,-2.74794,-5.7936707,4.6398926,5.337976,0.33854675,-0.17362976,-0.031845093
14h49m1s876ms,-2.95755,-9.157944,5.789276,5.301465,1.7245789,-0.20509338,0.63223267
14h49m1s954ms,-2.95755,-9.157944,5.789276,5.301465,5.5530243,-1.0162048,2.205429
14h49m2s29ms,-2.95755,-9.157944,5.789276,5.301465,4.426773,-0.4688263,1.6885071
14h49m2s100ms,-2.8467712,-6.838501,9.015167,5.4559784,4.3528748,0.5347748,1.4352722
14h49m2s175ms,-2.8467712,-6.838501,9.015167,5.4559784,4.764786,-0.015014648,0.79545593
14h49m2s250ms,-2.8467712,-6.838501,9.015167,5.4559784,3.3805084,0.0137786865,0.62101746
14h49m2s323ms,-2.2427063,3.8373108,6.4153137,5.728101,3.323166,-0.33146667,-0.028579712
14h49m2s399ms,-2.2427063,3.8373108,6.4153137,5.728101,2.3335266,-0.020751953,-0.051651
14h49m2s474ms,-2.2427063,3.8373108,6.4153137,5.728101,1.7961426,0.2845459,0.23165894
14h49m2s547ms,-2.5055084,8.197876,2.6474152,4.943405,1.286499,0.5579529,0.24169922
14h49m2s622ms,-2.5055084,8.197876,2.6474152,4.943405,0.39546204,0.0925293,0.4954071
14h49m2s693ms,-1.9927521,8.549149,-1.4388428,4.214273,-0.2431488,-0.13143921,0.26435852
14h49m2s767ms,-1.9927521,8.549149,-1.4388428,4.214273,-0.23825073,-0.1871643,-0.02835083
14h49m2s847ms,-1.9927521,8.549149,-1.4388428,4.214273,-0.44415283,0.14611816,-0.23963928
14h49m2s917ms,-1.5554962,10.311737,-0.247818,3.8939362,-2.2422028,0.23300171,-0.5803528
14h49m2s992ms,-1.5554962,10.311737,-0.247818,3.8939362,-3.3649902,0.4586792,-0.9623108
14h49m3s66ms,-1.5554962,10.311737,-0.247818,3.8939362,1.0899048,-1.3111267,0.1975708
14h49m3s140ms,-2.5190735,8.082672,2.3864746,3.8758607,-1.7361145,0.52549744,-0.41558838
14h49m3s214ms,-2.5190735,8.082672,2.3864746,3.8758607,0.91778564,-0.24253845,0.12997437
14h49m3s285ms,-2.7111816,8.37294,5.146347,1.7987518,0.5708771,0.071746826,-0.036743164
14h49m3s364ms,-2.7111816,8.37294,5.146347,1.7987518,-0.055145264,-0.11216736,0.037506104
14h49m3s438ms,-2.7111816,8.37294,5.146347,1.7987518,0.5735779,-0.16290283,0.13703918
14h49m3s509ms,-2.7379303,8.256775,3.6165771,0.94987184,-0.3890381,0.25585938,-0.0687561
14h49m3s584ms,-2.7379303,8.256775,3.6165771,0.94987184,-7.960251,1.8970642,-1.8705597
14h49m3s659ms,-2.7379303,8.256775,3.6165771,0.94987184,1.6681824,-1.626358,-0.034866333
14h49m3s732ms,-3.4843903,6.087677,5.0027313,1.3134369,-3.4003754,1.0565491,-0.61886597
14h49m3s808ms,-3.4843903,6.087677,5.0027313,1.3134369,-2.1996765,0.12348938,-0.38058472
14h49m3s883ms,-3.4843903,6.087677,5.0027313,1.3134369,-4.216461,0.83065796,-0.9469757
14h49m3s956ms,-4.145996,2.4138336,7.406723,1.6956879,-2.6598206,0.07319641,-0.9226227
14h49m4s33ms,-4.145996,2.4138336,7.406723,1.6956879,-2.3818817,-0.08921814,-1.2301941
14h49m4s119ms,-4.514435,-2.4690857,7.594208,2.2264588,-1.9516907,-0.06918335,-1.4731598
14h49m4s177ms,-4.514435,-2.4690857,7.594208,2.2264588,-1.631897,-0.3536377,-1.2780914
14h49m4s255ms,-4.514435,-2.4690857,7.594208,2.2264588,-0.59490967,-0.06365967,-0.2624359
14h49m4s326ms,-4.03891,-8.660278,6.4631042,3.4066436,-0.05178833,-0.35462952,0.32377625
14h49m4s401ms,-4.03891,-8.660278,6.4631042,3.4066436,-0.5301666,-0.052078247,0.067596436
14h49m4s475ms,-4.03891,-8.660278,6.4631042,3.4066436,-0.34950256,0.07272339,-0.22651672
14h49m4s549ms,-3.0576477,-7.313904,5.862793,3.6526856,-0.40394592,-0.08457947,-0.38739014
14h49m4s624ms,-3.0576477,-7.313904,5.862793,3.6526856,0.05543518,-0.24266052,-0.074920654
14h49m4s700ms,-3.020218,-8.139008,4.9272614,3.3838868,0.15560913,-0.068740845,-0.019454956
14h49m4s773ms,-3.020218,-8.139008,4.9272614,3.3838868,0.64845276,-0.19955444,0.2069397
