
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
0h15m45s574ms,-0.5720825,9.831696,-0.310318,0.16830444,-8.229919,0.84599304,5.6593475
10h15m45s650ms,0.7077637,6.374161,1.3990936,1.8129196,-6.66626,-1.176651,3.6768188
10h15m45s719ms,0.7077637,6.374161,1.3990936,1.8129196,-3.9584656,-0.90618896,2.527481
10h15m45s797ms,0.7077637,6.374161,1.3990936,1.8129196,-2.0534973,-0.99935913,0.971344
10h15m45s868ms,5.945221,-2.8122406,6.674774,4.2707467,-0.35865784,-0.47262573,0.21673584
10h15m45s945ms,5.945221,-2.8122406,6.674774,4.2707467,1.6124878,0.38757324,-0.8661499
10h15m46s48ms,7.296036,-7.356003,8.551361,4.3390007,5.01593,0.44880676,-2.9944
10h15m46s94ms,7.296036,-7.356003,8.551361,4.3390007,6.827667,0.7506561,-6.267853
10h15m46s165ms,7.296036,-7.356003,8.551361,4.3390007,6.291687,0.17250061,-5.5977783
10h15m46s240ms,6.1715393,-2.4562378,5.9669037,4.4511538,3.8034363,0.9686127,-2.7011719
10h15m46s315ms,6.1715393,-2.4562378,5.9669037,4.4511538,2.7012177,0.55848694,-1.9067688
10h15m46s389ms,6.1715393,-2.4562378,5.9669037,4.4511538,-0.13641357,-0.12835693,0.23703003
10h15m46s460ms,-2.5167084,8.642044,-1.8913269,6.637149,0.2124939,-0.04374695,0.22686768
10h15m46s536ms,-2.5167084,8.642044,-1.8913269,6.637149,-0.3873291,-0.4159546,0.007156372
10h15m46s609ms,-1.1832886,11.532135,-1.5980988,6.52366,-1.3161774,0.083221436,0.5714569
10h15m46s685ms,-1.1832886,11.532135,-1.5980988,6.52366,-4.5313416,-0.25001526,2.6263428
10h15m46s759ms,-1.1832886,11.532135,-1.5980988,6.52366,-6.612808,0.25022888,3.3589325
10h15m46s833ms,-0.5309601,4.859131,0.60494995,6.020981,-8.786377,0.35960388,5.2335815
10h15m46s907ms,-0.5309601,4.859131,0.60494995,6.020981,-3.5150146,-2.1768036,1.7748871
10h15m46s982ms,-0.5309601,4.859131,0.60494995,6.020981,-2.5965424,-1.2701721,1.3092041
10h15m47s57ms,5.9967194,-3.3202057,7.5898895,6.7480955,-0.97465515,-0.25779724,0.6037903
10h15m47s131ms,5.9967194,-3.3202057,7.5898895,6.7480955,0.5526123,0.16802979,-0.26005554
10h15m47s206ms,5.9967194,-3.3202057,7.5898895,6.7480955,2.9012299,0.73179626,-1.1594238
10h15m47s277ms,7.4171906,-6.734848,9.364838,6.4510713,6.776657,1.2380219,-4.378357
10h15m47s352ms,7.4171906,-6.734848,9.364838,6.4510713,7.368973,0.15362549,-5.3423767
10h15m47s425ms,5.963196,-2.826889,6.6164856,5.0130067,5.2175293,-0.3444214,-3.9005127
10h15m47s501ms,5.963196,-2.826889,6.6164856,5.0130067,3.1898499,0.6711426,-1.919754
10h15m47s576ms,5.963196,-2.826889,6.6164856,5.0130067,1.2052307,0.27157593,-0.46673584
10h15m47s649ms,-2.2240906,7.216034,-0.15681458,6.443573,0.45140076,0.22290039,0.36357117
10h15m47s724ms,-2.2240906,7.216034,-0.15681458,6.443573,0.024795532,-0.23617554,0.6445465
10h15m47s798ms,-2.2240906,7.216034,-0.15681458,6.443573,-1.7785339,-0.4046631,0.71473694
10h15m47s869ms,-1.4343109,12.580521,-2.7367554,6.1818695,-6.4720764,0.14152527,2.880249
10h15m47s947ms,-1.4343109,12.580521,-2.7367554,6.1818695,-9.507538,0.5836029,3.819397
10h15m48s20ms,0.85266113,2.8039246,1.6570435,6.5013213,-6.633362,-2.1982727,2.4663086
10h15m48s93ms,0.85266113,2.8039246,1.6570435,6.5013213,-4.462204,-2.481186,3.479599
10h15m48s170ms,0.85266113,2.8039246,1.6570435,6.5013213,-1.885315,-2.0193176,2.0965881
10h15m48s242ms,6.070755,-6.4301147,6.2163544,7.6652007,-0.58514404,-0.80648804,0.4369049
10h15m48s316ms,6.070755,-6.4301147,6.2163544,7.6652007,0.5444946,-0.09611511,-0.2474823
10h15m48s392ms,6.070755,-6.4301147,6.2163544,7.6652007,1.6081848,0.56744385,-0.90153503
10h15m48s465ms,6.866974,-8.050919,6.6877747,7.20777,5.4261017,0.5193329,-3.659134
10h15m48s540ms,6.866974,-8.050919,6.6877747,7.20777,7.011612,0.94425964,-5.9179993
10h15m48s615ms,6.866974,-8.050919,6.6877747,7.20777,5.43454,0.2771454,-4.6698914
10h15m48s684ms,7.567032,-4.4128876,7.2236023,5.926791,4.0742188,1.028717,-2.6711273
10h15m48s759ms,7.567032,-4.4128876,7.2236023,5.926791,2.7093353,0.37426758,-2.1921997
10h15m48s833ms,-0.32667542,5.858597,0.47709656,6.9081907,1.1499329,0.007751465,-1.0216827
10h15m48s908ms,-0.32667542,5.858597,0.47709656,6.9081907,0.25160217,-0.25219727,0.09030151
10h15m48s990ms,-0.32667542,5.858597,0.47709656,6.9081907,-0.32002258,-0.07398987,0.26371765
10h15m49s53ms,-2.168686,10.58429,-2.0294495,5.8980103,-0.6722412,-0.44502258,0.69332886
10h15m49s131ms,-2.168686,10.58429,-2.0294495,5.8980103,-6.2054443,1.2246094,2.3056183
10h15m49s207ms,-2.168686,10.58429,-2.0294495,5.8980103,-10.595642,0.13137817,3.6675568
10h15m49s278ms,-1.1607208,6.0671387,-1.1979675,4.9546328,-6.0779877,-3.288437,2.647644
10h15m49s353ms,-1.1607208,6.0671387,-1.1979675,4.9546328,-4.919388,-2.2022095,2.3173523
10h15m49s427ms,5.3975067,-6.244446,7.876007,7.0927887,-1.9421692,-2.393753,1.8560486
10h15m49s500ms,5.3975067,-6.244446,7.876007,7.0927887,-0.613327,-0.9225311,0.83955383
10h15m49s575ms,5.3975067,-6.244446,7.876007,7.0927887,0.36895752,-0.40551758,-0.050491333
10h15m49s645ms,6.997055,-6.9906006,6.455414,6.5144134,1.4946289,0.56703186,-1.0381775
10h15m49s719ms,6.997055,-6.9906006,6.455414,6.5144134,4.3874054,1.1266937,-2.6679993
10h15m49s794ms,6.997055,-6.9906006,6.455414,6.5144134,6.3619995,2.847458,-5.5644073
10h15m49s865ms,9.387024,-6.3622894,7.9159546,4.5857787,7.0456085,0.36787415,-5.3307495
10h15m49s940ms,9.387024,-6.3622894,7.9159546,4.5857787,5.0870514,-0.018356323,-3.6525726
10h15m50s15ms,9.387024,-6.3622894,7.9159546,4.5857787,2.8153687,0.51371765,-1.4164734
10h15m50s89ms,-0.81996155,2.0299072,1.8382568,5.3190794,0.76556396,0.55288696,-0.9376373
10h15m50s163ms,-0.81996155,2.0299072,1.8382568,5.3190794,0.671463,-0.49945068,0.34220886
10h15m50s237ms,-2.6250305,11.409683,-1.7945557,6.2916045,-0.07055664,0.09642029,0.15745544
10h15m50s311ms,-2.6250305,11.409683,-1.7945557,6.2916045,-0.3859253,-0.12301636,0.49819946
10h15m50s386ms,-2.6250305,11.409683,-1.7945557,6.2916045,-1.1390533,-0.38345337,1.093338
10h15m50s457ms,-1.727417,11.39061,-2.1909485,3.8331025,-4.1020813,-0.063064575,1.9974365
10h15m50s535ms,-1.727417,11.39061,-2.1909485,3.8331025,-8.338501,1.0704651,3.4736176
10h15m50s610ms,-1.727417,11.39061,-2.1909485,3.8331025,-6.0170593,-1.3675995,2.756363
10h15m50s680ms,0.5123596,3.5027618,2.7074432,5.261441,-6.338318,0.26712036,2.0943909
10h15m50s754ms,0.5123596,3.5027618,2.7074432,5.261441,-2.789444,-1.4203339,0.61265564
10h15m50s829ms,0.5123596,3.5027618,2.7074432,5.261441,-1.91893,-0.7690277,0.7224579
10h15m50s904ms,3.6080322,-5.5290985,6.3978424,6.942151,-0.7181549,-0.306839,-0.10864258
10h15m50s979ms,3.6080322,-5.5290985,6.3978424,6.942151,-0.24629211,0.07914734,0.22814941
10h15m51s50ms,5.1367645,-7.713913,6.9808044,5.7006745,1.1332855,0.14717102,-0.3432312
10h15m51s124ms,5.1367645,-7.713913,6.9808044,5.7006745,4.4381256,0.5485382,-1.1430054
10h15m51s201ms,5.1367645,-7.713913,6.9808044,5.7006745,7.1458282,1.3021088,-3.3354187
10h15m51s274ms,5.6650543,-6.4908752,8.6432495,4.069327,6.8865204,0.2593689,-3.6578674
10h15m51s348ms,5.6650543,-6.4908752,8.6432495,4.069327,5.715088,1.0278473,-2.8019257
10h15m51s424ms,5.6650543,-6.4908752,8.6432495,4.069327,4.378006,-0.15690613,-1.6122589
10h15m51s496ms,0.21800232,2.304245,1.5980682,5.8245363,1.3155975,-0.16430664,-0.51898193
10h15m51s571ms,0.21800232,2.304245,1.5980682,5.8245363,0.7079773,0.12036133,-0.04988098
