
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
8h28m16s828ms,-0.33976746,6.5558624,-1.1343231,3.4441376,-9.72142,-1.5871277,-1.7254944
18h28m16s901ms,0.6884155,-5.563431,-1.3854523,7.7817154,-11.125565,2.100769,-3.4167786
18h28m16s971ms,-4.0803375,-12.543732,9.628494,7.5145774,-2.2069855,-0.81266785,0.052474976
18h28m17s46ms,-11.175598,-8.112152,19.17189,6.743828,6.340805,0.6493225,1.4458771
18h28m17s116ms,-5.3121185,-6.581131,19.152481,5.7012663,10.59642,-1.9459534,3.0892487
18h28m17s186ms,-2.062973,-5.8276367,7.839325,5.163138,9.866928,-0.6086426,1.7889099
18h28m17s260ms,-2.078537,0.31921387,-1.4033813,3.9686494,7.125595,-0.2922821,1.5748901
18h28m17s334ms,-0.62223816,6.3355865,-12.22876,3.7758636,0.26005554,0.6674347,0.23657227
18h28m17s404ms,1.0718079,9.369629,-5.812256,3.4963562,-1.0928955,0.24479675,0.082611084
18h28m17s477ms,1.0995483,9.638306,-1.9090881,3.2438874,-0.56877136,0.057418823,-0.091674805
18h28m17s548ms,0.07847595,11.15892,-1.0529022,3.3973114,-0.39294434,-0.028030396,0.13656616
18h28m17s622ms,0.49024963,9.930237,-1.3681946,2.413678,-0.11117554,-0.0057373047,-0.1719513
18h28m17s696ms,0.37631226,9.680786,-1.7329712,1.2602936,-0.24052429,-0.021835327,-0.05621338
18h28m17s766ms,1.373291E-4,9.527786,-1.1658936,0.6840851,-0.17079163,-0.14205933,-0.010177612
18h28m17s840ms,-0.14611816,9.528641,-1.704895,0.63052064,-0.5948639,0.15388489,-0.26785278
18h28m17s910ms,0.23335266,9.792496,-1.3246613,0.3791687,-2.7837677,-0.12522888,-0.30075073
18h28m17s985ms,0.3773651,4.237076,-3.8549652,1.244516,-8.114838,0.56144714,-1.5544739
18h28m18s56ms,-0.79582214,-2.9723663,5.9611816,2.6365142,-9.762543,2.719986,-3.9509888
18h28m18s128ms,-3.9329987,-10.338776,7.629837,4.079196,-6.871002,-1.122345,-1.3961945
18h28m18s198ms,-4.6883698,-10.408234,12.27002,4.092917,-4.749649,0.097976685,-0.13572693
18h28m18s272ms,-4.1842194,-4.5586853,19.309875,5.2100554,4.838501,-1.3209534,0.50387573
18h28m18s347ms,-4.286026,-7.234421,17.39856,4.6341186,8.80455,-1.5050812,1.521698
18h28m18s417ms,-0.95903015,-10.096909,11.9935,3.7647278,9.611542,-1.1779785,1.4589691
18h28m18s490ms,-2.0184784,-5.350296,7.548538,3.2407684,6.768585,-1.2058563,1.3105469
18h28m18s561ms,0.047790527,4.268173,-2.58284,5.150571,3.4938965,0.18603516,0.4537506
18h28m18s634ms,-0.6855469,8.583832,-4.050232,4.843793,1.4116058,-0.14387512,0.25421143
18h28m18s710ms,2.0199127,10.462311,-4.1185913,4.6843414,-0.6940155,-0.047714233,-0.13146973
18h28m18s780ms,2.2557678,10.266403,-3.3015137,4.1510253,-0.4354248,-0.0743103,-0.36012268
18h28m18s853ms,1.0895386,9.890045,0.25857544,3.2769744,0.0693512,0.18148804,-0.33969116
18h28m18s923ms,0.46429443,9.373367,-1.104599,1.4566162,-0.007736206,0.16358948,-0.24554443
18h28m18s993ms,0.4370575,9.26442,-1.3822784,0.6152741,-0.16326904,0.0716095,-0.1359253
18h28m19s68ms,0.5589447,9.367508,-2.1221008,0.2601959,-1.1311188,0.15133667,-0.22862244
18h28m19s141ms,0.84713745,8.269714,-3.0482788,0.44057313,-4.1668396,0.4497223,-1.0419006
18h28m19s212ms,0.7355194,5.1772003,-3.2838135,0.98380435,-9.780411,1.8784332,-3.7662506
18h28m19s285ms,-1.6995544,-2.835144,5.075653,2.4829376,-10.078354,0.10496521,-3.3878632
18h28m19s357ms,-3.0088196,-9.826355,11.459915,3.8593903,-5.7333527,-0.6356201,-2.1570892
18h28m19s431ms,-5.2072754,-8.6175995,15.058014,4.0805235,-0.7658539,0.3581848,-0.65560913
18h28m19s504ms,-6.287964,-5.9736633,16.858826,4.3897524,5.5701294,-1.4728851,1.8404236
18h28m19s574ms,-5.759323,-6.631363,14.987076,3.9027894,8.222595,-1.2208405,2.435852
18h28m19s648ms,-2.0359497,-7.756317,12.731674,2.5253112,8.916626,-1.315033,1.402832
18h28m19s719ms,-0.4512024,2.142746,2.5636292,3.1068816,6.45282,-0.86224365,-0.0446167
18h28m19s792ms,-1.4519806,6.207245,-1.3165131,3.6780305,3.7894897,-0.52690125,0.4754181
18h28m19s863ms,-0.23828125,9.133926,-3.6032715,3.7345796,1.2910461,-0.52619934,0.6596832
18h28m19s936ms,1.1124115,9.726196,-2.830719,3.7214935,-0.38778687,0.19770813,0.121414185
18h28m20s7ms,1.1650696,9.6944275,-1.5592651,3.5028565,-0.11476135,0.17919922,-0.13516235
18h28m20s80ms,0.94288635,9.833801,-1.6390076,1.5509186,-0.36660767,0.32806396,-0.17047119
18h28m20s155ms,0.7688904,9.674637,-1.1340485,0.7698517,-0.30369568,0.047683716,0.07951355
18h28m20s225ms,0.9853363,9.646774,-1.0236969,0.19008788,-0.12339783,0.06573486,0.009307861
18h28m20s295ms,0.7323761,9.593628,-0.50019836,0.08226319,-0.32572937,0.11767578,0.020935059
18h28m20s369ms,0.3033905,9.137222,-2.7422638,0.16719055,-3.0102081,0.51330566,-0.25280762
18h28m20s438ms,0.85346985,9.171188,-3.091919,0.14610901,-8.571747,0.4237213,-0.47488403
18h28m20s514ms,-1.0317993,2.4616394,-4.6539764,1.4561859,-10.548828,2.4685822,-2.3223877
18h28m20s583ms,-1.404953,-10.584015,11.222092,4.0597444,-9.972107,2.1238708,-2.2321014
18h28m20s656ms,-3.0513458,-9.718369,12.181274,4.2222443,-3.9481812,0.63409424,-1.9140625
18h28m20s726ms,-6.484253,-9.956848,15.559601,4.178659,2.9032135,-1.3095245,0.54989624
18h28m20s800ms,-5.05011,-9.777756,18.420624,4.2076845,9.312408,-1.3443451,1.7990875
18h28m20s875ms,-0.89416504,-11.698334,12.720749,3.24989,9.855408,-0.09718323,1.8878326
18h28m20s953ms,0.7570343,-7.782593,6.0961456,1.4239075,8.951706,-1.503952,1.2515717
18h28m21s19ms,-0.28915405,0.96998596,1.1255035,3.001294,5.2389374,-0.4071808,0.7795563
18h28m21s89ms,-0.29618835,6.800583,-3.6587524,4.1197176,1.697052,0.020584106,0.32363892
18h28m21s163ms,1.5728302,9.618469,-6.336685,4.647476,-0.29682922,0.65478516,-0.22697449
18h28m21s237ms,1.3283997,9.822433,-2.3147888,4.3041534,-0.31108093,-0.04246521,-0.13865662
18h28m21s303ms,2.3647614,10.168625,-0.9769592,3.5902436,-0.3304596,0.20777893,-0.2778015
18h28m21s376ms,0.52456665,9.148483,-2.1346283,2.043756,0.16313171,0.0020599365,-0.093948364
18h28m21s447ms,1.0842896,9.487991,-0.7879944,0.94553834,-0.22789001,0.022994995,-0.019714355
18h28m21s517ms,1.1091766,9.574249,-1.4776764,0.39921266,-0.43040466,0.048202515,-0.11557007
18h28m21s590ms,0.75738525,9.496826,-1.09375,0.3739044,-0.71180725,0.21199036,-0.23362732
18h28m21s664ms,0.86361694,9.5047,-2.0013428,0.30624086,-2.0549622,0.528183,-0.6760559
18h28m21s735ms,-0.16334534,8.075653,-3.7569275,0.38802186,-5.7155,-0.035980225,-0.44714355
