
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h14m42s658ms,-0.04475403,9.338699,-1.3536072,0.66130066,-7.743088,0.9764099,1.2984772
13h14m42s730ms,-0.015853882,2.314499,7.2806854,3.8427505,-4.7043,1.983551,0.8136444
13h14m42s803ms,-0.015853882,2.314499,7.2806854,3.8427505,-3.7006989,1.8096161,0.5079193
13h14m42s882ms,-0.015853882,2.314499,7.2806854,3.8427505,-1.1817474,-0.4096222,-0.04650879
13h14m42s953ms,-1.7648315,-3.6880798,8.431702,4.562693,-0.4624939,-0.35202026,-0.060638428
13h14m43s27ms,-1.7648315,-3.6880798,8.431702,4.562693,-0.08076477,0.08042908,0.11364746
13h14m43s102ms,-1.7648315,-3.6880798,8.431702,4.562693,0.94099426,-0.46844482,-0.14131165
13h14m43s180ms,-1.7165985,-6.2591248,9.074493,4.064781,7.099411,-1.8132172,-0.7688446
13h14m43s250ms,-1.7165985,-6.2591248,9.074493,4.064781,9.324692,-2.6148682,-1.5467987
13h14m43s325ms,0.28796387,-1.0817108,10.192673,4.2873077,7.6529083,-1.8302765,-2.1253052
13h14m43s399ms,0.28796387,-1.0817108,10.192673,4.2873077,4.7689514,-0.38894653,-1.6669312
13h14m43s473ms,0.28796387,-1.0817108,10.192673,4.2873077,0.55462646,0.894516,-0.4814148
13h14m43s544ms,-0.55737305,7.5330963,-1.1656036,5.878009,-0.00440979,-0.21418762,-0.15953064
13h14m43s619ms,-0.55737305,7.5330963,-1.1656036,5.878009,0.18655396,-0.16339111,-0.04484558
13h14m43s697ms,-0.55737305,7.5330963,-1.1656036,5.878009,-0.24671936,0.33789063,0.10922241
13h14m43s768ms,-0.98683167,9.140152,-1.1645355,4.79458,0.077438354,0.023483276,0.10429382
13h14m43s843ms,-0.98683167,9.140152,-1.1645355,4.79458,-0.17359924,0.071762085,0.08703613
13h14m43s917ms,-0.98683167,9.140152,-1.1645355,4.79458,0.053131104,-0.027740479,0.068878174
13h14m43s991ms,-0.5870819,9.632156,-1.2511444,3.6924653,-0.1685791,0.1438446,0.04171753
13h14m44s65ms,-0.5870819,9.632156,-1.2511444,3.6924653,0.018539429,-0.08605957,0.031951904
13h14m44s150ms,-0.5222168,9.583572,-1.22406,3.187973,-0.1161499,0.014801025,0.039764404
13h14m44s236ms,-0.5222168,9.583572,-1.22406,3.187973,0.080200195,-0.0012207031,0.015655518
