
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h13m9s842ms,-0.5647125,9.747086,0.06677246,0.25291443,0.023590088,0.06253052,0.020004272
14h13m9s916ms,-0.5647125,9.747086,0.06677246,0.25291443,-0.012023926,0.0012817383,0.020736694
14h13m9s987ms,-0.72618103,9.529434,-0.21269226,0.2352829,0.028915405,0.0048828125,0.017120361
14h13m10s64ms,-0.72618103,9.529434,-0.21269226,0.2352829,-0.0544281,-0.006729126,-0.0024414063
14h13m10s139ms,-0.72720337,9.563919,-0.25476074,0.16835022,0.06503296,-0.09277344,0.05796814
14h13m10s211ms,-0.72720337,9.563919,-0.25476074,0.16835022,0.02279663,-0.0038452148,0.016586304
14h13m10s286ms,-0.72720337,9.563919,-0.25476074,0.16835022,0.033966064,-0.018692017,0.05253601
14h13m10s358ms,-0.69151306,9.611221,-0.2033844,0.13808823,0.13667297,-0.040420532,0.10549927
14h13m10s435ms,-0.69151306,9.611221,-0.2033844,0.13808823,0.119400024,-0.03211975,0.034103394
14h13m10s509ms,-0.69151306,9.611221,-0.2033844,0.13808823,0.062927246,-0.1179657,-0.028137207
14h13m10s582ms,-0.5913849,9.712418,-0.47410583,0.13070984,0.52557373,-0.09020996,0.14196777
14h13m10s657ms,-0.5913849,9.712418,-0.47410583,0.13070984,0.6021576,0.019729614,0.19116211
14h13m10s728ms,-0.56492615,9.404297,-0.84542847,0.1417511,1.6709442,-0.7375488,0.31762695
14h13m10s805ms,-0.56492615,9.404297,-0.84542847,0.1417511,1.4550476,-0.4270172,0.28904724
14h13m10s879ms,-0.56492615,9.404297,-0.84542847,0.1417511,4.058716,-1.2845154,0.90966797
14h13m10s950ms,-0.38987732,7.883606,-3.1317139,0.402359,5.6141815,-1.1020203,0.87849426
14h13m11s25ms,-0.38987732,7.883606,-3.1317139,0.402359,6.8832245,-1.2864532,0.31933594
14h13m11s99ms,-0.38987732,7.883606,-3.1317139,0.402359,5.7201843,-1.5035248,-0.16217041
14h13m11s174ms,-1.1200562,-0.057235718,-8.124313,1.9836304,3.792572,-0.122177124,-0.7300873
14h13m11s248ms,-1.1200562,-0.057235718,-8.124313,1.9836304,1.3453064,0.4111786,-0.30003357
14h13m11s323ms,-1.1200562,-0.057235718,-8.124313,1.9836304,-3.811203,0.37251282,0.37963867
14h13m11s396ms,-2.3558807,-9.013428,-10.444656,3.7654083,-8.168854,1.9490814,0.8720398
14h13m11s476ms,-2.3558807,-9.013428,-10.444656,3.7654083,-9.764267,1.6090851,-0.48168945
14h13m11s545ms,-0.20889282,-4.003174,-9.441101,4.74722,-8.3203125,0.16368103,-1.3881683
14h13m11s620ms,-0.20889282,-4.003174,-9.441101,4.74722,-2.9154663,-1.6196594,-0.5371399
14h13m11s694ms,-0.20889282,-4.003174,-9.441101,4.74722,-0.10231018,-0.033218384,0.07498169
14h13m11s765ms,-0.62745667,7.8132324,1.7024841,7.048877,-0.40638733,0.21212769,-0.014984131
14h13m11s839ms,-0.62745667,7.8132324,1.7024841,7.048877,0.30429077,-0.029296875,-0.072631836
14h13m11s918ms,-0.62745667,7.8132324,1.7024841,7.048877,0.20787048,0.100997925,-0.014709473
14h13m11s988ms,-0.533844,9.708054,0.6410675,7.123703,0.034591675,-0.0026245117,-0.11282349
14h13m12s63ms,-0.533844,9.708054,0.6410675,7.123703,-0.014190674,0.015655518,0.051605225
14h13m12s137ms,-0.60902405,9.471069,-0.06729126,5.5829315,-0.013015747,-0.1769104,-0.053115845
14h13m12s212ms,-0.60902405,9.471069,-0.06729126,5.5829315,0.12037659,-0.009674072,0.018173218
14h13m12s286ms,-0.60902405,9.471069,-0.06729126,5.5829315,2.169693,-0.59198,0.20111084
14h13m12s359ms,-0.6957092,9.221039,2.2951813,3.8416991,9.634857,-1.1923676,-0.22694397
14h13m12s434ms,-0.6957092,9.221039,2.2951813,3.8416991,9.002686,0.58750916,-1.0921783
14h13m12s508ms,-0.6957092,9.221039,2.2951813,3.8416991,5.2926025,0.43988037,-0.4054718
14h13m12s582ms,-0.73147583,-2.5081787,-7.567932,5.185492,2.406433,0.103759766,-0.5072632
14h13m12s657ms,-0.73147583,-2.5081787,-7.567932,5.185492,-0.04055786,-0.49124146,0.19342041
