
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
5h0m10s106ms,-1.0836029,9.453873,-0.038253784,0.5461273,0.17340088,-0.3429718,0.06674194
15h0m10s166ms,-0.98332214,9.755188,0.25846863,0.4237213,0.5503235,0.12748718,-0.014678955
15h0m10s240ms,-0.98332214,9.755188,0.25846863,0.4237213,0.5979004,-0.05960083,0.11949158
15h0m10s319ms,-0.98332214,9.755188,0.25846863,0.4237213,0.91859436,-0.71128845,0.24275208
15h0m10s385ms,-0.8807068,9.511124,-0.77334595,0.36383566,1.7467499,-0.2863922,0.15907288
15h0m10s463ms,-0.8807068,9.511124,-0.77334595,0.36383566,2.3962097,-0.019561768,0.06288147
15h0m10s540ms,-0.8807068,9.511124,-0.77334595,0.36383566,3.3171082,-0.16073608,0.13893127
15h0m10s613ms,-0.60816956,8.17897,-2.8738403,0.60591507,4.2469177,-0.08692932,-0.0050201416
15h0m10s684ms,-0.60816956,8.17897,-2.8738403,0.60591507,7.1688538,0.1010437,-0.05630493
15h0m10s757ms,-0.60816956,8.17897,-2.8738403,0.60591507,9.608032,0.12382507,-0.29634094
15h0m10s834ms,-0.63819885,-0.38597107,-5.606552,2.1977203,3.4319916,0.69618225,0.19883728
15h0m10s909ms,-0.63819885,-0.38597107,-5.606552,2.1977203,0.5305176,0.02229309,-0.1281128
15h0m10s985ms,-0.76071167,-9.540909,-9.453995,3.9194825,-0.39112854,0.15777588,0.20622253
15h0m11s53ms,-0.76071167,-9.540909,-9.453995,3.9194825,-1.9699249,0.2919464,0.22572327
15h0m11s133ms,-0.76071167,-9.540909,-9.453995,3.9194825,-5.980713,0.3874054,0.37878418
15h0m11s242ms,-0.05899048,-8.12822,-9.243469,4.141757,-5.822998,0.4925995,-0.12542725
15h0m11s319ms,-0.05899048,-8.12822,-9.243469,4.141757,-6.460144,0.54496765,-0.5832062
15h0m11s373ms,-0.05899048,-8.12822,-9.243469,4.141757,-6.907425,0.7466736,-0.9055176
15h0m11s438ms,0.47961426,0.94081116,-8.867493,5.9067507,-5.351166,0.26106262,-0.99754333
15h0m11s500ms,0.47961426,0.94081116,-8.867493,5.9067507,-1.9002686,-0.0035095215,-0.63223267
15h0m11s574ms,-0.3969574,8.036819,0.12335205,7.0595217,-0.6627655,0.12760925,-0.38230896
15h0m11s645ms,-0.3969574,8.036819,0.12335205,7.0595217,-0.77783203,-0.30171204,-0.051223755
15h0m11s720ms,-0.3969574,8.036819,0.12335205,7.0595217,0.15544128,-0.19154358,-0.027023315
15h0m11s793ms,-1.0631561,9.249634,1.7465515,5.589096,0.6172943,-0.008972168,0.03881836
15h0m11s876ms,-1.0631561,9.249634,1.7465515,5.589096,0.045288086,-0.14164734,-0.015640259
15h0m11s944ms,-1.0631561,9.249634,1.7465515,5.589096,0.19940186,-0.1159668,0.035751343
15h0m12s16ms,-0.9530792,9.531586,0.8902283,3.814499,0.4537506,0.012283325,0.009613037
15h0m12s97ms,-0.9530792,9.531586,0.8902283,3.814499,1.5258789E-4,0.059829712,0.03300476
15h0m12s168ms,-0.9530792,9.531586,0.8902283,3.814499,0.41256714,-0.030471802,0.06161499
15h0m12s239ms,-0.911438,9.580673,0.4534607,3.5417786,0.04449463,-0.084503174,0.015548706
15h0m12s314ms,-0.911438,9.580673,0.4534607,3.5417786,0.42852783,-0.0017547607,0.010467529
15h0m12s410ms,-0.8015137,9.625931,0.26098633,1.737024,1.1351776,0.015060425,0.08781433
15h0m12s471ms,-0.8015137,9.625931,0.26098633,1.737024,2.3837128,-0.18092346,0.16519165
15h0m12s537ms,-0.8015137,9.625931,0.26098633,1.737024,2.3851776,-0.1512146,0.13002014
15h0m12s632ms,-0.7064972,8.896317,-1.8956299,0.46374512,3.0049896,-0.20980835,0.16929626
15h0m12s704ms,-0.7064972,8.896317,-1.8956299,0.46374512,4.2026825,-0.13043213,0.120269775
15h0m12s758ms,-0.7064972,8.896317,-1.8956299,0.46374512,8.5155945,-0.3179016,0.0076904297
15h0m12s830ms,-0.44644165,3.5815582,-4.3997498,1.2841339,9.834152,0.008407593,-0.42243958
15h0m12s918ms,-0.44644165,3.5815582,-4.3997498,1.2841339,1.8526306,0.6461334,-0.20211792
15h0m12s990ms,-0.44644165,3.5815582,-4.3997498,1.2841339,-0.15681458,-0.096328735,-0.12623596
15h0m13s53ms,-0.45750427,-9.142929,-10.105255,3.772641,-0.58883667,0.056121826,0.06288147
15h0m13s127ms,-0.45750427,-9.142929,-10.105255,3.772641,-3.8073883,0.2866211,0.39259338
15h0m13s215ms,-0.18981934,-8.325348,-9.162582,3.9263396,-5.8013916,0.29455566,-0.03843689
15h0m13s278ms,-0.18981934,-8.325348,-9.162582,3.9263396,-6.3373413,0.41004944,-0.031051636
15h0m13s351ms,-0.18981934,-8.325348,-9.162582,3.9263396,-5.821884,1.0456238,-0.45291138
15h0m13s424ms,0.28164673,-1.0200653,-8.760574,5.3783445,-4.8218536,0.53222656,-0.733902
15h0m13s502ms,0.28164673,-1.0200653,-8.760574,5.3783445,-4.1484833,0.24263,-0.64997864
15h0m13s574ms,0.28164673,-1.0200653,-8.760574,5.3783445,-2.358139,0.031570435,-0.4964447
15h0m13s647ms,0.17669678,7.513626,-2.5112915,6.9391603,-0.9543915,0.081222534,-0.27241516
15h0m13s720ms,0.17669678,7.513626,-2.5112915,6.9391603,-1.2941284,0.0024261475,-0.17828369
15h0m13s797ms,-0.48776245,9.270554,1.391098,6.227594,-0.4411621,-0.3743286,-0.12504578
15h0m13s869ms,-0.48776245,9.270554,1.391098,6.227594,0.48695374,-0.28860474,0.0047454834
15h0m13s954ms,-0.48776245,9.270554,1.391098,6.227594,0.08621216,-0.04737854,-0.08627319
15h0m14s68ms,-0.4812317,9.443512,2.4060974,3.7172883,0.5196533,-0.22476196,-0.0031433105
15h0m14s114ms,-0.4812317,9.443512,2.4060974,3.7172883,0.7453613,-0.094070435,0.017333984
15h0m14s165ms,-0.4812317,9.443512,2.4060974,3.7172883,1.350357,-0.24572754,-0.06271362
15h0m14s241ms,-0.48828125,9.592056,1.7541656,3.5834808,1.8330231,0.19572449,0.10507202
15h0m14s315ms,-0.48828125,9.592056,1.7541656,3.5834808,1.7603912,0.08796692,0.05581665
15h0m14s388ms,-0.48828125,9.592056,1.7541656,3.5834808,3.0117493,-0.3721466,0.1925354
15h0m14s466ms,-0.5237274,8.823608,-1.0621643,2.276114,3.7975159,-0.1565094,0.3390503
15h0m14s549ms,-0.5237274,8.823608,-1.0621643,2.276114,7.1440277,-0.68618774,0.48490906
15h0m14s607ms,-0.37117004,3.1235352,-4.9987793,1.7093903,10.048325,-0.9373474,-0.19415283
15h0m14s682ms,-0.37117004,3.1235352,-4.9987793,1.7093903,3.119278,0.6390228,-1.1959686
15h0m14s757ms,-0.37117004,3.1235352,-4.9987793,1.7093903,0.24006653,-0.09162903,0.12872314
15h0m14s843ms,-1.2823029,-7.7942963,-10.191483,3.5415711,0.17028809,0.09335327,0.06803894
15h0m14s905ms,-1.2823029,-7.7942963,-10.191483,3.5415711,-1.6427002,-0.014480591,0.1191864
15h0m14s980ms,-1.2823029,-7.7942963,-10.191483,3.5415711,-6.353012,0.13244629,0.30825806
15h0m15s78ms,-0.48753357,-7.6043854,-10.34256,3.5449615,-6.5330048,0.5079651,-0.01902771
15h0m15s155ms,-0.48753357,-7.6043854,-10.34256,3.5449615,-5.808136,0.9344635,-0.48072815
15h0m15s204ms,-0.092544556,0.41271973,-7.6168213,5.118674,-5.292694,0.36305237,-0.56411743
15h0m15s278ms,-0.092544556,0.41271973,-7.6168213,5.118674,-3.8901367,0.33035278,-0.32585144
15h0m15s359ms,-0.092544556,0.41271973,-7.6168213,5.118674,-2.0491638,0.079589844,-0.16337585
15h0m15s432ms,-0.348938,7.935623,-1.081543,6.469565,-0.73339844,-0.1552124,-0.15026855
15h0m15s495ms,-0.348938,7.935623,-1.081543,6.469565,-1.0449677,-0.33816528,-0.09085083
15h0m15s574ms,-0.348938,7.935623,-1.081543,6.469565,0.21252441,-0.35920715,-0.07637024
15h0m15s644ms,-0.22175598,9.609329,0.83547974,5.6642914,0.72702026,-0.16549683,0.05569458
15h0m15s719ms,-0.22175598,9.609329,0.83547974,5.6642914,0.24385071,0.030059814,-0.03904724
15h0m15s801ms,-0.22175598,9.609329,0.83547974,5.6642914,0.6253357,-0.24848938,-0.11543274
15h0m15s874ms,-0.23493958,9.781555,0.96165466,3.5151703,1.0917664,-0.16586304,0.1456604
