
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h30m21s278ms,-10.012527,0.16467285,0.44909668,9.835327,0.21308899,1.6711884,0.8937378
13h30m21s342ms,-11.867111,-0.063323975,0.3423462,5.031662,0.14190674,0.9027405,0.76527405
13h30m21s418ms,-11.867111,-0.063323975,0.3423462,5.031662,-0.03137207,0.3675995,0.61413574
13h30m21s516ms,-11.867111,-0.063323975,0.3423462,5.031662,-0.03173828,0.05882263,0.58174133
13h30m21s575ms,-11.118744,3.1788635,-2.5645294,4.4351707,-0.0907135,0.3160553,0.46090698
13h30m21s640ms,-11.118744,3.1788635,-2.5645294,4.4351707,0.101882935,0.2441864,0.5761261
13h30m21s739ms,-11.118744,3.1788635,-2.5645294,4.4351707,0.023132324,0.12005615,0.17965698
13h30m21s803ms,-8.885437,3.501114,-2.6524048,3.4069405,0.17138672,-0.29559326,-0.13548279
13h30m21s863ms,-8.885437,3.501114,-2.6524048,3.4069405,-0.06652832,-0.654953,-0.40563965
13h30m21s940ms,-5.5874634,2.7154694,-2.4938965,2.8826814,-0.568573,-0.48475647,-1.1441498
13h30m22s11ms,-5.5874634,2.7154694,-2.4938965,2.8826814,-0.6212616,-0.1355896,-1.1995697
13h30m22s89ms,-5.5874634,2.7154694,-2.4938965,2.8826814,-0.14208984,-0.22996521,-0.28793335
13h30m22s157ms,-9.854614,-0.25134277,0.09921265,1.5089782,0.1381836,-0.39031982,0.08528137
13h30m22s231ms,-9.854614,-0.25134277,0.09921265,1.5089782,0.119766235,-0.29083252,-0.026565552
13h30m22s306ms,-9.854614,-0.25134277,0.09921265,1.5089782,0.01234436,-0.8358154,-0.5193176
13h30m22s380ms,-10.029419,0.8016052,-0.10871887,1.6739686,-0.12599182,-0.20861816,-0.4524231
13h30m22s454ms,-10.029419,0.8016052,-0.10871887,1.6739686,-0.04093933,-0.71795654,-0.7662811
13h30m22s534ms,-10.029419,0.8016052,-0.10871887,1.6739686,-0.049346924,0.00932312,0.022384644
13h30m22s610ms,-10.293289,0.49053955,0.24769592,1.0877441,-0.0019073486,0.010681152,0.06088257
13h30m22s677ms,-10.293289,0.49053955,0.24769592,1.0877441,-2.746582E-4,-0.026626587,-0.03152466
13h30m22s751ms,-9.9817505,0.17079163,0.34754944,1.0872437,0.020889282,0.024841309,0.047531128
13h30m22s830ms,-9.9817505,0.17079163,0.34754944,1.0872437,0.0054473877,0.014251709,-0.0061035156
13h30m22s901ms,-9.9817505,0.17079163,0.34754944,1.0872437,7.171631E-4,-7.6293945E-5,0.0027008057
13h30m22s971ms,-9.97142,0.36691284,0.39375305,0.969339,0.004333496,-0.0041046143,-0.0021362305
13h30m23s46ms,-9.97142,0.36691284,0.39375305,0.969339,0.003967285,-0.0028839111,-0.0017700195
13h30m23s124ms,-9.97142,0.36691284,0.39375305,0.969339,0.0062561035,3.6621094E-4,0.007598877
13h30m23s194ms,-9.980194,0.25582886,0.3571167,0.39819336,0.0045166016,-9.918213E-4,-9.0026855E-4
13h30m23s286ms,-9.980194,0.25582886,0.3571167,0.39819336,0.0051879883,-0.0013122559,0.0015716553
13h30m23s370ms,-9.979065,0.27772522,0.3837433,0.19198303,0.002166748,-7.019043E-4,-0.0010681152
13h30m23s419ms,-9.979065,0.27772522,0.3837433,0.19198303,0.0020446777,-8.8500977E-4,-0.0047912598
13h30m23s492ms,-9.979065,0.27772522,0.3837433,0.19198303,0.0033111572,-6.2561035E-4,0.0021209717
13h30m23s566ms,-9.977112,0.28016663,0.3944397,0.13025817,0.0036010742,7.324219E-4,0.0010681152
13h30m23s640ms,-9.977112,0.28016663,0.3944397,0.13025817,0.0030517578,-5.645752E-4,-5.645752E-4
13h30m23s715ms,-9.977112,0.28016663,0.3944397,0.13025817,0.004119873,-7.9345703E-4,0.0013885498
13h30m23s790ms,-9.978088,0.2893219,0.39857483,0.06813965,0.0030517578,1.8310547E-4,0.0023956299
13h30m23s863ms,-9.978088,0.2893219,0.39857483,0.06813965,0.003753662,8.8500977E-4,-0.0012664795
13h30m23s938ms,-9.978088,0.2893219,0.39857483,0.06813965,0.0045776367,1.8310547E-4,6.4086914E-4
13h30m24s8ms,-9.977798,0.2753296,0.38909912,0.031713866,0.0032958984,1.8310547E-4,0.0018310547
13h30m24s83ms,-9.977798,0.2753296,0.38909912,0.031713866,0.0030212402,1.5258789E-4,-0.0016479492
13h30m24s157ms,-9.977219,0.27726746,0.37826538,0.009884643,0.0030517578,0.0012512207,-5.645752E-4
13h30m24s234ms,-9.977219,0.27726746,0.37826538,0.009884643,0.004547119,-8.8500977E-4,0.0011444092
13h30m24s307ms,-9.977219,0.27726746,0.37826538,0.009884643,0.0030517578,-4.8828125E-4,0.0011749268
13h30m24s385ms,-9.976303,0.2765503,0.38876343,0.005648804,0.0010681152,0.0021514893,0.002319336
13h30m24s455ms,-9.976303,0.2765503,0.38876343,0.005648804,0.002029419,1.2207031E-4,5.645752E-4
13h30m24s529ms,-9.976303,0.2765503,0.38876343,0.005648804,0.0030517578,9.460449E-4,2.1362305E-4
13h30m24s608ms,-9.975616,0.28599548,0.3818817,0.0070495605,0.004638672,0.0017700195,-0.001083374
13h30m24s677ms,-9.975616,0.28599548,0.3818817,0.0070495605,0.0030517578,6.4086914E-4,5.0354004E-4
13h30m24s748ms,-9.976196,0.28179932,0.38687134,0.0060577393,0.004119873,9.1552734E-5,5.0354004E-4
13h30m24s827ms,-9.976196,0.28179932,0.38687134,0.0060577393,0.0050354004,0.0010986328,5.0354004E-4
13h30m24s901ms,-9.976196,0.28179932,0.38687134,0.0060577393,0.00440979,-0.001953125,9.0026855E-4
13h30m24s971ms,-9.975327,0.2861328,0.39045715,0.0041259765,0.003189087,0.0010986328,-9.1552734E-5
13h30m25s46ms,-9.975327,0.2861328,0.39045715,0.0041259765,0.0032653809,0.0010223389,-5.645752E-4
13h30m25s124ms,-9.975327,0.2861328,0.39045715,0.0041259765,0.004119873,1.8310547E-4,-0.0016174316
13h30m25s195ms,-9.97496,0.28115845,0.38978577,0.0047332766,0.004119873,-8.8500977E-4,-0.002456665
13h30m25s269ms,-9.97496,0.28115845,0.38978577,0.0047332766,0.0025634766,6.1035156E-5,-5.645752E-4
