
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h48m18s164ms,-9.947922,0.051849365,-0.26541138,9.948151,-0.012756348,-0.039215088,0.070388794
14h48m18s238ms,-10.405411,0.091552734,0.083114624,4.993927,-0.1408844,-0.8607178,0.50367737
14h48m18s313ms,-10.405411,0.091552734,0.083114624,4.993927,-0.08522034,0.1839447,-0.45298767
14h48m18s387ms,-10.405411,0.091552734,0.083114624,4.993927,-0.28079224,-0.73202515,-0.51960754
14h48m18s458ms,-13.783768,0.0947876,-0.044265747,3.330363,-0.28274536,1.0328369,-0.5843506
14h48m18s533ms,-13.783768,0.0947876,-0.044265747,3.330363,-0.21662903,1.1563568,-0.055755615
14h48m18s611ms,-13.783768,0.0947876,-0.044265747,3.330363,-0.11540222,0.4710846,0.3217926
14h48m18s681ms,-9.3484955,-1.0387115,-1.4065552,2.781147,0.01071167,0.5070801,0.12171936
14h48m18s758ms,-9.3484955,-1.0387115,-1.4065552,2.781147,0.38127136,-0.21470642,-0.026016235
14h48m18s831ms,-6.15831,-0.3525238,-1.7304993,2.3621552,0.2718506,-0.18041992,-0.29096985
14h48m18s904ms,-6.15831,-0.3525238,-1.7304993,2.3621552,0.14697266,-0.05555725,0.0488739
14h48m18s979ms,-6.15831,-0.3525238,-1.7304993,2.3621552,-0.024002075,0.1513977,0.011047363
14h48m19s53ms,-9.0191345,-0.43252563,-0.09890747,0.3885254,-0.12017822,-0.39614868,0.047286987
14h48m19s127ms,-9.0191345,-0.43252563,-0.09890747,0.3885254,-0.07922363,0.007247925,-0.31425476
14h48m19s202ms,-9.0191345,-0.43252563,-0.09890747,0.3885254,-0.053634644,-0.93891907,0.500885
14h48m19s272ms,-9.591949,-0.6400604,-0.39920044,0.42209166,0.096969604,-0.112197876,0.78367615
14h48m19s351ms,-9.591949,-0.6400604,-0.39920044,0.42209166,0.051956177,-0.07571411,-0.18927002
14h48m19s427ms,-9.591949,-0.6400604,-0.39920044,0.42209166,0.009811401,-0.06681824,-0.13900757
14h48m19s496ms,-9.925293,0.11242676,-0.23428345,0.57194215,-6.5612793E-4,-0.033996582,-0.12686157
14h48m19s571ms,-9.925293,0.11242676,-0.23428345,0.57194215,-0.00491333,-0.035583496,-0.09112549
14h48m19s644ms,-9.941269,0.1506958,-0.3850708,0.35289612,-0.0016174316,-0.037139893,-0.06185913
14h48m19s720ms,-9.941269,0.1506958,-0.3850708,0.35289612,-5.493164E-4,-0.0077667236,-0.030960083
14h48m19s794ms,-9.941269,0.1506958,-0.3850708,0.35289612,-5.493164E-4,-0.006454468,-0.016799927
14h48m19s867ms,-9.995956,0.06971741,-0.33145142,0.23185425,0.0010528564,-0.0024108887,-0.00982666
14h48m19s942ms,-9.995956,0.06971741,-0.33145142,0.23185425,-0.0019378662,6.5612793E-4,9.0026855E-4
14h48m20s16ms,-9.995956,0.06971741,-0.33145142,0.23185425,4.119873E-4,9.765625E-4,0.0021362305
14h48m20s91ms,-9.951965,0.122299194,-0.371109,0.22637025,-5.493164E-4,4.5776367E-4,0.0018005371
14h48m20s165ms,-9.951965,0.122299194,-0.371109,0.22637025,-5.493164E-4,-6.1035156E-4,4.5776367E-4
14h48m20s240ms,-9.9673,0.111190796,-0.36302185,0.18708496,5.187988E-4,0.0018463135,0.001373291
14h48m20s311ms,-9.9673,0.111190796,-0.36302185,0.18708496,-8.69751E-4,3.0517578E-5,-0.0042266846
14h48m20s385ms,-9.9673,0.111190796,-0.36302185,0.18708496,-5.493164E-4,6.1035156E-4,-0.006164551
14h48m20s460ms,-9.965927,0.104904175,-0.36535645,0.037844848,-6.866455E-4,-0.0024108887,-0.005142212
14h48m20s536ms,-9.965927,0.104904175,-0.36535645,0.037844848,-5.493164E-4,-0.0020751953,-0.0057373047
14h48m20s609ms,-9.965927,0.104904175,-0.36535645,0.037844848,-0.0010528564,-2.746582E-4,-0.0049438477
14h48m20s682ms,-9.967178,0.11178589,-0.36914063,0.031567384,-5.493164E-4,7.9345703E-4,-0.0012969971
14h48m20s756ms,-9.967178,0.11178589,-0.36914063,0.031567384,-0.0015106201,0.0018005371,-0.0018157959
14h48m20s832ms,-9.967178,0.11178589,-0.36914063,0.031567384,-5.493164E-4,0.0017089844,3.2043457E-4
14h48m20s920ms,-9.960251,0.10762024,-0.35847473,0.016204834,-0.0012512207,-9.765625E-4,-7.4768066E-4
14h48m20s980ms,-9.960251,0.10762024,-0.35847473,0.016204834,-0.0010375977,-0.0013427734,-0.0022888184
14h48m21s51ms,-9.96756,0.10394287,-0.36201477,0.00642395,-2.89917E-4,-0.0021514893,-0.0010070801
14h48m21s125ms,-9.96756,0.10394287,-0.36201477,0.00642395,4.5776367E-4,-2.2888184E-4,-7.9345703E-4
14h48m21s203ms,-9.96756,0.10394287,-0.36201477,0.00642395,5.187988E-4,0.0025634766,-0.0018157959
14h48m21s273ms,-9.966095,0.11550903,-0.36376953,0.006515503,-0.0016174316,-2.746582E-4,-0.0028839111
14h48m21s348ms,-9.966095,0.11550903,-0.36376953,0.006515503,0.0011138916,-2.746582E-4,-0.0022735596
14h48m21s422ms,-9.966095,0.11550903,-0.36376953,0.006515503,-0.0011444092,7.9345703E-4,-0.0018157959
14h48m21s496ms,-9.967072,0.10499573,-0.36183167,0.0073608398,-0.0016021729,-2.746582E-4,-7.7819824E-4
14h48m21s573ms,-9.967072,0.10499573,-0.36183167,0.0073608398,-3.8146973E-4,-2.746582E-4,-0.0019836426
14h48m21s646ms,-9.967072,0.10499573,-0.36183167,0.0073608398,-1.5258789E-4,-6.866455E-4,-0.0018157959
14h48m21s720ms,-9.969009,0.111816406,-0.36386108,0.007348633,-3.6621094E-4,-4.7302246E-4,-0.001373291
14h48m21s794ms,-9.969009,0.111816406,-0.36386108,0.007348633,5.187988E-4,-0.0011291504,-0.0028839111
14h48m21s865ms,-9.9614105,0.110687256,-0.3619995,0.006741333,-0.0016326904,-3.2043457E-4,-0.006088257
14h48m21s943ms,-9.9614105,0.110687256,-0.3619995,0.006741333,3.2043457E-4,6.1035156E-4,0.012039185
14h48m22s18ms,-9.9614105,0.110687256,-0.3619995,0.006741333,-5.79834E-4,0.0077056885,0.0020141602
14h48m22s88ms,-9.972015,0.10877991,-0.35914612,0.006387329,0.014831543,0.023147583,-0.0065460205
14h48m22s164ms,-9.972015,0.10877991,-0.35914612,0.006387329,0.0065307617,0.025405884,-0.0067596436
14h48m22s241ms,-9.972015,0.10877991,-0.35914612,0.006387329,-0.004776001,-0.0140686035,-8.087158E-4
14h48m22s313ms,-9.947403,0.11155701,-0.35514832,0.0046295165,-0.0016174316,-0.0013580322,0.0026855469
14h48m22s387ms,-9.947403,0.11155701,-0.35514832,0.0046295165,7.019043E-4,0.0024871826,-6.713867E-4
14h48m22s460ms,-9.960846,0.10725403,-0.3698578,0.0033874512,9.3078613E-4,0.0022735596,-0.0034637451
14h48m22s535ms,-9.960846,0.10725403,-0.3698578,0.0033874512,0.0015869141,0.0027313232,-4.5776367E-5
14h48m22s610ms,-9.960846,0.10725403,-0.3698578,0.0033874512,5.187988E-4,0.0018615723,0.005630493
