
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h39m1s2ms,-9.958725,0.03883362,0.021835327,9.961166,-0.13084412,-0.05656433,-0.042770386
13h39m1s73ms,-9.939255,0.083969116,0.10421753,5.003151,0.32495117,0.047531128,0.024368286
13h39m1s153ms,-9.939255,0.083969116,0.10421753,5.003151,4.7302246E-4,-0.0034942627,0.033462524
13h39m1s222ms,-9.939255,0.083969116,0.10421753,5.003151,-0.0029449463,-0.005493164,-0.0076446533
13h39m1s306ms,-9.945755,-0.03829956,0.0068969727,3.3761902,0.03869629,0.11424255,0.087875366
13h39m1s375ms,-9.945755,-0.03829956,0.0068969727,3.3761902,-0.022262573,-0.014511108,-0.026245117
13h39m1s445ms,-9.945755,-0.03829956,0.0068969727,3.3761902,-0.001083374,0.0019989014,0.003479004
13h39m1s519ms,-9.955399,0.13723755,0.051757813,2.576027,0.0011749268,0.009841919,0.009399414
13h39m1s592ms,-9.955399,0.13723755,0.051757813,2.576027,0.0015411377,0.0021362305,-0.0015106201
13h39m1s669ms,-9.960022,0.06341553,0.04560852,2.0755858,0.024932861,-0.010543823,-0.0066223145
13h39m1s744ms,-9.960022,0.06341553,0.04560852,2.0755858,-0.024765015,0.0041046143,-0.005218506
13h39m1s816ms,-9.960022,0.06341553,0.04560852,2.0755858,-0.01940918,5.187988E-4,-0.01600647
13h39m1s886ms,-9.956421,0.05570984,-0.018829346,0.0848938,-0.091156006,-0.07131958,0.017868042
13h39m1s962ms,-9.956421,0.05570984,-0.018829346,0.0848938,-0.057998657,0.21559143,0.08203125
13h39m2s40ms,-9.956421,0.05570984,-0.018829346,0.0848938,-0.2601776,-0.8398895,0.09588623
13h39m2s110ms,-12.507385,0.2107544,-0.8196869,0.10687561,-0.34857178,-0.99909973,0.6246338
13h39m2s204ms,-12.507385,0.2107544,-0.8196869,0.10687561,-0.07720947,-1.0086365,0.2026062
13h39m2s273ms,-12.507385,0.2107544,-0.8196869,0.10687561,-0.50564575,-1.1260986,-0.18339539
13h39m2s333ms,-11.729019,0.35604858,2.886856,0.11148071,-0.19856262,-1.261322,0.076812744
13h39m2s408ms,-11.729019,0.35604858,2.886856,0.11148071,0.63101196,-0.3410797,-0.19732666
13h39m2s481ms,-6.101944,0.28807068,4.721039,0.089968875,0.30552673,0.62197876,-0.42044067
13h39m2s555ms,-6.101944,0.28807068,4.721039,0.089968875,0.02684021,0.6092529,-0.62098694
13h39m2s630ms,-6.101944,0.28807068,4.721039,0.089968875,0.014144897,0.23027039,-0.04310608
13h39m2s704ms,-7.174469,-0.2796631,0.3516693,0.18875122,-0.291687,1.0236511,0.2771454
13h39m2s779ms,-7.174469,-0.2796631,0.3516693,0.18875122,0.035568237,0.7214203,0.01576233
13h39m2s853ms,-7.174469,-0.2796631,0.3516693,0.18875122,0.03414917,0.28337097,-0.1351471
13h39m2s929ms,-10.205841,0.0059814453,1.6268768,0.24433899,-0.23669434,2.0903168,0.36709595
13h39m2s998ms,-10.205841,0.0059814453,1.6268768,0.24433899,-0.008239746,-0.073150635,-0.17274475
13h39m3s77ms,-10.325912,-0.12390137,-0.40118408,0.23930664,0.035736084,0.035446167,0.09039307
13h39m3s147ms,-10.325912,-0.12390137,-0.40118408,0.23930664,0.0022277832,0.061569214,0.08030701
13h39m3s221ms,-10.325912,-0.12390137,-0.40118408,0.23930664,3.5095215E-4,-0.013885498,0.01739502
13h39m3s295ms,-9.938751,0.03779602,0.00630188,0.24258728,-0.0013580322,0.009857178,0.016479492
13h39m3s370ms,-9.938751,0.03779602,0.00630188,0.24258728,0.0014801025,-0.013824463,-0.023712158
13h39m3s445ms,-9.938751,0.03779602,0.00630188,0.24258728,0.010848999,-0.017745972,-0.00970459
13h39m3s518ms,-9.9934845,-0.0071258545,0.07507324,0.23797607,0.0025177002,0.012176514,-0.072631836
13h39m3s592ms,-9.9934845,-0.0071258545,0.07507324,0.23797607,-0.0031738281,-0.019622803,-0.06489563
13h39m3s667ms,-9.9934845,-0.0071258545,0.07507324,0.23797607,-0.014419556,-0.01576233,-2.1362305E-4
13h39m3s741ms,-9.876221,0.1453247,-0.10795593,0.15491943,0.003982544,0.07997131,0.064590454
13h39m3s816ms,-9.876221,0.1453247,-0.10795593,0.15491943,-2.89917E-4,0.0026855469,0.021713257
13h39m3s888ms,-9.961792,0.03199768,0.07891846,0.120455936,-0.0025482178,0.0022277832,0.006362915
13h39m3s960ms,-9.961792,0.03199768,0.07891846,0.120455936,0.0021514893,-0.009155273,-0.043319702
13h39m4s39ms,-9.961792,0.03199768,0.07891846,0.120455936,-0.020874023,-0.008239746,-0.0022277832
13h39m4s110ms,-9.941772,0.043426514,-2.2888184E-4,0.09676514,-0.0035705566,0.0047454834,0.016052246
13h39m4s184ms,-9.941772,0.043426514,-2.2888184E-4,0.09676514,9.3078613E-4,-0.0034332275,-0.009384155
13h39m4s258ms,-9.941772,0.043426514,-2.2888184E-4,0.09676514,-2.2888184E-4,0.0048828125,-2.4414063E-4
13h39m4s332ms,-9.951706,0.05126953,0.015533447,0.06599426,3.3569336E-4,-9.613037E-4,-0.0058135986
13h39m4s407ms,-9.951706,0.05126953,0.015533447,0.06599426,0.0016174316,0.0013122559,-0.009475708
13h39m4s483ms,-9.951706,0.05126953,0.015533447,0.06599426,0.0029296875,-0.0026397705,0.0023498535
13h39m4s557ms,-9.946289,0.060775757,0.025985718,0.058911134,4.7302246E-4,-0.0072784424,-0.0050354004
13h39m4s629ms,-9.946289,0.060775757,0.025985718,0.058911134,4.7302246E-4,-0.0024108887,0.009963989
13h39m4s711ms,-9.953934,0.044128418,0.016662598,0.03175049,4.119873E-4,0.004562378,0.0053100586
13h39m4s778ms,-9.953934,0.044128418,0.016662598,0.03175049,-5.950928E-4,0.0034484863,3.2043457E-4
13h39m4s852ms,-9.953934,0.044128418,0.016662598,0.03175049,4.7302246E-4,-0.0037841797,-0.0030059814
13h39m4s924ms,-9.942078,0.05041504,0.0027008057,0.010342407,4.7302246E-4,0.001739502,-0.0019073486
13h39m4s998ms,-9.942078,0.05041504,0.0027008057,0.010342407,-3.8146973E-4,-0.0038146973,-0.0051116943
13h39m5s76ms,-9.942078,0.05041504,0.0027008057,0.010342407,4.7302246E-4,0.004470825,0.002960205
13h39m5s152ms,-9.949692,0.04647827,0.009811401,0.008843994,0.0015411377,-0.0037841797,-0.0103302
13h39m5s221ms,-9.949692,0.04647827,0.009811401,0.008843994,0.0015411377,8.239746E-4,-0.0012817383
13h39m5s294ms,-9.944366,0.05519104,0.0015106201,0.009017944,-2.4414063E-4,0.002380371,0.009399414
13h39m5s369ms,-9.944366,0.05519104,0.0015106201,0.009017944,0.0015411377,-0.0021362305,-0.005432129
13h39m5s444ms,-9.944366,0.05519104,0.0015106201,0.009017944,0.0036773682,4.272461E-4,-0.00894165
13h39m5s518ms,-9.934204,0.058380127,-0.002380371,0.007754517,6.1035156E-5,-0.002960205,-0.0013580322
13h39m5s592ms,-9.934204,0.058380127,-0.002380371,0.007754517,0.0010375977,-0.0023956299,-0.008255005
13h39m5s667ms,-9.934204,0.058380127,-0.002380371,0.007754517,-5.950928E-4,-3.0517578E-5,-0.0036773682
13h39m5s738ms,-9.961243,0.05014038,0.016082764,0.006072998,-5.950928E-4,-0.001953125,-2.593994E-4
13h39m5s816ms,-9.961243,0.05014038,0.016082764,0.006072998,0.0017242432,0.007522583,-7.6293945E-4
13h39m5s890ms,-9.961243,0.05014038,0.016082764,0.006072998,4.7302246E-4,-0.010421753,-0.010635376
13h39m5s961ms,-9.930481,0.072006226,-0.014205933,0.009188843,3.0517578E-5,0.011993408,0.01133728
13h39m6s36ms,-9.930481,0.072006226,-0.014205933,0.009188843,0.0024108887,-0.013641357,-0.009933472
13h39m6s109ms,-9.97464,0.010375977,0.05101013,0.02072754,0.0015411377,0.014160156,0.012542725
13h39m6s184ms,-9.97464,0.010375977,0.05101013,0.02072754,-0.0011138916,0.002090454,-0.021835327
13h39m6s259ms,-9.97464,0.010375977,0.05101013,0.02072754,-0.020767212,0.020492554,-0.020462036
13h39m6s332ms,-9.90918,0.1505127,-0.23547363,0.04701233,-0.20239258,-0.01777649,-0.133255
13h39m6s406ms,-9.90918,0.1505127,-0.23547363,0.04701233,-0.08166504,-0.2982788,0.083496094
13h39m6s482ms,-9.90918,0.1505127,-0.23547363,0.04701233,0.08703613,-0.50639343,-0.119888306
13h39m6s555ms,-10.629532,-0.09698486,-0.8231354,0.09587403,0.09732056,-1.4799194,0.09422302
13h39m6s630ms,-10.629532,-0.09698486,-0.8231354,0.09587403,0.012039185,-1.5118561,0.11476135
13h39m6s701ms,-9.171112,0.16845703,-0.4636078,0.14731446,-0.26994324,-1.1298676,0.3164673
13h39m6s775ms,-9.171112,0.16845703,-0.4636078,0.14731446,-0.30575562,-1.2680206,-0.034835815
13h39m6s853ms,-9.171112,0.16845703,-0.4636078,0.14731446,0.2871399,-0.3313446,-0.32522583
13h39m6s924ms,-6.184799,-0.19454956,4.7279053,0.2155426,0.038864136,0.39567566,0.01184082
13h39m6s998ms,-6.184799,-0.19454956,4.7279053,0.2155426,-0.25976563,0.9737549,-0.08218384
13h39m7s73ms,-6.184799,-0.19454956,4.7279053,0.2155426,0.30299377,1.9557953,-0.3539276
13h39m7s147ms,-7.274185,0.13970947,4.9767,0.27006835,0.49189758,1.9546356,-0.039489746
13h39m7s224ms,-7.274185,0.13970947,4.9767,0.27006835,-0.025680542,0.82073975,0.052337646
13h39m7s324ms,-7.274185,0.13970947,4.9767,0.27006835,0.23529053,0.09346008,-0.69940186
13h39m7s370ms,-11.983994,0.27586365,0.21221924,0.26927185,-0.14117432,0.5235138,0.26324463
13h39m7s444ms,-11.983994,0.27586365,0.21221924,0.26927185,0.0027770996,-0.032592773,0.2191925
