
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h38m18s597ms,-9.926804,-0.015899658,-0.43241882,10.0159,-0.14593506,0.016952515,0.064086914
13h38m18s678ms,-9.926804,-0.015899658,-0.43241882,5.00795,-0.27676392,-0.09210205,-0.14265442
13h38m18s742ms,-9.9023285,0.042434692,-0.33052063,3.358078,-0.29663086,-0.18257141,-0.3393402
13h38m18s816ms,-9.9023285,0.042434692,-0.33052063,2.5185585,-0.56025696,-0.20080566,-0.6964569
13h38m18s890ms,-10.524414,-0.42477417,-0.568161,2.1082885,0.014404297,-0.22113037,0.6005249
13h38m18s966ms,-10.524414,-0.42477417,-0.568161,0.10510864,-0.11961365,1.0023651,0.21871948
13h38m19s41ms,-10.524414,-0.42477417,-0.568161,0.10510864,-0.24031067,-1.0348663,0.38928223
13h38m19s114ms,-11.902084,-0.4768219,-1.0441132,0.10385132,-0.4280548,-3.519226,0.9369812
13h38m19s189ms,-11.902084,-0.4768219,-1.0441132,0.10385132,-0.71868896,-1.5086212,-0.26438904
13h38m19s263ms,-11.902084,-0.4768219,-1.0441132,0.010409546,0.081451416,-1.3155823,1.1181183
13h38m19s334ms,-10.424438,0.14797974,3.545227,0.13536987,0.43521118,0.8794708,0.70306396
13h38m19s413ms,-10.424438,0.14797974,3.545227,0.13536987,0.72161865,1.1706848,0.6096039
13h38m19s488ms,-6.6727753,1.7195587,3.1981354,0.43927613,0.61772156,0.09814453,0.12286377
13h38m19s558ms,-6.6727753,1.7195587,3.1981354,0.43927613,0.34196472,-0.019592285,0.5789032
13h38m19s634ms,-6.6727753,1.7195587,3.1981354,0.43927613,-0.008926392,0.42723083,0.35159302
13h38m19s707ms,-8.269165,4.858185,3.0007935,0.94204104,0.6502533,0.1490326,-0.56137085
13h38m19s781ms,-8.269165,4.858185,3.0007935,0.94204104,-0.022979736,-0.035339355,-0.32383728
13h38m19s858ms,-8.269165,4.858185,3.0007935,0.62772524,0.52749634,0.6134186,-0.36697388
13h38m19s931ms,-7.9778137,2.1953278,1.5921173,1.1602967,0.4345398,0.52397156,-0.030563354
13h38m20s5ms,-7.9778137,2.1953278,1.5921173,1.1602967,0.06311035,0.25552368,-0.18286133
13h38m20s81ms,-7.9778137,2.1953278,1.5921173,0.53257143,0.23937988,0.35464478,-0.06478882
13h38m20s151ms,-9.515823,2.4863434,1.271637,0.59077454,0.01979065,0.3430786,-0.046966553
13h38m20s226ms,-9.515823,2.4863434,1.271637,0.59077454,0.040267944,-0.057861328,-0.49435425
13h38m20s301ms,-8.777756,2.558548,0.5117798,0.07264404,-0.10491943,0.6760559,-0.28367615
13h38m20s375ms,-8.777756,2.558548,0.5117798,0.07264404,-0.01121521,0.36386108,-0.41078186
13h38m20s451ms,-8.777756,2.558548,0.5117798,0.07264404,-0.043029785,0.5102234,-6.713867E-4
13h38m20s524ms,-9.925873,1.7926788,-0.23988342,0.16761474,-0.05519104,-0.07463074,-0.3791809
13h38m20s602ms,-9.925873,1.7926788,-0.23988342,0.16761474,-0.021957397,0.23678589,-0.34976196
13h38m20s689ms,-9.925873,1.7926788,-0.23988342,0.15317383,-0.14703369,-0.0821991,-0.38719177
13h38m20s747ms,-10.093079,1.433258,-0.47825623,0.22505799,-0.13075256,-0.09870911,-0.2654419
13h38m20s822ms,-10.093079,1.433258,-0.47825623,0.22505799,0.094329834,-0.12408447,-0.13768005
13h38m20s897ms,-9.037994,1.1524658,0.27696228,0.12804261,0.7679901,-0.41438293,-2.2092133
13h38m20s971ms,-9.037994,1.1524658,0.27696228,0.12804261,0.81622314,0.25616455,0.9184265
13h38m21s43ms,-9.037994,1.1524658,0.27696228,0.12804261,0.0,0.09132385,0.04434204
13h38m21s117ms,-9.6753235,-0.6483917,-1.1161804,0.41632995,0.004837036,0.007156372,-0.007736206
13h38m21s191ms,-9.6753235,-0.6483917,-1.1161804,0.41632995,0.005050659,-0.027648926,-0.030944824
13h38m21s267ms,-9.6753235,-0.6483917,-1.1161804,0.3601715,0.0062408447,-0.025344849,-0.02796936
13h38m21s340ms,-9.942337,0.13188171,-0.43171692,0.5162262,0.005050659,-0.042373657,-0.036514282
13h38m21s415ms,-9.942337,0.13188171,-0.43171692,0.5162262,0.006576538,-0.042388916,-0.034698486
13h38m21s491ms,-9.942337,0.13188171,-0.43171692,0.15605469,0.005050659,-0.008422852,-0.015914917
13h38m21s562ms,-9.943192,0.12013245,-0.4230652,0.15840454,0.005859375,0.004623413,-0.010726929
13h38m21s635ms,-9.943192,0.12013245,-0.4230652,0.15840454,0.0060272217,0.013046265,-0.0057373047
