
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
5h6m21s573ms,9.487259,-0.4086914,0.53518677,10.408691,-4.5776367E-5,8.8500977E-4,0.0021514893
15h6m21s646ms,9.488815,-0.41627502,0.53349304,5.2081375,-2.89917E-4,-0.0010986328,-5.187988E-4
15h6m21s720ms,9.488815,-0.41627502,0.53349304,5.2081375,-0.0011444092,-3.0517578E-5,9.3078613E-4
15h6m21s795ms,9.486145,-0.40942383,0.5310364,3.4743755,-9.3078613E-4,9.613037E-4,0.0019989014
15h6m21s869ms,9.486145,-0.40942383,0.5310364,3.4743755,-7.171631E-4,0.0010375977,9.3078613E-4
15h6m21s946ms,9.486145,-0.40942383,0.5310364,3.4743755,1.0681152E-4,5.645752E-4,-0.0010528564
15h6m22s14ms,9.480362,-0.39889526,0.53237915,2.6084137,5.0354004E-4,-0.0019073486,5.340576E-4
15h6m22s89ms,9.480362,-0.39889526,0.53237915,2.6084137,1.0681152E-4,-2.2888184E-4,9.3078613E-4
15h6m22s167ms,9.480362,-0.39889526,0.53237915,2.6084137,0.23423767,-0.22283936,0.19714355
15h6m22s238ms,9.438583,-0.41583252,0.76797485,2.0901184,-0.0020751953,0.41862488,0.025405884
15h6m22s313ms,9.438583,-0.41583252,0.76797485,2.0901184,-0.39733887,-0.0415802,0.6853485
15h6m22s387ms,9.438583,-0.41583252,0.76797485,2.0901184,-0.58769226,-0.46022034,1.3973389
15h6m22s461ms,9.537598,-0.992218,-0.09350586,0.12365723,-0.38639832,-0.17648315,0.018249512
15h6m22s537ms,9.537598,-0.992218,-0.09350586,0.12365723,-0.12654114,0.13916016,-1.4177246
15h6m22s610ms,11.005249,-1.5138245,-0.041397095,0.2264618,-0.07524109,0.053985596,-1.0519714
15h6m22s684ms,11.005249,-1.5138245,-0.041397095,0.2264618,-0.025115967,0.04786682,-0.069732666
15h6m22s759ms,11.005249,-1.5138245,-0.041397095,0.2264618,-0.2601471,-0.37113953,0.17602539
15h6m22s829ms,10.171249,-0.8841553,-0.6909485,0.3510254,0.055114746,-0.16607666,-0.667572
15h6m22s908ms,10.171249,-0.8841553,-0.6909485,0.3510254,0.33065796,-0.43467712,-0.57328796
15h6m22s982ms,10.171249,-0.8841553,-0.6909485,0.3510254,0.29240417,-0.16271973,-0.035598755
15h6m23s53ms,9.626007,0.2708435,-0.20547485,0.57991946,0.27275085,0.040924072,0.018234253
15h6m23s128ms,9.626007,0.2708435,-0.20547485,0.57991946,0.2603302,0.3410797,-0.34118652
15h6m23s203ms,9.009903,0.33763123,-1.26857,0.5898895,0.3892212,-0.039245605,-0.41618347
15h6m23s277ms,9.009903,0.33763123,-1.26857,0.5898895,0.42848206,-0.25224304,0.052581787
15h6m23s351ms,9.009903,0.33763123,-1.26857,0.5898895,0.0116119385,0.08338928,0.3187561
15h6m23s424ms,7.667984,0.45874023,-2.0250092,0.49883422,0.09272766,0.44935608,0.19195557
15h6m23s499ms,7.667984,0.45874023,-2.0250092,0.49883422,0.15711975,0.098236084,0.22894287
15h6m23s573ms,7.667984,0.45874023,-2.0250092,0.49883422,0.10824585,-0.022994995,0.02583313
15h6m23s648ms,9.270477,0.42414856,-0.86309814,0.40143126,-0.036193848,-0.06414795,0.3355713
15h6m23s722ms,9.270477,0.42414856,-0.86309814,0.40143126,0.19670105,0.10469055,0.29388428
15h6m23s797ms,9.270477,0.42414856,-0.86309814,0.40143126,-0.05404663,0.18426514,0.4182129
15h6m23s869ms,8.562607,0.1197052,-0.8852234,0.3363861,-0.20489502,0.0818634,0.7580719
15h6m23s942ms,8.562607,0.1197052,-0.8852234,0.3363861,-0.28009033,-0.32130432,0.09341431
15h6m24s18ms,9.961243,-0.42741394,-0.22494507,0.21481018,0.11035156,0.053207397,-0.2168274
15h6m24s114ms,9.961243,-0.42741394,-0.22494507,0.21481018,0.08081055,0.46418762,0.09088135
15h6m24s169ms,9.961243,-0.42741394,-0.22494507,0.21481018,0.22766113,0.7008362,0.09944153
15h6m24s240ms,9.423264,-0.70098877,0.25331116,0.2561676,-0.2511902,0.120025635,-0.21881104
15h6m24s314ms,9.423264,-0.70098877,0.25331116,0.2561676,-0.09033203,0.020095825,-0.042541504
15h6m24s389ms,9.423264,-0.70098877,0.25331116,0.2561676,-0.55747986,-0.088409424,0.051589966
15h6m24s463ms,9.768463,-0.49423218,0.5597534,0.27329713,-0.43093872,0.009185791,-0.019546509
15h6m24s542ms,9.768463,-0.49423218,0.5597534,0.27329713,-0.5507202,0.09790039,-0.076416016
15h6m24s608ms,9.501389,-0.36372375,0.25390625,0.29248047,-0.97862244,-0.033737183,0.04284668
15h6m24s683ms,9.501389,-0.36372375,0.25390625,0.29248047,-0.9783478,0.035217285,-0.062805176
15h6m24s772ms,9.501389,-0.36372375,0.25390625,0.29248047,-0.0052337646,-0.12269592,0.046844482
