
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
0h35m26s865ms,-9.948441,-0.10328674,0.12239075,10.103287,9.613037E-4,-0.0015716553,0.0014190674
10h35m26s939ms,-9.948441,-0.10328674,0.12239075,10.103287,6.1035156E-4,-0.002456665,0.001159668
10h35m27s13ms,-9.951324,-0.105895996,0.12843323,5.052948,4.272461E-4,0.0010986328,2.746582E-4
10h35m27s94ms,-9.951324,-0.105895996,0.12843323,5.052948,-6.4086914E-4,-0.001449585,0.007461548
10h35m27s163ms,-9.951324,-0.105895996,0.12843323,5.052948,-0.465271,0.35186768,-0.40855408
10h35m27s237ms,-9.96788,-0.1534729,-0.15620422,3.384491,-0.13763428,-0.03451538,-0.1666565
10h35m27s311ms,-9.96788,-0.1534729,-0.15620422,3.384491,0.114212036,-0.05871582,-0.0960083
10h35m27s386ms,-9.766876,0.0014190674,-0.15164185,2.5770912,-0.79055786,-0.006164551,-0.002609253
10h35m27s459ms,-9.766876,0.0014190674,-0.15164185,2.5770912,-1.2561951,0.030731201,0.017593384
10h35m27s536ms,-9.766876,0.0014190674,-0.15164185,2.5770912,-2.1410828,0.03492737,0.087875366
10h35m27s606ms,-9.968369,-0.1366272,0.18249512,2.0892823,-0.9809723,-0.0072021484,-0.031982422
10h35m27s682ms,-9.968369,-0.1366272,0.18249512,2.0892823,-0.6703949,0.009277344,0.00541687
10h35m27s756ms,-9.968369,-0.1366272,0.18249512,2.0892823,-0.47340393,0.08717346,-0.027755737
10h35m27s829ms,-9.847092,0.26757813,0.20433044,0.14946595,-0.80940247,0.0667572,-0.4175415
10h35m27s904ms,-9.847092,0.26757813,0.20433044,0.14946595,-0.5720215,-0.106552124,-0.83969116
10h35m27s980ms,-9.847092,0.26757813,0.20433044,0.14946595,-0.38426208,0.1693573,-0.69140625
10h35m28s53ms,-10.304062,-0.6656647,0.2789917,0.33559266,-0.11286926,0.016143799,-0.5303345
10h35m28s128ms,-10.304062,-0.6656647,0.2789917,0.33559266,-0.044174194,-0.35403442,0.63139343
10h35m28s199ms,-11.277664,-0.7559509,0.60983276,0.3441345,-3.0517578E-5,0.023757935,1.2575073
10h35m28s274ms,-11.277664,-0.7559509,0.60983276,0.3441345,0.106796265,-0.16261292,0.4161377
10h35m28s348ms,-11.277664,-0.7559509,0.60983276,0.3441345,0.15791321,0.11601257,0.7532959
10h35m28s423ms,-9.427856,1.1542511,0.20593262,0.6951965,0.41981506,-0.7260132,1.084259
10h35m28s498ms,-9.427856,1.1542511,0.20593262,0.6951965,0.69018555,-0.6886444,0.6530304
10h35m28s573ms,-9.427856,1.1542511,0.20593262,0.6951965,0.8665924,-0.1894989,-0.88908386
10h35m28s646ms,-7.4853516,0.3959198,0.77386475,0.81925356,0.9300842,0.3943634,-1.567627
10h35m28s721ms,-7.4853516,0.3959198,0.77386475,0.81925356,1.0411072,-0.39979553,-2.2237396
10h35m28s795ms,-7.4787445,-1.8733978,-1.3060913,1.192276,1.3848572,1.6440735,-0.17111206
10h35m28s870ms,-7.4787445,-1.8733978,-1.3060913,1.192276,0.3470459,-0.3743744,1.4619141
10h35m28s945ms,-7.4787445,-1.8733978,-1.3060913,1.192276,0.31155396,0.73908997,1.1661835
10h35m29s16ms,-9.356415,-1.3097992,0.13963318,1.1183472,0.2552948,-0.004776001,0.0042419434
10h35m29s91ms,-9.356415,-1.3097992,0.13963318,1.1183472,0.34280396,0.043563843,0.031799316
10h35m29s166ms,-9.356415,-1.3097992,0.13963318,1.1183472,-0.0021972656,0.004058838,-0.0032653809
10h35m29s239ms,-9.958252,0.13565063,0.08218384,1.3893799,0.0023651123,-2.593994E-4,1.5258789E-4
10h35m29s315ms,-9.958252,0.13565063,0.08218384,1.3893799,0.0011444092,0.01260376,0.0058288574
10h35m29s389ms,-9.958252,0.13565063,0.08218384,1.3893799,4.7302246E-4,0.01083374,-0.0015869141
10h35m29s463ms,-9.953445,-0.034942627,0.053588867,1.0414581,8.544922E-4,-0.0025634766,-0.00843811
10h35m29s538ms,-9.953445,-0.034942627,0.053588867,1.0414581,0.0023651123,0.010726929,0.01361084
10h35m29s608ms,-9.952408,0.0095825195,0.0262146,0.8986969,0.0012969971,0.0012207031,0.0016326904
10h35m29s683ms,-9.952408,0.0095825195,0.0262146,0.8986969,0.0022583008,-0.007080078,-0.0071411133
10h35m29s764ms,-9.952408,0.0095825195,0.0262146,0.8986969,4.5776367E-5,0.008666992,0.0032958984
10h35m29s836ms,-9.947174,1.0681152E-4,0.04260254,0.44672853,2.2888184E-4,0.0058135986,0.0038146973
10h35m29s906ms,-9.947174,1.0681152E-4,0.04260254,0.44672853,8.392334E-4,-0.0029907227,-0.003036499
10h35m29s980ms,-9.947174,1.0681152E-4,0.04260254,0.44672853,6.713867E-4,-4.119873E-4,-0.0024108887
10h35m30s54ms,-9.954468,0.0010223389,0.049545288,0.3341919,0.002090454,0.0023498535,0.0016784668
10h35m30s130ms,-9.954468,0.0010223389,0.049545288,0.3341919,0.0021820068,0.0034179688,0.0014038086
10h35m30s206ms,-9.954468,0.0010223389,0.049545288,0.3341919,0.0012969971,0.0013580322,-0.0027770996
10h35m30s279ms,-9.951279,-0.011077881,0.04484558,0.04752197,0.0012969971,2.1362305E-4,0.0016784668
