
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
0h33m35s919ms,-9.951096,0.14611816,-0.06434631,9.853882,0.0012664795,-9.765625E-4,3.5095215E-4
10h33m35s984ms,-9.951096,0.14611816,-0.06434631,9.853882,-0.0017852783,-0.001083374,0.0014190674
10h33m36s53ms,-9.912476,0.07522583,-0.059417725,4.962387,-0.4714508,0.036972046,0.015350342
10h33m36s128ms,-9.912476,0.07522583,-0.059417725,4.962387,-1.0967102,0.020767212,0.0028381348
10h33m36s202ms,-9.912476,0.07522583,-0.059417725,4.962387,-0.36732483,-0.056121826,-0.22465515
10h33m36s275ms,-9.865555,0.29348755,-0.15911865,3.381012,-0.36921692,-0.53886414,-0.70391846
10h33m36s350ms,-9.865555,0.29348755,-0.15911865,3.381012,0.18136597,-0.28504944,-0.49250793
10h33m36s426ms,-9.865555,0.29348755,-0.15911865,3.381012,-0.86598206,-0.5498657,0.67744446
10h33m36s499ms,-11.865646,-0.7919769,0.35902405,2.807125,-0.2103424,-1.1420288,-0.038009644
10h33m36s575ms,-11.865646,-0.7919769,0.35902405,2.807125,-0.01473999,-0.5244446,-0.0056762695
10h33m36s645ms,-11.8980255,-1.9944305,2.5865936,2.4861908,-0.14208984,0.18000793,-0.039108276
10h33m36s720ms,-11.8980255,-1.9944305,2.5865936,2.4861908,0.17263794,0.14118958,-0.3081665
10h33m36s794ms,-11.8980255,-1.9944305,2.5865936,2.4861908,0.2705536,0.27720642,-1.051239
10h33m36s872ms,-8.797455,-2.134491,0.343338,0.5434265,0.47024536,0.41038513,0.06971741
10h33m36s963ms,-8.797455,-2.134491,0.343338,0.5434265,0.66903687,1.2768555,0.5704956
10h33m37s49ms,-8.797455,-2.134491,0.343338,0.5434265,0.71266174,0.09954834,1.721405
10h33m37s124ms,-5.7075043,-1.3171082,-0.20724487,0.6927246,-0.01234436,0.98246765,1.8530579
10h33m37s193ms,-5.7075043,-1.3171082,-0.20724487,0.6927246,0.43296814,0.069488525,-0.30387878
10h33m37s258ms,-9.740021,1.3140411,-0.25065613,1.1753021,0.10606384,-1.2799988,-0.97595215
10h33m37s316ms,-9.740021,1.3140411,-0.25065613,1.1753021,0.14649963,0.23930359,0.25465393
10h33m37s390ms,-9.740021,1.3140411,-0.25065613,1.1753021,-0.17102051,0.27922058,0.004623413
10h33m37s469ms,-9.822952,0.78234863,-0.036697388,1.0645478,0.0073547363,0.1262207,0.072753906
10h33m37s539ms,-9.822952,0.78234863,-0.036697388,1.0645478,0.008712769,3.8146973E-4,-0.011581421
10h33m37s611ms,-9.822952,0.78234863,-0.036697388,1.0645478,0.003829956,-0.032714844,-0.012756348
10h33m37s685ms,-9.939301,0.07286072,-0.12219238,0.9659546,-0.001876831,-0.019241333,-0.0032348633
10h33m37s761ms,-9.939301,0.07286072,-0.12219238,0.9659546,-7.171631E-4,0.009307861,0.007232666
10h33m37s837ms,-9.939301,0.07286072,-0.12219238,0.9659546,6.2561035E-4,0.014038086,5.950928E-4
10h33m37s911ms,-9.961472,0.026275635,-0.11231995,0.94725955,-7.171631E-4,-0.0011291504,-0.0016326904
10h33m37s983ms,-9.961472,0.026275635,-0.11231995,0.94725955,-7.171631E-4,-0.009033203,3.5095215E-4
10h33m38s54ms,-9.948654,0.048095703,-0.11416626,0.788147,3.5095215E-4,-0.003250122,-0.0020751953
10h33m38s132ms,-9.948654,0.048095703,-0.11416626,0.788147,0.0024108887,-1.9836426E-4,-0.0028533936
10h33m38s218ms,-9.948654,0.048095703,-0.11416626,0.788147,0.0023651123,-0.0010070801,-7.171631E-4
10h33m38s278ms,-9.953613,0.046722412,-0.117507935,0.26219177,3.5095215E-4,-0.0011138916,3.5095215E-4
10h33m38s366ms,-9.953613,0.046722412,-0.117507935,0.26219177,4.8828125E-4,-0.0012664795,0.0026397705
10h33m38s428ms,-9.953613,0.046722412,-0.117507935,0.26219177,5.645752E-4,0.0025024414,-7.171631E-4
10h33m38s501ms,-9.957993,0.048034668,-0.11929321,0.15611573,-1.373291E-4,0.002090454,-4.7302246E-4
10h33m38s575ms,-9.957993,0.048034668,-0.11929321,0.15611573,-7.171631E-4,0.003036499,3.5095215E-4
10h33m38s652ms,-9.957993,0.048034668,-0.11929321,0.15611573,0.0014190674,2.746582E-4,-4.8828125E-4
10h33m38s725ms,-9.950256,0.05671692,-0.10505676,0.01595459,6.4086914E-4,5.493164E-4,-4.119873E-4
10h33m38s799ms,-9.950256,0.05671692,-0.10505676,0.01595459,-1.2207031E-4,7.6293945E-5,0.0014190674
10h33m38s871ms,-9.949692,0.047210693,-0.10897827,0.008538818,-3.0517578E-4,3.6621094E-4,-6.1035156E-5
10h33m38s944ms,-9.949692,0.047210693,-0.10897827,0.008538818,3.5095215E-4,-0.0021820068,-7.171631E-4
10h33m39s19ms,-9.949692,0.047210693,-0.10897827,0.008538818,-6.866455E-4,9.765625E-4,2.746582E-4
10h33m39s93ms,-9.951553,0.051101685,-0.122528076,0.004953003,0.002090454,8.8500977E-4,-0.0017852783
10h33m39s169ms,-9.951553,0.051101685,-0.122528076,0.004953003,0.0014190674,7.019043E-4,-2.746582E-4
10h33m39s243ms,-9.951553,0.051101685,-0.122528076,0.004953003,-7.171631E-4,-4.5776367E-5,-0.0012054443
10h33m39s317ms,-9.951996,0.049240112,-0.10525513,0.005050659,-3.3569336E-4,3.3569336E-4,3.5095215E-4
10h33m39s391ms,-9.951996,0.049240112,-0.10525513,0.005050659,-5.187988E-4,0.001876831,-0.0017852783
10h33m39s463ms,-9.94841,0.045562744,-0.102752686,0.0055236816,3.5095215E-4,-3.0517578E-5,3.5095215E-4
10h33m39s541ms,-9.94841,0.045562744,-0.102752686,0.0055236816,1.8310547E-4,7.019043E-4,0.0021820068
10h33m39s618ms,-9.94841,0.045562744,-0.102752686,0.0055236816,6.866455E-4,-4.5776367E-5,-7.171631E-4
10h33m39s687ms,-9.957291,0.04598999,-0.11387634,0.0038726807,3.5095215E-4,-4.5776367E-5,-7.171631E-4
10h33m39s761ms,-9.957291,0.04598999,-0.11387634,0.0038726807,3.5095215E-4,-7.4768066E-4,-3.3569336E-4
10h33m39s837ms,-9.957291,0.04598999,-0.11387634,0.0038726807,3.5095215E-4,1.373291E-4,5.493164E-4
10h33m39s910ms,-9.948441,0.046783447,-0.115737915,0.002130127,-0.0017852783,-4.5776367E-5,-7.019043E-4
10h33m39s985ms,-9.948441,0.046783447,-0.115737915,0.002130127,0.0015869141,-4.5776367E-5,-0.0014190674
10h33m40s60ms,-9.948441,0.046783447,-0.115737915,0.002130127,-3.5095215E-4,-4.272461E-4,3.5095215E-4
10h33m40s133ms,-9.954437,0.04710388,-0.10421753,0.0014160157,3.5095215E-4,5.0354004E-4,-1.9836426E-4
10h33m40s208ms,-9.954437,0.04710388,-0.10421753,0.0014160157,6.713867E-4,6.866455E-4,3.5095215E-4
10h33m40s289ms,-9.950134,0.050598145,-0.10890198,0.0017425537,0.0014190674,-4.5776367E-5,-5.493164E-4
10h33m40s357ms,-9.950134,0.050598145,-0.10890198,0.0017425537,3.5095215E-4,-7.6293945E-5,-0.0017242432
10h33m40s432ms,-9.950134,0.050598145,-0.10890198,0.0017425537,1.2207031E-4,0.0023040771,-4.8828125E-4
10h33m40s511ms,-9.953537,0.048095703,-0.11141968,0.0015075684,-7.171631E-4,7.171631E-4,-7.171631E-4
10h33m40s583ms,-9.953537,0.048095703,-0.11141968,0.0015075684,-2.2888184E-4,5.187988E-4,-1.373291E-4
10h33m40s653ms,-9.953537,0.048095703,-0.11141968,0.0015075684,0.0010986328,-0.0011138916,-0.0014648438
10h33m40s726ms,-9.949539,0.05055237,-0.11325073,0.0019134522,0.0012969971,9.0026855E-4,0.0011901855
10h33m40s802ms,-9.949539,0.05055237,-0.11325073,0.0019134522,3.5095215E-4,9.613037E-4,3.5095215E-4
10h33m40s875ms,-9.950134,0.04899597,-0.10681152,0.00206604,3.5095215E-4,-4.5776367E-5,-4.7302246E-4
10h33m40s950ms,-9.950134,0.04899597,-0.10681152,0.00206604,3.5095215E-4,-4.7302246E-4,-6.1035156E-5
10h33m41s24ms,-9.950134,0.04899597,-0.10681152,0.00206604,-0.0017852783,-0.0024871826,-0.0010070801
10h33m41s96ms,-9.957687,0.043930054,-0.11125183,0.0030151368,8.392334E-4,-0.0012054443,-7.171631E-4
10h33m41s170ms,-9.957687,0.043930054,-0.11125183,0.0030151368,3.5095215E-4,0.0040283203,0.0013275146
10h33m41s248ms,-9.957687,0.043930054,-0.11125183,0.0030151368,-0.33467102,-0.15226746,-0.18534851
10h33m41s320ms,-10.010254,0.108078,-0.3573761,0.015145874,-0.90068054,0.05795288,-0.071884155
10h33m41s394ms,-10.010254,0.108078,-0.3573761,0.015145874,-0.9824219,-0.29512024,0.7693634
10h33m41s471ms,-10.010254,0.108078,-0.3573761,0.015145874,-1.0219269,0.0184021,-0.05357361
10h33m41s547ms,-9.947647,0.51182556,0.2188263,0.095394894,-0.2683258,-0.026809692,-0.5827942
10h33m41s616ms,-9.947647,0.51182556,0.2188263,0.095394894,-0.46620178,-0.4305725,-0.63290405
10h33m41s691ms,-9.905731,1.423233,1.0570374,0.27718505,-0.17602539,-0.38497925,-0.34466553
10h33m41s765ms,-9.905731,1.423233,1.0570374,0.27718505,0.08760071,-0.60614014,-0.42578125
