
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
8h36m9s596ms,-10.000992,0.05407715,0.05595398,9.945923,-0.044281006,0.12414551,0.0015411377
18h36m9s670ms,-10.109085,0.027648926,0.51216125,4.9861755,0.24977112,-0.23191833,0.16453552
18h36m9s740ms,-10.820938,0.72161865,0.16389465,3.5554402,0.24737549,-0.100616455,0.2942505
18h36m9s814ms,-10.491547,1.367157,1.3975067,2.8279648,0.09727478,0.18281555,0.316391
18h36m9s885ms,-11.174606,1.9195404,2.7915802,2.3728485,1.3555908,0.25457764,0.035995483
18h36m9s958ms,-10.653244,2.3765564,1.3556824,0.47506714,1.1845093,-0.1219635,0.22113037
18h36m10s31ms,-8.633728,2.4822083,9.918213E-4,0.49091187,1.0680084,-0.1567688,0.2649231
18h36m10s102ms,-8.325806,0.8573761,0.41957092,0.6770843,1.3618469,-0.049819946,-0.089920044
18h36m10s175ms,-9.465942,-0.50279236,-1.1894073,0.82001036,0.7183075,-0.40586853,0.06442261
18h36m10s245ms,-10.70549,-0.7658539,-0.63635254,0.762146,0.2568512,-0.40905762,-0.16719055
18h36m10s318ms,-10.568741,-0.8732605,0.12666321,0.69222414,0.47203064,-0.027450562,-0.1837616
18h36m10s389ms,-10.0159,-0.69473267,-0.89823914,0.7067993,0.045806885,-0.051071167,-0.22531128
18h36m10s463ms,-10.284485,-0.51864624,-0.30792236,0.41705018,-0.15492249,-0.06564331,0.02015686
18h36m10s536ms,-9.765701,-0.038024902,0.42648315,0.24114075,0.07209778,0.21220398,-0.22329712
18h36m10s607ms,-10.52919,0.036193848,-0.21051025,0.2033722,-0.025482178,0.039718628,-0.04032898
18h36m10s680ms,-9.934891,0.27445984,0.15382385,0.22954407,-0.111465454,0.018127441,-0.5213165
18h36m10s750ms,-10.978561,-0.062316895,0.24272156,0.26119384,0.030410767,0.17196655,0.060913086
18h36m10s825ms,-9.979187,0.06199646,0.2853546,0.25083923,0.08505249,9.1552734E-4,-5.79834E-4
18h36m10s898ms,-10.044144,9.613037E-4,-0.05607605,0.166922,-0.004837036,-0.065704346,4.7302246E-4
18h36m10s968ms,-9.992325,-0.047927856,0.069000244,0.16185609,0.0040130615,0.020904541,-0.0027313232
18h36m11s41ms,-10.000305,-0.0071411133,0.10044861,0.12236023,0.01763916,0.035812378,-8.392334E-4
18h36m11s112ms,-9.976456,0.07785034,0.0868988,0.07200317,0.056350708,-0.0806427,-0.0027313232
18h36m11s185ms,-10.030838,-0.014221191,-0.033218384,0.06555481,-0.0064086914,-0.19949341,0.0020751953
18h36m11s255ms,-10.000092,-0.09753418,0.5202637,0.07001038,0.0023956299,0.07295227,4.7302246E-4
18h36m11s329ms,-10.003128,-0.039855957,0.59965515,0.07176819,0.008010864,0.4902649,-0.0037994385
18h36m11s399ms,-9.976608,-0.001373291,-0.14981079,0.071307376,0.06478882,0.17488098,-5.950928E-4
18h36m11s473ms,-10.041672,-0.07574463,-0.5941162,0.06918335,-0.008987427,-0.34062195,0.0036773682
18h36m11s546ms,-10.003845,-0.0026245117,-0.09158325,0.06539307,0.0077667236,-0.095687866,0.002090454
18h36m11s617ms,-10.012756,0.037902832,0.2999878,0.05683594,0.00592041,0.022888184,-5.950928E-4
18h36m11s690ms,-10.002533,-0.0061950684,0.13485718,0.054119874,0.005065918,0.033599854,-5.950928E-4
18h36m11s764ms,-9.992645,-0.016021729,0.13827515,0.04838867,0.003692627,-0.10369873,0.0015411377
18h36m11s834ms,-9.992874,0.0019073486,-0.061019897,0.03710022,0.006713867,-0.06802368,4.7302246E-4
18h36m11s908ms,-10.06926,-0.13101196,0.309906,0.049060058,-2.593994E-4,0.12728882,0.013122559
18h36m11s979ms,-12.557022,-0.7100067,-0.8924408,0.15675354,-0.12962341,0.19961548,1.0142365
18h36m12s51ms,-11.096207,-1.4797974,-0.4462433,0.3018921,-0.2415924,0.073913574,0.32795715
