
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
8h40m15s344ms,-9.994629,-0.016098022,0.19104004,10.016098,0.0030517578,-0.013473511,4.7302246E-4
18h40m15s417ms,-9.987503,-0.011978149,0.2388916,5.010109,0.0029449463,0.012557983,0.0024719238
18h40m15s488ms,-9.991257,-0.0048828125,0.19599915,3.3424377,0.001876831,-0.021224976,8.69751E-4
18h40m15s561ms,-9.992722,-0.0079956055,0.22802734,2.5076065,0.0033416748,0.020324707,7.6293945E-5
18h40m15s632ms,-9.98761,-0.01461792,0.15881348,2.0074096,0.0050811768,-0.030288696,4.7302246E-4
18h40m15s706ms,-9.99382,-0.0206604,0.24424744,0.0053985594,0.00390625,0.0068359375,3.8146973E-4
18h40m15s779ms,-9.993103,-0.02128601,0.22958374,0.004699707,0.008636475,-0.0027160645,4.7302246E-4
18h40m15s850ms,-9.987808,-0.024230957,0.21443176,0.003869629,0.0044555664,0.0064849854,4.7302246E-4
18h40m15s923ms,-9.993057,-0.0138549805,0.24272156,0.0053222654,0.0029449463,0.015853882,0.0013580322
18h40m15s997ms,-9.992844,-0.0022583008,0.18592834,0.0063171387,0.003036499,-0.025909424,-5.950928E-4
18h40m16s68ms,-10.116989,-0.06147766,0.39790344,0.016952515,0.029571533,0.0539093,0.038009644
18h40m16s137ms,-11.413223,-0.05886841,0.01373291,0.017349243,0.22897339,-0.631546,0.67396545
18h40m16s210ms,-11.2595825,0.36642456,-0.24061584,0.101818845,0.085372925,0.2476654,0.17030334
18h40m16s285ms,-12.239319,1.0427246,-0.4487915,0.23500367,0.057662964,0.42997742,0.2599182
18h40m16s355ms,-11.3715515,1.5975342,-0.5455017,0.34364623,-0.0723114,0.36019897,0.21322632
18h40m16s428ms,-10.485489,1.3817291,-0.32943726,0.37496337,0.29611206,0.3055725,0.5953064
18h40m16s498ms,-9.811996,1.1261139,-1.0283661,0.4255646,0.0029907227,0.13587952,0.42764282
18h40m16s571ms,-8.410065,1.5022736,-0.8533325,0.41573793,-0.23939514,0.4950714,0.4427185
18h40m16s646ms,-7.981598,1.6043854,-0.5674896,0.30090028,0.0146484375,-0.23678589,-0.012176514
18h40m16s716ms,-8.39975,1.9782562,-0.43450928,0.2647125,-0.40037537,0.1055603,0.13233948
18h40m16s789ms,-8.145523,1.8889465,-0.6316223,0.23941346,-0.13241577,0.108169556,-0.35029602
18h40m16s860ms,-9.572723,2.0500946,0.20095825,0.22052002,0.086013794,-0.057434082,-0.26785278
18h40m16s934ms,-9.40184,0.9723816,-0.76368713,0.3608307,-0.20645142,0.5774536,-0.463089
