
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h22m1s350ms,9.493973,0.12145996,0.4134674,9.87854,0.3647461,0.008255005,0.0050201416
14h22m1s424ms,9.493973,0.12145996,0.4134674,9.87854,0.43740845,0.21585083,-0.11781311
14h22m1s504ms,9.820236,0.107803345,1.167984,4.9460983,0.35539246,0.084625244,-0.07469177
14h22m1s569ms,9.820236,0.107803345,1.167984,4.9460983,0.028244019,-0.20578003,0.0064697266
14h22m1s643ms,9.820236,0.107803345,1.167984,4.9460983,0.11802673,-0.41741943,-0.20533752
14h22m1s719ms,12.935989,0.42651367,0.22245789,3.4036357,0.16386414,-0.34518433,-0.12678528
14h22m1s793ms,12.935989,0.42651367,0.22245789,3.4036357,-0.03239441,-0.23078918,0.09825134
14h22m1s867ms,9.531982,-0.0037841797,-2.0290833,2.6603012,0.05860901,0.04272461,0.032058716
14h22m1s940ms,9.531982,-0.0037841797,-2.0290833,2.6603012,0.028564453,-0.24151611,0.068374634
14h22m2s22ms,9.531982,-0.0037841797,-2.0290833,2.6603012,0.2243042,0.11303711,0.18299866
14h22m2s91ms,6.8634186,0.14294434,-1.5896912,2.1575866,0.11935425,0.13067627,0.30747986
14h22m2s163ms,6.8634186,0.14294434,-1.5896912,2.1575866,0.02418518,-0.39430237,-0.23765564
14h22m2s239ms,6.8634186,0.14294434,-1.5896912,2.1575866,0.2514038,0.548172,-0.69281006
14h22m2s312ms,7.4902954,0.4329834,1.1081238,0.23988648,0.16207886,0.6052704,-0.15901184
14h22m2s385ms,7.4902954,0.4329834,1.1081238,0.23988648,0.13656616,0.19029236,0.03526306
14h22m2s460ms,7.4902954,0.4329834,1.1081238,0.23988648,-0.03503418,0.3947296,-5.950928E-4
14h22m2s530ms,9.498779,0.8698883,1.4697113,0.32453614,0.04298401,-0.27430725,0.8808136
14h22m2s604ms,9.498779,0.8698883,1.4697113,0.32453614,-0.09414673,-0.015609741,0.5255585
14h22m2s679ms,10.063904,0.46095276,1.007843,0.34258118,-0.024719238,0.1078949,-0.16430664
14h22m2s756ms,10.063904,0.46095276,1.007843,0.34258118,-0.022888184,-0.13632202,0.10395813
14h22m2s833ms,10.063904,0.46095276,1.007843,0.34258118,-0.0146484375,0.09362793,-0.047073364
14h22m2s902ms,9.444931,0.121917725,0.5382538,0.3243286,-0.015258789,0.012878418,0.006881714
14h22m2s977ms,9.444931,0.121917725,0.5382538,0.3243286,-0.015289307,-0.026763916,0.034744263
14h22m3s52ms,9.444931,0.121917725,0.5382538,0.3243286,-0.018310547,-9.3078613E-4,0.017410278
14h22m3s125ms,9.501495,0.028244019,0.43901062,0.31371766,-0.016174316,7.9345703E-4,0.013824463
14h22m3s199ms,9.501495,0.028244019,0.43901062,0.31371766,-0.017242432,0.010879517,0.0052490234
14h22m3s312ms,9.501495,0.028244019,0.43901062,0.31371766,-0.015106201,0.005844116,0.012771606
14h22m3s374ms,9.493011,0.054977417,0.45692444,0.2610565,-0.015808105,0.00932312,0.00894165
14h22m3s422ms,9.493011,0.054977417,0.45692444,0.2610565,-0.016784668,0.016433716,0.0069274902
14h22m3s493ms,9.490494,0.048690796,0.47691345,0.17493287,-0.017471313,0.0039978027,0.013931274
14h22m3s598ms,9.490494,0.048690796,0.47691345,0.17493287,-0.016174316,0.0046844482,0.009689331
14h22m3s651ms,9.490494,0.048690796,0.47691345,0.17493287,-0.017242432,0.0047302246,0.013656616
14h22m3s716ms,9.4952545,0.045333862,0.45576477,0.09381714,-0.016693115,-0.0012207031,0.014450073
14h22m3s790ms,9.4952545,0.045333862,0.45576477,0.09381714,-0.017410278,0.0071105957,0.0096588135
14h22m3s864ms,9.4952545,0.045333862,0.45576477,0.09381714,-0.018310547,0.008956909,0.0096588135
14h22m3s938ms,9.490723,0.046188354,0.46679688,0.026181031,-0.015487671,0.0068206787,0.008590698
14h22m4s14ms,9.490723,0.046188354,0.46679688,0.026181031,-0.01637268,0.0138549805,0.0060272217
14h22m4s90ms,9.499207,0.04295349,0.46318054,0.008093262,-0.016174316,0.008895874,0.007904053
14h22m4s160ms,9.499207,0.04295349,0.46318054,0.008093262,-0.016296387,2.89917E-4,0.01499939
14h22m4s236ms,9.499207,0.04295349,0.46318054,0.008093262,-0.016296387,0.010025024,0.010726929
14h22m4s324ms,9.481018,0.05441284,0.46632385,0.0050384523,-0.015853882,0.0061187744,0.012496948
14h22m4s397ms,9.481018,0.05441284,0.46632385,0.0050384523,-0.017242432,0.0014801025,0.0134887695
14h22m4s457ms,9.481018,0.05441284,0.46632385,0.0050384523,-0.015991211,0.01109314,0.008590698
14h22m4s532ms,9.494492,0.043441772,0.463974,0.005975342,-0.017242432,0.0068206787,0.012771606
14h22m4s606ms,9.494492,0.043441772,0.463974,0.005975342,-0.015426636,0.004058838,0.0121154785
14h22m4s681ms,9.494492,0.043441772,0.463974,0.005975342,-0.017242432,0.010025024,0.009216309
14h22m4s755ms,9.486511,0.047836304,0.46333313,0.0061828615,-0.015396118,0.0060272217,0.0099487305
14h22m4s826ms,9.486511,0.047836304,0.46333313,0.0061828615,-0.016204834,0.0046539307,0.010772705
14h22m4s900ms,9.495697,0.043380737,0.46717834,0.006903076,-0.018096924,0.0046844482,0.011795044
14h22m4s975ms,9.495697,0.043380737,0.46717834,0.006903076,-0.016662598,0.005859375,0.010147095
14h22m5s49ms,9.495697,0.043380737,0.46717834,0.006903076,-0.015106201,0.008255005,0.011108398
14h22m5s133ms,9.491043,0.047714233,0.46194458,0.0071228025,-0.018218994,0.0077819824,0.008590698
14h22m5s198ms,9.491043,0.047714233,0.46194458,0.0071228025,-0.017532349,0.0046844482,0.01272583
14h22m5s272ms,9.491043,0.047714233,0.46194458,0.0071228025,-0.01763916,0.0072021484,0.0096588135
14h22m5s358ms,9.487289,0.04171753,0.47543335,0.0060302736,-0.26031494,-0.08477783,-0.22486877
14h22m5s442ms,9.487289,0.04171753,0.47543335,0.0060302736,0.103775024,-0.27442932,-0.34658813
14h22m5s494ms,10.728119,0.5985718,1.6821747,0.11520691,0.1535492,-0.24749756,-0.30519104
14h22m5s568ms,10.728119,0.5985718,1.6821747,0.11520691,0.08387756,-0.26493835,-0.4184265
14h22m5s642ms,10.728119,0.5985718,1.6821747,0.11520691,0.17103577,-0.01651001,0.11924744
14h22m5s714ms,7.645218,0.70944214,0.90940857,0.13650207,-0.01828003,0.19433594,0.6984558
14h22m5s797ms,7.645218,0.70944214,0.90940857,0.13650207,0.102386475,0.34114075,0.021408081
14h22m5s902ms,7.645218,0.70944214,0.90940857,0.13650207,-0.14317322,-0.10861206,-0.0796051
14h22m5s966ms,6.7072754,0.3526764,0.17684937,0.2069641,-0.0069732666,-0.15890503,0.87776184
14h22m6s12ms,6.7072754,0.3526764,0.17684937,0.2069641,0.15280151,-0.15707397,0.4967804
14h22m6s85ms,6.7072754,0.3526764,0.17684937,0.2069641,0.02633667,-0.10357666,-0.50914
14h22m6s169ms,9.371323,-0.26135254,-1.9401398,0.3289032,-0.5198364,0.5593262,-0.23503113
14h22m6s235ms,9.371323,-0.26135254,-1.9401398,0.3289032,0.009552002,0.38813782,0.33325195
14h22m6s306ms,11.743271,0.105895996,0.36117554,0.40115356,0.19984436,0.11116028,0.015533447
14h22m6s381ms,11.743271,0.105895996,0.36117554,0.40115356,-0.10758972,-0.014129639,-0.5037384
14h22m6s456ms,11.743271,0.105895996,0.36117554,0.40115356,-0.17404175,0.02861023,-0.033996582
14h22m6s530ms,10.323929,8.087158E-4,0.75968933,0.31080016,0.020950317,-0.20396423,0.41584778
14h22m6s605ms,10.323929,8.087158E-4,0.75968933,0.31080016,-0.044036865,0.19754028,0.1273346
14h22m6s679ms,10.323929,8.087158E-4,0.75968933,0.31080016,0.08595276,-0.030090332,-0.22955322
14h22m6s756ms,9.507858,0.2832489,0.7712097,0.34511414,0.056350708,-0.28997803,0.16397095
14h22m6s827ms,9.507858,0.2832489,0.7712097,0.34511414,-0.04208374,-0.042037964,-0.013839722
14h22m6s902ms,9.85524,0.14372253,0.45352173,0.30166626,-0.03630066,0.009902954,-0.093948364
14h22m6s972ms,9.85524,0.14372253,0.45352173,0.30166626,-0.21861267,0.026229858,0.040283203
14h22m7s47ms,9.85524,0.14372253,0.45352173,0.30166626,0.025238037,-0.0065612793,0.051132202
14h22m7s121ms,9.466492,0.13583374,0.44784546,0.18043824,-0.015304565,0.008010864,0.023513794
14h22m7s196ms,9.466492,0.13583374,0.44784546,0.18043824,-0.016418457,0.0070495605,0.013427734
14h22m7s290ms,9.466492,0.13583374,0.44784546,0.18043824,-0.018630981,0.011627197,0.0050811768
14h22m7s344ms,9.49498,0.12438965,0.43952942,0.109277345,-0.01687622,0.0054473877,0.018829346
14h22m7s419ms,9.49498,0.12438965,0.43952942,0.109277345,-0.0152282715,0.0026550293,0.014526367
14h22m7s506ms,9.49498,0.12438965,0.43952942,0.109277345,-0.01687622,0.01071167,0.008926392
14h22m7s596ms,9.491608,0.12968445,0.4519043,0.08931885,-0.014678955,0.0027313232,0.01499939
14h22m7s648ms,9.491608,0.12968445,0.4519043,0.08931885,-0.017074585,0.0020141602,0.01322937
14h22m7s716ms,9.505539,0.12438965,0.42912292,0.03388977,-0.017196655,0.01210022,0.008544922
14h22m7s790ms,9.505539,0.12438965,0.42912292,0.03388977,-0.016494751,0.003921509,0.012863159
14h22m7s864ms,9.505539,0.12438965,0.42912292,0.03388977,-0.017822266,0.0066833496,0.012863159
14h22m7s934ms,9.48291,0.1351471,0.44256592,0.0081359865,-0.016983032,0.01109314,0.008056641
14h22m8s8ms,9.48291,0.1351471,0.44256592,0.0081359865,-0.016189575,0.0046691895,0.013931274
14h22m8s86ms,9.48291,0.1351471,0.44256592,0.0081359865,-0.016998291,0.008453369,0.0096588135
14h22m8s157ms,9.4930725,0.13090515,0.44198608,0.007406616,-0.017730713,0.0051574707,0.011795044
14h22m8s232ms,9.4930725,0.13090515,0.44198608,0.007406616,-0.016586304,0.00541687,0.010726929
14h22m8s325ms,9.4930725,0.13090515,0.44198608,0.007406616,-0.016174316,0.0068206787,0.011734009
14h22m8s381ms,9.487961,0.12953186,0.442688,0.005392456,-0.016174316,0.0057525635,0.012542725
14h22m8s456ms,9.487961,0.12953186,0.442688,0.005392456,-0.015533447,0.007232666,0.012649536
14h22m8s527ms,9.497131,0.13085938,0.4355774,0.004598999,-0.016571045,0.0068206787,0.011413574
14h22m8s601ms,9.497131,0.13085938,0.4355774,0.004598999,-0.017120361,0.0068206787,0.010726929
14h22m8s677ms,9.497131,0.13085938,0.4355774,0.004598999,-0.016281128,0.007980347,0.01083374
14h22m8s756ms,9.4926605,0.13121033,0.44018555,0.0036102296,-0.016906738,0.006088257,0.010726929
14h22m8s858ms,9.4926605,0.13121033,0.44018555,0.0036102296,-0.017242432,0.007888794,0.010726929
14h22m8s912ms,9.4926605,0.13121033,0.44018555,0.0036102296,-0.016174316,0.007888794,0.012664795
14h22m8s974ms,9.491333,0.13153076,0.4397583,0.0015228272,-0.018295288,0.010025024,0.010757446
14h22m9s48ms,9.491333,0.13153076,0.4397583,0.0015228272,-0.01675415,0.008163452,0.011230469
14h22m9s131ms,9.481857,0.13237,0.4472046,8.4228517E-4,-0.017242432,0.0073547363,0.010726929
14h22m9s193ms,9.481857,0.13237,0.4472046,8.4228517E-4,-0.01675415,0.007095337,0.012008667
14h22m9s267ms,9.481857,0.13237,0.4472046,8.4228517E-4,0.5649719,-0.11781311,0.16940308
14h22m9s342ms,9.567322,0.03479004,0.92308044,0.020083617,-0.025131226,0.0036468506,0.039718628
14h22m9s426ms,9.567322,0.03479004,0.92308044,0.020083617,-0.29460144,0.8274231,-0.2906189
14h22m9s490ms,9.567322,0.03479004,0.92308044,0.020083617,-0.43870544,-0.27140808,0.29156494
14h22m9s564ms,11.978928,0.27163696,1.9745178,0.0671875,-0.15853882,0.32817078,0.048675537
14h22m9s646ms,11.978928,0.27163696,1.9745178,0.0671875,0.38450623,-0.16944885,-0.12680054
14h22m9s714ms,11.978928,0.27163696,1.9745178,0.0671875,0.044067383,-0.62631226,-0.18157959
14h22m9s786ms,10.559906,0.005340576,-1.021637,0.12037659,-0.0592041,-1.0030975,-0.0040893555
14h22m9s868ms,10.559906,0.005340576,-1.021637,0.12037659,0.09577942,-0.8523407,-0.15592957
14h22m9s951ms,8.562729,0.18278503,-2.6603088,0.15580139,-0.11366272,-0.09864807,0.15434265
14h22m10s10ms,8.562729,0.18278503,-2.6603088,0.15580139,-0.29278564,-0.4290161,0.32901
14h22m10s84ms,8.562729,0.18278503,-2.6603088,0.15580139,-0.21569824,-0.18417358,-0.044799805
14h22m10s168ms,7.393402,0.5065613,-0.2985077,0.2203888,0.025909424,0.06939697,-0.30300903
14h22m10s233ms,7.393402,0.5065613,-0.2985077,0.2203888,0.06173706,0.270401,-0.32572937
14h22m10s325ms,7.393402,0.5065613,-0.2985077,0.2203888,0.3208313,0.26753235,-0.37535095
14h22m10s445ms,8.679047,0.08355713,0.5354004,0.28547364,-9.1552734E-5,0.14605713,0.8469696
14h22m10s517ms,8.679047,0.08355713,0.5354004,0.28547364,-0.36930847,0.36766052,0.3144989
14h22m10s588ms,9.525803,0.055541992,-0.09326172,0.24370727,-0.021148682,0.11277771,-0.31030273
14h22m10s672ms,9.525803,0.055541992,-0.09326172,0.24370727,0.01625061,0.46931458,0.18962097
14h22m10s734ms,9.525803,0.055541992,-0.09326172,0.24370727,-0.07449341,0.9298096,-0.2197113
14h22m10s775ms,10.106354,0.13130188,0.123413086,0.20559998,-0.022918701,0.08329773,-0.011886597
14h22m10s822ms,10.106354,0.13130188,0.123413086,0.20559998,-0.1002655,0.1219635,0.040527344
14h22m10s898ms,10.106354,0.13130188,0.123413086,0.20559998,-0.02949524,0.039916992,0.004211426
14h22m10s997ms,9.439377,0.07852173,0.43022156,0.18066712,0.005554199,-0.003189087,0.018218994
14h22m11s68ms,9.439377,0.07852173,0.43022156,0.18066712,-0.010406494,0.016616821,0.02053833
14h22m11s129ms,9.439377,0.07852173,0.43022156,0.18066712,-0.019744873,0.01838684,0.015899658
14h22m11s198ms,9.486694,0.08554077,0.48921204,0.11731567,-0.017150879,0.015151978,0.007583618
14h22m11s269ms,9.486694,0.08554077,0.48921204,0.11731567,-0.016494751,0.0010223389,0.013931274
14h22m11s339ms,9.503647,0.053894043,0.44906616,0.03904419,-0.016708374,0.011138916,0.010726929
14h22m11s416ms,9.503647,0.053894043,0.44906616,0.03904419,-0.015106201,1.373291E-4,0.016616821
14h22m11s495ms,9.503647,0.053894043,0.44906616,0.03904419,-0.014053345,0.010025024,0.008590698
14h22m11s562ms,9.4878235,0.07435608,0.4895935,0.03753357,-0.016403198,0.0044555664,0.013931274
14h22m11s636ms,9.4878235,0.07435608,0.4895935,0.03753357,-0.017242432,0.005859375,0.011108398
14h22m11s762ms,9.4878235,0.07435608,0.4895935,0.03753357,-0.016860962,0.011474609,0.008255005
14h22m11s812ms,9.48941,0.066589355,0.4694519,0.023934936,-0.0181427,0.0057525635,0.010818481
14h22m11s861ms,9.48941,0.066589355,0.4694519,0.023934936,-0.016326904,0.007888794,0.011657715
14h22m11s934ms,9.48941,0.066589355,0.4694519,0.023934936,-0.016174316,0.008285522,0.009399414
14h22m12s21ms,9.494034,0.06427002,0.47731018,0.013842774,-0.016830444,0.007888794,0.012863159
14h22m12s81ms,9.494034,0.06427002,0.47731018,0.013842774,-0.017410278,0.0077209473,0.010894775
