
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
8h36m46s935ms,-11.340546,0.3454132,-0.14816284,9.654587,0.1926117,-0.46063232,0.2718048
18h36m47s6ms,-12.147491,0.47581482,-0.47709656,4.892494,0.50737,0.31010437,0.33226013
18h36m47s76ms,-11.277817,0.8847046,-2.241516,3.3979595,0.31906128,0.121017456,0.5211334
18h36m47s149ms,-11.1640625,0.69773865,-1.8491058,2.595211,-0.019989014,0.028396606,0.90548706
18h36m47s222ms,-8.083954,1.3723602,-1.3323822,2.2110932,-0.18403625,0.6170654,0.10925293
18h36m47s293ms,-9.283966,1.3635406,-0.90226746,0.2819397,-0.16693115,-0.8946686,0.6154022
18h36m47s366ms,-7.145447,1.7266235,-1.2438202,0.32847595,-0.34158325,0.8966675,-0.15167236
18h36m47s440ms,-9.158081,1.6440277,0.70332336,0.26321715,-0.15563965,-0.62820435,-0.21731567
18h36m47s511ms,-8.928406,1.4837799,0.48265076,0.25787354,-0.1993103,-6.5612793E-4,-0.22283936
18h36m47s584ms,-7.494095,1.3644562,-1.0552521,0.14681396,0.071640015,-0.5489502,-0.38206482
18h36m47s655ms,-9.934692,1.0416412,1.1129761,0.20961304,-0.32847595,-0.4329834,-0.6074829
18h36m47s728ms,-9.58429,0.7242737,0.46388245,0.20046997,-0.23449707,-0.5930939,-0.16572571
18h36m47s802ms,-10.534622,0.59399414,0.36120605,0.21000671,-0.08666992,-0.0103302,-0.6085205
18h36m47s872ms,-9.377289,0.57925415,1.34552,0.18090515,0.0012359619,-0.4216156,-0.1278534
18h36m47s942ms,-10.598709,0.33461,0.82115173,0.20596924,-0.06762695,0.13665771,-0.08137512
18h36m48s16ms,-10.048691,0.49978638,0.4569397,0.17444153,-0.20300293,-0.42448425,-0.0967865
18h36m48s88ms,-9.9747925,0.26948547,1.4730988,0.1570282,-0.11303711,-0.10066223,-0.08653259
18h36m48s159ms,-9.961197,0.10707092,1.4685516,0.1634552,0.006576538,-0.012588501,-0.05999756
18h36m48s232ms,-9.929916,0.073150635,0.85240173,0.16729125,-0.05984497,0.040878296,-0.03892517
18h36m48s306ms,-9.947006,0.05117798,1.5122681,0.12275696,0.0041503906,6.713867E-4,-0.001663208
18h36m48s377ms,-9.928635,0.024261475,1.1536713,0.09510498,-6.713867E-4,0.012161255,0.0036773682
18h36m48s450ms,-9.927689,0.03112793,1.2264557,0.05041809,0.014297485,0.0043182373,-0.01020813
18h36m48s521ms,-9.903748,0.060531616,0.9578705,0.023815919,-1.5258789E-5,-0.20857239,0.0036773682
18h36m48s594ms,-9.910843,0.04399109,1.212326,0.020339966,-0.0037384033,-0.12966919,-0.001663208
18h36m48s669ms,-9.895523,0.039093018,1.4996185,0.016925048,0.0076293945,0.088012695,-0.0023040771
18h36m48s738ms,-9.894684,0.044021606,1.4780579,0.012527466,0.0057525635,0.06896973,-3.0517578E-4
18h36m48s809ms,-9.897308,0.03642273,1.2402191,0.01267395,0.0030822754,-0.061141968,0.0014038086
18h36m48s881ms,-9.888336,0.058029175,1.3491669,0.011114502,0.0011749268,-0.077316284,0.0024871826
18h36m48s955ms,-9.891388,0.039245605,1.4272308,0.01156311,0.0033416748,-0.03564453,0.0011444092
18h36m49s25ms,-9.892487,0.0410614,1.4455261,0.010946656,0.0033416748,-0.014419556,0.0022125244
18h36m49s98ms,-9.880432,0.046188354,1.4436188,0.010986328,0.0030670166,0.008010864,-5.950928E-4
18h36m49s173ms,-9.881592,0.044448853,1.3858643,0.009814453,0.0038757324,-0.044448853,4.7302246E-4
18h36m49s243ms,-9.887558,0.05065918,1.4072876,0.0067352294,0.0022583008,-2.4414063E-4,9.1552734E-5
18h36m49s316ms,-9.884277,0.07337952,1.5195313,0.007522583,0.0043945313,0.026443481,4.7302246E-4
18h36m49s386ms,-9.880981,0.021484375,1.4573059,0.017538453,0.005874634,0.033096313,-5.950928E-4
18h36m49s461ms,-9.898605,0.041793823,1.3731537,0.020574952,0.0048217773,-0.018447876,4.7302246E-4
18h36m49s534ms,-9.87735,0.045272827,1.2056427,0.02092285,0.0029449463,-0.022827148,4.7302246E-4
18h36m49s604ms,-9.887329,0.0544281,1.4109344,0.021511842,0.002532959,0.057907104,8.8500977E-4
18h36m49s677ms,-9.898682,0.039245605,1.5315094,0.020004272,0.013336182,0.30534363,-0.0079193115
