
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h54m56s71ms,9.544662,-0.16339111,-0.4862671,10.163391,0.06585693,-0.0103302,0.014862061
14h54m56s146ms,9.544662,-0.16339111,-0.4862671,10.163391,0.045913696,-0.009552002,-0.004760742
14h54m56s251ms,9.540131,-0.20935059,-0.54704285,5.1046753,0.0135650635,0.026428223,0.017349243
14h54m56s293ms,9.540131,-0.20935059,-0.54704285,5.1046753,0.034820557,0.41914368,0.13153076
14h54m56s368ms,9.540131,-0.20935059,-0.54704285,5.1046753,0.19566345,-0.26898193,0.06918335
14h54m56s438ms,12.574661,-0.4223938,-1.0966797,3.4741313,0.05467224,-0.32330322,0.08288574
14h54m56s513ms,12.574661,-0.4223938,-1.0966797,3.4741313,0.07470703,-0.449646,-0.021469116
14h54m56s590ms,12.574661,-0.4223938,-1.0966797,3.4741313,0.26818848,-0.38269043,0.0032196045
14h54m56s666ms,10.867233,-0.14543152,-2.3821106,2.674839,0.25709534,-0.3214264,-0.1015625
14h54m56s738ms,10.867233,-0.14543152,-2.3821106,2.674839,-0.24417114,0.15785217,0.14129639
14h54m56s811ms,10.867233,-0.14543152,-2.3821106,2.674839,-0.08958435,-0.24549866,0.0055389404
14h54m56s885ms,6.3942413,-0.26071167,-1.8155823,2.1629272,0.04460144,-0.13897705,-0.13404846
14h54m57s28ms,6.3942413,-0.26071167,-1.8155823,2.1629272,-0.006515503,0.32492065,-0.27781677
14h54m57s64ms,7.8122864,-0.2546234,0.36645508,0.13146667,-0.0023040771,0.15472412,-0.30360413
14h54m57s107ms,7.8122864,-0.2546234,0.36645508,0.13146667,-0.13899231,0.07766724,0.096466064
14h54m57s182ms,7.8122864,-0.2546234,0.36645508,0.13146667,-0.061294556,0.069610596,0.07357788
14h54m57s253ms,9.4917755,-0.06819153,-0.28868103,0.15956116,-0.081451416,0.34236145,0.28744507
14h54m57s330ms,9.4917755,-0.06819153,-0.28868103,0.15956116,0.034347534,1.0134888,0.069107056
14h54m57s407ms,9.4917755,-0.06819153,-0.28868103,0.15956116,-0.073013306,-0.20730591,-0.049819946
14h54m57s519ms,9.994843,-0.19650269,-0.33802795,0.14261475,0.058670044,0.19798279,0.01524353
14h54m57s580ms,9.994843,-0.19650269,-0.33802795,0.14261475,-0.012069702,-0.005844116,0.035003662
14h54m57s632ms,9.526321,-0.20045471,-0.43496704,0.088012695,-0.009643555,-0.041000366,0.09414673
14h54m57s700ms,9.526321,-0.20045471,-0.43496704,0.088012695,0.005004883,-0.009292603,-0.025848389
14h54m57s784ms,9.526321,-0.20045471,-0.43496704,0.088012695,-0.007247925,-0.008728027,-0.019897461
14h54m57s847ms,9.574997,-0.2922058,-0.519989,0.083306886,0.0017089844,-0.001663208,0.0034484863
14h54m57s922ms,9.574997,-0.2922058,-0.519989,0.083306886,-0.0012969971,0.0010986328,0.0065307617
14h54m58s2ms,9.574997,-0.2922058,-0.519989,0.083306886,-0.006591797,0.0046539307,-0.0038452148
14h54m58s92ms,9.544617,-0.2559204,-0.5408478,0.08934631,-0.001159668,-5.0354004E-4,-0.012802124
14h54m58s145ms,9.544617,-0.2559204,-0.5408478,0.08934631,-0.011291504,-0.010070801,-7.6293945E-4
14h54m58s220ms,9.544617,-0.2559204,-0.5408478,0.08934631,0.012176514,0.0042877197,-0.022705078
14h54m58s326ms,9.560333,-0.24700928,-0.52674866,0.053842165,-0.015151978,-0.009048462,0.0119018555
14h54m58s391ms,9.560333,-0.24700928,-0.52674866,0.053842165,0.01272583,0.012496948,-0.0050964355
14h54m58s448ms,9.5329895,-0.22827148,-0.5415802,0.03192749,0.0035095215,-0.005706787,0.01210022
14h54m58s513ms,9.5329895,-0.22827148,-0.5415802,0.03192749,-0.016342163,-0.006072998,-0.0074157715
14h54m58s588ms,9.5329895,-0.22827148,-0.5415802,0.03192749,0.008071899,0.0050201416,-0.012573242
14h54m58s664ms,9.545563,-0.22117615,-0.5207367,0.032556154,-0.005508423,-0.013290405,0.0035247803
14h54m58s738ms,9.545563,-0.22117615,-0.5207367,0.032556154,0.007385254,4.5776367E-5,-0.011795044
14h54m58s812ms,9.545563,-0.22117615,-0.5207367,0.032556154,0.004180908,-0.0016326904,-8.239746E-4
14h54m58s884ms,9.5399475,-0.20188904,-0.5396118,0.018063355,-0.0051116943,0.0012969971,-0.0018920898
14h54m58s958ms,9.5399475,-0.20188904,-0.5396118,0.018063355,-0.008636475,-0.0014801025,6.1035156E-5
14h54m59s55ms,9.5399475,-0.20188904,-0.5396118,0.018063355,0.008331299,-0.004776001,0.0076141357
14h54m59s153ms,9.539185,-0.22280884,-0.54045105,0.014990235,-0.014694214,0.004119873,-0.011505127
14h54m59s184ms,9.539185,-0.22280884,-0.54045105,0.014990235,-0.0027160645,1.6784668E-4,0.0029754639
14h54m59s252ms,9.53891,-0.1951294,-0.54893494,0.018743897,0.010070801,-0.0042266846,0.017852783
14h54m59s326ms,9.53891,-0.1951294,-0.54893494,0.018743897,-0.0054779053,0.0069122314,-0.008270264
14h54m59s405ms,9.53891,-0.1951294,-0.54893494,0.018743897,-0.0022277832,0.0069732666,0.006881714
14h54m59s479ms,9.552734,-0.19151306,-0.562973,0.015719604,0.012329102,0.005508423,0.031036377
14h54m59s550ms,9.552734,-0.19151306,-0.562973,0.015719604,0.0012359619,0.0012207031,0.005065918
14h54m59s625ms,9.552734,-0.19151306,-0.562973,0.015719604,-0.0034637451,0.013046265,0.0037841797
14h54m59s699ms,9.555038,-0.22546387,-0.5174103,0.021090697,-0.008056641,0.023956299,0.054718018
14h54m59s774ms,9.555038,-0.22546387,-0.5174103,0.021090697,-0.016235352,0.02583313,0.045150757
14h54m59s849ms,10.395248,-0.21723938,-0.210495,0.018878173,0.109375,-0.3998413,-0.0025634766
14h54m59s939ms,10.395248,-0.21723938,-0.210495,0.018878173,0.26423645,-0.33244324,-0.28038025
14h55m0s2ms,10.395248,-0.21723938,-0.210495,0.018878173,0.3359375,-0.08618164,0.027282715
14h55m0s70ms,9.264908,-0.30599976,1.6765137,0.032446288,0.2518463,-0.3065338,0.22532654
14h55m0s145ms,9.264908,-0.30599976,1.6765137,0.032446288,-0.03843689,-0.576416,0.036987305
14h55m0s219ms,9.264908,-0.30599976,1.6765137,0.032446288,-0.1162262,-0.7790222,-0.16456604
14h55m0s290ms,6.035858,-8.239746E-4,-1.0119629,0.08794556,-0.22927856,0.47431946,0.02519226
14h55m0s394ms,6.035858,-8.239746E-4,-1.0119629,0.08794556,-0.11968994,0.6714325,0.2767334
14h55m0s471ms,6.035858,-8.239746E-4,-1.0119629,0.08794556,0.2767334,0.09889221,-0.060531616
14h55m0s541ms,8.459686,-0.33415222,-3.1893005,0.15388794,0.0231781,0.45066833,0.099624634
14h55m0s604ms,8.459686,-0.33415222,-3.1893005,0.15388794,-0.30448914,-0.015289307,-0.1906128
14h55m0s696ms,11.403412,-0.3575287,-2.6418,0.15177307,-0.30136108,0.0934906,-0.06706238
14h55m0s737ms,11.403412,-0.3575287,-2.6418,0.15177307,-0.008560181,0.9090576,-0.18881226
14h55m0s811ms,11.403412,-0.3575287,-2.6418,0.15177307,-0.2048645,0.07194519,0.23109436
14h55m0s904ms,10.554153,0.061584473,-0.86917114,0.23395081,-0.05958557,-0.25601196,0.016693115
14h55m0s968ms,10.554153,0.061584473,-0.86917114,0.23395081,0.010696411,-0.3932953,-0.4604187
14h55m1s33ms,10.554153,0.061584473,-0.86917114,0.23395081,-0.12214661,0.09388733,0.27098083
14h55m1s107ms,9.889648,-0.113357544,-0.42773438,0.25118715,0.041732788,0.0042877197,-6.2561035E-4
14h55m1s182ms,9.889648,-0.113357544,-0.42773438,0.25118715,-0.060409546,-5.0354004E-4,0.0010681152
14h55m1s254ms,9.5750885,-0.20440674,-0.5583191,0.20836182,-0.11972046,0.0069732666,-0.0048675537
14h55m1s327ms,9.5750885,-0.20440674,-0.5583191,0.20836182,0.015808105,0.009979248,-6.2561035E-4
14h55m1s410ms,9.5750885,-0.20440674,-0.5583191,0.20836182,0.058410645,0.0016326904,0.002380371
14h55m1s483ms,9.550507,-0.18571472,-0.5136261,0.14543457,-0.0022277832,0.0032348633,-0.002166748
14h55m1s550ms,9.550507,-0.18571472,-0.5136261,0.14543457,0.23042297,0.033065796,-0.036895752
14h55m1s625ms,9.550507,-0.18571472,-0.5136261,0.14543457,0.25590515,-0.028686523,0.021606445
14h55m1s745ms,9.560196,-0.17329407,-0.46176147,0.1432434,0.26135254,-0.012008667,-0.015029907
14h55m1s803ms,9.560196,-0.17329407,-0.46176147,0.1432434,0.024414063,-0.03250122,-0.008865356
14h55m1s852ms,9.560196,-0.17329407,-0.46176147,0.1432434,-0.06724548,0.021255493,0.012130737
14h55m1s922ms,9.524612,-0.18345642,-0.65319824,0.061453246,-0.032333374,-0.026565552,-0.03555298
14h55m2s0ms,9.524612,-0.18345642,-0.65319824,0.061453246,-0.0101623535,0.006576538,0.0060424805
14h55m2s66ms,9.5694275,-0.17811584,-0.5110016,0.02753296,-0.021453857,0.003768921,0.0087890625
14h55m2s145ms,9.5694275,-0.17811584,-0.5110016,0.02753296,-0.0022277832,0.0013885498,0.0045166016
14h55m2s230ms,9.5694275,-0.17811584,-0.5110016,0.02753296,-0.034606934,0.0010223389,1.0681152E-4
14h55m2s295ms,9.55484,-0.17655945,-0.55303955,0.0096344,-0.048934937,-0.004776001,-0.0051727295
14h55m2s364ms,9.55484,-0.17655945,-0.55303955,0.0096344,-0.013076782,7.171631E-4,-6.5612793E-4
14h55m2s442ms,9.55484,-0.17655945,-0.55303955,0.0096344,-0.001159668,0.0017242432,0.0024871826
14h55m2s513ms,9.548462,-0.17434692,-0.520874,0.006338501,0.0012817383,-0.002029419,-8.239746E-4
14h55m2s587ms,9.548462,-0.17434692,-0.520874,0.006338501,-6.5612793E-4,5.645752E-4,0.0029449463
14h55m2s662ms,9.5385895,-0.18476868,-0.5322571,0.005938721,1.8310547E-4,0.004837036,-0.0040283203
14h55m2s748ms,9.5385895,-0.18476868,-0.5322571,0.005938721,-0.010772705,0.0036621094,-0.0027618408
14h55m2s821ms,9.5385895,-0.18476868,-0.5322571,0.005938721,-0.0032958984,-8.69751E-4,4.272461E-4
14h55m2s884ms,9.545227,-0.18545532,-0.529541,0.004043579,-9.1552734E-5,-7.6293945E-4,6.5612793E-4
14h55m2s958ms,9.545227,-0.18545532,-0.529541,0.004043579,-0.01184082,-0.005432129,2.4414063E-4
14h55m3s35ms,9.545227,-0.18545532,-0.529541,0.004043579,-0.004180908,0.0016326904,-0.0027618408
14h55m3s107ms,9.5377655,-0.17576599,-0.52349854,0.00491333,-0.0021972656,0.0016326904,0.002380371
14h55m3s182ms,9.5377655,-0.17576599,-0.52349854,0.00491333,-6.5612793E-4,-0.0018615723,0.0013122559
14h55m3s257ms,9.5377655,-0.17576599,-0.52349854,0.00491333,-0.001159668,0.0043182373,-0.0035095215
14h55m3s331ms,9.553192,-0.18077087,-0.5323334,0.0056030275,-9.1552734E-5,1.6784668E-4,-8.239746E-4
14h55m3s401ms,9.553192,-0.18077087,-0.5323334,0.0056030275,-9.1552734E-5,3.6621094E-4,1.5258789E-4
14h55m3s476ms,9.544739,-0.17640686,-0.5282135,0.006033325,-0.002105713,4.272461E-4,-9.460449E-4
14h55m3s555ms,9.544739,-0.17640686,-0.5282135,0.006033325,2.593994E-4,0.0023345947,-4.7302246E-4
14h55m3s627ms,9.544739,-0.17640686,-0.5282135,0.006033325,-0.0022277832,-0.0026397705,0.0025024414
14h55m3s697ms,9.542084,-0.1835022,-0.5388031,0.005368042,9.765625E-4,0.002456665,0.0021514893
14h55m3s772ms,9.542084,-0.1835022,-0.5388031,0.005368042,0.002029419,0.0026855469,0.0013122559
14h55m3s849ms,9.542084,-0.1835022,-0.5388031,0.005368042,-0.0052337646,-0.0045776367,0.012237549
14h55m3s921ms,9.540909,-0.15351868,-0.5210571,0.011227417,-0.14700317,0.23074341,0.09501648
14h55m3s996ms,9.540909,-0.15351868,-0.5210571,0.011227417,0.020385742,0.2001648,-0.008575439
14h55m4s70ms,12.59375,-0.33929443,-0.60058594,0.046444703,0.16644287,-0.0798645,-0.0949707
14h55m4s156ms,12.59375,-0.33929443,-0.60058594,0.046444703,-0.093048096,-0.047821045,0.036376953
14h55m4s219ms,12.59375,-0.33929443,-0.60058594,0.046444703,-0.3948059,-0.77565,0.16944885
14h55m4s290ms,11.112167,0.073913574,-2.2577667,0.12808533,-0.039093018,-0.7777405,-0.07511902
14h55m4s370ms,11.112167,0.073913574,-2.2577667,0.12808533,0.07417297,-0.51838684,-0.115753174
14h55m4s438ms,11.112167,0.073913574,-2.2577667,0.12808533,-0.081085205,-0.019836426,0.054595947
14h55m4s518ms,6.167328,-0.12890625,-2.4684753,0.1677765,0.17138672,0.4862213,-0.083358765
14h55m4s596ms,6.167328,-0.12890625,-2.4684753,0.1677765,0.31323242,0.30741882,-0.33377075
14h55m4s662ms,6.167328,-0.12890625,-2.4684753,0.1677765,0.04537964,0.24084473,-0.087509155
14h55m4s735ms,7.5588684,-0.14460754,1.1423798,0.16949768,-0.18380737,0.2394867,0.16088867
14h55m4s810ms,7.5588684,-0.14460754,1.1423798,0.16949768,-0.04159546,0.36860657,0.32803345
14h55m4s887ms,9.868118,-0.09500122,0.23443604,0.17342225,-0.0039978027,-0.5813904,0.12702942
14h55m4s958ms,9.868118,-0.09500122,0.23443604,0.17342225,0.07589722,0.13426208,-0.18869019
14h55m5s35ms,9.868118,-0.09500122,0.23443604,0.17342225,0.005432129,-0.39593506,0.032546997
14h55m5s112ms,9.516174,-0.20584106,-0.14881897,0.15843506,0.12472534,-0.024551392,-0.025939941
14h55m5s182ms,9.516174,-0.20584106,-0.14881897,0.15843506,-0.018554688,-0.02507019,-0.019943237
14h55m5s256ms,9.516174,-0.20584106,-0.14881897,0.15843506,-0.022323608,-0.009048462,-0.010101318
14h55m5s327ms,9.562347,-0.1479187,-0.6389313,0.08737793,0.016998291,4.5776367E-5,0.011520386
14h55m5s417ms,9.562347,-0.1479187,-0.6389313,0.08737793,0.011367798,5.645752E-4,-0.016555786
14h55m5s475ms,9.562347,-0.1479187,-0.6389313,0.08737793,0.0020446777,5.645752E-4,5.340576E-4
14h55m5s550ms,9.55278,-0.17295837,-0.5930939,0.0518219,0.0015258789,-5.0354004E-4,-0.0026550293
14h55m5s627ms,9.55278,-0.17295837,-0.5930939,0.0518219,0.0016326904,-0.002243042,-8.239746E-4
14h55m5s704ms,9.534348,-0.16621399,-0.5946045,0.05003052,0.002670288,9.918213E-4,0.007293701
14h55m5s772ms,9.534348,-0.16621399,-0.5946045,0.05003052,0.0029144287,0.0039520264,-0.002029419
14h55m5s847ms,9.534348,-0.16621399,-0.5946045,0.05003052,-9.1552734E-5,-5.0354004E-4,0.0023498535
14h55m5s926ms,9.542328,-0.1862793,-0.5819855,0.044122316,-0.001159668,0.003479004,-0.004852295
14h55m5s995ms,9.542328,-0.1862793,-0.5819855,0.044122316,-6.5612793E-4,5.645752E-4,-2.593994E-4
14h55m6s70ms,9.542328,-0.1862793,-0.5819855,0.044122316,0.0012969971,-5.0354004E-4,0.008056641
14h55m6s161ms,9.540726,-0.18179321,-0.57048035,0.022851562,-7.7819824E-4,-0.0013885498,-0.008102417
14h55m6s229ms,9.540726,-0.18179321,-0.57048035,0.022851562,-0.001159668,5.645752E-4,-0.006011963
14h55m6s292ms,9.545898,-0.18315125,-0.58317566,0.0115386965,0.0052490234,0.0012664795,0.02053833
14h55m6s364ms,9.545898,-0.18315125,-0.58317566,0.0115386965,3.6621094E-4,0.004837036,0.0060577393
14h55m6s445ms,9.545898,-0.18315125,-0.58317566,0.0115386965,-0.004135132,-0.005844116,-0.015533447
14h55m6s518ms,9.547775,-0.19393921,-0.5783386,0.008688355,9.765625E-4,5.493164E-4,0.011962891
14h55m6s589ms,9.547775,-0.19393921,-0.5783386,0.008688355,-9.1552734E-5,0.004837036,0.009246826
14h55m6s661ms,9.547775,-0.19393921,-0.5783386,0.008688355,3.6621094E-4,-0.003112793,-0.0069122314
14h55m6s744ms,9.545441,-0.18756104,-0.57540894,0.008615112,0.001663208,-0.0015716553,-0.0050964355
14h55m6s809ms,9.545441,-0.18756104,-0.57540894,0.008615112,0.0043029785,-3.8146973E-4,-0.0017547607
14h55m6s884ms,9.545441,-0.18756104,-0.57540894,0.008615112,-0.0022277832,-5.0354004E-4,0.0034484863
14h55m6s972ms,9.541794,-0.1907959,-0.58258057,0.0052490234,2.2888184E-4,-0.0033874512,0.0016479492
14h55m7s35ms,9.541794,-0.1907959,-0.58258057,0.0052490234,-0.0033569336,-0.0037078857,-0.012054443
14h55m7s103ms,9.523636,-0.17277527,-0.5976715,0.007955933,-0.04109192,0.02960205,0.084991455
14h55m7s177ms,9.523636,-0.17277527,-0.5976715,0.007955933,0.042053223,0.05760193,0.08929443
14h55m7s277ms,9.523636,-0.17277527,-0.5976715,0.007955933,0.15504456,-0.038757324,0.090270996
14h55m7s331ms,10.576614,-0.38313293,0.58543396,0.04975586,0.29364014,0.03579712,0.07646179
14h55m7s401ms,10.576614,-0.38313293,0.58543396,0.04975586,0.02999878,0.122909546,0.10646057
14h55m7s475ms,10.576614,-0.38313293,0.58543396,0.04975586,-0.06942749,-0.019851685,0.20336914
14h55m7s552ms,8.117722,-0.27046204,1.6532745,0.07013245,0.17514038,-0.8758087,-0.116363525
14h55m7s624ms,8.117722,-0.27046204,1.6532745,0.07013245,0.1423645,-0.58781433,-0.30178833
14h55m7s706ms,6.821686,-0.3279419,-1.2648163,0.08035278,-0.35957336,0.37591553,-0.25479126
14h55m7s802ms,6.821686,-0.3279419,-1.2648163,0.08035278,-0.23625183,0.49189758,-0.16194153
14h55m7s852ms,6.821686,-0.3279419,-1.2648163,0.08035278,-0.21191406,0.54193115,0.060531616
14h55m7s921ms,9.297607,-0.005722046,-2.0495148,0.14414978,-0.16061401,0.5683136,0.055480957
14h55m7s995ms,9.297607,-0.005722046,-2.0495148,0.14414978,0.30918884,-0.057556152,0.54722595
14h55m8s77ms,9.297607,-0.005722046,-2.0495148,0.14414978,-0.0415802,-0.11027527,0.35514832
14h55m8s154ms,11.441406,-0.4355011,-0.79226685,0.22650146,-0.21664429,-0.33311462,0.16027832
14h55m8s214ms,11.441406,-0.4355011,-0.79226685,0.22650146,-0.09942627,-0.8379059,-0.14822388
14h55m8s299ms,11.441406,-0.4355011,-0.79226685,0.22650146,-0.08187866,0.2397461,-0.109558105
14h55m8s372ms,10.55481,-0.53045654,-0.5097351,0.20342103,-0.07762146,-0.38034058,-0.34321594
14h55m8s439ms,10.55481,-0.53045654,-0.5097351,0.20342103,0.019714355,0.10646057,-0.32130432
14h55m8s512ms,9.7269745,-0.13619995,-0.8711548,0.25973815,0.048583984,-0.040405273,0.04335022
14h55m8s587ms,9.7269745,-0.13619995,-0.8711548,0.25973815,0.059890747,-0.0069122314,-0.004837036
14h55m8s662ms,9.7269745,-0.13619995,-0.8711548,0.25973815,0.01826477,-0.004043579,-0.008712769
14h55m8s734ms,9.56189,-0.19285583,-0.49386597,0.25957337,-0.048065186,4.5776367E-5,-0.0045776367
14h55m8s822ms,9.56189,-0.19285583,-0.49386597,0.25957337,-0.0385437,-0.0015716553,-8.239746E-4
14h55m8s888ms,9.56189,-0.19285583,-0.49386597,0.25957337,-0.017227173,-0.0015716553,2.1362305E-4
14h55m8s958ms,9.556168,-0.19737244,-0.5234375,0.19603272,0.0020446777,-0.0045928955,-0.0032806396
14h55m9s32ms,9.556168,-0.19737244,-0.5234375,0.19603272,0.028747559,0.0033416748,-1.6784668E-4
14h55m9s107ms,9.551056,-0.17785645,-0.5309601,0.1139801,0.0105896,-0.004547119,-0.0046691895
14h55m9s177ms,9.551056,-0.17785645,-0.5309601,0.1139801,-0.048706055,-0.00869751,-0.004547119
14h55m9s255ms,9.551056,-0.17785645,-0.5309601,0.1139801,0.002090454,-0.0015258789,3.0517578E-4
14h55m9s331ms,9.534348,-0.17378235,-0.5526428,0.095803834,-0.0025177002,-0.0064086914,-0.0032348633
14h55m9s409ms,9.534348,-0.17378235,-0.5526428,0.095803834,-0.0022125244,0.0010986328,0.0045166016
14h55m9s482ms,9.534348,-0.17378235,-0.5526428,0.095803834,-0.013977051,0.0010070801,-0.0026397705
14h55m9s558ms,9.54689,-0.17645264,-0.56121826,0.017486572,-0.044891357,-4.4250488E-4,0.005584717
14h55m9s625ms,9.54689,-0.17645264,-0.56121826,0.017486572,-0.005142212,8.544922E-4,0.0014648438
14h55m9s702ms,9.54689,-0.17645264,-0.56121826,0.017486572,-0.016220093,-0.0026397705,-0.0033416748
14h55m9s771ms,9.54454,-0.17658997,-0.54574585,0.0061828615,-0.022079468,5.645752E-4,7.6293945E-5
14h55m9s845ms,9.54454,-0.17658997,-0.54574585,0.0061828615,-3.0517578E-4,0.0056915283,-0.0042266846
14h55m9s922ms,9.542694,-0.17634583,-0.5353546,0.0053283693,-0.0032958984,-0.007980347,-0.0029449463
14h55m9s994ms,9.542694,-0.17634583,-0.5353546,0.0053283693,9.765625E-4,0.0077819824,0.0034484863
