
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h26m34s514ms,0.002029419,9.912598,-0.47221375,0.087402344,0.22731018,-0.64515686,-0.6596985
14h26m34s586ms,0.002029419,9.912598,-0.47221375,0.087402344,-0.11871338,-0.5137024,-1.1335297
14h26m34s660ms,0.43696594,13.564178,0.5519867,1.8694916,-0.4380188,0.56474304,-0.9497223
14h26m34s735ms,0.43696594,13.564178,0.5519867,1.8694916,0.15997314,0.35746765,-1.1361847
14h26m34s811ms,0.43696594,13.564178,0.5519867,1.8694916,0.1796112,0.50572205,-1.1003876
14h26m34s884ms,-1.7232056,9.389755,1.5769806,2.6378021,-0.08569336,0.6459503,-0.23976135
14h26m34s959ms,-1.7232056,9.389755,1.5769806,2.6378021,1.3146973,-2.473709,-0.5163269
14h26m35s34ms,-1.7232056,9.389755,1.5769806,2.6378021,-0.41716003,2.0838318,1.5639038
14h26m35s105ms,-3.3611145,4.6026306,-0.88249207,3.1751328,0.87991333,-0.1823883,0.09080505
14h26m35s179ms,-3.3611145,4.6026306,-0.88249207,3.1751328,-0.39950562,0.5235596,0.71507263
14h26m35s254ms,-1.3032227,8.652054,-1.150711,3.3499908,-0.5636139,0.10925293,0.39265442
14h26m35s329ms,-1.3032227,8.652054,-1.150711,3.3499908,-0.43403625,0.013290405,1.3699951
14h26m35s404ms,-1.3032227,8.652054,-1.150711,3.3499908,0.06980896,-0.23947144,0.54862976
14h26m35s477ms,0.17077637,9.52684,-1.3804932,3.5074677,-1.1830292,-0.60025024,-0.40330505
14h26m35s552ms,0.17077637,9.52684,-1.3804932,3.5074677,0.14505005,-0.46594238,-0.19212341
14h26m35s627ms,0.17077637,9.52684,-1.3804932,3.5074677,0.007369995,-0.17741394,0.015930176
14h26m35s701ms,0.46348572,9.790329,-0.11930847,2.8298492,0.03894043,0.34246826,-0.023590088
14h26m35s776ms,0.46348572,9.790329,-0.11930847,2.8298492,-0.030273438,-0.058013916,-0.010925293
14h26m35s851ms,-0.05659485,9.863358,-0.27598572,2.0095704,0.009338379,0.015579224,0.008087158
14h26m35s922ms,-0.05659485,9.863358,-0.27598572,2.0095704,0.010116577,0.015899658,-0.0027313232
14h26m35s996ms,-0.05659485,9.863358,-0.27598572,2.0095704,-0.0017089844,-0.0028533936,0.0040893555
14h26m36s70ms,-0.14819336,9.784058,-0.18663025,1.0680053,-0.0025024414,-0.004333496,-5.79834E-4
14h26m36s144ms,-0.14819336,9.784058,-0.18663025,1.0680053,0.0015106201,0.0010070801,-0.0033416748
14h26m36s221ms,-0.14819336,9.784058,-0.18663025,1.0680053,0.0027770996,0.0057373047,0.0020141602
14h26m36s294ms,-0.1448822,9.792053,-0.18013,0.25971985,-0.0012054443,-0.0024261475,9.460449E-4
14h26m36s369ms,-0.1448822,9.792053,-0.18013,0.25971985,5.0354004E-4,-0.0018157959,-7.019043E-4
14h26m36s443ms,-0.1448822,9.792053,-0.18013,0.25971985,5.0354004E-4,-0.0021514893,5.493164E-4
14h26m36s514ms,-0.14178467,9.792816,-0.17871094,0.08491516,-5.645752E-4,0.0035247803,7.171631E-4
14h26m36s589ms,-0.14178467,9.792816,-0.17871094,0.08491516,5.0354004E-4,9.765625E-4,-1.8310547E-4
14h26m36s664ms,-0.14315796,9.785416,-0.1824646,0.03369751,-5.645752E-4,-0.0031738281,-1.2207031E-4
14h26m36s739ms,-0.14315796,9.785416,-0.1824646,0.03369751,-0.0010986328,-4.272461E-4,0.0014801025
14h26m36s814ms,-0.14315796,9.785416,-0.1824646,0.03369751,6.1035156E-5,2.746582E-4,-5.493164E-4
14h26m36s887ms,-0.14465332,9.790497,-0.17510986,0.020108033,-0.0010223389,-7.7819824E-4,9.460449E-4
14h26m36s961ms,-0.14465332,9.790497,-0.17510986,0.020108033,-0.0016326904,-0.005218506,-1.2207031E-4
14h26m37s36ms,-0.14465332,9.790497,-0.17510986,0.020108033,6.1035156E-4,-4.5776367E-5,-1.2207031E-4
14h26m37s111ms,-0.14152527,9.793137,-0.18658447,0.004776001,5.0354004E-4,-1.0681152E-4,-1.2207031E-4
14h26m37s186ms,-0.14152527,9.793137,-0.18658447,0.004776001,-0.0014190674,-1.5258789E-4,-0.0011901855
14h26m37s261ms,-0.14033508,9.789993,-0.18206787,0.003805542,-0.0016326904,0.0016021729,5.79834E-4
14h26m37s332ms,-0.14033508,9.789993,-0.18206787,0.003805542,5.0354004E-4,3.9672852E-4,-6.2561035E-4
14h26m37s406ms,-0.14033508,9.789993,-0.18206787,0.003805542,-5.645752E-4,-0.0022888184,-0.0011901855
14h26m37s480ms,-0.13549805,9.7883,-0.17654419,0.0039916993,-0.0016326904,-0.0012207031,7.9345703E-4
14h26m37s555ms,-0.13549805,9.7883,-0.17654419,0.0039916993,0.0015563965,0.003036499,9.460449E-4
14h26m37s630ms,-0.13549805,9.7883,-0.17654419,0.0039916993,5.0354004E-4,-3.3569336E-4,-1.2207031E-4
14h26m37s703ms,-0.13581848,9.784866,-0.18255615,0.0031982423,-5.645752E-4,1.9836426E-4,-1.2207031E-4
14h26m37s778ms,-0.13581848,9.784866,-0.18255615,0.0031982423,-5.645752E-4,0.0019836426,-6.713867E-4
14h26m37s853ms,-0.13581848,9.784866,-0.18255615,0.0031982423,-0.0023345947,-0.0012207031,-8.087158E-4
14h26m37s924ms,-0.1448822,9.793564,-0.18066406,0.003921509,-0.0014343262,-0.002090454,-3.2043457E-4
14h26m37s999ms,-0.1448822,9.793564,-0.18066406,0.003921509,4.5776367E-4,-0.0011901855,-0.0011444092
14h26m38s74ms,-0.13838196,9.792664,-0.17984009,0.0035736084,5.0354004E-4,0.0018310547,-0.0010375977
14h26m38s148ms,-0.13838196,9.792664,-0.17984009,0.0035736084,-2.593994E-4,4.5776367E-4,-5.645752E-4
14h26m38s224ms,-0.13838196,9.792664,-0.17984009,0.0035736084,-0.0016326904,-2.593994E-4,-1.2207031E-4
14h26m38s296ms,-0.14749146,9.782318,-0.16099548,0.005014038,-4.119873E-4,2.4414063E-4,-7.7819824E-4
14h26m38s371ms,-0.14749146,9.782318,-0.16099548,0.005014038,-5.645752E-4,-0.0022888184,9.460449E-4
14h26m38s448ms,-0.14749146,9.782318,-0.16099548,0.005014038,0.0015716553,-1.5258789E-4,-1.2207031E-4
14h26m38s520ms,-0.14352417,9.789734,-0.16940308,0.0061584474,-0.0027008057,-0.0010223389,-1.5258789E-5
14h26m38s595ms,-0.14352417,9.789734,-0.16940308,0.0061584474,-0.0014190674,0.008682251,-3.9672852E-4
14h26m38s670ms,-0.6610718,9.788086,-0.3607025,0.005801392,-0.26930237,-0.73768616,0.06700134
14h26m38s741ms,-0.6610718,9.788086,-0.3607025,0.005801392,-0.19932556,0.34100342,0.35188293
14h26m38s816ms,-0.6610718,9.788086,-0.3607025,0.005801392,-0.54556274,-0.038360596,-0.13015747
14h26m38s889ms,0.59407043,10.593872,-1.2704468,0.16521911,0.46969604,-0.90745544,-0.6580658
14h26m38s965ms,0.59407043,10.593872,-1.2704468,0.16521911,-0.13941956,-0.37391663,-1.1336517
14h26m39s40ms,0.59407043,10.593872,-1.2704468,0.16521911,0.11483765,-0.8560028,-0.5466461
14h26m39s113ms,0.0831604,8.742477,-1.5048523,0.535318,0.9254303,-0.7030945,-0.45007324
14h26m39s188ms,0.0831604,8.742477,-1.5048523,0.535318,0.40377808,-0.10873413,0.2770996
14h26m39s263ms,0.0831604,8.742477,-1.5048523,0.535318,0.38764954,0.9741974,0.7148285
14h26m39s337ms,-1.4248352,6.333313,1.5734863,1.0150818,-0.31028748,1.400116,0.793396
14h26m39s412ms,-1.4248352,6.333313,1.5734863,1.0150818,-0.13140869,-0.08728027,0.5809021
14h26m39s483ms,-0.38635254,10.915375,-0.34077454,1.930011,-0.27822876,0.051727295,0.30187988
14h26m39s558ms,-0.38635254,10.915375,-0.34077454,1.930011,-0.22668457,-0.25491333,0.37347412
14h26m39s633ms,-0.38635254,10.915375,-0.34077454,1.930011,-0.05088806,0.105407715,0.0864563
14h26m39s706ms,0.3932953,11.600861,-2.2888184E-4,2.0667787,-0.21524048,0.09269714,-0.0987854
