
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
1h57m12s495ms,-0.20214844,9.95668,-0.19496155,0.043319702,5.79834E-4,-3.9672852E-4,-0.0015106201
21h57m12s575ms,-0.20036316,9.958618,-0.25413513,0.022628784,0.0018463135,-0.0010681152,-6.713867E-4
21h57m12s640ms,-0.20036316,9.958618,-0.25413513,0.015085856,0.0016479492,-0.032974243,0.004333496
21h57m12s715ms,-0.20036316,9.958618,-0.25413513,0.011314392,0.002960205,-0.09132385,0.047454834
21h57m12s788ms,-0.17807007,9.969299,-0.24694824,0.011187744,0.0027160645,-0.010406494,0.024154663
21h57m12s863ms,-0.17807007,9.969299,-0.24694824,0.0025238036,0.758667,-0.4800415,0.66952515
21h57m12s939ms,-0.17807007,9.969299,-0.24694824,0.0021362305,-0.2000122,-0.75364685,-0.47610474
21h57m13s12ms,1.2902374,11.982849,-1.546341,0.4048462,-0.8675537,-1.1268158,0.3466034
21h57m13s87ms,1.2902374,11.982849,-1.546341,0.4048462,0.39541626,-1.5158539,0.04512024
21h57m13s161ms,1.2902374,11.982849,-1.546341,0.40270996,0.15838623,-0.74147034,0.2616577
21h57m13s233ms,-0.8643036,11.375107,1.0038605,0.52425843,0.014083862,-0.43237305,0.28826904
21h57m13s307ms,-0.8643036,11.375107,1.0038605,0.52425843,-0.21304321,-0.67211914,-0.7312622
21h57m13s382ms,-1.1707611,10.063431,0.6593628,0.38388366,-0.46322632,0.20401001,-0.9555664
21h57m13s456ms,-1.1707611,10.063431,0.6593628,0.38388366,0.017715454,0.2753296,-0.61242676
21h57m13s531ms,-1.1707611,10.063431,0.6593628,0.38388366,-0.28515625,0.54771423,-0.35351563
21h57m13s620ms,-1.6250916,6.072983,0.55075073,1.0604248,0.2678833,0.19830322,0.34858704
21h57m13s709ms,-1.6250916,6.072983,0.55075073,1.0604248,-0.1880951,0.15687561,0.36280823
21h57m13s760ms,-1.6250916,6.072983,0.55075073,0.7980896,0.3435974,-0.22651672,0.4409027
21h57m13s828ms,0.22229004,9.154617,-0.4986725,1.4144166,0.34883118,0.0385437,0.36930847
21h57m13s903ms,0.22229004,9.154617,-0.4986725,1.4144166,0.031341553,0.12298584,0.30776978
21h57m13s975ms,0.35713196,10.297485,-0.2477417,0.8449005,0.34014893,-0.34191895,0.14561462
21h57m14s48ms,0.35713196,10.297485,-0.2477417,0.8449005,0.2617035,-0.22514343,0.23368835
21h57m14s123ms,0.35713196,10.297485,-0.2477417,0.8449005,-0.13580322,0.029571533,0.70144653
21h57m14s198ms,0.4842224,7.883362,-0.47183228,0.7113983,0.28164673,0.1736145,-0.6434326
21h57m14s272ms,0.4842224,7.883362,-0.47183228,0.7113983,0.02468872,0.107040405,-0.1272583
21h57m14s347ms,0.4842224,7.883362,-0.47183228,0.4828247,0.010269165,-0.046310425,-0.09020996
21h57m14s420ms,-0.9134064,10.203186,0.37780762,0.94678956,0.014404297,0.008636475,-0.040237427
21h57m14s495ms,-0.9134064,10.203186,0.37780762,0.94678956,0.0022125244,0.0032958984,-0.0063171387
21h57m14s570ms,-0.9134064,10.203186,0.37780762,0.46396485,0.0038452148,-0.012161255,-0.0049438477
21h57m14s644ms,-0.16308594,9.959915,-0.35195923,0.512619,0.009857178,-0.009109497,-0.0067443848
21h57m14s716ms,-0.16308594,9.959915,-0.35195923,0.512619,0.0021362305,-0.0013427734,-0.0030822754
21h57m14s789ms,-0.20310974,9.956665,-0.2363739,0.0493042,0.0016479492,-0.0013427734,-0.0032653809
21h57m14s863ms,-0.20310974,9.956665,-0.2363739,0.0493042,0.0037841797,-0.0019989014,-0.0019683838
21h57m14s938ms,-0.20310974,9.956665,-0.2363739,0.0493042,0.0016479492,-0.0013427734,-0.0028076172
21h57m15s9ms,-0.20188904,9.961761,-0.23895264,0.0016693115,-0.0015563965,7.324219E-4,-0.001739502
21h57m15s87ms,-0.20188904,9.961761,-0.23895264,0.0016693115,0.0014953613,-5.645752E-4,-0.001876831
21h57m15s162ms,-0.20188904,9.961761,-0.23895264,0.0010192872,-0.002960205,-0.0013427734,0.0014648438
21h57m15s233ms,-0.2032013,9.963226,-0.24705505,0.0013122559,0.0027618408,-0.0019073486,-6.713867E-4
21h57m15s307ms,-0.2032013,9.963226,-0.24705505,0.0013122559,0.0016479492,-0.0024108887,-0.0020599365
21h57m15s383ms,-0.2000122,9.961258,-0.23338318,6.866455E-4,5.79834E-4,7.9345703E-4,-8.392334E-4
21h57m15s457ms,-0.2000122,9.961258,-0.23338318,6.866455E-4,-0.0015563965,-2.746582E-4,-0.001739502
21h57m15s531ms,-0.2000122,9.961258,-0.23338318,6.866455E-4,0.0022277832,3.9672852E-4,-0.0047454834
21h57m15s604ms,-0.20791626,9.959152,-0.2418518,8.1481936E-4,-0.0018615723,-0.0013427734,7.019043E-4
21h57m15s679ms,-0.20791626,9.959152,-0.2418518,8.1481936E-4,0.0011444092,-8.544922E-4,-0.0033721924
21h57m15s754ms,-0.20791626,9.959152,-0.2418518,4.2114258E-4,8.8500977E-4,-5.950928E-4,-0.001739502
21h57m15s830ms,-0.19308472,9.963623,-0.23812866,0.0013153076,0.0017852783,0.0027770996,-0.0025177002
21h57m15s912ms,-0.19308472,9.963623,-0.23812866,0.0013153076,0.0015869141,7.9345703E-4,-0.007019043
21h57m15s980ms,-0.19308472,9.963623,-0.23812866,8.94165E-4,-0.014511108,7.9345703E-4,-0.0032653809
21h57m16s49ms,-0.2058258,9.964096,-0.23788452,9.887696E-4,-0.038635254,0.029632568,-0.0134887695
21h57m16s124ms,-0.2058258,9.964096,-0.23788452,9.887696E-4,-0.050445557,0.008010864,0.010635376
21h57m16s214ms,-0.22845459,9.951782,-0.1341095,0.0025573731,0.06248474,-0.03164673,0.024932861
21h57m16s280ms,-0.22845459,9.951782,-0.1341095,0.0025573731,-0.014038086,0.010665894,0.0036010742
21h57m16s347ms,-0.22845459,9.951782,-0.1341095,0.0025573731,0.026977539,-0.051483154,0.005493164
21h57m16s421ms,-0.197052,9.983643,-0.072891235,0.008834839,0.02947998,-0.008041382,0.0033721924
21h57m16s496ms,-0.197052,9.983643,-0.072891235,0.008834839,0.0039520264,0.0018615723,0.0010070801
21h57m16s571ms,-0.197052,9.983643,-0.072891235,0.0063720704,0.008514404,-0.0010070801,-0.0041046143
21h57m16s642ms,-0.20780945,9.9557495,-0.21199036,0.011950684,-0.04525757,-0.26264954,0.042922974
21h57m16s717ms,-0.20780945,9.9557495,-0.21199036,0.011950684,0.36676025,0.9464874,-0.16072083
21h57m16s801ms,1.6670837,11.865784,-1.015213,0.38758546,-0.00881958,0.3669281,-1.3324585
21h57m16s865ms,1.6670837,11.865784,-1.015213,0.38758546,-0.08432007,-0.7693634,-0.5888214
21h57m16s940ms,1.6670837,11.865784,-1.015213,0.38758546,-1.5634766,-1.1847687,-0.18414307
21h57m17s22ms,-0.5754242,6.2239685,-0.8413086,1.5103699,-0.13723755,-0.30152893,0.021560669
21h57m17s88ms,-0.5754242,6.2239685,-0.8413086,1.5103699,0.45980835,-0.0021820068,0.24021912
21h57m17s163ms,-0.5754242,6.2239685,-0.8413086,1.128363,0.26867676,0.2624817,0.079437256
21h57m17s237ms,-2.44487,7.804367,2.2958221,1.4444427,0.79626465,0.24862671,-0.043624878
21h57m17s313ms,-2.44487,7.804367,2.2958221,1.4444427,0.5875244,0.9050598,0.565506
21h57m17s387ms,-2.44487,7.804367,2.2958221,0.3160797,-0.2020874,0.71736145,0.77511597
21h57m17s458ms,-2.2429657,9.925095,0.475708,0.7402252,-0.5812378,0.012374878,0.2190857
21h57m17s533ms,-2.2429657,9.925095,0.475708,0.7402252,-0.059906006,-0.72036743,-0.18206787
21h57m17s607ms,0.38902283,12.397903,-0.58522034,0.91870725,-0.2881012,-0.36553955,0.122421265
21h57m17s682ms,0.38902283,12.397903,-0.58522034,0.91870725,0.58795166,-0.63668823,0.20567322
