
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
0h25m47s135ms,-0.044921875,9.811295,-0.36372375,0.18870544,0.022415161,-0.0064849854,-9.765625E-4
10h25m47s208ms,-0.044921875,9.811295,-0.36372375,0.09435272,-0.07411194,-0.018005371,0.0038604736
10h25m47s284ms,-0.044921875,9.811295,-0.36372375,0.06290182,0.054397583,-1.6784668E-4,-5.950928E-4
10h25m47s355ms,-0.055130005,9.82814,-0.41355896,0.051387787,-0.21896362,-0.05557251,0.010360718
10h25m47s433ms,-0.055130005,9.82814,-0.41355896,0.04111023,-1.0690308,0.08164978,0.37028503
10h25m47s508ms,-0.055130005,9.82814,-0.41355896,0.0033691407,0.8904114,-0.3155365,-0.6955719
10h25m47s579ms,0.29708862,11.798004,0.28793335,0.3973419,-0.7964783,0.36026,0.56825256
10h25m47s654ms,0.29708862,11.798004,0.28793335,0.3973419,0.31791687,0.49432373,0.46391296
10h25m47s727ms,-0.47576904,11.94606,0.1421051,0.42358398,-0.5012665,0.010757446,-0.09577942
10h25m47s802ms,-0.47576904,11.94606,0.1421051,0.42358398,0.34857178,-0.009170532,-0.8595276
10h25m47s877ms,-0.47576904,11.94606,0.1421051,0.42358398,0.053451538,0.4890442,-0.7435303
10h25m47s952ms,0.1782074,8.625137,1.2226257,0.6937958,-0.057754517,-0.20553589,-0.6730957
10h25m48s26ms,0.1782074,8.625137,1.2226257,0.6937958,0.10887146,0.6232147,-0.37953186
10h25m48s101ms,0.1782074,8.625137,1.2226257,0.6641846,-0.23532104,0.6365814,-0.096328735
10h25m48s172ms,-0.80355835,6.8404236,1.2423553,1.0211273,0.31678772,0.4691162,0.101135254
10h25m48s247ms,-0.80355835,6.8404236,1.2423553,1.0211273,-0.076538086,0.44262695,0.2509308
10h25m48s322ms,-0.80355835,6.8404236,1.2423553,0.35694274,0.095947266,0.11578369,0.31340027
10h25m48s395ms,-1.1521301,8.937851,-1.2696991,0.7764282,-0.014755249,-0.015304565,0.3880005
