
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
1h42m35s364ms,-0.1832428,9.93634,-0.247818,0.06365967,9.613037E-4,5.493164E-4,-0.008361816
21h42m35s439ms,-0.1832428,9.93634,-0.247818,0.031829834,7.4768066E-4,0.001449585,-0.007293701
21h42m35s514ms,-0.19641113,9.934204,-0.21690369,0.021931967,-3.8146973E-4,0.001449585,-0.008255005
21h42m35s589ms,-0.19641113,9.934204,-0.21690369,0.016448975,-0.0013427734,0.001449585,-0.007293701
21h42m35s664ms,-0.19641113,9.934204,-0.21690369,0.01315918,0.0014801025,0.0018157959,-0.008361816
21h42m35s735ms,-0.19223022,9.946548,-0.21777344,0.0028961182,7.9345703E-4,0.0019378662,-0.0073547363
21h42m35s810ms,-0.19223022,9.946548,-0.21777344,0.0028961182,-2.746582E-4,0.001449585,-0.008575439
21h42m35s885ms,-0.19223022,9.946548,-0.21777344,0.0024688721,-0.0037841797,0.3805542,0.08126831
21h42m35s958ms,-0.071258545,9.959305,-0.17529297,0.0050201416,-0.015365601,-0.7930603,0.045837402
21h42m36s33ms,-0.071258545,9.959305,-0.17529297,0.0050201416,-0.021347046,0.06578064,-0.05633545
21h42m36s111ms,-0.071258545,9.959305,-0.17529297,0.0025512695,0.330307,-0.21896362,0.5674286
21h42m36s183ms,-0.5186157,10.009552,-0.123809814,0.012600708,0.35072327,-0.49298096,0.30218506
21h42m36s258ms,-0.5186157,10.009552,-0.123809814,0.012600708,-1.028305,-0.51005554,-1.6355133
21h42m36s329ms,0.3727417,13.533218,-0.92863464,0.7147827,-0.118499756,-1.0139923,0.49198914
21h42m36s404ms,0.3727417,13.533218,-0.92863464,0.7147827,-0.6101227,-0.7530365,-0.76953125
21h42m36s479ms,0.3727417,13.533218,-0.92863464,0.7147827,0.44596863,-0.91015625,-0.56637573
21h42m36s553ms,-1.2849274,10.253952,-0.44918823,1.3605865,0.20529175,-0.77552795,-0.26309204
21h42m36s628ms,-1.2849274,10.253952,-0.44918823,1.3605865,-0.23098755,-0.6073761,-0.29034424
21h42m36s704ms,-1.2849274,10.253952,-0.44918823,0.6558533,0.14460754,0.13348389,0.20904541
21h42m36s777ms,-2.6633759,6.607483,0.025863647,1.3851471,0.5388031,0.17520142,0.36161804
21h42m36s853ms,-2.6633759,6.607483,0.025863647,1.3851471,0.6512451,0.35253906,1.0943604
