
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h19m14s111ms,-0.03451538,9.638596,-0.104156494,0.36140442,-0.17372131,-1.274704,0.012466431
13h19m14s186ms,-0.03451538,9.638596,-0.104156494,0.36140442,0.15629578,0.6764221,0.32652283
13h19m14s259ms,-0.13192749,9.732239,0.38461304,0.2275238,-0.40711975,2.865738,1.4574585
13h19m14s334ms,-0.13192749,9.732239,0.38461304,0.2275238,0.17137146,1.0513306,-1.1574554
13h19m14s405ms,1.9975128,13.617203,1.1863098,1.4466705,0.88153076,-0.14335632,-1.2657013
13h19m14s484ms,1.9975128,13.617203,1.1863098,1.4466705,0.18302917,1.4014893,-1.491333
13h19m14s558ms,1.9975128,13.617203,1.1863098,1.4466705,-0.64082336,0.5575409,-1.4516296
13h19m14s629ms,-2.4765625,9.678101,0.5227661,2.0697784,-0.3629303,1.3035126,-0.051071167
13h19m14s704ms,-2.4765625,9.678101,0.5227661,2.0697784,-0.63246155,1.2637634,0.29844666
13h19m14s779ms,-2.4765625,9.678101,0.5227661,2.0697784,-0.6014099,0.96170044,0.60128784
13h19m14s855ms,-2.3291626,5.201584,0.84332275,2.551126,-0.26324463,0.85224915,0.69833374
13h19m14s928ms,-2.3291626,5.201584,0.84332275,2.551126,-0.24057007,0.9629059,0.9302521
13h19m15s3ms,-0.30944824,8.535095,9.765625E-4,3.1455474,0.09159851,0.1421814,0.7061157
13h19m15s76ms,-0.30944824,8.535095,9.765625E-4,3.1455474,0.8849182,-0.5329132,1.0002289
13h19m15s151ms,-0.30944824,8.535095,9.765625E-4,3.1455474,0.107177734,-0.08294678,0.06500244
13h19m15s221ms,0.81707764,9.903,-0.37342834,3.4003997,0.3478241,-0.4151001,-0.055526733
13h19m15s300ms,0.81707764,9.903,-0.37342834,3.4003997,-0.11399841,-0.20996094,-0.28433228
13h19m15s375ms,0.81707764,9.903,-0.37342834,3.4003997,0.037872314,0.14614868,0.033676147
13h19m15s445ms,0.20410156,9.38652,-0.4078064,2.726703,-0.0019073486,-0.0052490234,0.011306763
13h19m15s520ms,0.20410156,9.38652,-0.4078064,2.726703,0.005264282,0.01939392,6.713867E-4
13h19m15s595ms,0.20410156,9.38652,-0.4078064,2.726703,-1.6784668E-4,0.0012817383,0.0016021729
13h19m15s668ms,-0.13887024,9.636307,0.0034484863,1.9888397,2.89917E-4,8.087158E-4,-2.1362305E-4
13h19m15s745ms,-0.13887024,9.636307,0.0034484863,1.9888397,5.493164E-4,-9.1552734E-5,0.0019073486
13h19m15s818ms,-0.11755371,9.635529,-0.009567261,1.0936921,0.0014190674,3.2043457E-4,6.4086914E-4
13h19m15s892ms,-0.11755371,9.635529,-0.009567261,1.0936921,-0.0011749268,-1.0681152E-4,-2.1362305E-4
13h19m15s967ms,-0.11755371,9.635529,-0.009567261,1.0936921,-1.5258789E-5,-0.0012817383,-6.866455E-4
13h19m16s38ms,-0.11550903,9.638794,-0.012878418,0.42764282,-4.8828125E-4,-8.69751E-4,1.0681152E-4
13h19m16s113ms,-0.11550903,9.638794,-0.012878418,0.42764282,0.0012512207,-0.002243042,-0.0011444092
13h19m16s191ms,-0.11550903,9.638794,-0.012878418,0.42764282,5.187988E-4,9.613037E-4,-0.0012207031
13h19m16s262ms,-0.10826111,9.634369,-0.011566162,0.1549469,3.5095215E-4,7.324219E-4,-2.1362305E-4
13h19m16s336ms,-0.10826111,9.634369,-0.011566162,0.1549469,-9.1552734E-5,-5.187988E-4,-2.1362305E-4
13h19m16s411ms,-0.10922241,9.634277,0.0051116943,0.05166931,0.0010528564,9.613037E-4,2.746582E-4
13h19m16s485ms,-0.10922241,9.634277,0.0051116943,0.05166931,0.0010528564,6.5612793E-4,-2.1362305E-4
13h19m16s559ms,-0.10922241,9.634277,0.0051116943,0.05166931,5.79834E-4,8.544922E-4,-2.1362305E-4
13h19m16s634ms,-0.11663818,9.637253,-0.0077667236,0.0023071289,-4.8828125E-4,0.0010223389,-2.1362305E-4
13h19m16s709ms,-0.11663818,9.637253,-0.0077667236,0.0023071289,-2.4414063E-4,-6.1035156E-4,-2.1362305E-4
