
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
2h59m14s678ms,-0.09791565,9.649857,0.018676758,0.35014343,0.0025024414,9.1552734E-5,-0.002029419
12h59m14s745ms,-0.09791565,9.649857,0.018676758,0.35014343,0.0014343262,-0.0017089844,2.593994E-4
12h59m14s819ms,-0.09542847,9.647293,0.010299683,0.17635345,0.0024719238,-0.0016937256,-6.4086914E-4
12h59m14s895ms,-0.09542847,9.647293,0.010299683,0.17635345,0.0034332275,4.272461E-4,-5.0354004E-4
12h59m14s970ms,-0.09542847,9.647293,0.010299683,0.17635345,0.0011444092,-9.3078613E-4,1.5258789E-4
12h59m15s43ms,-0.09536743,9.649643,0.008529663,0.11835226,0.0016174316,-0.001083374,0.0
12h59m15s119ms,-0.09536743,9.649643,0.008529663,0.11835226,3.6621094E-4,-7.6293945E-4,0.0019836426
12h59m15s193ms,-0.09536743,9.649643,0.008529663,0.11835226,0.0035705566,-6.4086914E-4,-6.4086914E-4
12h59m15s264ms,-0.09373474,9.643906,0.009765625,0.09019852,0.0025024414,-6.4086914E-4,2.593994E-4
12h59m15s339ms,-0.09373474,9.643906,0.009765625,0.09019852,0.0014343262,-0.0016937256,-0.0016784668
12h59m15s418ms,-0.09768677,9.651367,0.022476196,0.07365112,0.0035705566,-3.9672852E-4,-3.8146973E-4
12h59m15s489ms,-0.09768677,9.651367,0.022476196,0.07365112,-3.3569336E-4,6.713867E-4,0.0020599365
12h59m15s563ms,-0.09768677,9.651367,0.022476196,0.07365112,-0.0012512207,-7.4768066E-4,-3.0517578E-4
12h59m15s637ms,-0.094314575,9.647156,0.016189575,0.004464722,-1.373291E-4,9.613037E-4,-3.0517578E-4
12h59m15s712ms,-0.094314575,9.647156,0.016189575,0.004464722,-6.1035156E-4,-1.0681152E-4,0.0015106201
12h59m15s787ms,-0.094314575,9.647156,0.016189575,0.004464722,-4.5776367E-4,9.613037E-4,-0.001373291
12h59m15s858ms,-0.09729004,9.651016,0.01852417,0.004724121,-6.1035156E-4,9.3078613E-4,0.0018157959
12h59m15s937ms,-0.09729004,9.651016,0.01852417,0.004724121,0.001373291,9.613037E-4,6.2561035E-4
12h59m16s11ms,-0.09729004,9.651016,0.01852417,0.004724121,1.5258789E-4,9.613037E-4,7.6293945E-4
12h59m16s83ms,-0.09173584,9.650238,0.012298584,0.00440979,-1.6784668E-4,-0.0011749268,-9.1552734E-4
12h59m16s159ms,-0.09173584,9.650238,0.012298584,0.00440979,-0.001083374,-5.79834E-4,1.6784668E-4
12h59m16s243ms,-0.09208679,9.646866,0.0075531006,0.0039367676,1.373291E-4,-8.69751E-4,0.0015258789
12h59m16s305ms,-0.09208679,9.646866,0.0075531006,0.0039367676,-6.1035156E-4,7.9345703E-4,1.5258789E-5
