
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h8m42s144ms,-0.27859497,9.630539,0.024887085,0.36946106,-3.6621094E-4,0.0044403076,0.0090789795
13h8m42s218ms,-0.28019714,9.6409,0.02470398,0.18991089,-0.0024261475,0.005004883,0.007858276
13h8m42s290ms,-0.28019714,9.6409,0.02470398,0.18991089,-0.0026550293,0.004852295,0.010421753
13h8m42s361ms,-0.2799225,9.634613,0.0084991455,0.1287028,-8.8500977E-4,0.0050201416,0.005844116
13h8m42s440ms,-0.2799225,9.634613,0.0084991455,0.1287028,-0.0021514893,0.0044403076,0.00843811
13h8m42s510ms,-0.2799225,9.634613,0.0084991455,0.1287028,-0.0033874512,0.0043182373,0.013320923
13h8m42s585ms,-0.28727722,9.637527,0.018249512,0.09725571,0.0045776367,-0.29026794,0.05769348
13h8m42s660ms,-0.28727722,9.637527,0.018249512,0.09725571,-0.1239624,-0.99121094,0.33932495
13h8m42s734ms,-0.28727722,9.637527,0.018249512,0.09725571,-0.16868591,-0.3354187,-0.94815063
13h8m42s808ms,0.71554565,12.359192,0.4830017,0.6221374,0.5122833,0.07032776,-0.8838806
13h8m42s882ms,0.71554565,12.359192,0.4830017,0.6221374,0.7131958,0.030273438,0.26689148
13h8m42s957ms,-2.954773,10.394363,0.5644989,0.9412109,0.35176086,0.3479309,0.19622803
13h8m43s32ms,-2.954773,10.394363,0.5644989,0.9412109,0.43629456,0.06846619,0.24443054
13h8m43s106ms,-2.954773,10.394363,0.5644989,0.9412109,-0.79537964,-0.21585083,-0.5202484
13h8m43s178ms,-0.74816895,8.109985,-0.618515,1.3960145,-0.6784973,1.3437805,-0.48954773
13h8m43s252ms,-0.74816895,8.109985,-0.618515,1.3960145,0.4848938,0.878479,0.06866455
13h8m43s327ms,-0.74816895,8.109985,-0.618515,1.3960145,-1.1239319,-0.12844849,-0.16674805
13h8m43s400ms,-1.1947632,7.2051086,-1.5190887,1.5757325,-0.38504028,-0.4153595,0.48091125
13h8m43s476ms,-1.1947632,7.2051086,-1.5190887,1.5757325,0.39263916,-0.02255249,0.99650574
13h8m43s551ms,-1.1947632,7.2051086,-1.5190887,1.5757325,-0.171875,0.06222534,0.2629547
13h8m43s624ms,-0.12338257,8.979874,0.9172821,1.9301026,0.24131775,-0.021575928,0.13783264
13h8m43s699ms,-0.12338257,8.979874,0.9172821,1.9301026,0.093933105,0.25823975,-0.10719299
13h8m43s770ms,0.4994812,9.981812,0.76724243,1.5861572,-0.0023498535,0.4190216,0.051239014
13h8m43s844ms,0.4994812,9.981812,0.76724243,1.5861572,-0.050308228,-0.1519928,-0.09347534
