
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h37m42s953ms,-0.044677734,9.683151,-0.066726685,0.31684875,-0.010498047,0.0026245117,-0.009994507
14h37m43s31ms,-0.044677734,9.683151,-0.066726685,0.31684875,-0.0051879883,7.019043E-4,7.171631E-4
14h37m43s102ms,-0.044677734,9.683151,-0.066726685,0.31684875,-0.009674072,0.004470825,-0.0038604736
14h37m43s173ms,-0.04055786,9.685822,-0.07182312,0.15975952,-0.0038146973,0.0032958984,0.002746582
14h37m43s248ms,-0.04055786,9.685822,-0.07182312,0.15975952,-0.0066833496,0.0040283203,-4.5776367E-4
14h37m43s324ms,-0.04055786,9.685822,-0.07182312,0.15975952,-0.0051879883,0.0030670166,0.001159668
14h37m43s396ms,-0.048095703,9.681,-0.06744385,0.10811361,-0.003692627,0.0034179688,4.272461E-4
14h37m43s472ms,-0.048095703,9.681,-0.06744385,0.10811361,-0.006591797,0.0021362305,-0.0021820068
14h37m43s550ms,-0.03869629,9.682007,-0.06388855,0.081336975,-0.0049743652,0.09654236,0.018859863
14h37m43s618ms,-0.03869629,9.682007,-0.06388855,0.081336975,-0.18751526,0.18659973,0.19561768
14h37m43s693ms,-0.03869629,9.682007,-0.06388855,0.081336975,-0.38354492,-0.2877655,0.2587433
14h37m43s767ms,0.13134766,9.714859,-0.37608337,0.071640015,-0.17558289,-0.5386963,0.24121094
14h37m43s843ms,0.13134766,9.714859,-0.37608337,0.071640015,-0.099609375,-0.32759094,0.54107666
14h37m43s918ms,0.13134766,9.714859,-0.37608337,0.071640015,-0.04899597,0.21751404,-0.20436096
14h37m43s991ms,0.69903564,11.174072,0.40237427,0.3001129,0.27420044,-0.32377625,-0.6215668
14h37m44s66ms,0.69903564,11.174072,0.40237427,0.3001129,0.30073547,-0.1847229,-0.35430908
14h37m44s139ms,-0.02331543,10.361725,0.913147,0.46204835,0.30760193,0.25575256,-0.20614624
14h37m44s213ms,-0.02331543,10.361725,0.913147,0.46204835,0.11279297,0.72805786,0.41764832
14h37m44s288ms,-0.02331543,10.361725,0.913147,0.46204835,-0.08267212,0.993103,-0.38719177
14h37m44s362ms,-0.4181671,10.552826,0.5908661,0.4993042,0.2928772,-0.27568054,-0.48880005
14h37m44s437ms,-0.4181671,10.552826,0.5908661,0.4993042,-0.083465576,0.7401886,-0.34812927
14h37m44s514ms,-0.4181671,10.552826,0.5908661,0.4993042,-0.4800415,1.211029,0.27664185
14h37m44s587ms,-1.7411346,8.300049,0.8108673,0.9496582,-0.3976593,1.0242004,0.2864685
14h37m44s662ms,-1.7411346,8.300049,0.8108673,0.9496582,-0.16279602,0.17521667,-0.07991028
14h37m44s737ms,-1.7411346,8.300049,0.8108673,0.9496582,-0.22200012,0.44143677,0.55722046
14h37m44s808ms,-0.7481384,7.444824,0.10343933,1.1141326,0.3394928,0.4390869,0.48202515
14h37m44s884ms,-0.7481384,7.444824,0.10343933,1.1141326,0.013015747,-0.1083374,0.55981445
14h37m44s957ms,0.4117279,9.518463,0.23638916,1.2370179,0.27775574,-0.19529724,0.4738922
14h37m45s32ms,0.4117279,9.518463,0.23638916,1.2370179,0.057510376,-0.2156372,0.08912659
14h37m45s107ms,0.4117279,9.518463,0.23638916,1.2370179,0.3473816,-0.059280396,0.38238525
14h37m45s180ms,0.68963623,9.662231,0.0069274902,1.103302,0.31759644,-0.37695313,-0.21290588
14h37m45s257ms,0.68963623,9.662231,0.0069274902,1.103302,-0.13031006,-0.092056274,-0.33366394
14h37m45s334ms,0.68963623,9.662231,0.0069274902,1.103302,-0.024337769,-0.33799744,-0.34309387
14h37m45s404ms,0.5522003,8.696976,-0.686676,1.2581329,-0.21818542,0.02658081,-0.062942505
14h37m45s479ms,0.5522003,8.696976,-0.686676,1.2581329,0.093048096,0.11479187,-0.10847473
14h37m45s559ms,0.1468811,9.956589,-0.118499756,1.0595001,-0.056671143,-0.027648926,-0.039520264
14h37m45s627ms,0.1468811,9.956589,-0.118499756,1.0595001,0.018463135,0.08375549,-0.02494812
14h37m45s702ms,0.1468811,9.956589,-0.118499756,1.0595001,-0.0033721924,0.017684937,0.025665283
14h37m45s774ms,-0.06555176,9.685135,0.038909912,0.942746,-0.008880615,-0.005065918,-0.004135132
14h37m45s849ms,-0.06555176,9.685135,0.038909912,0.942746,-1.2207031E-4,0.00881958,0.00541687
14h37m45s923ms,-0.06555176,9.685135,0.038909912,0.942746,1.5258789E-4,0.008987427,6.5612793E-4
14h37m45s998ms,-0.04270935,9.68251,-0.012298584,0.5285431,-9.1552734E-4,0.0020141602,7.019043E-4
14h37m46s78ms,-0.04270935,9.68251,-0.012298584,0.5285431,0.012390137,0.03564453,0.011749268
14h37m46s148ms,-0.04270935,9.68251,-0.012298584,0.5285431,-0.008666992,0.0012054443,0.008178711
14h37m46s222ms,-0.042037964,9.681641,0.0039367676,0.49996337,-0.034469604,-0.009231567,-0.04762268
14h37m46s297ms,-0.042037964,9.681641,0.0039367676,0.49996337,0.052993774,0.08227539,0.0017700195
14h37m46s372ms,-0.057357788,9.655609,-0.10572815,0.31211853,0.0015411377,0.013839722,0.031143188
14h37m46s459ms,-0.057357788,9.655609,-0.10572815,0.31211853,-0.02835083,-0.007797241,-0.017822266
14h37m46s538ms,-0.057357788,9.655609,-0.10572815,0.31211853,-0.0048828125,-0.012176514,0.023284912
14h37m46s599ms,-0.035980225,9.690643,0.018600464,0.06720276,0.022537231,-8.69751E-4,-0.014419556
14h37m46s667ms,-0.035980225,9.690643,0.018600464,0.06720276,-0.004135132,0.0024871826,0.009048462
14h37m46s748ms,-0.035980225,9.690643,0.018600464,0.06720276,-0.0073242188,4.8828125E-4,-0.002670288
14h37m46s817ms,-0.0357666,9.684296,-0.021697998,0.014181519,-0.0021820068,0.005554199,0.002746582
14h37m46s892ms,-0.0357666,9.684296,-0.021697998,0.014181519,-0.0048828125,0.0046844482,0.00289917
14h37m46s981ms,-0.03933716,9.679031,-0.022598267,0.014709473,-0.007736206,0.0021362305,-1.8310547E-4
14h37m47s38ms,-0.03933716,9.679031,-0.022598267,0.014709473,-0.0046844482,0.002029419,-4.5776367E-4
14h37m47s113ms,-0.03933716,9.679031,-0.022598267,0.014709473,-0.0030517578,0.0031585693,-2.746582E-4
14h37m47s187ms,-0.03929138,9.682877,-0.012710571,0.015304565,-0.0062561035,0.0022125244,2.89917E-4
14h37m47s263ms,-0.03929138,9.682877,-0.012710571,0.015304565,-0.0062561035,0.003616333,-8.239746E-4
14h37m47s337ms,-0.03929138,9.682877,-0.012710571,0.015304565,-0.0072021484,0.0018463135,-3.2043457E-4
14h37m47s409ms,-0.044769287,9.678329,-0.023040771,0.011007691,-0.0073242188,0.0025482178,5.79834E-4
14h37m47s492ms,-0.044769287,9.678329,-0.023040771,0.011007691,-0.0063476563,0.0034484863,-4.5776367E-4
14h37m47s564ms,-0.047912598,9.680847,-0.010955811,0.0045043947,-0.0053863525,0.0034179688,-0.0015258789
14h37m47s634ms,-0.047912598,9.680847,-0.010955811,0.0045043947,-0.008102417,0.0033111572,-0.0015258789
14h37m47s709ms,-0.047912598,9.680847,-0.010955811,0.0045043947,-0.006500244,0.002960205,-4.5776367E-4
14h37m47s786ms,-0.040527344,9.67688,-0.043762207,0.0040283203,-0.0051879883,0.003616333,0.0011444092
14h37m47s857ms,-0.040527344,9.67688,-0.043762207,0.0040283203,-0.0073242188,0.0025482178,-0.001083374
14h37m47s933ms,-0.040527344,9.67688,-0.043762207,0.0040283203,-0.0055236816,0.0032806396,-4.5776367E-4
14h37m48s16ms,-0.043670654,9.681625,-0.031158447,0.0039245607,-0.0071105957,0.0025482178,-0.001739502
14h37m48s111ms,-0.043670654,9.681625,-0.031158447,0.0039245607,-0.0051879883,0.0034942627,-0.0014038086
14h37m48s168ms,-0.043670654,9.681625,-0.031158447,0.0039245607,-0.0073242188,0.0014801025,-4.5776367E-4
14h37m48s231ms,-0.044174194,9.680939,-0.018997192,0.0032928467,-0.006164551,0.004486084,-0.0035552979
14h37m48s304ms,-0.044174194,9.680939,-0.018997192,0.0032928467,-0.0071258545,0.0016784668,-4.5776367E-4
14h37m48s378ms,-0.039154053,9.680237,-0.01638794,0.0025238036,-0.00920105,9.765625E-4,-0.0020141602
14h37m48s453ms,-0.039154053,9.680237,-0.01638794,0.0025238036,0.08488464,-0.052856445,0.049041748
14h37m48s528ms,-0.039154053,9.680237,-0.01638794,0.0025238036,-0.097595215,-0.023223877,-0.06604004
14h37m48s604ms,-0.13252258,9.704071,0.09655762,0.006787109,0.15673828,-0.2303009,0.100097656
14h37m48s675ms,-0.13252258,9.704071,0.09655762,0.006787109,-0.070251465,-0.051513672,-0.02619934
