
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
0h13m49s191ms,0.01776123,9.645538,-0.089035034,0.35446167,0.0027313232,0.009124756,3.5095215E-4
10h13m49s266ms,0.01776123,9.645538,-0.089035034,0.35446167,0.0018920898,0.0070648193,0.0016021729
10h13m49s342ms,0.021224976,9.628937,-0.08218384,0.18553162,0.0068969727,0.012008667,-3.6621094E-4
10h13m49s415ms,0.021224976,9.628937,-0.08218384,0.18553162,-4.7302246E-4,0.004699707,-1.8310547E-4
10h13m49s489ms,0.021224976,9.628937,-0.08218384,0.18553162,-0.002380371,-0.0029754639,-0.0019073486
10h13m49s563ms,0.022262573,9.634842,-0.08451843,0.12565613,4.4250488E-4,0.0016784668,1.8310547E-4
10h13m49s638ms,0.022262573,9.634842,-0.08451843,0.12565613,0.02619934,-0.048812866,-0.0087890625
10h13m49s714ms,0.022262573,9.634842,-0.08451843,0.12565613,-0.1482544,-0.93740845,0.07661438
10h13m49s787ms,0.0037384033,9.564224,-0.40350342,0.111896515,0.14393616,0.22064209,-0.033172607
10h13m49s862ms,0.0037384033,9.564224,-0.40350342,0.111896515,0.0078125,-0.1328125,-0.0058288574
10h13m49s936ms,0.0037384033,9.564224,-0.40350342,0.111896515,-0.12382507,-0.7398224,0.038757324
10h13m50s8ms,0.029693604,9.583801,-0.23175049,0.09343262,0.14189148,0.4068756,-0.003616333
10h13m50s82ms,0.029693604,9.583801,-0.23175049,0.09343262,-0.0034484863,-0.042144775,-0.016952515
10h13m50s156ms,0.04121399,9.650864,0.11282349,0.035952758,0.04208374,-0.06390381,0.0026855469
10h13m50s231ms,0.04121399,9.650864,0.11282349,0.035952758,-0.05708313,-1.1607056,-0.03555298
10h13m50s307ms,0.04121399,9.650864,0.11282349,0.035952758,-0.06401062,-1.0087433,0.043701172
10h13m50s382ms,0.16130066,9.630539,-0.29736328,0.036697388,-0.055130005,-1.0929718,0.11192322
10h13m50s454ms,0.16130066,9.630539,-0.29736328,0.036697388,0.11338806,0.11543274,-0.7091522
10h13m50s529ms,0.16130066,9.630539,-0.29736328,0.036697388,-0.18743896,2.6837769,-0.38302612
10h13m50s600ms,0.66334534,9.486359,0.31806946,0.064352416,-0.19612122,0.53881836,0.19406128
10h13m50s678ms,0.66334534,9.486359,0.31806946,0.064352416,-0.12524414,0.23976135,-0.017227173
10h13m50s750ms,-0.10122681,9.405167,-0.51852417,0.066467285,0.20510864,2.6408234,0.62882996
10h13m50s824ms,-0.10122681,9.405167,-0.51852417,0.066467285,0.29942322,1.1711273,-0.51724243
10h13m50s898ms,-0.10122681,9.405167,-0.51852417,0.066467285,0.36764526,1.1668549,0.18348694
10h13m50s972ms,0.8386688,10.136459,1.5016785,0.20881042,0.30488586,2.872467,-0.7853699
10h13m51s47ms,0.8386688,10.136459,1.5016785,0.20881042,0.16369629,4.678543,-0.7315979
10h13m51s122ms,0.8386688,10.136459,1.5016785,0.20881042,-0.1490326,2.7178497,-0.24412537
10h13m51s196ms,-0.35072327,10.367004,-0.43901062,0.24150696,0.018569946,0.076934814,-0.20573425
