
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
0h21m19s118ms,-0.065078735,9.779129,-0.29397583,0.22087097,3.5095215E-4,0.0,5.950928E-4
10h21m19s198ms,-0.06227112,9.77359,-0.2809143,0.113204956,0.001449585,-0.0010070801,-0.001663208
10h21m19s265ms,-0.06147766,9.768188,-0.27886963,0.07727051,-0.028289795,0.047790527,0.33892822
10h21m19s337ms,-0.85324097,10.235001,0.54751587,0.17465591,-1.9512482,0.70762634,1.7309875
10h21m19s408ms,1.4548492,13.495987,-2.7289734,0.791922,2.4253082,-1.0705109,-0.9720154
10h21m19s491ms,2.2945404,12.918259,1.3995361,0.86329347,-0.35049438,0.5510559,-1.0007935
10h21m19s553ms,1.0659637,10.50412,-1.0628967,1.3450134,-0.40879822,-0.9835205,-1.319397
10h21m19s626ms,-1.8333588,5.6332397,2.9338074,2.318109,0.089645386,-0.20510864,-1.1734009
10h21m19s697ms,-2.0396729,6.511307,1.1858368,2.40036,-0.68614197,-0.29623413,0.2593689
10h21m19s770ms,-0.5635681,12.267349,5.0525208,2.8993714,-0.13746643,1.9320068,-0.6590729
10h21m19s841ms,-1.5847168,6.6088104,1.3116455,3.9155335,-0.7368164,1.5768585,-0.80503845
10h21m19s915ms,-5.0068817,1.8806152,3.542511,4.3783445,0.37123108,1.8114624,1.7919617
10h21m19s995ms,-1.0773163,5.6946106,0.38745117,4.166968,0.9394684,2.2644196,-0.1687622
10h21m20s59ms,-2.1914825,6.65213,-3.2390442,4.1828585,0.07899475,1.8181763,1.1479797
10h21m20s134ms,0.42744446,9.978928,-3.723114,3.6970093,0.21696472,-0.81903076,0.52182007
10h21m20s213ms,-0.7585449,9.280655,-3.9526367,2.704956,0.2687378,0.8544769,0.45298767
10h21m20s279ms,-0.08328247,9.114334,-1.1410522,1.7925812,-2.4882202,0.10614014,-1.391098
10h21m20s349ms,-0.5478668,4.7890472,-2.1092834,1.8948395,0.18917847,-0.6878967,-0.27108765
10h21m20s426ms,-0.7377014,9.598404,-0.07522583,2.665207,0.1663208,-0.17219543,0.21418762
10h21m20s515ms,0.00289917,9.74884,-0.9018097,2.0299346,-0.1593628,0.17086792,0.08456421
10h21m20s567ms,0.14451599,9.879837,-0.3408661,1.9164795,0.010070801,0.08943176,-0.037902832
10h21m20s639ms,-0.33422852,9.623032,-0.5233307,1.9345764,-0.012619019,0.18974304,0.06990051
10h21m20s712ms,-0.26490784,9.992233,1.1335297,1.1433594,0.4569397,1.4892426,0.08267212
10h21m20s785ms,1.2246246,12.238831,-4.623459,0.6308075,-0.4355011,-0.022872925,-0.7048645
10h21m20s856ms,1.471283,11.86293,-2.328827,0.6759003,0.582077,-0.6401825,-1.2501221
10h21m20s928ms,-0.36047363,7.665436,-2.8746185,1.4891999,-0.7326813,-1.0375061,-0.6990051
10h21m21s1ms,-0.44126892,6.8553467,-1.5849152,1.5998566,0.9299011,-2.8227997,-0.53382874
10h21m21s76ms,-3.3253326,4.9522247,-0.06913757,1.9066406,-0.1889801,-0.7927704,0.036392212
10h21m21s148ms,-1.9014282,6.150177,3.105545,1.6969116,-0.7202606,2.3394318,-2.1036987
10h21m21s222ms,-3.2563324,8.080002,-0.6224365,2.0076966,0.57658386,0.62428284,-0.49971008
10h21m21s296ms,-9.710587,7.7502747,0.7946167,1.234143,-0.19218445,-1.6296844,0.088409424
10h21m21s360ms,-6.8299713,8.979828,3.7496643,1.3180358,0.16297913,-0.82644653,1.3442383
10h21m21s434ms,-0.5924072,11.10817,1.5117188,1.3630798,-0.1662445,0.66329956,-0.45317078
10h21m21s509ms,-3.7597961,4.839035,-0.9359741,2.3773162,1.5311432,-2.074524,0.2842865
10h21m21s580ms,-3.885849,5.5526733,1.9652252,2.134079,-0.3280487,0.24267578,0.32606506
10h21m21s653ms,-3.5698547,5.4258423,3.6899261,2.0934997,1.1574097,-0.137146,1.0778809
10h21m21s724ms,-2.8013763,7.791687,0.22177124,2.320758,0.2280426,0.90467834,0.46821594
10h21m21s799ms,-3.4751587,7.883896,1.1416931,1.9135315,0.9389801,0.47453308,1.3759155
10h21m21s869ms,-2.1886902,8.682007,-0.34403992,0.81932676,0.29588318,1.0264587,0.9367523
10h21m21s943ms,-0.7854767,10.364792,-0.7505188,1.0131562,0.021774292,0.49082947,1.8459778
10h21m22s11ms,0.87213135,12.227478,-1.9229126,1.3603271,-0.13790894,0.35543823,0.1898346
10h21m22s83ms,2.677765,13.453613,-1.0067902,1.1323853,0.08526611,0.36680603,0.27235413
10h21m22s153ms,0.8607025,9.401978,-1.1920166,1.9242706,0.032058716,0.30426025,0.107284546
10h21m22s226ms,0.29525757,8.5312195,-1.092102,1.9388001,0.65423584,0.07801819,0.7822418
10h21m22s297ms,2.6178284,3.0701141,-1.3939056,2.6944642,-1.2708588,-0.56311035,-0.6574249
10h21m22s370ms,-1.3128052,9.913345,1.9885864,3.6905732,0.1435852,0.15930176,-0.32073975
10h21m22s445ms,0.338974,8.399307,-0.84358215,3.7481537,-0.09440613,0.17192078,0.07833862
10h21m22s516ms,-0.32699585,9.551254,-0.76034546,3.168216,0.009277344,-0.0028839111,-9.918213E-4
10h21m22s590ms,0.2559204,9.753174,-0.1592102,3.0344481,0.061416626,-0.20126343,-0.0033111572
10h21m22s660ms,-0.20732117,9.794312,-0.07330322,1.9504547,0.006713867,0.035995483,0.01737976
10h21m22s734ms,-0.11482239,9.831802,-0.15048218,0.58930665,0.16711426,0.18513489,0.41493225
10h21m22s805ms,-0.38415527,10.075195,-0.22528076,0.3351776,0.6817627,-0.99064636,0.8551483
10h21m22s880ms,0.7646637,11.572525,-1.7199402,0.40425414,-0.7835388,-0.20779419,-0.44018555
10h21m22s950ms,2.9603882,14.096146,-1.4236298,0.86859435,0.7168579,-0.9051666,-0.5573273
10h21m23s20ms,1.4082336,12.395981,-1.3071289,1.2003998,-0.060073853,-0.7982025,-1.0653229
10h21m23s93ms,-0.63153076,10.453262,-1.0258636,1.5814453,-0.7079773,-0.6720886,-0.7170105
10h21m23s164ms,-1.2221832,10.564133,1.5302277,1.5549408,0.36676025,-3.0939636,-0.75709534
10h21m23s237ms,-1.2977448,8.850952,3.3577576,1.5981109,-0.92718506,0.5788269,-0.9938507
10h21m23s308ms,-0.9414215,7.435974,4.4323273,1.3763825,-1.8616638,2.9205322,-0.82806396
10h21m23s383ms,-2.0202026,6.5724945,1.3715973,1.2090454,-0.11175537,1.6761475,-0.15983582
10h21m23s456ms,-3.843979,2.486435,1.9809265,1.6377137,0.03791809,1.4691162,0.87838745
10h21m23s528ms,-3.026474,5.0220337,0.003692627,2.1226592,0.17799377,2.0281525,0.71302795
10h21m23s601ms,-1.8163757,7.4380493,-0.23876953,2.2632263,0.5094452,0.6477661,0.7155609
10h21m23s672ms,-0.7438812,10.6458435,-2.1719513,2.6217895,-0.03604126,0.82006836,0.20664978
10h21m23s745ms,-0.98747253,10.491333,-2.6804047,2.4799957,0.43566895,-0.029678345,-0.19528198
10h21m23s820ms,-1.803772,9.452362,-2.6552734,1.870578,-0.40298462,-0.1325531,0.2103424
10h21m23s890ms,-1.9054108,9.574554,-0.95103455,1.3878968,-0.1962738,-0.5251007,-0.042617798
10h21m23s959ms,-2.9286194,8.827148,1.2540894,1.0541748,0.13627625,-0.20498657,0.22499084
10h21m24s30ms,-1.7952881,9.129272,0.81463623,0.47304076,0.15901184,0.36683655,0.15653992
10h21m24s104ms,-2.0491943,8.783447,-0.2541046,0.5113037,0.258667,-0.09109497,0.3946991
10h21m24s175ms,-1.6540833,9.053726,-0.6113434,0.3575653,-0.30929565,-0.3552246,0.69311523
10h21m24s249ms,-0.97340393,10.211731,0.14874268,0.5647278,0.5972595,0.005218506,0.3294983
10h21m24s323ms,0.13369751,10.97879,-0.69314575,0.5686585,0.22476196,0.08590698,-0.7064667
10h21m24s394ms,-2.249115,9.550095,0.20274353,0.7939728,-0.07008362,0.044799805,0.20193481
10h21m24s467ms,-1.3032074,9.395538,-1.380539,0.755719,-0.2026062,-0.25889587,0.2644043
10h21m24s538ms,-0.9447632,9.506332,-0.7216797,0.723822,-0.011184692,-0.4217987,1.0720978
10h21m24s612ms,-1.880249,8.05864,-0.108947754,0.7817596,0.15441895,0.44004822,-0.1581726
10h21m24s683ms,3.8727112,10.573334,0.89190674,1.1312866,0.045272827,-0.104766846,-0.04449463
10h21m24s756ms,-0.012130737,9.753876,-0.28067017,1.0094391,-0.011154175,-0.004562378,-0.07589722
10h21m24s828ms,-0.45166016,9.770386,-0.05796814,0.9818298,0.003036499,0.06782532,0.12960815
10h21m24s901ms,0.4943695,9.907074,-0.24510193,0.9870087,0.013748169,-5.950928E-4,-0.1088562
10h21m24s986ms,-0.55081177,9.629608,-0.3034973,0.75296324,-0.011291504,-0.0019226074,0.039230347
10h21m25s49ms,-0.047546387,9.792221,-0.1987915,0.282547,1.9836426E-4,-0.0023956299,0.059066772
10h21m25s111ms,0.16394043,9.829758,-0.23368835,0.12616272,-0.0025787354,-0.0010681152,0.026931763
10h21m25s187ms,-0.21228027,9.744598,-0.26535034,0.13989258,0.002670288,7.6293945E-5,-0.020248413
10h21m25s260ms,-0.036743164,9.781738,-0.22209167,0.11998291,0.0033874512,-0.0013427734,-0.002609253
10h21m25s331ms,-0.15390015,9.760391,-0.2754364,0.06875916,-0.0104522705,-0.0134887695,0.013198853
10h21m25s404ms,-0.052490234,9.790268,-0.15257263,0.042211913,-0.04774475,0.48132324,0.18170166
10h21m25s484ms,0.62739563,9.990921,-1.4239502,0.0748352,-0.4345398,-0.27897644,-0.94633484
10h21m25s548ms,2.221939,13.338623,-1.154953,0.72734374,0.26287842,-0.33462524,-1.0815582
10h21m25s620ms,-1.2761841,8.967346,-1.8708954,1.5941712,-0.45147705,0.19226074,-1.1133881
10h21m25s693ms,-3.0912476,6.66626,-1.5139923,2.050119,0.51786804,-2.2074585,-0.15393066
10h21m25s765ms,-1.8749542,7.858963,-0.2651062,2.2826843,0.58432007,-2.2254028,-0.26679993
10h21m25s837ms,-2.8575134,7.4237213,0.40792847,2.329602,0.06341553,-1.3240662,0.19218445
10h21m25s916ms,-2.0319672,8.642319,1.2674866,1.9037812,1.178009,-1.7311096,0.106552124
10h21m25s983ms,-1.365448,8.901581,0.17765808,1.0813782,0.38987732,-1.0233002,0.124053955
10h21m26s53ms,-1.7265625,8.639175,1.0376434,0.673642,0.2998047,-0.23875427,0.05029297
10h21m26s127ms,-2.7908783,7.4489136,0.7902374,0.6731537,1.0526886,-0.26428223,0.45625305
10h21m26s201ms,-2.429123,8.068909,1.7871246,0.71010435,-0.0040893555,1.0790253,0.6503601
10h21m26s272ms,-1.5318146,9.221436,-0.69932556,0.69689023,1.0212555,0.97657776,0.5861206
10h21m26s345ms,-0.10005188,10.037384,0.87142944,0.80822754,-0.71087646,1.0232849,0.6235504
10h21m26s436ms,1.0162201,11.311356,-3.4433289,1.0105407,0.34909058,1.1932526,0.51423645
10h21m26s498ms,1.5156097,10.834778,-2.8979034,0.86780393,-0.35450745,0.7562256,0.42604065
10h21m26s564ms,1.3300171,10.82225,-1.3034515,0.7463104,-0.17408752,0.26278687,0.28889465
10h21m26s634ms,2.116043,10.700485,0.053833008,0.5401581,0.7335663,1.0436401,0.5198364
10h21m26s705ms,2.043686,9.252014,-5.1601257,0.6666626,-0.8475342,0.48895264,-0.6329346
10h21m26s791ms,0.7325287,5.573761,-0.1712799,1.1475189,0.248703,0.40530396,0.023498535
10h21m26s850ms,1.3355408,7.2911835,-1.6529846,1.3956878,-0.73049927,0.48898315,-0.6108093
10h21m26s923ms,1.2758484,9.80098,-0.94433594,1.8951416,-0.1285553,0.3407898,-0.5474701
10h21m26s998ms,0.6192322,9.564896,-0.67767334,1.9180053,-0.46148682,0.30300903,-0.6868439
10h21m27s70ms,0.8045044,9.700027,-0.4237976,1.6553376,0.031845093,-0.01651001,0.13279724
10h21m27s144ms,-1.5018005,10.091034,0.7019501,0.9978882,0.0029296875,0.032928467,0.0025177002
10h21m27s213ms,0.109558105,9.812256,-0.51327515,0.7101593,-0.00932312,0.028060913,-5.187988E-4
10h21m27s297ms,0.001159668,9.753952,-0.28094482,0.21986084,-0.06903076,-0.1043396,-4.7302246E-4
10h21m27s363ms,-0.06800842,9.716629,-0.5204773,0.18010864,-0.034301758,0.110321045,-0.0046539307
10h21m27s429ms,-0.03314209,9.761307,-0.17848206,0.16201782,0.043182373,-0.10681152,5.950928E-4
10h21m27s510ms,-0.051651,9.758179,-0.27009583,0.08444214,-0.004333496,0.020843506,0.001159668
10h21m27s592ms,-0.022491455,9.769394,-0.23719788,0.030929565,-0.0016784668,0.0014038086,-4.8828125E-4
10h21m27s646ms,-0.038970947,9.765228,-0.2258606,0.02010193,0.0019989014,0.0026855469,-4.272461E-4
10h21m27s720ms,-0.03543091,9.773956,-0.22018433,0.014382934,0.0018920898,-7.019043E-4,-1.373291E-4
10h21m27s798ms,-0.032104492,9.765121,-0.2169342,0.0072143553,4.5776367E-4,0.0010681152,1.373291E-4
10h21m27s872ms,-0.04170227,9.776291,-0.23551941,0.008822632,-6.1035156E-4,0.0,5.950928E-4
10h21m27s939ms,-0.04222107,9.774124,-0.2109375,0.0070129395,0.0015258789,7.7819824E-4,5.950928E-4
10h21m28s10ms,-0.03138733,9.766983,-0.23097229,0.0076080323,0.0018310547,3.0517578E-4,-6.1035156E-4
10h21m28s83ms,-0.038497925,9.763916,-0.20684814,0.00647583,0.0016479492,-0.0010681152,0.0010681152
10h21m28s154ms,-0.028518677,9.770493,-0.22439575,0.0060241697,0.0015258789,3.9672852E-4,-0.0011291504
10h21m28s225ms,-0.054000854,9.7738495,-0.23873901,0.00446167,0.0012817383,0.0,0.0014343262
10h21m28s297ms,-0.04508972,9.771194,-0.21257019,0.004559326,5.0354004E-4,-0.0010223389,-4.119873E-4
10h21m28s372ms,-0.03642273,9.769943,-0.23249817,0.0033813477,0.0015258789,9.613037E-4,5.0354004E-4
10h21m28s443ms,-0.043380737,9.768066,-0.22177124,0.0031433105,0.0015258789,-5.187988E-4,-0.0012512207
10h21m28s516ms,-0.04273987,9.765396,-0.20387268,0.0023620606,0.0019683838,-0.0015258789,-0.001083374
10h21m28s589ms,-0.040496826,9.759003,-0.2283783,0.0029693604,6.1035156E-4,-6.2561035E-4,4.4250488E-4
10h21m28s661ms,-0.029785156,9.765961,-0.20890808,0.003829956,-9.1552734E-5,-2.746582E-4,5.950928E-4
10h21m28s731ms,-0.04484558,9.769943,-0.21981812,0.0043762205,6.4086914E-4,-9.765625E-4,-4.7302246E-4
10h21m28s806ms,-0.041381836,9.773331,-0.22450256,0.004678345,0.0015258789,7.6293945E-5,-0.0015411377
10h21m28s881ms,-0.04385376,9.768066,-0.22317505,0.0051971436,0.0015258789,-0.0010681152,9.3078613E-4
10h21m28s953ms,-0.032577515,9.764603,-0.20768738,0.0046112062,8.69751E-4,-0.0010681152,-4.7302246E-4
10h21m29s31ms,-0.025115967,9.7691345,-0.28372192,0.0041259765,0.0010375977,-5.950928E-4,-0.0016326904
10h21m29s95ms,-0.047454834,9.769562,-0.2440033,0.003414917,0.0022888184,-7.7819824E-4,-4.7302246E-4
10h21m29s173ms,-0.03277588,9.773682,-0.23033142,0.0035614013,5.79834E-4,0.0,-4.7302246E-4
10h21m29s240ms,-0.0423584,9.769501,-0.22599792,0.0033447265,4.8828125E-4,0.0,5.340576E-4
10h21m29s313ms,-0.03829956,9.779404,-0.22096252,0.0046325685,-3.9672852E-4,0.0,0.0012359619
10h21m29s393ms,-0.025939941,9.766922,-0.22911072,0.006222534,-2.4414063E-4,7.4768066E-4,-4.7302246E-4
10h21m29s458ms,-0.03727722,9.763931,-0.2351532,0.0067352294,-6.1035156E-4,5.493164E-4,-0.0010223389
10h21m29s528ms,-0.032913208,9.7673645,-0.21450806,0.0065979003,0.0018615723,-3.5095215E-4,2.593994E-4
10h21m29s602ms,-0.035476685,9.772629,-0.22695923,0.0068145753,0.0013580322,0.0,-4.7302246E-4
10h21m29s687ms,-0.035461426,9.768021,-0.21813965,0.0057556154,0.0015258789,0.0010528564,-0.0015258789
10h21m29s747ms,-0.028839111,9.768326,-0.22583008,0.0033203126,0.0013427734,-0.0010681152,0.0013275146
10h21m29s819ms,-0.027374268,9.769318,-0.22348022,0.0029205321,0.0015258789,-0.0014648438,0.0013275146
10h21m29s897ms,-0.028961182,9.7725525,-0.20004272,0.0028808594,0.0010070801,-0.0016937256,4.5776367E-5
10h21m29s988ms,-0.038528442,9.767532,-0.20587158,0.0028320313,0.0022888184,0.0015716553,0.0027313232
10h21m30s37ms,-0.059570313,9.761093,-0.25161743,0.0031982423,-0.02885437,0.048431396,0.02796936
10h21m30s106ms,0.036605835,9.767075,-0.18322754,0.004333496,0.004058838,0.37239075,-0.06472778
10h21m30s181ms,-0.109939575,9.948593,-0.5937805,0.040438842,0.050323486,-0.12539673,3.5095215E-4
10h21m30s254ms,-0.01889038,9.805328,0.03540039,0.068444826,0.018005371,-0.0488739,-4.7302246E-4
10h21m30s327ms,-0.04017639,9.793625,-0.18455505,0.0697815,0.0027160645,-0.006668091,-5.950928E-4
10h21m30s399ms,-0.04045105,9.773956,-0.24111938,0.07242737,0.0015258789,-6.5612793E-4,-0.0015411377
10h21m30s475ms,-0.031906128,9.774139,-0.23524475,0.0712677,0.0017700195,-8.239746E-4,1.0681152E-4
10h21m30s543ms,-0.030426025,9.759247,-0.23817444,0.037942506,-0.0016174316,-1.5258789E-4,0.0016021729
10h21m30s618ms,-0.039260864,9.769104,-0.23278809,0.011260986,3.6621094E-4,9.765625E-4,-5.493164E-4
10h21m30s691ms,-0.03593445,9.779846,-0.23574829,0.011068726,0.002319336,-0.0013427734,3.3569336E-4
