
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
8h54m49s388ms,-0.017440796,9.76001,-0.5601196,0.23999023,0.070755005,-0.22065735,0.042129517
18h54m49s458ms,-0.41011047,9.703339,-0.18164063,0.14833069,0.10887146,-0.08895874,-0.0058135986
18h54m49s527ms,-0.482193,10.370331,-1.3214417,0.32121786,-0.37088013,-0.47261047,0.29162598
18h54m49s602ms,0.09335327,11.982117,0.44743347,0.64385986,-0.1669159,-0.15037537,-0.08631897
18h54m49s674ms,-0.254776,10.789337,0.45454407,0.7536438,-0.17601013,0.36772156,0.18527222
18h54m49s746ms,0.46961975,10.609421,-0.31680298,0.741629,0.34638977,0.28102112,0.09416199
18h54m49s818ms,0.39639282,10.200012,-0.7759857,0.8121765,0.21684265,-0.0124053955,0.11354065
18h54m49s893ms,0.29359436,10.187012,-1.1195526,0.6813782,0.24610901,-0.041366577,0.026000977
18h54m49s964ms,0.14955139,10.479782,-1.2148285,0.41757506,0.2980957,-0.34838867,0.059936523
18h54m50s37ms,-0.27194214,9.709534,-0.75660706,0.33306885,0.5245819,-0.12088013,0.09996033
18h54m50s107ms,0.15264893,9.527893,-1.1506195,0.3334137,0.36827087,-0.11730957,0.09437561
18h54m50s182ms,-0.21685791,8.987335,-1.0244904,0.35964355,0.60536194,-0.18424988,0.537735
18h54m50s255ms,-0.12315369,8.511841,-1.2538452,0.45214233,0.51387024,-0.21730042,0.19741821
18h54m50s325ms,0.71881104,9.197952,-1.9599915,0.53081053,0.5597992,0.25784302,0.4122162
18h54m50s396ms,0.95791626,8.720123,-3.5366821,0.47232667,0.26055908,-0.47988892,0.42106628
18h54m50s468ms,1.8169861,9.182709,-2.743042,0.52851564,0.44979858,-0.05192566,-0.100875854
18h54m50s543ms,1.4696045,8.067413,-4.231018,0.64346313,-0.0337677,-0.4746399,0.22616577
18h54m50s613ms,1.1754303,8.609222,-2.3272247,0.65672606,0.2370758,7.4768066E-4,0.37815857
18h54m50s687ms,1.8701324,9.083679,-3.501297,0.61439514,0.08131409,-0.1030426,0.06309509
18h54m50s757ms,1.6016846,8.574188,-3.2560272,0.62072754,-0.07736206,-0.14338684,0.19415283
18h54m50s831ms,2.1973114,8.419479,-3.7503357,0.55915225,-0.1439209,-0.19282532,-0.07382202
18h54m50s905ms,1.8800201,8.016647,-3.4945831,0.41665953,-0.34135437,-0.2816925,-0.27548218
18h54m50s975ms,1.5950317,7.851166,-3.2089233,0.34139404,-0.33750916,-0.20811462,-0.11683655
18h54m51s48ms,1.3925476,8.496857,-2.5126495,0.37564087,-0.64616394,-0.20039368,-0.18273926
18h54m51s118ms,0.9537201,8.770966,-2.4338531,0.32856447,-0.5176697,-0.15713501,-0.14590454
18h54m51s193ms,2.05188,8.364487,-2.7079163,0.37891847,-0.6060333,0.2733307,-0.9629669
18h54m51s262ms,-0.7726593,9.627136,-1.6171265,0.550882,-0.65130615,0.08885193,-0.5118866
18h54m51s336ms,-1.2024536,9.437988,-0.5139923,0.55561525,-0.2642517,0.07102966,0.1058197
18h54m51s406ms,-0.7423401,9.760635,0.038513184,0.49100646,0.39538574,0.2855835,0.24516296
18h54m51s480ms,0.07940674,9.717606,-1.7057648,0.44479066,0.06314087,0.038146973,0.22653198
18h54m51s554ms,0.23588562,9.675201,-1.3217621,0.37197572,0.26332092,0.056930542,0.1835022
18h54m51s625ms,0.2803955,9.68541,-1.6821289,0.121487424,-0.083236694,-0.012634277,-0.016937256
18h54m51s698ms,0.79571533,9.622162,-2.1035614,0.096307375,-0.10508728,-0.052261353,-0.16287231
18h54m51s768ms,-0.04219055,9.645416,-1.1381378,0.03642883,0.09034729,0.045211792,-0.0028381348
18h54m51s843ms,-0.030349731,9.639328,-1.1920624,0.029040527,0.07740784,0.0042877197,-0.009429932
18h54m51s916ms,0.25300598,9.627838,-1.7508087,0.022857666,-0.09724426,-0.06355286,-0.09458923
18h54m51s987ms,0.1986084,9.624939,-1.846344,0.021395873,-0.11073303,-0.103134155,-0.05657959
18h54m52s60ms,-0.046875,9.649429,-1.2343597,0.013644409,0.033569336,6.1035156E-5,1.373291E-4
18h54m52s130ms,0.027908325,9.656479,-1.5455627,0.010403442,0.012023926,0.01689148,-0.009521484
18h54m52s203ms,0.041381836,9.650696,-1.6638641,0.010342407,-0.103134155,-0.050094604,-0.041503906
18h54m52s274ms,-0.11260986,9.653778,-1.3316193,0.008660888,-0.04536438,-0.019485474,7.171631E-4
18h54m52s347ms,-0.16508484,9.666794,-1.0784454,0.010684204,0.051879883,0.07144165,0.028198242
18h54m52s417ms,0.111816406,9.657608,-1.6687927,0.007623291,-0.008880615,0.013244629,-0.023025513
18h54m52s491ms,-0.05810547,9.658157,-1.3527374,0.006323242,-0.017181396,-0.016159058,-0.021499634
18h54m52s565ms,-0.04232788,9.657364,-1.3927612,0.0053253174,0.0079193115,5.340576E-4,-0.03050232
18h54m52s635ms,-0.0382843,9.668121,-1.359909,0.0068603517,0.0022277832,0.010147095,-0.011978149
18h54m52s709ms,-0.11991882,9.650543,-1.4299011,0.007772827,-0.021530151,-0.009292603,0.01512146
18h54m52s783ms,-0.14439392,9.648117,-1.3188477,0.0064208983,0.053207397,0.052108765,0.049743652
18h54m52s854ms,-0.057617188,9.662399,-1.3122711,0.00916748,-0.0016784668,-0.0037231445,-0.0059661865
18h54m52s927ms,0.1781311,9.688309,-1.2937012,0.014190674,0.031234741,-0.0032196045,-0.09918213
18h54m52s997ms,-0.21192932,9.622177,-1.4715729,0.025265504,-0.042526245,0.27120972,-0.04397583
18h54m53s71ms,-0.23413086,9.66391,-1.4342651,0.030096436,-0.021331787,-0.0026550293,5.79834E-4
18h54m53s141ms,-0.27236938,9.686996,-1.2574158,0.034228515,0.06600952,1.5258789E-5,0.024230957
18h54m53s215ms,0.002822876,9.627838,-1.4434052,0.043203734,0.053588867,-0.21626282,-0.051834106
18h54m53s286ms,0.11956787,9.662903,-1.9873657,0.04503479,-0.4273224,-1.2424316,0.31581116
18h54m53s359ms,0.7636261,11.265396,0.61709595,0.35230714,0.38760376,0.054244995,-0.82943726
18h54m53s433ms,1.5178833,11.062759,2.0570068,0.38448793,0.037506104,0.6143341,-0.5621948
18h54m53s503ms,-1.2860718,7.5823517,-0.49594116,1.0759522,-0.011489868,0.5409088,-0.19728088
18h54m53s577ms,-0.89019775,6.6363525,-2.103775,1.2533203,-0.054595947,0.25222778,0.2958374
18h54m53s647ms,-0.58262634,6.9574127,-2.394333,1.3105195,-0.28227234,0.26028442,0.27882385
18h54m53s721ms,-0.12869263,7.904129,-1.9946747,1.179364,-0.76805115,0.2157898,-0.02041626
18h54m53s792ms,-0.7802124,7.8144226,-1.8705902,1.156778,-0.7878876,0.032730103,0.42601013
18h54m53s864ms,-0.20845032,9.192001,-0.8250885,0.73621213,-0.8280487,-0.0064086914,0.52064514
18h54m53s936ms,0.14414978,10.134674,0.4356537,0.7355469,-0.75857544,0.014404297,0.0887146
18h54m54s8ms,0.06300354,11.173035,1.5050049,0.879007,-0.41352844,-0.04083252,0.36683655
18h54m54s82ms,0.61531067,11.943253,2.344223,0.84370726,0.1295929,0.18733215,-0.03944397
18h54m54s153ms,0.89282227,11.992996,2.250351,0.8357147,0.45858765,0.30943298,-0.3130951
18h54m54s226ms,0.0776062,11.402359,1.6385193,0.6783264,0.040512085,0.054641724,-0.35168457
18h54m54s296ms,0.7700958,10.518005,0.70710754,0.6666626,0.21609497,0.011367798,-0.21400452
18h54m54s371ms,-0.52563477,9.235825,0.82292175,0.7154266,-0.4172516,0.34602356,-0.45059204
18h54m54s444ms,0.06149292,6.554718,-0.22007751,1.0976044,-0.21400452,-0.2290802,-0.34901428
18h54m54s514ms,-1.2304535,9.027008,1.5801086,1.5821136,-0.20349121,0.094680786,0.030960083
18h54m54s588ms,-0.7622986,9.682632,1.4955292,1.5951111,-0.119384766,-0.0110321045,0.040893555
18h54m54s660ms,-0.55010986,9.655716,1.7470093,1.4236237,0.01689148,0.17253113,0.10089111
18h54m54s731ms,-0.17948914,9.663101,1.194397,1.1686646,-0.04475403,-0.053024292,-0.0041046143
18h54m54s802ms,-0.37121582,9.616486,1.385086,0.64176637,-0.07008362,-0.07582092,-0.0028686523
18h54m54s875ms,-0.44392395,9.590454,1.6637268,0.15251465,0.004760742,0.03189087,0.0435791
18h54m54s946ms,-0.33789063,9.604935,1.5414276,0.024285888,0.024810791,-0.020385742,0.03303528
18h54m55s20ms,-0.2245636,9.6254425,1.5191498,0.02300415,0.02809143,0.04396057,0.011398315
18h54m55s93ms,-0.34170532,9.597397,1.4247894,0.02713623,0.013626099,5.340576E-4,0.023925781
18h54m55s164ms,-0.22709656,9.625214,1.5106354,0.023376465,0.018051147,0.012420654,-0.0039367676
18h54m55s237ms,-0.18626404,9.620941,1.3753662,0.019024659,0.0063934326,0.023864746,0.0011444092
