
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
8h24m27s105ms,-0.12579346,9.7322235,-0.22659302,0.2677765,-6.1035156E-4,-1.373291E-4,0.0029754639
18h24m27s172ms,-0.052352905,9.7552185,-0.21987915,0.14538574,0.3069458,-0.36592102,0.6980133
18h24m27s245ms,-0.33094788,10.396362,1.0914459,0.31063843,0.5973053,0.18109131,0.94581604
18h24m27s316ms,0.3776703,12.374603,-0.5076294,0.72753906,-0.73991394,0.649765,-0.37345886
18h24m27s397ms,0.88171387,12.945358,-1.3072968,0.69618225,0.12149048,-0.35006714,-0.554718
18h24m27s462ms,0.2956543,11.617935,-1.3526306,0.9081116,-0.16316223,-0.6589203,-0.92832947
18h24m27s534ms,0.08955383,9.887451,-0.16722107,1.2496094,0.15007019,-0.20147705,-1.254837
18h24m27s605ms,-0.6815033,8.101044,-1.670929,1.4786621,-0.53567505,-0.16030884,-1.2382202
18h24m27s678ms,-3.6117249,7.1027527,0.2341156,1.2826722,0.7783203,-0.37776184,0.09024048
18h24m27s749ms,-3.2753296,7.0226746,0.020263672,1.1845367,0.6167145,-0.3297882,0.37512207
18h24m27s823ms,-1.1591034,8.364395,0.25906372,1.1873963,-0.29592896,0.4570923,0.40934753
18h24m27s894ms,-0.7788849,8.2099,-1.165802,0.87219846,-0.4147339,0.47906494,-0.048355103
18h24m27s969ms,-1.2148895,7.435364,-1.2453003,0.66982424,0.5290222,0.022125244,0.20820618
18h24m28s42ms,-0.53575134,7.8628693,0.06375122,0.5556671,-0.38520813,0.29899597,0.36976624
18h24m28s113ms,-0.19659424,9.076813,-0.56495667,0.7824402,0.069747925,0.54299927,0.104400635
18h24m28s186ms,-0.37097168,9.640213,-0.9029541,0.6267761,-0.085494995,0.028640747,0.42427063
18h24m28s257ms,0.95710754,10.9782715,-1.6337585,0.8634888,-0.015457153,-0.25309753,-0.14738464
18h24m28s328ms,-0.647522,9.855621,-0.58776855,0.93311155,-0.3214569,0.23095703,-0.20713806
18h24m28s401ms,-0.5787506,9.573517,-0.06893921,0.9040314,0.09114075,0.22442627,0.16929626
18h24m28s475ms,-0.84573364,9.946518,-0.52557373,0.7358429,0.021865845,-0.16801453,0.12574768
18h24m28s547ms,-3.0290375,8.782974,-0.8201599,0.85587156,-0.27287292,-0.05328369,0.6042328
18h24m28s620ms,2.8751068,10.373611,-0.20817566,0.9063873,0.017852783,-0.07148743,-0.059936523
18h24m28s691ms,0.7081146,9.81955,-0.5973358,0.79266965,-0.02444458,0.019485474,0.10432434
18h24m28s764ms,-0.36712646,9.696411,-0.24555969,0.7608765,0.082351685,0.01864624,0.0769043
18h24m28s836ms,-0.2062378,9.685394,0.22891235,0.6884796,-0.00680542,-5.187988E-4,0.00289917
18h24m28s911ms,0.0,9.677155,-0.37713623,0.45741883,-0.008117676,0.01625061,0.02142334
18h24m28s984ms,-0.06713867,9.765381,-0.14100647,0.15693665,0.004547119,0.004058838,0.02684021
18h24m29s54ms,0.049621582,9.733627,-0.34358215,0.052474976,-0.0052490234,0.0022735596,0.0023040771
