
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
3h10m15s317ms,-0.31318665,9.636139,-0.014221191,0.36386108,7.9345703E-4,0.0066070557,0.0046539307
13h10m15s392ms,-0.3200531,9.637329,-0.019470215,0.18252563,-4.8828125E-4,0.0019226074,0.0042877197
13h10m15s465ms,-0.3200531,9.637329,-0.019470215,0.18252563,3.9672852E-4,0.0012664795,0.005722046
13h10m15s539ms,-0.3200531,9.637329,-0.019470215,0.18252563,0.0018463135,0.006576538,0.0050964355
13h10m15s611ms,-0.29466248,9.632996,3.3569336E-4,0.12312826,-0.052078247,0.0594635,0.02607727
13h10m15s685ms,-0.29466248,9.632996,3.3569336E-4,0.12312826,0.31359863,0.5416107,0.16716003
13h10m15s764ms,-0.29466248,9.632996,3.3569336E-4,0.12312826,0.2922058,0.58517456,-0.8092041
13h10m15s835ms,0.22306824,10.955078,0.04360962,0.42286682,-1.3516846,0.1821289,-0.5491028
13h10m15s910ms,0.22306824,10.955078,0.04360962,0.42286682,-0.14883423,-0.7825165,0.071258545
13h10m15s983ms,-1.5706787,11.224747,0.46022034,0.39222717,0.51394653,0.2306366,-0.39704895
13h10m16s57ms,-1.5706787,11.224747,0.46022034,0.39222717,0.7607727,0.2952118,-0.5986786
13h10m16s132ms,-1.5706787,11.224747,0.46022034,0.39222717,0.3143463,0.2762909,-0.24079895
13h10m16s207ms,-2.21521,10.3229065,0.016540527,0.499823,-0.22853088,-0.030715942,-0.129776
13h10m16s281ms,-2.21521,10.3229065,0.016540527,0.499823,0.12948608,-0.60343933,0.11991882
13h10m16s356ms,-2.21521,10.3229065,0.016540527,0.499823,0.1839447,0.09538269,0.66378784
13h10m16s427ms,-3.3744812,6.5008545,0.1174469,1.2639954,-0.15187073,-0.4538269,0.7714691
13h10m16s502ms,-3.3744812,6.5008545,0.1174469,1.2639954,0.18803406,-1.055191,0.97387695
13h10m16s576ms,-0.52352905,7.674515,-0.5159912,1.4978607,0.107040405,0.3001709,0.57341003
13h10m16s651ms,-0.52352905,7.674515,-0.5159912,1.4978607,-0.08947754,-0.11553955,0.07714844
