
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h8m3s911ms,-0.097351074,9.630508,-0.11932373,0.36949158,-0.011688232,-0.040359497,-0.010498047
14h8m3s992ms,-0.22311401,9.611145,-0.13134766,0.19442749,0.039001465,-0.47132874,-0.06111145
14h8m4s60ms,-0.22311401,9.611145,-0.13134766,0.19442749,0.018875122,0.07751465,-0.061294556
14h8m4s134ms,-0.22311401,9.611145,-0.13134766,0.19442749,-0.0019073486,-0.0010070801,-0.023803711
14h8m4s208ms,0.043807983,9.643936,-0.09156799,0.1405487,-8.544922E-4,-0.002090454,0.0043945313
14h8m4s282ms,0.043807983,9.643936,-0.09156799,0.1405487,0.0018157959,-0.072128296,-0.031539917
14h8m4s357ms,0.043807983,9.643936,-0.09156799,0.1405487,-0.0231781,-0.3661499,0.011489868
14h8m4s432ms,0.4791565,9.475464,-0.21459961,0.1475296,-0.25979614,0.62750244,0.45672607
14h8m4s506ms,0.4791565,9.475464,-0.21459961,0.1475296,-0.24235535,0.33901978,-0.4262085
14h8m4s577ms,-0.45117188,10.850403,0.03239441,0.39301148,0.022613525,0.07557678,-0.40242004
14h8m4s655ms,-0.45117188,10.850403,0.03239441,0.39301148,0.006454468,0.60884094,-0.2669525
14h8m4s726ms,-0.45117188,10.850403,0.03239441,0.39301148,0.6031952,0.6226196,-0.16847229
14h8m4s799ms,-0.99012756,12.259491,0.21710205,0.6009308,-0.06036377,0.3290863,-0.4506836
14h8m4s875ms,-0.99012756,12.259491,0.21710205,0.6009308,0.2059784,0.108566284,0.00982666
14h8m4s950ms,-0.99012756,12.259491,0.21710205,0.6009308,0.11758423,-0.20095825,0.0020599365
14h8m5s23ms,-2.277954,8.046036,-1.3691101,1.4397491,0.33468628,-0.7075653,0.2819214
14h8m5s98ms,-2.277954,8.046036,-1.3691101,1.4397491,0.34910583,-0.5318146,0.41629028
14h8m5s169ms,-0.8180847,6.957855,-0.2086029,1.650827,0.24629211,-0.5355377,0.12068176
14h8m5s247ms,-0.8180847,6.957855,-0.2086029,1.650827,-0.013290405,-0.12693787,0.04425049
14h8m5s321ms,-0.8180847,6.957855,-0.2086029,1.650827,-0.12612915,0.17082214,-0.14663696
14h8m5s393ms,0.6418762,8.484299,-0.40068054,1.9224212,-0.43450928,0.08256531,-0.2480774
14h8m5s467ms,0.6418762,8.484299,-0.40068054,1.9224212,-0.37709045,-0.084228516,-0.09446716
14h8m5s541ms,0.6418762,8.484299,-0.40068054,1.9224212,0.008087158,0.017471313,0.46302795
14h8m5s616ms,-0.22137451,9.477417,-0.659729,1.8460572,-0.28807068,-0.30395508,0.057495117
14h8m5s691ms,-0.22137451,9.477417,-0.659729,1.8460572,-0.07235718,-0.25027466,0.20776367
14h8m5s765ms,-0.22137451,9.477417,-0.659729,1.8460572,-0.28131104,0.12187195,0.1408844
14h8m5s838ms,0.5184021,10.314987,-0.2055664,1.7317536,0.17338562,-0.10475159,0.075286865
14h8m5s913ms,0.5184021,10.314987,-0.2055664,1.7317536,-0.01687622,-0.023895264,0.08164978
14h8m5s984ms,-0.18449402,9.432724,0.23207092,1.0655152,-0.036453247,0.0149383545,0.057403564
14h8m6s62ms,-0.18449402,9.432724,0.23207092,1.0655152,0.05038452,0.012268066,-0.1335907
14h8m6s137ms,-0.18449402,9.432724,0.23207092,1.0655152,-0.013580322,-0.0129852295,-0.006164551
14h8m6s208ms,-2.4414063E-4,9.626053,-0.22912598,0.8865448,0.0047912598,0.004852295,-0.017303467
14h8m6s283ms,-2.4414063E-4,9.626053,-0.22912598,0.8865448,0.003753662,2.746582E-4,-0.014556885
14h8m6s357ms,-2.4414063E-4,9.626053,-0.22912598,0.8865448,-2.1362305E-4,5.340576E-4,8.392334E-4
14h8m6s432ms,-0.092163086,9.630005,-0.12870789,0.5820465,0.0021514893,6.713867E-4,-0.0056915283
14h8m6s506ms,-0.092163086,9.630005,-0.12870789,0.5820465,-0.0020446777,5.340576E-4,0.005279541
14h8m6s580ms,-0.05923462,9.619888,-0.15209961,0.38544616,0.0466156,0.027770996,-0.08718872
14h8m6s654ms,-0.05923462,9.619888,-0.15209961,0.38544616,-0.02696228,-0.02633667,-0.14318848
14h8m6s728ms,-0.05923462,9.619888,-0.15209961,0.38544616,-0.012252808,-0.01826477,0.059020996
14h8m6s803ms,-0.04663086,9.622101,0.013580322,0.21837464,-0.019195557,-0.023742676,-0.05822754
14h8m6s879ms,-0.04663086,9.622101,0.013580322,0.21837464,-0.018753052,0.03866577,0.15031433
14h8m6s952ms,-0.04663086,9.622101,0.013580322,0.21837464,0.077560425,0.05708313,-0.099624634
14h8m7s23ms,-0.19985962,9.606827,-0.09764099,0.044976808,-0.03337097,0.014389038,0.01109314
14h8m7s96ms,-0.19985962,9.606827,-0.09764099,0.044976808,-0.012908936,-0.016738892,0.011062622
14h8m7s175ms,-0.19985962,9.606827,-0.09764099,0.044976808,-0.013961792,-0.004348755,-0.027755737
14h8m7s246ms,0.07901001,9.64798,-0.07713318,0.014541626,-0.01335144,-0.009628296,0.07826233
14h8m7s321ms,0.07901001,9.64798,-0.07713318,0.014541626,0.007461548,-4.119873E-4,0.013320923
14h8m7s394ms,-0.12272644,9.625275,-0.26591492,0.018292237,-0.0070648193,5.340576E-4,0.003112793
14h8m7s470ms,-0.12272644,9.625275,-0.26591492,0.018292237,0.0066986084,-3.5095215E-4,-0.02607727
14h8m7s543ms,-0.12272644,9.625275,-0.26591492,0.018292237,8.087158E-4,-5.340576E-4,-0.009719849
14h8m7s617ms,-0.05319214,9.630539,-0.14996338,0.017321777,-0.00390625,-0.0013885498,-9.0026855E-4
14h8m7s694ms,-0.05319214,9.630539,-0.14996338,0.017321777,0.0029449463,5.340576E-4,-0.015182495
14h8m7s767ms,-0.05319214,9.630539,-0.14996338,0.017321777,-0.00730896,-1.0681152E-4,0.01739502
14h8m7s837ms,-0.10723877,9.628021,-0.16279602,0.017382812,0.009094238,5.340576E-4,-0.0332489
14h8m7s912ms,-0.10723877,9.628021,-0.16279602,0.017382812,-0.008773804,-0.0015716553,0.01828003
14h8m7s991ms,-0.04345703,9.629517,-0.1461792,0.014627075,0.006149292,6.713867E-4,-0.014251709
14h8m8s66ms,-0.04345703,9.629517,-0.1461792,0.014627075,-0.0020446777,5.340576E-4,0.013442993
14h8m8s136ms,-0.04345703,9.629517,-0.1461792,0.014627075,-0.00289917,-4.5776367E-5,0.008071899
14h8m8s209ms,-0.08868408,9.633392,-0.16986084,0.007171631,-0.0018310547,8.087158E-4,7.171631E-4
14h8m8s284ms,-0.08868408,9.633392,-0.16986084,0.007171631,0.009353638,0.0025787354,-0.031555176
14h8m8s360ms,-0.08868408,9.633392,-0.16986084,0.007171631,-0.013198853,-3.0517578E-4,0.039215088
14h8m8s433ms,-0.03277588,9.630081,-0.15098572,0.0032928467,0.014694214,-9.765625E-4,-0.02432251
14h8m8s508ms,-0.03277588,9.630081,-0.15098572,0.0032928467,-0.0045776367,0.0,0.021865845
14h8m8s582ms,-0.03277588,9.630081,-0.15098572,0.0032928467,-0.009292603,5.340576E-4,0.0032043457
14h8m8s653ms,-0.1410675,9.629669,-0.17419434,0.0023223876,0.0073547363,-2.593994E-4,-0.029251099
14h8m8s731ms,-0.1410675,9.629669,-0.17419434,0.0023223876,-0.007736206,5.340576E-4,0.029830933
14h8m8s803ms,-0.007675171,9.626572,-0.12464905,0.0024383545,0.007751465,7.9345703E-4,-0.03265381
14h8m8s877ms,-0.007675171,9.626572,-0.12464905,0.0024383545,-0.04345703,-0.057113647,0.005203247
14h8m8s952ms,-0.007675171,9.626572,-0.12464905,0.0024383545,-0.0035705566,-0.051574707,0.046447754
14h8m9s25ms,-0.10105896,9.634644,-0.19343567,0.003753662,0.014312744,0.030471802,-0.03262329
14h8m9s101ms,-0.10105896,9.634644,-0.19343567,0.003753662,-0.047042847,0.37358093,0.09725952
14h8m9s175ms,-0.10105896,9.634644,-0.19343567,0.003753662,0.05256653,0.34472656,0.24768066
14h8m9s249ms,0.5861664,9.753235,0.177948,0.026696777,0.05633545,-0.053482056,0.061080933
14h8m9s323ms,0.5861664,9.753235,0.177948,0.026696777,-0.62831116,-0.6560364,-0.8600311
14h8m9s398ms,1.083847,9.820282,0.063827515,0.03944397,0.43373108,0.08166504,-0.23513794
14h8m9s469ms,1.083847,9.820282,0.063827515,0.03944397,0.17721558,0.32174683,-0.1308899
14h8m9s547ms,1.083847,9.820282,0.063827515,0.03944397,0.057769775,0.34783936,-0.16900635
14h8m9s618ms,-0.5245514,7.705612,0.048110962,0.46229553,0.015411377,0.49069214,0.09248352
14h8m9s692ms,-0.5245514,7.705612,0.048110962,0.46229553,0.3717804,0.27182007,0.32687378
14h8m9s767ms,-0.5245514,7.705612,0.048110962,0.46229553,0.060806274,-0.1255188,0.38780212
14h8m9s840ms,-1.977005,8.17305,-0.99983215,0.55516356,-0.2142334,-1.373291E-4,0.39414978
14h8m9s916ms,-1.977005,8.17305,-0.99983215,0.55516356,-0.26409912,0.14329529,0.21640015
14h8m9s990ms,-1.977005,8.17305,-0.99983215,0.55516356,-0.25227356,-0.21176147,0.13421631
14h8m10s64ms,-0.70262146,10.255386,-0.6739502,0.9700165,-0.03945923,-0.14883423,0.32409668
14h8m10s138ms,-0.70262146,10.255386,-0.6739502,0.9700165,-0.23400879,-0.2349701,0.36701965
14h8m10s210ms,0.15370178,10.641983,-0.10055542,1.0236175,-0.17112732,0.055923462,0.09031677
14h8m10s287ms,0.15370178,10.641983,-0.10055542,1.0236175,0.24707031,-0.16471863,0.15759277
14h8m10s362ms,0.15370178,10.641983,-0.10055542,1.0236175,-0.30815125,-0.58529663,-0.20124817
14h8m10s433ms,0.395401,10.319534,0.3523407,1.0746979,-0.015213013,0.052856445,0.19848633
14h8m10s508ms,0.395401,10.319534,0.3523407,1.0746979,0.044403076,0.016540527,0.04815674
14h8m10s592ms,0.395401,10.319534,0.3523407,1.0746979,0.11166382,-0.08370972,-0.054275513
14h8m10s672ms,0.6602936,9.7677765,0.5786438,0.7621155,-0.030456543,0.26365662,0.036743164
14h8m10s732ms,0.6602936,9.7677765,0.5786438,0.7621155,0.19606018,-0.075149536,-0.3101654
14h8m10s806ms,0.6602936,9.7677765,0.5786438,0.7621155,0.47428894,-0.17349243,-0.48971558
14h8m10s879ms,-0.3092804,9.089813,-0.28912354,0.80422056,0.016052246,-0.1108551,0.03767395
14h8m10s963ms,-0.3092804,9.089813,-0.28912354,0.80422056,0.001663208,-5.340576E-4,-0.0011444092
14h8m11s28ms,-0.03215027,9.762863,-0.0066833496,0.5223633,-0.0013275146,-0.0016021729,9.918213E-4
14h8m11s102ms,-0.03215027,9.762863,-0.0066833496,0.5223633,-2.593994E-4,5.340576E-4,-0.0013275146
14h8m11s180ms,-0.03215027,9.762863,-0.0066833496,0.5223633,-0.0013275146,0.0011901855,0.0031280518
14h8m11s248ms,-0.09762573,9.6249695,-0.09111023,0.4726227,8.087158E-4,3.9672852E-4,3.9672852E-4
14h8m11s322ms,-0.09762573,9.6249695,-0.09111023,0.4726227,-0.0010681152,0.0013275146,-3.3569336E-4
14h8m11s400ms,-0.09762573,9.6249695,-0.09111023,0.4726227,-0.0012664795,-4.7302246E-4,0.0019989014
14h8m11s487ms,-0.1088562,9.635345,-0.10734558,0.41020814,-1.2207031E-4,-5.340576E-4,-7.6293945E-5
14h8m11s546ms,-0.1088562,9.635345,-0.10734558,0.41020814,-9.765625E-4,-5.340576E-4,0.0027770996
14h8m11s619ms,-0.09303284,9.621521,-0.10656738,0.30262145,2.2888184E-4,5.340576E-4,-5.645752E-4
14h8m11s694ms,-0.09303284,9.621521,-0.10656738,0.30262145,-0.0010528564,-5.340576E-4,0.0017852783
14h8m11s768ms,-0.09303284,9.621521,-0.10656738,0.30262145,-0.0013275146,-6.2561035E-4,-7.6293945E-5
14h8m11s852ms,-0.10270691,9.635468,-0.09359741,0.16981812,-0.0013275146,5.340576E-4,-7.6293945E-5
14h8m11s918ms,-0.10270691,9.635468,-0.09359741,0.16981812,6.1035156E-5,1.9836426E-4,0.001739502
14h8m12s4ms,-0.10270691,9.635468,-0.09359741,0.16981812,-0.0013275146,5.340576E-4,4.5776367E-4
14h8m12s88ms,-0.09487915,9.628662,-0.08970642,0.036569215,-0.0017242432,5.340576E-4,0.002456665
14h8m12s154ms,-0.09487915,9.628662,-0.08970642,0.036569215,9.3078613E-4,-4.119873E-4,-0.0020751953
14h8m12s228ms,-0.09487915,9.628662,-0.08970642,0.036569215,-0.0013275146,-0.0015258789,1.5258789E-5
14h8m12s307ms,-0.1085968,9.63356,-0.087905884,0.009970093,-5.493164E-4,2.4414063E-4,2.1362305E-4
14h8m12s362ms,-0.1085968,9.63356,-0.087905884,0.009970093,-2.593994E-4,-6.1035156E-5,-5.493164E-4
14h8m12s434ms,-0.10525513,9.628052,-0.09074402,0.008996582,-0.0010070801,1.5258789E-4,0.0013275146
14h8m12s509ms,-0.10525513,9.628052,-0.09074402,0.008996582,-2.593994E-4,-5.340576E-4,9.1552734E-5
14h8m12s585ms,-0.10525513,9.628052,-0.09074402,0.008996582,8.087158E-4,-0.0015411377,0.002029419
14h8m12s658ms,-0.0987854,9.6250305,-0.09513855,0.0068359375,5.645752E-4,5.340576E-4,7.6293945E-4
14h8m12s743ms,-0.0987854,9.6250305,-0.09513855,0.0068359375,-0.003829956,-9.918213E-4,9.918213E-4
14h8m12s807ms,-0.0987854,9.6250305,-0.09513855,0.0068359375,0.009536743,-0.0028533936,0.0014190674
14h8m12s877ms,-0.08784485,9.627045,-0.12199402,0.004449463,-0.006072998,0.0049438477,3.0517578E-4
14h8m12s954ms,-0.08784485,9.627045,-0.12199402,0.004449463,8.392334E-4,0.0016021729,0.0020446777
14h8m13s82ms,-0.09051514,9.62883,-0.0718689,0.0034454346,-0.0020446777,-5.340576E-4,0.0011749268
14h8m13s125ms,-0.09051514,9.62883,-0.0718689,0.0034454346,-0.0020141602,1.373291E-4,0.0020599365
14h8m13s176ms,-0.09051514,9.62883,-0.0718689,0.0034454346,0.0012664795,0.0020599365,-0.001739502
14h8m13s249ms,-0.12669373,9.62291,-0.065475464,0.0036499023,-2.593994E-4,0.0013275146,0.0023345947
14h8m13s324ms,-0.12669373,9.62291,-0.065475464,0.0036499023,-0.0023498535,0.0016021729,9.460449E-4
14h8m13s405ms,-0.12669373,9.62291,-0.065475464,0.0036499023,-0.0011901855,-2.593994E-4,0.0019226074
14h8m13s474ms,-0.08909607,9.629074,-0.08761597,0.003781128,4.4250488E-4,-5.340576E-4,-4.272461E-4
14h8m13s548ms,-0.08909607,9.629074,-0.08761597,0.003781128,8.087158E-4,-0.0010528564,4.4250488E-4
14h8m13s623ms,-0.08909607,9.629074,-0.08761597,0.003781128,2.1362305E-4,5.340576E-4,0.0023651123
14h8m13s694ms,-0.104904175,9.632324,-0.12721252,0.0038269043,8.087158E-4,-5.340576E-4,-0.0010375977
14h8m13s772ms,-0.104904175,9.632324,-0.12721252,0.0038269043,0.0017547607,0.022979736,0.0031280518
