
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
8h25m24s50ms,-0.1280365,9.73439,-0.056015015,0.26560974,0.0027313232,1.373291E-4,8.392334E-4
18h25m24s123ms,-0.11935425,9.73056,-0.04560852,0.13471985,0.0015258789,0.0021514893,-1.0681152E-4
18h25m24s197ms,-0.12158203,9.724167,-0.051818848,0.091944374,0.00579834,0.013183594,0.0029296875
18h25m24s268ms,-0.11273193,9.739166,-0.051620483,0.07270813,0.002822876,0.051635742,0.0013122559
18h25m24s343ms,-0.20715332,9.743301,0.025146484,0.05899353,-0.01890564,0.019866943,0.058425903
18h25m24s413ms,-0.9350128,9.992966,-0.03643799,0.055804443,0.4190979,0.25346375,0.6298218
18h25m24s486ms,0.4343109,12.613434,-0.22912598,0.5791321,-0.09249878,-0.027999878,-0.5116577
18h25m24s556ms,-0.23643494,13.697296,-0.020858765,0.7946259,0.4358673,-0.12860107,-0.33695984
18h25m24s632ms,-0.97180176,12.59758,-0.83413696,1.0115693,0.4628296,-0.02947998,-0.6195984
18h25m24s705ms,-1.1236267,12.225052,-0.43165588,1.0852478,0.66148376,-0.15548706,-0.8412781
18h25m24s776ms,0.16101074,11.040924,-1.8141174,1.2721405,0.13957214,0.13781738,-0.9323883
18h25m24s849ms,-2.9424896,6.20372,-2.099533,1.7154877,-0.15635681,0.2977295,-0.67211914
18h25m24s919ms,-3.3495178,5.6217957,-1.563736,1.6151001,-0.30218506,0.50997925,0.024597168
18h25m24s990ms,-1.7670746,7.196472,-0.70339966,1.7100922,-0.43322754,0.66407776,0.21963501
18h25m25s64ms,-0.56469727,7.507263,-0.7476654,1.6977447,-0.6741638,0.72647095,0.3244171
18h25m25s138ms,-0.37750244,7.8207703,-0.5845947,1.5236206,-0.42364502,0.33648682,0.6451111
18h25m25s209ms,-0.5868683,8.83847,0.14064026,0.75971985,-0.17370605,0.3507843,0.42100525
18h25m25s282ms,0.49360657,10.049164,-0.21289063,0.8854736,-0.059265137,0.23410034,0.17007446
18h25m25s353ms,-0.16275024,10.089966,-0.38500977,0.57869875,-0.016967773,0.048171997,0.37597656
18h25m25s427ms,0.10682678,10.10173,-0.83387756,0.5188934,-0.1431427,0.14692688,-0.16317749
18h25m25s501ms,-0.7481537,9.729401,-0.7512512,0.53065795,-0.17739868,0.06022644,0.11820984
18h25m25s572ms,-1.3755188,10.448822,-0.4771576,0.4710022,0.22566223,0.15849304,-0.055511475
18h25m25s646ms,-0.622818,9.535645,-0.6028137,0.41149902,-0.058776855,0.026611328,0.21766663
18h25m25s716ms,-0.019302368,9.993668,-0.7585907,0.49494323,-0.26908875,0.25553894,-0.066467285
18h25m25s786ms,-0.26963806,9.510193,-0.5911865,0.58928525,-0.13822937,-0.06814575,0.06047058
18h25m25s859ms,-0.8823395,9.510422,-0.050704956,0.5148651,-0.1739502,0.018981934,0.2006836
18h25m25s934ms,-0.10899353,10.098618,-0.15583801,0.48861998,-0.107940674,0.077941895,0.090774536
18h25m26s7ms,-0.04862976,9.751038,-0.38253784,0.3755005,-0.06703186,0.0022735596,0.029312134
18h25m26s78ms,0.015365601,9.811325,-0.022598267,0.29595336,0.0026550293,0.051742554,-0.0034332275
18h25m26s149ms,-0.29252625,9.750961,-0.07795715,0.21133117,-0.0016784668,0.0042266846,-0.004776001
18h25m26s223ms,-0.11437988,9.740189,-0.17427063,0.21343994,0.0025939941,1.373291E-4,0.0019073486
18h25m26s294ms,-0.13949585,9.736282,-0.11772156,0.09658203,-6.4086914E-4,0.008773804,8.239746E-4
18h25m26s368ms,-0.14289856,9.737808,-0.14414978,0.027371217,-4.7302246E-4,0.050735474,-7.6293945E-5
18h25m26s442ms,-0.1612854,9.7317505,-0.12162781,0.016525269,0.0015258789,-1.9836426E-4,-9.613037E-4
18h25m26s513ms,-0.12870789,9.728195,-0.10984802,0.005163574,4.5776367E-4,-0.0019989014,-0.0018463135
18h25m26s583ms,-0.15861511,9.721222,-0.124572754,0.0044036866,0.0025939941,-9.3078613E-4,0.0029754639
18h25m26s656ms,-0.1429596,9.744034,-0.118270874,0.008184815,0.0045318604,-0.0011291504,0.0017242432
18h25m26s726ms,-0.16436768,9.725723,-0.11657715,0.011541748,0.0035705566,0.023727417,0.0019073486
18h25m26s801ms,-0.15620422,9.727463,-0.109817505,0.0106781,0.001663208,-7.9345703E-4,0.0020599365
18h25m26s875ms,-0.13833618,9.738525,-0.14172363,0.012179566,0.0018463135,0.02243042,-0.0016937256
18h25m26s946ms,-0.17932129,9.739731,-0.14001465,0.011026001,0.0036621094,-0.001449585,0.0034942627
18h25m27s19ms,-0.14259338,9.735748,-0.1270752,0.0072601316,0.0015258789,1.373291E-4,5.0354004E-4
18h25m27s89ms,-0.13494873,9.731812,-0.11871338,0.004385376,0.0036621094,-9.3078613E-4,8.392334E-4
