
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
4h41m13s832ms,-0.16685486,9.622986,-0.50193787,0.37701416,-0.09043884,-0.18003845,-0.015853882
14h41m13s905ms,-0.16685486,9.622986,-0.50193787,0.37701416,0.05404663,-0.39344788,0.023468018
14h41m13s978ms,-0.16685486,9.622986,-0.50193787,0.37701416,-0.03727722,0.08493042,0.031417847
14h41m14s51ms,-0.2999115,9.702774,0.4139862,0.22840118,-0.0016937256,-0.04421997,-0.032913208
14h41m14s127ms,-0.2999115,9.702774,0.4139862,0.22840118,0.009490967,-0.015396118,-0.017593384
14h41m14s201ms,-0.2999115,9.702774,0.4139862,0.22840118,0.013458252,-0.0038909912,-0.0087890625
14h41m14s275ms,-0.25019836,9.657257,-0.030715942,0.16743977,0.01473999,-0.005630493,-0.026443481
14h41m14s359ms,-0.25019836,9.657257,-0.030715942,0.16743977,0.011474609,-0.007949829,-0.007675171
14h41m14s424ms,-0.25019836,9.657257,-0.030715942,0.16743977,0.013702393,8.69751E-4,-0.035461426
14h41m14s496ms,-0.27749634,9.66127,-0.012588501,0.1265831,-0.01739502,-0.72969055,-0.11747742
14h41m14s587ms,-0.27749634,9.66127,-0.012588501,0.1265831,0.011108398,0.7801361,-0.030776978
14h41m14s651ms,-0.106277466,9.67984,-0.040283203,0.10498047,0.05291748,-0.03552246,-0.08241272
14h41m14s719ms,-0.106277466,9.67984,-0.040283203,0.10498047,-0.011886597,-0.36553955,-0.09484863
14h41m14s794ms,-0.106277466,9.67984,-0.040283203,0.10498047,0.03126526,-0.34805298,0.046188354
14h41m14s867ms,-0.20004272,9.738983,-0.04043579,0.04140625,0.6099701,-0.47984314,0.40538025
14h41m14s942ms,-0.20004272,9.738983,-0.04043579,0.04140625,-0.5041046,-0.30496216,-0.54486084
14h41m15s16ms,-0.20004272,9.738983,-0.04043579,0.04140625,0.4576416,-0.81562805,-0.33287048
14h41m15s91ms,0.049331665,12.9327545,-0.127594,0.66420287,0.20463562,-1.1492767,-0.036819458
14h41m15s166ms,0.049331665,12.9327545,-0.127594,0.66420287,0.06213379,-1.2618561,-0.2149353
14h41m15s241ms,-1.5931244,10.0724945,-0.0771637,1.2271515,0.09082031,-1.0009918,-0.15020752
14h41m15s311ms,-1.5931244,10.0724945,-0.0771637,1.2271515,-0.032546997,-0.8740082,-0.1322937
14h41m15s387ms,-1.5931244,10.0724945,-0.0771637,1.2271515,0.05899048,-0.053390503,0.1875
14h41m15s461ms,-2.3628693,7.31427,0.3262787,1.7779938,0.061294556,0.21502686,0.14872742
