
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
5h13m18s979ms,-0.20597169,9.362132,4.3469605,0.6378679,0.017423023,-0.008070587,-0.006889236
15h13m19s17ms,-0.098195806,9.381292,4.485872,0.3285141,0.0073030107,-6.1373564E-4,-0.0058239717
15h13m19s53ms,0.08861572,9.436378,4.4738965,0.23737113,0.006770378,0.022822082,-0.009552397
15h13m19s90ms,-0.39757326,9.462723,5.398374,0.18461466,0.07068625,-0.03523483,-0.030857686
15h13m19s128ms,-0.07903565,9.395662,5.0031962,0.16110381,0.23580223,-0.060268544,-0.031390317
15h13m19s165ms,-0.11256592,9.529783,3.0776002,0.060354423,0.24325907,-0.130576,-0.05802193
15h13m19s206ms,-0.2682422,9.558523,4.4906616,0.062270354,-0.1152024,0.33600983,0.10230037
15h13m19s240ms,-0.117355965,9.460327,4.785249,0.07089253,-0.0044148983,0.080878995,0.01122026
15h13m19s278ms,-0.122146,9.275911,3.5613942,0.10250664,-0.0065454273,-0.023516921,0.018677112
15h13m19s315ms,0.1341211,9.3381815,3.7050953,0.101548575,-0.0672655,0.12508747,0.042645562
15h13m19s353ms,-0.16525635,9.529783,4.045188,0.11304474,-0.05501496,0.23267917,0.010687627
15h13m19s390ms,-0.32093263,9.426797,2.7806177,0.12789401,0.03659778,-0.028310612,0.06288558
15h13m19s429ms,-0.63707525,10.121353,4.2511597,0.24716607,-0.031579144,0.02708314,0.03678661
15h13m19s469ms,1.1735597,7.726333,3.0009596,0.6892869,0.044054635,0.4526563,0.06288558
15h13m19s503ms,-0.30416748,9.472302,6.7491655,1.0260267,0.41583192,-0.06559487,0.12999725
15h13m19s541ms,0.40954837,9.814791,1.4441968,1.0562041,0.24911803,-0.18969817,0.058091894
15h13m19s583ms,-0.48618898,9.577683,3.657195,1.0830282,0.18200637,-0.12098862,-0.09424092
15h13m19s615ms,-0.34727785,9.474698,4.8594947,0.96471405,0.07388204,-0.14762023,0.07779929
15h13m19s652ms,-0.07903565,9.702225,3.6404297,0.53121537,9.1142394E-4,-0.01872323,0.041047662
15h13m19s693ms,-0.12693603,9.584868,4.5720925,0.20549278,-0.098158166,0.0041799545,0.038384505
15h13m19s730ms,-0.035925295,9.616004,4.0978785,0.14322224,-0.062471814,0.04838843,0.01122026
15h13m19s770ms,-0.15328126,9.580078,4.129014,0.102985956,-0.014002278,0.03400736,-0.016476616
15h13m19s810ms,-0.11496094,9.601634,4.152964,0.08670006,0.0014440566,-0.026180081,0.025601331
15h13m19s844ms,-0.23231691,9.546548,4.129014,0.05221195,-0.0038822666,-0.031506404,0.02293817
15h13m19s882ms,0.13172609,9.484278,4.033213,0.041194726,0.03766305,-0.08210647,0.028797124
15h13m19s920ms,0.16286133,9.484278,3.03928,0.041194726,0.0115640685,-0.012331645,-0.007954501
15h13m19s964ms,-0.34967285,9.551338,4.145779,0.048379708,-0.010273853,0.005245219,-0.0036934428
15h13m19s995ms,0.050295413,9.625584,4.742139,0.056043625,0.0014440566,-0.016592702,0.04051503
15h13m20s32ms,0.009580079,9.673484,4.8594947,0.061312485,-0.04702548,0.040398948,0.028797124
15h13m20s71ms,-0.11496094,9.5633135,3.6811452,0.07232933,-0.058743387,0.09952112,0.009622363
15h13m20s107ms,0.028740235,9.79084,4.1793094,0.10538063,-0.118930824,0.07129161,0.024003431
15h13m20s145ms,0.86220706,9.486672,4.061953,0.15280208,-0.03104651,0.0941948,0.098039314
15h13m20s183ms,-0.16046631,9.321417,4.605623,0.1710041,-0.26167625,-0.020321127,0.04424346
15h13m20s220ms,-0.07185059,9.544153,4.6128078,0.20597133,-0.06566761,4.5152882E-4,0.004828673
15h13m20s258ms,0.011975098,9.462723,4.27032,0.20022336,-0.036905464,0.056377914,0.009089731
