
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
1h2m42s978ms,1.2382251,10.054293,2.3806496,0.05429268,0.049246956,0.00782638,0.011828268
11h2m43s21ms,0.84544194,10.214759,1.7747096,0.10737944,0.1935903,-0.050763164,0.026741968
11h2m43s54ms,0.9268726,10.645863,3.3099172,0.21528752,0.301182,0.2496414,0.089592576
11h2m43s92ms,0.9316626,10.679393,1.6717237,0.1698482,0.105173334,0.0776012,0.10397364
11h2m43s130ms,2.1435425,10.41594,1.1304493,0.18856907,-0.11373851,-0.017207336,-0.047826543
11h2m43s166ms,1.9567311,10.583591,0.86220706,0.21124077,-0.09829217,0.0642854,-0.084578164
11h2m43s204ms,1.3100758,10.897339,2.5962012,0.24189702,0.10890177,0.03392536,-0.1431677
11h2m43s241ms,0.55324954,9.977652,3.542234,0.33961374,-0.0093425885,-0.21374863,-0.24330257
11h2m43s279ms,-0.13172609,10.030342,1.6884888,0.34344578,-0.40562096,-0.07686214,0.16522636
11h2m43s318ms,1.3148658,10.777588,-0.40715334,0.44020444,-0.16007751,-0.2995024,0.26163277
11h2m43s355ms,0.9388477,10.744058,2.579436,0.41338024,-0.14889222,-0.11361376,0.12368104
11h2m43s392ms,2.0237916,10.39678,-2.9602442,0.4200863,0.27827883,-0.10562428,0.020350384
11h2m43s432ms,1.7866846,10.049502,1.6741188,0.30560437,0.07001962,-0.08644952,-0.027053885
11h2m43s469ms,1.7387843,10.322535,3.1326857,0.3496727,0.16056709,-0.1487675,-0.014270712
11h2m43s506ms,0.58198977,9.618399,1.7914747,0.3410507,0.19625345,-0.130658,0.044318832
11h2m43s550ms,0.7783814,9.309442,1.1855347,0.3961361,-0.12385851,-0.042241048,0.15350844
11h2m43s581ms,0.366438,9.426797,6.847361,0.35015163,0.3901316,-0.15622436,0.19452113
11h2m43s617ms,-0.6490503,12.202625,-10.710527,0.8358618,0.9493954,-0.86142945,0.278677
11h2m43s657ms,3.300337,11.745176,0.07664063,0.87274516,-0.5313222,0.07866647,0.116224185
11h2m43s693ms,4.8115945,12.260105,-0.16765137,0.8349037,-1.2285378,0.7780126,0.027274603
11h2m43s732ms,1.1112891,8.760982,2.196233,1.472937,0.5957276,-0.14610434,-0.42226702
11h2m43s770ms,0.45984375,9.364527,1.7771046,1.5701749,0.53554016,-0.249435,-0.07179499
11h2m43s807ms,1.5136524,10.116563,1.9591261,1.1654165,0.3539126,-0.26062027,0.1082347
11h2m43s844ms,2.0621119,10.200389,1.5950831,1.0906919,0.21915664,-0.23771708,0.12474631
11h2m43s882ms,1.9567311,11.06978,0.8981324,1.1615845,-0.07698688,0.08612332,-0.13091718
11h2m43s919ms,0.9915381,10.090218,1.3196558,0.6576723,-0.13823958,-0.08858005,-0.1133403
11h2m43s957ms,1.3531861,10.490186,0.63707525,0.6169569,0.24525562,-0.4379868,-0.022260195
11h2m43s996ms,1.5423926,10.679393,2.3495142,0.5043911,-0.35448828,-0.16474646,0.013426164
11h2m44s32ms,1.6190332,9.987232,2.926714,0.626058,-0.45994946,-0.12426641,-0.014270712
11h2m44s71ms,1.1280543,10.380015,2.071692,0.5307363,-0.307084,-0.12692958,0.13539894
11h2m44s107ms,2.1531227,10.229129,2.2513185,0.3650011,-0.20748177,-0.0630137,0.11675682
11h2m44s146ms,2.3135889,10.219549,2.6512868,0.2869234,0.11263019,-0.2510329,0.038459882
11h2m44s183ms,1.6525636,10.003997,2.1195924,0.29219246,0.019952182,-0.09550427,0.0128935315
11h2m44s222ms,1.5639478,10.214759,2.5147705,0.19591275,0.12381548,-0.13278854,0.04325357
11h2m44s259ms,1.6405884,9.570498,3.271597,0.24620819,0.5621718,-0.342113,0.020883014
11h2m44s297ms,2.2321582,10.705738,-1.6022681,0.44307882,0.48813593,-0.1951065,0.038459882
11h2m44s332ms,2.7015822,10.942844,1.3771362,0.48858413,0.23566824,0.0626875,-0.016933873
11h2m44s379ms,2.1004322,9.7142,2.548301,0.6912025,0.17974186,0.042447474,0.0421883
11h2m44s410ms,-0.10777588,10.27224,0.17483643,0.7606581,0.11316283,0.0626875,0.3415276
11h2m44s448ms,6.952742,7.4988065,5.1780324,1.1864927,0.043920632,0.2363256,0.5844079
11h2m44s492ms,2.198628,11.127261,1.9112257,1.6851356,0.074280664,0.09038438,0.32075495
11h2m44s532ms,1.5376027,9.536968,0.7113208,1.955773,-0.08284584,0.3620268,0.407574
11h2m44s559ms,0.43110353,9.958491,0.16286133,1.7943487,-0.32146508,0.40730056,0.5412647
11h2m44s597ms,1.5567628,10.075848,-2.6776319,1.706212,-0.48285264,0.39558265,0.58494055
11h2m44s636ms,2.8428884,11.067386,2.579436,1.349833,-0.36087987,0.28692567,0.2818728
11h2m44s673ms,3.0081446,10.506951,1.5783179,0.73622894,-0.056214225,0.18039922,0.05816727
11h2m44s711ms,1.0753639,9.73815,1.4897022,0.5719307,-0.13930485,0.20223714,0.16149792
11h2m44s748ms,3.0105398,9.453142,1.7363893,0.54462755,-0.19256808,0.13192968,0.3154286
11h2m44s787ms,4.3565407,10.265054,1.2717555,0.6835386,-0.37206513,0.44192165,0.2552412
11h2m44s825ms,3.1207106,10.485396,2.1579127,0.52929956,-0.34756404,0.45843324,0.10077785
11h2m44s861ms,3.03928,10.035132,-1.5447876,0.50726545,-0.4807221,0.30450255,1.10358E-4
11h2m44s898ms,2.2752686,8.835227,0.8382569,0.5934862,-0.2458313,0.052567486,-0.047826543
11h2m44s934ms,2.9458742,9.929751,2.3614893,0.7553896,-0.38218513,0.032860093,0.11569156
11h2m44s975ms,2.6488917,9.565708,1.5950831,0.66581595,-0.3502272,0.068013825,0.08000519
11h2m45s12ms,2.2632935,9.481883,3.1542408,0.63851243,-0.39763147,0.027533771,0.053373583
11h2m45s51ms,3.3051271,9.654325,3.539839,0.5829479,-0.30974716,0.105830714,0.0768094
11h2m45s89ms,2.8812087,9.649534,3.159031,0.3439249,-0.29163766,0.05096959,0.04804726
11h2m45s142ms,3.8176613,9.558523,3.5997145,0.14322224,-0.11640167,0.021674817,-0.039837055
11h2m45s215ms,2.3423293,9.2328005,3.4296682,0.13555813,0.046583794,0.10210229,-0.043032855
11h2m45s241ms,2.2465284,9.433982,2.3878345,0.1590294,0.013027964,0.052034855,0.07095045
