
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
1h0m25s371ms,-0.92926764,9.472302,4.169729,0.52769756,-0.14742333,-0.089693315,0.20013857
11h0m25s408ms,3.7338357,8.159832,5.2738333,0.920084,-0.21240446,-0.033234302,0.3279703
11h0m25s445ms,0.117355965,9.884246,5.022356,1.1881939,0.486409,-0.2643967,0.24115126
11h0m25s483ms,-0.15328126,9.632769,3.178191,0.9540148,0.49546376,-0.51633173,0.36791772
11h0m25s522ms,1.0729688,10.490186,2.6393116,0.93469524,0.41343838,-0.43910006,0.29867554
11h0m25s558ms,1.4825171,10.171648,6.0114994,0.8928633,-0.38764048,-0.19249134,0.042479437
11h0m25s597ms,1.6597486,9.673484,1.6741188,0.73000205,0.035269517,-0.40607685,-0.15832292
11h0m25s633ms,0.7951465,9.718989,1.4226416,0.39422035,-0.36047623,-0.6713277,0.084557384
11h0m25s673ms,1.7268091,10.015972,4.2128396,0.40332144,-0.44196898,-0.4167295,0.01691309
11h0m25s709ms,1.453777,9.812395,5.364844,0.27255344,-0.51334167,0.6250991,0.08029632
11h0m25s746ms,1.6262183,9.702225,4.6726832,0.23087998,-0.23743817,0.48821265,-0.08002598
11h0m25s786ms,0.64186525,9.592053,4.150569,0.1532814,-0.017461073,-0.41406634,0.011054135
11h0m25s821ms,0.86939216,9.491463,4.6678934,0.16429844,0.07841273,-0.4119358,0.03821838
11h0m25s860ms,1.4298267,9.546548,3.9901028,0.11591892,0.11782751,-0.045484845,0.07976369
11h0m25s899ms,0.9867481,9.544153,3.5566041,0.07568245,0.21263605,-0.17065342,0.04887102
11h0m25s936ms,1.1448194,9.589659,3.7194655,0.06274948,0.06509692,-0.121651255,-1.3114233E-4
11h0m25s971ms,1.9926564,9.77647,3.7290456,0.07807751,-0.023320027,0.20272177,-0.024099592
11h0m26s20ms,1.3771362,9.568104,4.1864944,0.09963264,0.03740005,0.30818295,-0.09920074
11h0m26s48ms,1.7651294,9.987232,1.7842896,0.17244129,-0.2837772,0.17609017,-0.033686973
11h0m26s84ms,0.46463382,8.602911,8.648416,0.4488266,-0.25022137,-0.067855395,-0.19028085
11h0m26s123ms,1.5112574,9.544153,5.2977834,0.6279739,-0.41693527,0.12602273,-0.039545927
11h0m26s160ms,-0.20357667,9.182506,6.8425713,0.66294116,0.01716002,0.058911074,-0.07629755
11h0m26s198ms,0.6730005,9.510623,4.493057,0.6868914,0.09172853,-0.1573376,0.09201423
11h0m26s237ms,1.1807446,9.484278,4.0739284,0.6083347,0.18706971,-0.2068724,0.09893845
11h0m26s274ms,1.3771362,9.735755,2.8883936,0.38176593,-0.019591602,0.005115219,0.107460566
11h0m26s311ms,1.8489552,9.702225,3.420088,0.20022354,-0.07392009,0.2874103,4.0149037E-4
11h0m26s349ms,0.48139894,9.848321,1.8513502,0.15711327,0.07148851,0.015767865,0.12184164
11h0m26s386ms,2.5339308,9.704619,1.9591261,0.1202301,-0.1005517,0.2048523,0.037685744
11h0m26s425ms,1.0849439,9.321417,4.0595584,0.19160156,-0.28857088,0.104184814,-0.079493344
11h0m26s460ms,0.44547364,9.369317,4.272715,0.15088615,-0.23051396,-0.05933328,0.013184664
11h0m26s499ms,1.4058765,9.196876,4.703819,0.17866841,-0.34289938,-0.12644494,0.030228894
11h0m26s537ms,0.8143067,9.263936,5.597161,0.16286126,-0.12292226,0.054650016,0.0019993866
11h0m26s575ms,1.5423926,9.448353,5.103787,0.1710043,-0.045157947,0.074357405,0.019576252
11h0m26s633ms,0.69695073,9.297466,4.24158,0.12454109,0.0022463193,-0.042821683,0.03821838
11h0m26s652ms,1.7292042,9.486672,4.016448,0.15280227,0.013964229,-0.03962589,0.030228894
11h0m26s690ms,1.4801221,9.326206,5.213958,0.15040722,-0.06326745,0.17289437,-0.004924832
11h0m26s732ms,1.1184741,9.3381815,4.054768,0.13939019,-0.18151179,0.1617091,0.010521502
11h0m26s762ms,1.0370435,9.239985,5.4247193,0.12214603,-0.28164667,0.17609017,-0.06191648
11h0m26s801ms,0.81191164,8.962164,5.518125,0.14753303,-0.27525508,0.09299953,0.011054135
11h0m26s839ms,1.223855,9.077125,5.6666164,0.13268395,-0.214535,0.16863331,-0.015044844
11h0m26s881ms,0.081430666,9.546548,6.1144853,0.19447537,-0.19163181,0.31191137,-0.046470147
11h0m26s917ms,1.0849439,9.299861,5.2594633,0.24141769,0.044324268,0.09779323,0.019576252
11h0m26s951ms,1.0825489,9.285491,4.998406,0.22465248,0.13114332,0.056247912,0.011586768
11h0m26s989ms,1.2597803,9.393267,4.3541455,0.19064331,-0.03130951,-0.11739019,-0.14340921
11h0m27s30ms,0.5508545,8.765772,5.52052,0.29315013,-0.23477502,0.042399473,-0.04433962
11h0m27s106ms,1.2549903,9.239985,3.9877076,0.2941082,-0.12345489,0.010441541,-0.097602844
11h0m27s129ms,0.8981324,9.002879,5.4247193,0.29219207,-0.15807597,-0.14082602,-0.12636498
11h0m27s149ms,0.32572266,8.892708,5.8270826,0.31135234,0.0038442155,-0.039093256,-0.04487225
11h0m27s183ms,0.9580079,9.086704,4.5936475,0.3285965,-0.08350747,0.020028923,-0.04274172
11h0m27s216ms,0.4167334,9.053174,4.6918435,0.20980358,-0.14476018,-0.08489963,0.01691309
11h0m27s252ms,1.3891114,9.230406,4.8187795,0.15040722,-0.23637292,-0.032169037,-0.046470147
11h0m27s290ms,0.8047266,8.976534,5.0510964,0.15376034,-0.25181925,-0.07158382,-0.08109124
11h0m27s330ms,0.45744875,8.655601,6.5407987,0.19591275,-0.13570543,-0.039093256,-0.0065227286
11h0m27s365ms,0.51013917,8.816068,5.125342,0.18920688,-0.13144436,-0.14348917,0.058991037
11h0m27s404ms,0.5556446,8.959768,6.1647806,0.21124096,0.048585325,-0.26599458,0.09361213
11h0m27s442ms,1.2382251,9.038804,4.3565407,0.19160175,0.094391696,-0.18556713,0.13355954
11h0m27s479ms,1.3795313,9.024434,5.240303,0.14370136,-0.085638,-0.08010594,0.066447884
11h0m27s516ms,1.0346485,8.823253,4.7062135,0.11975098,0.03740005,-0.15360919,0.0733721
11h0m27s575ms,1.6046631,9.072334,5.1756372,0.13747387,-0.063800074,-0.04495221,0.03875101
11h0m27s609ms,0.9268726,8.749006,6.3132715,0.17339936,-0.0510169,-0.12591231,0.011054135
