
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
2h7m57s79ms,-0.32395935,-0.44128418,9.673569,10.441284,8.392334E-4,0.0044403076,8.239746E-4
22h7m57s153ms,-0.32395935,-0.44128418,9.673569,5.220642,-0.001373291,0.003768921,7.019043E-4
22h7m57s229ms,-0.32395935,-0.44128418,9.673569,3.480428,-0.0014343262,0.005874634,0.0017547607
22h7m57s302ms,-0.33413696,-0.45394897,9.67421,2.6134872,6.2561035E-4,0.0027008057,-0.0033416748
22h7m57s376ms,-0.33413696,-0.45394897,9.67421,2.0907898,7.171631E-4,0.009979248,-0.03201294
22h7m57s447ms,-0.2564392,-0.40885925,10.329666,0.011550903,-0.03388977,0.40270996,-0.044265747
22h7m57s521ms,-0.2564392,-0.40885925,10.329666,0.011550903,0.027420044,-0.14604187,-0.416687
22h7m57s597ms,-0.2564392,-0.40885925,10.329666,0.011550903,-0.0022583008,0.088897705,-1.3460846
22h7m57s671ms,0.1030426,-0.8643799,9.254395,0.10012207,0.0042877197,0.15628052,-2.7056885
22h7m57s745ms,0.1030426,-0.8643799,9.254395,0.10012207,0.016784668,0.100997925,-1.6868286
22h7m57s821ms,0.1030426,-0.8643799,9.254395,0.09110413,0.0012512207,0.0011901855,7.019043E-4
22h7m57s895ms,-1.3363953,-0.42408752,9.96846,0.17916259,-2.593994E-4,0.0035705566,7.019043E-4
22h7m57s968ms,-1.3363953,-0.42408752,9.96846,0.17916259,6.2561035E-4,-0.0015716553,-1.0681152E-4
22h7m58s43ms,-1.3363953,-0.42408752,9.96846,0.08805847,6.866455E-4,-4.4250488E-4,7.019043E-4
22h7m58s118ms,-0.31915283,-0.43463135,9.663834,0.09016724,3.0517578E-4,-0.0029296875,-0.0016326904
22h7m58s193ms,-0.31915283,-0.43463135,9.663834,0.09016724,0.015151978,0.0140686035,-0.06756592
22h7m58s263ms,-0.4475708,-0.57766724,9.186661,0.030715942,0.007949829,-0.010726929,0.004928589
22h7m58s342ms,-0.4475708,-0.57766724,9.186661,0.030715942,1.9836426E-4,0.008041382,0.0028076172
22h7m58s413ms,-0.4475708,-0.57766724,9.186661,0.030715942,-0.0048065186,-0.0015716553,0.10644531
22h7m58s487ms,-0.6655884,-0.64764404,9.295441,0.04260254,-0.036376953,-0.20018005,1.7116699
22h7m58s562ms,-0.6655884,-0.64764404,9.295441,0.04260254,-0.009750366,-0.113220215,1.9026947
22h7m58s638ms,-0.6655884,-0.64764404,9.295441,0.0139953615,-0.0016174316,-5.0354004E-4,3.8146973E-4
22h7m58s711ms,0.25476074,-0.36547852,10.186584,0.07042847,-0.0010070801,0.003250122,1.5258789E-4
22h7m58s785ms,0.25476074,-0.36547852,10.186584,0.07042847,-1.2207031E-4,-0.0016174316,7.019043E-4
22h7m58s858ms,-0.29379272,-0.4476471,9.64595,0.07286682,-9.460449E-4,0.0016326904,-0.0012359619
22h7m58s930ms,-0.29379272,-0.4476471,9.64595,0.07286682,5.950928E-4,-0.0037231445,-0.014221191
22h7m59s9ms,-0.29379272,-0.4476471,9.64595,0.07286682,0.0031280518,0.0028839111,-0.0053710938
22h7m59s80ms,-0.31451416,-0.41903687,9.672897,0.022155762,0.0016784668,0.0027008057,-0.0017852783
