
Time,AccX,AccY,AccZ,AccT,GyroX,GyroY,GyroZ
2h5m2s429ms,-0.24443054,-0.46177673,9.655685,10.461777,2.4414063E-4,-0.0025024414,-0.0023040771
22h5m2s503ms,-0.24443054,-0.46177673,9.655685,5.2308884,-0.0027923584,-0.02003479,-0.0050354004
22h5m2s577ms,-0.2635498,-0.45040894,9.653442,3.491048,0.001373291,0.002960205,0.001876831
22h5m2s651ms,-0.2635498,-0.45040894,9.653442,2.6182861,-3.3569336E-4,-0.008056641,-0.0027618408
22h5m2s722ms,-0.22766113,-0.46069336,9.689178,2.096686,4.119873E-4,0.008331299,8.087158E-4
22h5m2s801ms,-0.22766113,-0.46069336,9.689178,0.004330444,0.003616333,0.0037841797,-2.4414063E-4
22h5m2s875ms,-0.22766113,-0.46069336,9.689178,0.004330444,0.0033874512,0.0058898926,0.005935669
22h5m2s946ms,-0.24020386,-0.40983582,9.704025,0.012228394,-0.0026245117,0.015151978,-0.0016326904
22h5m3s20ms,-0.24020386,-0.40983582,9.704025,0.012228394,-0.0017852783,0.064453125,-0.989563
22h5m3s95ms,-0.24020386,-0.40983582,9.704025,0.010171508,-0.006286621,0.19917297,-3.4854279
22h5m3s169ms,0.39579773,-0.44221497,9.846985,0.016647339,-6.1035156E-4,0.0082092285,-0.012435913
22h5m3s245ms,0.39579773,-0.44221497,9.846985,0.016647339,5.493164E-4,0.0017547607,0.001739502
22h5m3s319ms,0.39579773,-0.44221497,9.846985,0.00647583,4.119873E-4,0.016601563,0.0065307617
22h5m3s393ms,-0.90312195,-0.8589783,9.613556,0.08982849,-6.2561035E-4,0.0058288574,0.014694214
22h5m3s467ms,-0.90312195,-0.8589783,9.613556,0.08982849,-6.5612793E-4,-0.008239746,8.087158E-4
22h5m3s537ms,-0.24725342,-0.45063782,9.674393,0.16502075,-7.9345703E-4,0.0041656494,0.003753662
22h5m3s616ms,-0.24725342,-0.45063782,9.674393,0.16502075,-6.5612793E-4,-0.0027313232,0.014770508
22h5m3s691ms,-0.24725342,-0.45063782,9.674393,0.16502075,-0.0030822754,-0.009613037,0.042495728
22h5m3s761ms,-0.4004364,-0.5564728,9.611984,0.10283508,-0.0053710938,-0.039382935,0.51524353
22h5m3s836ms,-0.4004364,-0.5564728,9.611984,0.10283508,-0.0079956055,-0.048736572,0.4865265
22h5m3s912ms,-0.4004364,-0.5564728,9.611984,0.021166991,0.0023345947,-3.2043457E-4,-4.5776367E-4
22h5m3s984ms,-0.10826111,-0.39175415,9.6996155,0.054110717,-6.5612793E-4,0.0016021729,0.001876831
22h5m4s62ms,-0.10826111,-0.39175415,9.6996155,0.054110717,0.0010986328,0.0039367676,-4.4250488E-4
22h5m4s133ms,-0.2526245,-0.46150208,9.662872,0.04689331,0.0033111572,0.015197754,-0.0019989014
22h5m4s208ms,-0.2526245,-0.46150208,9.662872,0.04689331,0.0020751953,0.0068206787,8.087158E-4
22h5m4s284ms,-0.2526245,-0.46150208,9.662872,0.04689331,-0.0017242432,0.008026123,8.087158E-4
22h5m4s353ms,-0.27018738,-0.4454193,9.650757,0.017166138,-0.004043579,-0.018936157,-2.593994E-4
22h5m4s432ms,-0.27018738,-0.4454193,9.650757,0.017166138,-0.006362915,-7.6293945E-4,0.010543823
22h5m4s508ms,-0.27018738,-0.4454193,9.650757,0.0032165528,0.0021209717,-0.009613037,-0.0058135986
22h5m4s577ms,-0.269516,-0.46063232,9.815582,0.0062591555,-0.0028533936,0.012435913,-0.008377075
22h5m4s651ms,-0.269516,-0.46063232,9.815582,0.0062591555,-3.0517578E-4,-0.0030212402,-0.0013275146
22h5m4s727ms,-0.269516,-0.46063232,9.815582,0.0030426024,5.493164E-4,3.9672852E-4,-2.593994E-4
22h5m4s800ms,-0.28308105,-0.46647644,9.713989,0.004211426,0.0014343262,-0.0015563965,-0.0013580322
22h5m4s876ms,-0.28308105,-0.46647644,9.713989,0.004211426,-6.5612793E-4,-0.0011138916,-0.0013275146
22h5m4s949ms,-0.26013184,-0.45391846,9.663422,0.0036804199,-2.1362305E-4,-5.187988E-4,-2.593994E-4
22h5m5s24ms,-0.26013184,-0.45391846,9.663422,0.0036804199,-6.5612793E-4,1.2207031E-4,0.001876831
22h5m5s98ms,-0.26013184,-0.45391846,9.663422,0.0036804199,6.1035156E-4,0.0050201416,0.0025482178
22h5m5s168ms,-0.25894165,-0.4505005,9.68544,0.0031951903,-0.0027770996,-0.0059814453,-0.0023651123
22h5m5s247ms,-0.25894165,-0.4505005,9.68544,0.0031951903,0.0025482178,-0.0056762695,0.0011444092
22h5m5s322ms,-0.25894165,-0.4505005,9.68544,6.8359374E-4,-6.5612793E-4,0.0071411133,0.0015869141
22h5m5s392ms,-0.29130554,-0.47831726,9.657059,0.006246948,-0.004257202,0.012771606,0.013626099
22h5m5s467ms,-0.29130554,-0.47831726,9.657059,0.006246948,-0.009719849,-0.05316162,0.054122925
22h5m5s541ms,-0.45814514,-0.60424805,9.464066,0.030749511,2.89917E-4,-0.072891235,0.48698425
22h5m5s616ms,-0.45814514,-0.60424805,9.464066,0.030749511,6.2561035E-4,-0.05343628,0.6204071
22h5m5s691ms,-0.45814514,-0.60424805,9.464066,0.030749511,0.001159668,8.544922E-4,0.022735596
22h5m5s764ms,-0.021224976,-0.37800598,9.641144,0.07043457,0.0014801025,0.0016174316,-2.593994E-4
22h5m5s839ms,-0.021224976,-0.37800598,9.641144,0.07043457,-6.5612793E-4,5.493164E-4,-2.593994E-4
22h5m5s914ms,-0.021224976,-0.37800598,9.641144,0.04524841,0.0014801025,0.0036010742,-1.0681152E-4
22h5m5s988ms,-0.24177551,-0.46012878,9.681961,0.061672974,0.0014801025,0.012252808,-0.0023956299
22h5m6s63ms,-0.24177551,-0.46012878,9.681961,0.061672974,9.918213E-4,0.016082764,0.0021209717
22h5m6s137ms,-0.24177551,-0.46012878,9.681961,0.01642456,0.0014801025,0.002243042,-6.1035156E-5
